energy_ev,total_up,Ge_p_up,Ge_d_up,Pt_p_up,Pt_d_up,S_s_up,S_p_up
-6.00000000,3.74572777,0.05560937,0.00000000,0.24181037,1.95960954,0.56320031,0.73573585
-5.99399700,3.58950452,0.05464397,0.00000000,0.23448612,1.87549244,0.51760226,0.69837995
-5.98799400,3.42793905,0.05335677,0.00000000,0.22685280,1.78937679,0.47348866,0.66060334
-5.98199100,3.26401244,0.05176911,0.00000000,0.21914667,1.70304097,0.43123430,0.62307713
-5.97598799,3.10077850,0.04990795,0.00000000,0.21162159,1.61829577,0.39114753,0.58646505
-5.96998499,2.94132418,0.04780508,0.00000000,0.20454611,1.53696174,0.35347158,0.55141609
-5.96398199,2.78872905,0.04549615,0.00000000,0.19820017,1.46084678,0.31838745,0.51855807
-5.95797899,2.64602415,0.04301971,0.00000000,0.19287133,1.39172377,0.28601805,0.48849193
-5.95197599,2.51614981,0.04041607,0.00000000,0.18885046,1.33130820,0.25643316,0.46178665
-5.94597299,2.40191276,0.03772617,0.00000000,0.18642698,1.28123528,0.22965487,0.43897455
-5.93996998,2.30594253,0.03499051,0.00000000,0.18588351,1.24303657,0.20566324,0.42054685
-5.93396698,2.23064734,0.03224810,0.00000000,0.18749012,1.21811590,0.18440189,0.40694909
-5.92796398,2.17816985,0.02953551,0.00000000,0.19149806,1.20772449,0.16578340,0.39857652
-5.92196098,2.15034327,0.02688613,0.00000000,0.19813312,1.21293548,0.14969427,0.39576904
-5.91595798,2.14864861,0.02432949,0.00000000,0.20758875,1.23461803,0.13599944,0.39880588
-5.90995498,2.17417372,0.02189081,0.00000000,0.22001901,1.27341155,0.12454635,0.40789972
-5.90395198,2.22757542,0.01959070,0.00000000,0.23553163,1.32970055,0.11516849,0.42319064
-5.89794897,2.30904583,0.01744506,0.00000000,0.25418135,1.40359110,0.10768859,0.44473972
-5.89194597,2.41828418,0.01546511,0.00000000,0.27596375,1.49488962,0.10192142,0.47252274
-5.88594297,2.55447570,0.01365762,0.00000000,0.30080997,1.60308545,0.09767630,0.50642414
-5.87993997,2.71627899,0.01202512,0.00000000,0.32858255,1.72733798,0.09475945,0.54623159
-5.87393697,2.90182333,0.01056644,0.00000000,0.35907267,1.86646986,0.09297627,0.59163164
-5.86793397,3.10871719,0.00927707,0.00000000,0.39199914,2.01896719,0.09213345,0.64220667
-5.86193097,3.33406914,0.00814973,0.00000000,0.42700929,2.18298784,0.09204121,0.69743388
-5.85592796,3.57452188,0.00717492,0.00000000,0.46368208,2.35637862,0.09251545,0.75668627
-5.84992496,3.82629972,0.00634142,0.00000000,0.50153344,2.53670181,0.09337997,0.81923646
-5.84392196,4.08526951,0.00563683,0.00000000,0.54002395,2.72127126,0.09446859,0.88426316
-5.83791896,4.34701421,0.00504800,0.00000000,0.57856870,2.90719774,0.09562735,0.95086078
-5.83191596,4.60691813,0.00456152,0.00000000,0.61654931,3.09144299,0.09671638,1.01805219
-5.82591296,4.86026169,0.00416406,0.00000000,0.65332764,3.27088128,0.09761181,1.08480441
-5.81990995,5.10232371,0.00384264,0.00000000,0.68826095,3.44236691,0.09820722,1.15004719
-5.81390695,5.32848814,0.00358497,0.00000000,0.72071798,3.60280597,0.09841483,1.21269402
-5.80790395,5.53435209,0.00337956,0.00000000,0.75009540,3.74922986,0.09816634,1.27166513
-5.80190095,5.71583182,0.00321591,0.00000000,0.77583402,3.87886835,0.09741320,1.32591178
-5.79589795,5.86926285,0.00308458,0.00000000,0.79743421,3.98921957,0.09612647,1.37444108
-5.78989495,5.99149091,0.00297725,0.00000000,0.81446983,4.07811439,0.09429623,1.41634062
-5.78389195,6.07995028,0.00288672,0.00000000,0.82660021,4.14377272,0.09193038,1.45080194
-5.77788894,6.13272667,0.00280691,0.00000000,0.83357965,4.18484971,0.08905313,1.47714191
-5.77188594,6.14860224,0.00273277,0.00000000,0.83526401,4.20046983,0.08570304,1.49482137
-5.76588294,6.12708100,0.00266030,0.00000000,0.83161420,4.19024774,0.08193074,1.50346001
-5.75987994,6.06839366,0.00258637,0.00000000,0.82269641,4.15429482,0.07779642,1.50284704
-5.75387694,5.97348175,0.00250873,0.00000000,0.80867906,4.09321132,0.07336727,1.49294709
-5.74787394,5.84396164,0.00242587,0.00000000,0.78982664,4.00806437,0.06871478,1.47390096
-5.74187094,5.68206986,0.00233693,0.00000000,0.76649076,3.90035268,0.06391220,1.44602127
-5.73586793,5.49059196,0.00224160,0.00000000,0.73909869,3.77195946,0.05903210,1.40978297
-5.72986493,5.27277760,0.00214005,0.00000000,0.70814004,3.62509531,0.05414421,1.36580917
-5.72386193,5.03224509,0.00203282,0.00000000,0.67415200,3.46223333,0.04931356,1.31485276
-5.71785893,4.77287914,0.00192075,0.00000000,0.63770380,3.28603909,0.04459894,1.25777443
-5.71185593,4.49872529,0.00180488,0.00000000,0.59938093,3.09929774,0.04005172,1.19551817
-5.70585293,4.21388493,0.00168641,0.00000000,0.55976979,2.90484129,0.03571516,1.12908497
-5.69984992,3.92241447,0.00156659,0.00000000,0.51944326,2.70547822,0.03162394,1.05950577
-5.69384692,3.62823172,0.00144671,0.00000000,0.47894756,2.50392794,0.02780410,0.98781479
-5.68784392,3.33503237,0.00132802,0.00000000,0.43879095,2.30276204,0.02427337,0.91502402
-5.68184092,3.04621880,0.00121171,0.00000000,0.39943439,2.10435387,0.02104160,0.84209980
-5.67583792,2.76484267,0.00109886,0.00000000,0.36128441,1.91083767,0.01811149,0.76994228
-5.66983492,2.49356239,0.00099043,0.00000000,0.32468823,1.72407806,0.01547949,0.69936825
-5.66383192,2.23461567,0.00088723,0.00000000,0.28993113,1.54564991,0.01313671,0.63109774
-5.65782891,1.98980684,0.00078993,0.00000000,0.25723592,1.37682867,0.01106996,0.56574472
-5.65182591,1.76050809,0.00069906,0.00000000,0.22676431,1.21859038,0.00926269,0.50381174
-5.64582291,1.54767329,0.00061499,0.00000000,0.19861995,1.07162065,0.00769600,0.44568851
-5.63981991,1.35186267,0.00053797,0.00000000,0.17285290,0.93633125,0.00634947,0.39165406
-5.63381691,1.17327648,0.00046812,0.00000000,0.14946515,0.81288314,0.00520199,0.34188208
-5.62781391,1.01179545,0.00040549,0.00000000,0.12841680,0.70121429,0.00423238,0.29644886
-5.62181091,0.86702603,0.00035002,0.00000000,0.10963290,0.60107114,0.00341999,0.25534339
-5.61580790,0.73834836,0.00030164,0.00000000,0.09301020,0.51204185,0.00274511,0.21847885
-5.60980490,0.62496503,0.00026024,0.00000000,0.07842404,0.43359044,0.00218934,0.18570509
-5.60380190,0.52594905,0.00022573,0.00000000,0.06573481,0.36509035,0.00173576,0.15682136
-5.59779890,0.44028955,0.00019805,0.00000000,0.05479398,0.30585658,0.00136913,0.13158894
-5.59179590,0.36693419,0.00017722,0.00000000,0.04544957,0.25517561,0.00107592,0.10974318
-5.58579290,0.30482740,0.00016338,0.00000000,0.03755092,0.21233247,0.00084430,0.09100459
-5.57978989,0.25294394,0.00015678,0.00000000,0.03095274,0.17663465,0.00066412,0.07508887
-5.57378689,0.21031753,0.00015785,0.00000000,0.02551849,0.14743260,0.00052682,0.06171545
-5.56778389,0.17606441,0.00016721,0.00000000,0.02112298,0.12413672,0.00042529,0.05061477
-5.56178089,0.14940199,0.00018571,0.00000000,0.01765439,0.10623095,0.00035380,0.04153401
-5.55577789,0.12966278,0.00021445,0.00000000,0.01501560,0.09328307,0.00030782,0.03424154
-5.54977489,0.11630390,0.00025477,0.00000000,0.01312502,0.08495187,0.00028392,0.02852994
-5.54377189,0.10891246,0.00030831,0.00000000,0.01191688,0.08099137,0.00027965,0.02421795
-5.53776888,0.10720713,0.00037700,0.00000000,0.01134114,0.08125226,0.00029338,0.02115128
-5.53176588,0.11103608,0.00046304,0.00000000,0.01136297,0.08568072,0.00032422,0.01920252
-5.52576288,0.12037163,0.00056891,0.00000000,0.01196189,0.09431465,0.00037189,0.01827021
-5.51975988,0.13530161,0.00069735,0.00000000,0.01313060,0.10727747,0.00043664,0.01827735
-5.51375688,0.15601754,0.00085127,0.00000000,0.01487352,0.12476937,0.00051913,0.01916924
-5.50775388,0.18279977,0.00103376,0.00000000,0.01720512,0.14705606,0.00062034,0.02091087
-5.50175088,0.21599945,0.00124799,0.00000000,0.02014785,0.17445506,0.00074147,0.02348403
-5.49574787,0.25601756,0.00149708,0.00000000,0.02373000,0.20731944,0.00088386,0.02688393
-5.48974487,0.30328100,0.00178406,0.00000000,0.02798319,0.24601916,0.00104889,0.03111576
-5.48374187,0.35821600,0.00211169,0.00000000,0.03293976,0.29092015,0.00123786,0.03619091
-5.47773887,0.42121923,0.00248236,0.00000000,0.03862994,0.34236144,0.00145190,0.04212318
-5.47173587,0.49262723,0.00289792,0.00000000,0.04507893,0.40063072,0.00169189,0.04892485
-5.46573287,0.57268462,0.00335952,0.00000000,0.05230393,0.46593903,0.00195833,0.05660281
-5.45972986,0.66151244,0.00386748,0.00000000,0.06031121,0.53839512,0.00225126,0.06515483
-5.45372686,0.75907726,0.00442112,0.00000000,0.06909326,0.61798073,0.00257017,0.07456601
-5.44772386,0.86516271,0.00501866,0.00000000,0.07862632,0.70452742,0.00291392,0.08480562
-5.44172086,0.97934464,0.00565707,0.00000000,0.08886811,0.79769649,0.00328068,0.09582434
-5.43571786,1.10097133,0.00633204,0.00000000,0.09975618,0.89696283,0.00366789,0.10755211
-5.42971486,1.22915019,0.00703791,0.00000000,0.11120680,1.00160410,0.00407222,0.11989676
-5.42371186,1.36274232,0.00776769,0.00000000,0.12311460,1.11069614,0.00448963,0.13274333
-5.41770885,1.50036582,0.00851310,0.00000000,0.13535300,1.22311566,0.00491532,0.14595442
-5.41170585,1.64040877,0.00926474,0.00000000,0.14777551,1.33755061,0.00534388,0.15937141
-5.40570285,1.78105229,0.01001216,0.00000000,0.16021794,1.45251893,0.00576933,0.17281675
-5.39969985,1.92030345,0.01074415,0.00000000,0.17250143,1.56639524,0.00618528,0.18609713
-5.39369685,2.05603766,0.01144900,0.00000000,0.18443638,1.67744534,0.00658507,0.19900766
-5.38769385,2.18604935,0.01211474,0.00000000,0.19582703,1.78386749,0.00696191,0.21133671
-5.38169085,2.30810940,0.01272953,0.00000000,0.20647659,1.88383928,0.00730911,0.22287149
-5.37568784,2.42002734,0.01328200,0.00000000,0.21619282,1.97556840,0.00762028,0.23340396
-5.36968484,2.51971587,0.01376156,0.00000000,0.22479371,2.05734538,0.00788948,0.24273700
-5.36368184,2.60525513,0.01415878,0.00000000,0.23211312,2.12759621,0.00811142,0.25069046
-5.35767884,2.67495393,0.01446566,0.00000000,0.23800607,2.18493249,0.00828169,0.25710694
-5.35167584,2.72740521,0.01467593,0.00000000,0.24235356,2.22819696,0.00839682,0.26185691
-5.34567284,2.76153319,0.01478524,0.00000000,0.24506650,2.25650228,0.00845446,0.26484308
-5.33966983,2.77663000,0.01479133,0.00000000,0.24608875,2.26926126,0.00845342,0.26600367
-5.33366683,2.77238013,0.01469408,0.00000000,0.24539909,2.26620709,0.00839375,0.26531456
-5.32766383,2.74887132,0.01449555,0.00000000,0.24301191,2.24740261,0.00827670,0.26279010
-5.32166083,2.70659156,0.01419987,0.00000000,0.23897673,2.21323815,0.00810471,0.25848263
-5.31565783,2.64641227,0.01381313,0.00000000,0.23337648,2.16441811,0.00788128,0.25248067
-5.30965483,2.56955845,0.01334314,0.00000000,0.22632468,2.10193674,0.00761091,0.24490586
-5.30365183,2.47756722,0.01279919,0.00000000,0.21796161,2.02704458,0.00729890,0.23590893
-5.29764882,2.37223676,0.01219175,0.00000000,0.20844968,1.94120681,0.00695120,0.22566467
-5.29164582,2.25556801,0.01153212,0.00000000,0.19796818,1.84605573,0.00657422,0.21436631
-5.28564282,2.12970168,0.01083209,0.00000000,0.18670773,1.74333933,0.00617465,0.20221951
-5.27963982,1.99685346,0.01010359,0.00000000,0.17486452,1.63486829,0.00575923,0.18943613
-5.27363682,1.85925002,0.00935835,0.00000000,0.16263476,1.52246359,0.00533459,0.17622827
-5.26763382,1.71906846,0.00860765,0.00000000,0.15020935,1.40790693,0.00490708,0.16280248
