energy_ev,total_up,N_s_up,N_p_up,Ni_p_up,Ni_d_up,Rh_p_up,Rh_d_up,Te_p_up,Te_d_up
-6.00000000,2.04900378,0.00549940,0.32351262,0.55708924,0.44114363,1.23822987,0.61513099,0.75783422,0.00000000
-5.99399700,2.09282262,0.00555583,0.33099029,0.56614988,0.45885217,1.25859654,0.62775446,0.77088893,0.00000000
-5.98799400,2.14105319,0.00560880,0.33908373,0.57571447,0.47838424,1.27937100,0.64231881,0.78510216,0.00000000
-5.98199100,2.19350736,0.00565680,0.34783375,0.58562365,0.49963684,1.30046283,0.65883108,0.80024152,0.00000000
-5.97598799,2.24997719,0.00569867,0.35728260,0.59571947,0.52249426,1.32178506,0.67728768,0.81606782,0.00000000
-5.96998499,2.31024475,0.00573355,0.36747318,0.60585385,0.54682905,1.34325816,0.69767662,0.83234538,0.00000000
-5.96398199,2.37408924,0.00576091,0.37844761,0.61589635,0.57250234,1.36481358,0.71997856,0.84885150,0.00000000
-5.95797899,2.44129068,0.00578050,0.39024512,0.62574097,0.59936356,1.38639637,0.74416638,0.86538466,0.00000000
-5.95197599,2.51162959,0.00579235,0.40289931,0.63531131,0.62724955,1.40796651,0.77020342,0.88177073,0.00000000
-5.94597299,2.58488278,0.00579669,0.41643485,0.64456406,0.65598322,1.42949885,0.79804013,0.89786712,0.00000000
-5.93996998,2.66081540,0.00579399,0.43086375,0.65349030,0.68537189,1.45098127,0.82760964,0.91356451,0.00000000
-5.93396698,2.73916980,0.00578484,0.44618147,0.66211483,0.71520557,1.47241127,0.85882240,0.92878623,0.00000000
-5.92796398,2.81965226,0.00576991,0.46236298,0.67049326,0.74525547,1.49379109,0.89156033,0.94348533,0.00000000
-5.92196098,2.90191862,0.00574993,0.47935914,0.67870735,0.77527313,1.51512159,0.92567106,0.95763974,0.00000000
-5.91595798,2.98556020,0.00572562,0.49709361,0.68685855,0.80499026,1.53639538,0.96096269,0.97124592,0.00000000
-5.90995498,3.07009144,0.00569759,0.51546052,0.69506040,0.83411974,1.55758972,0.99719974,0.98431140,0.00000000
-5.90395198,3.15494049,0.00566637,0.53432328,0.70343011,0.86235800,1.57865973,1.03410065,0.99684698,0.00000000
-5.89794897,3.23944410,0.00563231,0.55351445,0.71207983,0.88938871,1.59953245,1.07133732,1.00885903,0.00000000
-5.89194597,3.32284772,0.00559558,0.57283713,0.72110822,0.91488807,1.62010237,1.10853705,1.02034263,0.00000000
-5.88594297,3.40431133,0.00555611,0.59206765,0.73059261,0.93853138,1.64022884,1.14528688,1.03127583,0.00000000
-5.87993997,3.48292143,0.00551365,0.61095967,0.74058248,0.96000093,1.65973568,1.18114053,1.04161573,0.00000000
-5.87393697,3.55770891,0.00546774,0.62924966,0.75109431,0.97899467,1.67841317,1.21562763,1.05129642,0.00000000
-5.86793397,3.62767224,0.00541772,0.64666339,0.76210834,0.99523549,1.69602246,1.24826504,1.06022905,0.00000000
-5.86193097,3.69180499,0.00536283,0.66292337,0.77356720,1.00848058,1.71230223,1.27856972,1.06830395,0.00000000
-5.85592796,3.74912655,0.00530217,0.67775691,0.78537650,1.01853029,1.72697727,1.30607275,1.07539470,0.00000000
-5.84992496,3.79871424,0.00523483,0.69090437,0.79740736,1.02523617,1.73976846,1.33033361,1.08136377,0.00000000
-5.84392196,3.83973556,0.00515992,0.70212734,0.80950058,1.02850755,1.75040371,1.35095437,1.08606941,0.00000000
-5.83791896,3.87147849,0.00507660,0.71121639,0.82147228,1.02831646,1.75862919,1.36759278,1.08937323,0.00000000
-5.83191596,3.89337858,0.00498420,0.71799802,0.83312060,1.02470029,1.76422008,1.37997395,1.09114806,0.00000000
-5.82591296,3.90504120,0.00488221,0.72234047,0.84423311,1.01776229,1.76699038,1.38789981,1.09128538,0.00000000
