energy_ev,total_up,C_s_up,C_p_up,Hf_p_up,Hf_d_up,Mn_p_up,Mn_d_up,S_s_up,S_p_up
-6.00000000,4.10961748,0.03752688,0.26900761,1.25207120,0.36459658,0.93218169,0.52499443,0.03535830,2.15166080
-5.99399700,3.97953648,0.03575184,0.26353591,1.20460637,0.35662194,0.91290311,0.50158532,0.03415633,2.08047745
-5.98799400,3.85069661,0.03393461,0.25785977,1.15612110,0.34860720,0.89516413,0.47797237,0.03308639,2.01070287
-5.98199100,3.72513649,0.03210870,0.25203278,1.10728780,0.34065614,0.87918035,0.45456166,0.03220155,1.94352299
-5.97598799,3.60478640,0.03030660,0.24610882,1.05875418,0.33287151,0.86510301,0.43175409,0.03155426,1.88005268
-5.96998499,3.49144480,0.02855928,0.24014145,1.01113430,0.32535408,0.85301995,0.40993957,0.03119541,1.82132242
-5.96398199,3.38676105,0.02689584,0.23418353,0.96500147,0.31820179,0.84295957,0.38949155,0.03117343,1.76826888
-5.95797899,3.29222374,0.02534311,0.22828686,0.92088275,0.31150916,0.83489762,0.37076224,0.03153339,1.72172877
-5.95197599,3.20915354,0.02392547,0.22250193,0.87925476,0.30536678,0.82876607,0.35407809,0.03231602,1.68243554
-5.94597299,3.13869905,0.02266464,0.21687764,0.84054073,0.29986071,0.82446352,0.33973566,0.03355683,1.65101776
-5.93996998,3.08183450,0.02157963,0.21146105,0.80510818,0.29507198,0.82186622,0.32799787,0.03528523,1.62799867
-5.93396698,3.03935762,0.02068666,0.20629703,0.77326718,0.29107574,0.82083899,0.31909035,0.03752358,1.61379574
-5.92796398,3.01188689,0.01999917,0.20142788,0.74526878,0.28794034,0.82124506,0.31319814,0.04028645,1.60871976
-5.92196098,2.99985696,0.01952789,0.19689274,0.72130352,0.28572607,0.82295431,0.31046259,0.04357981,1.61297276
-5.91595798,3.00351225,0.01928090,0.19272698,0.70149993,0.28448364,0.82584919,0.31097862,0.04740049,1.62664462
-5.90995498,3.02289844,0.01926373,0.18896144,0.68592296,0.28425247,0.82982795,0.31479244,0.05173564,1.64970836
-5.90395198,3.05785274,0.01947954,0.18562167,0.67457254,0.28505874,0.83480507,0.32189981,0.05656255,1.68201441
-5.89794897,3.10799361,0.01992924,0.18272708,0.66738247,0.28691339,0.84070893,0.33224512,0.06184862,1.72328442
-5.89194597,3.17271153,0.02061172,0.18029016,0.66421981,0.28981022,0.84747684,0.34572133,0.06755164,1.77310546
-5.88594297,3.25116215,0.02152407,0.17831585,0.66488511,0.29372413,0.85504821,0.36217105,0.07362038,1.83092554
-5.87993997,3.34226358,0.02266178,0.17680099,0.66911393,0.29860975,0.86335619,0.38138876,0.07999548,1.89605142
-5.87393697,3.44469937,0.02401904,0.17573410,0.67657960,0.30440054,0.87231877,0.40312436,0.08661066,1.96764976
-5.86793397,3.55692836,0.02558900,0.17509540,0.68689785,0.31100858,0.88183012,0.42708798,0.09339425,2.04475234
-5.86193097,3.67720252,0.02736398,0.17485707,0.69963311,0.31832502,0.89175283,0.45295604,0.10027088,2.12626613
-5.85592796,3.80359305,0.02933578,0.17498393,0.71430666,0.32622144,0.90191208,0.48037835,0.10716343,2.21098845
-5.84992496,3.93402465,0.03149585,0.17543435,0.73040660,0.33455189,0.91209216,0.50898613,0.11399502,2.29762712
-5.84392196,4.06631726,0.03383547,0.17616148,0.74739929,0.34315583,0.92203584,0.53840061,0.12069107,2.38482548
-5.83791896,4.19823377,0.03634580,0.17711465,0.76474196,0.35186172,0.93144693,0.56824180,0.12718121,2.47119118
-5.83191596,4.32753204,0.03901795,0.17824091,0.78189612,0.36049112,0.93999592,0.59813715,0.13340104,2.55532800
-5.82591296,4.45201870,0.04184288,0.17948661,0.79834116,0.36886329,0.94732859,0.62772967,0.13929358,2.63586911
-5.81990995,4.56960242,0.04481119,0.18079900,0.81358759,0.37679984,0.95307711,0.65668507,0.14481042,2.71151030
-5.81390695,4.67834384,0.04791288,0.18212758,0.82718937,0.38412946,0.95687309,0.68469764,0.14991237,2.78104167
-5.80790395,4.77649983,0.05113693,0.18342530,0.83875464,0.39069235,0.95836171,0.71149457,0.15456973,2.84337610
-5.80190095,4.86255973,0.05447090,0.18464946,0.84795453,0.39634414,0.95721628,0.73683853,0.15876203,2.89757314
-5.79589795,4.93527184,0.05790041,0.18576224,0.85452950,0.40095926,0.95315211,0.76052838,0.16247742,2.94285716
-5.78989495,4.99365919,0.06140856,0.18673093,0.85829294,0.40443349,0.94593916,0.78239815,0.16571157,2.97862896
-5.78389195,5.03702382,0.06497549,0.18752772,0.85913205,0.40668559,0.93541256,0.80231434,0.16846631,3.00447040
-5.77788894,5.06494015,0.06857789,0.18812923,0.85700578,0.40765813,0.92148032,0.82017184,0.17074809,3.02014213
-5.77188594,5.07723816,0.07218862,0.18851579,0.85194029,0.40731735,0.90412812,0.83588884,0.17256621,3.02557479
-5.76588294,5.07397808,0.07577650,0.18867048,0.84402200,0.40565224,0.88342054,0.84940119,0.17393124,3.02085460
-5.75987994,5.05541865,0.07930631,0.18857812,0.83338890,0.40267288,0.85949916,0.86065661,0.17485338,3.00620441
-5.75387694,5.02198132,0.08273890,0.18822428,0.82022052,0.39840832,0.83257729,0.86960921,0.17534123,2.98196174
-5.74787394,4.97421299,0.08603163,0.18759436,0.80472719,0.39290392,0.80293203,0.87621491,0.17540073,2.94855513
-5.74187094,4.91274990,0.08913898,0.18667291,0.78713929,0.38621867,0.77089400,0.88042803,0.17503463,2.90648059
-5.73586793,4.83828479,0.09201348,0.18544320,0.76769693,0.37842233,0.73683534,0.88219928,0.17424226,2.85627937
-5.72986493,4.75153937,0.09460674,0.18388711,0.74664066,0.36959280,0.70115679,0.88147558,0.17301980,2.79851832
-5.72386193,4.65324356,0.09687077,0.18198540,0.72420366,0.35981375,0.66427442,0.87820145,0.17136098,2.73377398
-5.71785893,4.54412210,0.09875935,0.17971832,0.70060571,0.34917253,0.62660667,0.87232220,0.16925803,2.66262079
-5.71185593,4.42488892,0.10022957,0.17706646,0.67604903,0.33775863,0.58856244,0.86378844,0.16670304,2.58562378
-5.70585293,4.29624869,0.10124324,0.17401199,0.65071617,0.32566252,0.55053043,0.85256185,0.16368936,2.50333574
-5.69984992,4.15890468,0.10176840,0.17053994,0.62476973,0.31297490,0.51287047,0.83862160,0.16021318,2.41629828
-5.69384692,4.01357148,0.10178057,0.16663968,0.59835389,0.29978640,0.47590670,0.82197112,0.15627505,2.32504629
