energy_ev,total_up,N_s_up,N_p_up,Se_s_up,Se_p_up,V_p_up,V_d_up
-6.00000000,5.64643397,0.01419514,0.86613642,0.08643088,2.71888154,3.42985689,1.61984128
-5.99399700,5.54771131,0.01344418,0.83756427,0.08441831,2.68711408,3.36355222,1.59747891
-5.98799400,5.46097850,0.01271244,0.81232932,0.08263170,2.65960410,3.30574469,1.57887524
-5.98199100,5.38696311,0.01200745,0.79069303,0.08110882,2.63655030,3.25687096,1.56432224
-5.97598799,5.32603871,0.01133605,0.77285459,0.07988240,2.61798320,3.21714557,1.55399140
-5.96998499,5.27824027,0.01070434,0.75895104,0.07897975,2.60377498,3.18656906,1.54793648
-5.96398199,5.24329271,0.01011761,0.74905962,0.07842256,2.59365555,3.16494413,1.54610092
-5.95797899,5.22065043,0.00958037,0.74320219,0.07822676,2.58723370,3.15189873,1.54832948
-5.95197599,5.20954537,0.00909634,0.74135135,0.07840256,2.58402220,3.14691480,1.55438321
-5.94597299,5.20904077,0.00866846,0.74343779,0.07895447,2.58346552,3.14936095,1.56395705
-5.93996998,5.21808767,0.00829890,0.74935840,0.07988153,2.58496859,3.15852754,1.57669905
-5.93396698,5.23558121,0.00798913,0.75898474,0.08117740,2.58792526,3.17366207,1.59223017
-5.92796398,5.26041400,0.00773992,0.77217137,0.08283058,2.59174517,3.19400345,1.61016386
-5.92196098,5.29152404,0.00755138,0.78876348,0.08482464,2.59587779,3.21881319,1.63012427
-5.91595798,5.32793504,0.00742304,0.80860369,0.08713837,2.59983256,3.24740224,1.65176248
-5.90995498,5.36878762,0.00735381,0.83153730,0.08974599,2.60319455,3.27915227,1.67476985
-5.90395198,5.41336022,0.00734209,0.85741615,0.09261740,2.60563503,3.31353050,1.69888806
-5.89794897,5.46107922,0.00738577,0.88610055,0.09571830,2.60691672,3.35009749,1.72391532
-5.89194597,5.51151825,0.00748227,0.91745943,0.09901052,2.60689396,3.38850803,1.74970869
-5.88594297,5.56438739,0.00762859,0.95136864,0.10245221,2.60550785,3.42850504,1.77618238
-5.87993997,5.61951317,0.00782132,0.98770752,0.10599821,2.60277713,3.46990738,1.80330232
-5.87393697,5.67681108,0.00805672,1.02635404,0.10960040,2.59878550,3.51259236,1.83107724
-5.86793397,5.73625222,0.00833072,1.06717871,0.11320819,2.59366606,3.55647429,1.85954702
-5.86193097,5.79782646,0.00863897,1.11003783,0.11676905,2.58758416,3.60148036,1.88876878
-5.85592796,5.86150428,0.00897688,1.15476634,0.12022917,2.58071934,3.64752568,1.91880174
-5.84992496,5.92719955,0.00933967,1.20117112,0.12353415,2.57324764,3.69448896,1.94969157
-5.84392196,5.99473579,0.00972239,1.24902493,0.12662986,2.56532498,3.74219050,1.98145528
-5.83791896,6.06381781,0.01012001,1.29806192,0.12946332,2.55707254,3.79037417,2.01406764
-5.83191596,6.13401071,0.01052738,1.34797501,0.13198364,2.54856490,3.83869463,2.04744984
-5.82591296,6.20472788,0.01093935,1.39841571,0.13414300,2.53982138,3.88671093,2.08146138
-5.81990995,6.27522898,0.01135080,1.44899680,0.13589763,2.53080093,3.93388735,2.11589572
-5.81390695,6.34462867,0.01175667,1.49929813,0.13720882,2.52140089,3.97960190,2.15048029
-5.80790395,6.41191622,0.01215203,1.54887554,0.13804375,2.51145948,4.02316245,2.18488101
-5.80190095,6.47598562,0.01253214,1.59727306,0.13837640,2.50076195,4.06383024,2.21871147
-5.79589795,6.53567527,0.01289250,1.64403788,0.13818814,2.48905002,4.10084988,2.25154649
-5.78989495,6.58981580,0.01322894,1.68873781,0.13746840,2.47603432,4.13348465,2.28293960
-5.78389195,6.63728410,0.01353768,1.73098047,0.13621494,2.46140899,4.16105561,2.31244385
-5.77788894,6.67706126,0.01381541,1.77043345,0.13443412,2.44486820,4.18298266,2.33963486
-5.77188594,6.70829172,0.01405935,1.80684429,0.13214082,2.42612354,4.19882539,2.36413507
-5.76588294,6.73034079,0.01426739,1.84005942,0.12935827,2.40492180,4.20832177,2.38563805
-5.75987994,6.74284751,0.01443810,1.87004065,0.12611761,2.38106232,4.21142216,2.40393141
-5.75387694,6.74576993,0.01457087,1.89687825,0.12245730,2.35441318,4.20831684,2.41891694
-5.74787394,6.73942002,0.01466594,1.92079948,0.11842229,2.32492555,4.19945487,2.43062698
-5.74187094,6.72448582,0.01472448,1.94217160,0.11406314,2.29264560,4.18555286,2.43923549
-5.73586793,6.70203866,0.01474860,1.96149878,0.10943495,2.25772331,4.16759232,2.44506322
-5.72986493,6.67352433,0.01474145,1.97941232,0.10459623,2.22041782,4.14680494,2.44857608
-5.72386193,6.64073713,0.01470712,1.99665423,0.09960768,2.18109879,4.12464559,2.45037645
-5.71785893,6.60577713,0.01465068,2.01405423,0.09453100,2.14024373,4.10275346,2.45118743
-5.71185593,6.57099133,0.01457809,2.03250090,0.08942771,2.09843094,4.08290234,2.45183028
-5.70585293,6.53890039,0.01449610,2.05290792,0.08435790,2.05632827,4.06694158,2.45319590
-5.69984992,6.51211337,0.01441214,2.07617654,0.07937927,2.01467790,4.05672985,2.45621130
-5.69384692,6.49323352,0.01433413,2.10315600,0.07454599,1.97427734,4.05406419,2.46180246
-5.68784392,6.48475879,0.01427027,2.13460348,0.06990793,1.93595731,4.06060712,2.47085519
-5.68184092,6.48898112,0.01422883,2.17114545,0.06550983,1.90055714,4.07781495,2.48417562
-5.67583792,6.50788865,0.01421791,2.21324233,0.06139069,1.86889840,4.10687024,2.50245229
-5.66983492,6.54307520,0.01424511,2.26115816,0.05758328,1.84175771,4.14862155,2.52622139
-5.66383192,6.59566103,0.01431731,2.31493686,0.05411378,1.81983974,4.20353303,2.55583700
-5.65782891,6.66622853,0.01444037,2.37438639,0.05100160,1.80375124,4.27164643,2.59144768
-5.65182591,6.75477585,0.01461884,2.43907178,0.04825929,1.79397733,4.35255735,2.63298048
-5.64582291,6.86069089,0.01485576,2.50831758,0.04589258,1.79086082,4.44540699,2.68013332
-5.63981991,6.98274702,0.01515242,2.58121987,0.04390058,1.79458548,4.54889025,2.73237612
-5.63381691,7.11912114,0.01550822,2.65666744,0.04227608,1.80516406,4.66128004,2.78896063
-5.62781391,7.26743365,0.01592055,2.73337154,0.04100589,1.82243154,4.78046730,2.84893869
-5.62181091,7.42480905,0.01638476,2.80990291,0.04007140,1.84604414,4.90401538,2.91118811
-5.61580790,7.58795493,0.01689416,2.88473478,0.03944911,1.87548411,5.02922690,2.97444521
-5.60980490,7.75325647,0.01744013,2.95629004,0.03911127,1.91007037,5.15322089,3.03734255
-5.60380190,7.91688309,0.01801231,3.02299080,0.03902661,1.94897477,5.27301734,3.09845056
-5.59779890,8.07490297,0.01859879,3.08330830,0.03916106,1.99124337,5.38562636,3.15632120
-5.59179590,8.22340166,0.01918644,3.13581146,0.03947860,2.03582217,5.48813862,3.20953217
-5.58579290,8.35860018,0.01976126,3.17921194,0.03994200,2.08158639,5.57781418,3.25673004
-5.57978989,8.47696865,0.02030878,3.21240450,0.04051369,2.12737226,5.65216648,3.29667064
-5.57378689,8.57533143,0.02081444,3.23450092,0.04115652,2.17201035,5.70903877,3.32825554
-5.56778389,8.65096037,0.02126411,3.24485662,0.04183459,2.21435907,5.74667049,3.35056334
-5.56178089,8.70165306,0.02164446,3.24308917,0.04251392,2.25333733,5.76375146,3.36287494
-5.55577789,8.72579395,0.02194339,3.22908830,0.04316316,2.28795514,5.75946215,3.36469205
-5.54977489,8.72239639,0.02215045,3.20301728,0.04375417,2.31734101,5.73349904,3.35574866
-5.54377189,8.69112482,0.02225712,3.16530597,0.04426247,2.34076535,5.68608424,3.33601531
-5.53776888,8.63229682,0.02225714,3.11663607,0.04466767,2.35765890,5.61795947,3.30569616
-5.53176588,8.54686542,0.02214665,3.05791934,0.04495373,2.36762583,5.53036463,3.26521945
-5.52576288,8.43638292,0.02192436,2.99026976,0.04510907,2.37045086,5.42500210,3.21522174
-5.51975988,8.30294784,0.02159153,2.91497085,0.04512662,2.36610056,5.30398794,3.15652668
