energy_ev,total_up,Ga_p_up,Ga_d_up,Ru_p_up,Ru_d_up,Se_s_up,Se_p_up
-6.00000000,1.46212650,0.00964503,0.00000000,1.09881308,0.52570996,0.00073889,0.53229041
-5.99399700,1.49294404,0.01111180,0.00000000,1.15164692,0.53077884,0.00084347,0.54562715
-5.98799400,1.53517236,0.01275866,0.00000000,1.21664495,0.53914636,0.00096134,0.56288534
-5.98199100,1.58892055,0.01458601,0.00000000,1.29374783,0.55090267,0.00109192,0.58414642
-5.97598799,1.65407580,0.01659113,0.00000000,1.38266018,0.56607476,0.00123441,0.60941546
-5.96998499,1.73027501,0.01876766,0.00000000,1.48282736,0.58461602,0.00138780,0.63861004
-5.96398199,1.81688337,0.02110524,0.00000000,1.59341886,0.60639801,0.00155082,0.67155154
-5.95797899,1.91298128,0.02358923,0.00000000,1.71331952,0.63120473,0.00172190,0.70795927
-5.95197599,2.01736109,0.02620054,0.00000000,1.84113009,0.65872996,0.00189920,0.74744798
-5.94597299,2.12853440,0.02891560,0.00000000,1.97517774,0.68857791,0.00208061,0.78952895
-5.93996998,2.24475057,0.03170654,0.00000000,2.11353726,0.72026747,0.00226375,0.83361512
-5.93396698,2.36402626,0.03454148,0.00000000,2.25406280,0.75323989,0.00244603,0.87903000
-5.92796398,2.48418558,0.03738503,0.00000000,2.39442994,0.78686989,0.00262468,0.92502049
-5.92196098,2.60290972,0.04019898,0.00000000,2.53218693,0.82047989,0.00279686,0.97077313
-5.91595798,2.71779454,0.04294311,0.00000000,2.66481375,0.85335678,0.00295964,1.01543340
-5.90995498,2.82641421,0.04557614,0.00000000,2.78978713,0.88477083,0.00311017,1.05812749
-5.90395198,2.92638844,0.04805682,0.00000000,2.90464911,0.91399581,0.00324571,1.09798560
-5.89794897,3.01545077,0.05034507,0.00000000,3.00707672,0.94032987,0.00336376,1.13416614
-5.89194597,3.09151535,0.05240317,0.00000000,3.09494997,0.96311599,0.00346208,1.16587987
-5.88594297,3.15273935,0.05419691,0.00000000,3.16641547,0.98176151,0.00353880,1.19241297
-5.87993997,3.19757860,0.05569670,0.00000000,3.21994299,0.99575586,0.00359251,1.21314827
-5.87393697,3.22483427,0.05687860,0.00000000,3.25437275,1.00468573,0.00362224,1.22758375
-5.86793397,3.23368852,0.05772516,0.00000000,3.26895130,1.00824724,0.00362757,1.23534769
-5.86193097,3.22372800,0.05822615,0.00000000,3.26335478,1.00625450,0.00360862,1.23620978
-5.85592796,3.19495430,0.05837897,0.00000000,3.23769831,0.99864451,0.00356603,1.23008789
-5.84992496,3.14778104,0.05818898,0.00000000,3.19253163,0.98547795,0.00350099,1.21705028
-5.84392196,3.08301798,0.05766942,0.00000000,3.12882101,0.96693626,0.00341516,1.19731312
-5.83791896,3.00184317,0.05684124,0.00000000,3.04791846,0.94331486,0.00331067,1.17123360
-5.83191596,2.90576424,0.05573256,0.00000000,2.95151976,0.91501321,0.00319002,1.13929893
-5.82591296,2.79657089,0.05437802,0.00000000,2.84161303,0.88252184,0.00305604,1.10211159
-5.81990995,2.67628044,0.05281780,0.00000000,2.72042024,0.84640718,0.00291180,1.06037160
-5.81390695,2.54707875,0.05109663,0.00000000,2.59033383,0.80729468,0.00276053,1.01485649
-5.80790395,2.41125896,0.04926252,0.00000000,2.45385114,0.76585092,0.00260554,0.96639951
-5.80190095,2.27116002,0.04736548,0.00000000,2.31350893,0.72276542,0.00245016,0.91586724
-5.79589795,2.12910749,0.04545616,0.00000000,2.17182030,0.67873271,0.00229764,0.86413697
-5.78989495,1.98735822,0.04358447,0.00000000,2.03121597,0.63443529,0.00215113,0.81207494
-5.78389195,1.84805054,0.04179831,0.00000000,1.89399161,0.59052797,0.00201357,0.76051574
-5.77788894,1.71316134,0.04014224,0.00000000,1.76226245,0.54762407,0.00188771,0.71024382
-5.77188594,1.58447065,0.03865634,0.00000000,1.63792608,0.50628367,0.00177600,0.66197725
-5.76588294,1.46353437,0.03737522,0.00000000,1.52263388,0.46700423,0.00168064,0.61635420
-5.75987994,1.35166516,0.03632719,0.00000000,1.41777101,0.43021356,0.00160354,0.57392245
-5.75387694,1.24992130,0.03553352,0.00000000,1.32444497,0.39626528,0.00154627,0.53513190
-5.74787394,1.15910305,0.03500805,0.00000000,1.24348183,0.36543654,0.00151014,0.50033006
-5.74187094,1.07975564,0.03475693,0.00000000,1.17542952,0.33792791,0.00149614,0.46976060
-5.73586793,1.01217824,0.03477857,0.00000000,1.12056718,0.31386514,0.00150495,0.44356456
-5.72986493,0.95643765,0.03506385,0.00000000,1.07891947,0.29330263,0.00153698,0.42178401
-5.72386193,0.91238581,0.03559649,0.00000000,1.05027470,0.27622812,0.00159237,0.40436791
-5.71785893,0.87968012,0.03635365,0.00000000,1.03420582,0.26256851,0.00167095,0.39117975
-5.71185593,0.85780541,0.03730667,0.00000000,1.03009318,0.25219630,0.00177229,0.38200655
