energy_ev,total_up,C_s_up,C_p_up,Te_p_up,Te_d_up,Ti_p_up,Ti_d_up,W_p_up,W_d_up
-6.00000000,2.21362745,0.02202364,0.32139328,1.05338912,0.00000000,0.65022784,0.23340108,1.59967948,0.57487424
-5.99399700,2.30447167,0.02368508,0.33022421,1.09619055,0.00000000,0.67670600,0.24604956,1.63611140,0.59969310
-5.98799400,2.38841991,0.02535024,0.33759532,1.13566577,0.00000000,0.70082356,0.25846070,1.66493170,0.62285247
-5.98199100,2.46476754,0.02700093,0.34344979,1.17150303,0.00000000,0.72233970,0.27054930,1.68595225,0.64416056
-5.97598799,2.53293866,0.02861747,0.34776220,1.20345918,0.00000000,0.74106240,0.28223006,1.69913373,0.66345644
-5.96998499,2.59250059,0.03017904,0.35053979,1.23136638,0.00000000,0.75685446,0.29341874,1.70458643,0.68061411
-5.96398199,2.64317503,0.03166408,0.35182277,1.25513690,0.00000000,0.76963798,0.30403361,1.70256695,0.69554559
-5.95797899,2.68484536,0.03305076,0.35168373,1.27476565,0.00000000,0.77939706,0.31399702,1.69347098,0.70820318
-5.95197599,2.71755978,0.03431750,0.35022594,1.29033023,0.00000000,0.78617852,0.32323710,1.67782229,0.71858061
-5.94597299,2.74152979,0.03544360,0.34758079,1.30198849,0.00000000,0.79009055,0.33168956,1.65625833,0.72671308
-5.93996998,2.75712386,0.03640976,0.34390418,1.30997338,0.00000000,0.79129909,0.33929943,1.62951281,0.73267593
-5.93396698,2.76485615,0.03719877,0.33937214,1.31458510,0.00000000,0.79002229,0.34602267,1.59839579,0.73658217
-5.92796398,2.76537037,0.03779602,0.33417566,1.31618085,0.00000000,0.78652278,0.35182750,1.56377176,0.73857855
-5.92196098,2.75941894,0.03819003,0.32851494,1.31516222,0.00000000,0.78109840,0.35669543,1.52653640,0.73884054
-5.91595798,2.74783809,0.03837296,0.32259320,1.31196068,0.00000000,0.77407136,0.36062173,1.48759251,0.73756601
-5.90995498,2.73151930,0.03834088,0.31661029,1.30702157,0.00000000,0.76577652,0.36361546,1.44782594,0.73496813
-5.90395198,2.71137837,0.03809409,0.31075626,1.30078729,0.00000000,0.75654906,0.36569877,1.40808201,0.73126735
-5.89794897,2.68832281,0.03763720,0.30520518,1.29368011,0.00000000,0.74671219,0.36690574,1.36914337,0.72668303
-5.89194597,2.66321918,0.03697912,0.30010939,1.28608561,0.00000000,0.73656538,0.36728057,1.33170966,0.72142496
-5.88594297,2.63686155,0.03613292,0.29559454,1.27833725,0.00000000,0.72637369,0.36687530,1.29637996,0.71568507
-5.87993997,2.60994262,0.03511557,0.29175535,1.27070304,0.00000000,0.71635873,0.36574714,1.26363836,0.70962987
-5.87393697,2.58302900,0.03394751,0.28865269,1.26337488,0.00000000,0.70669161,0.36395563,1.23384343,0.70339385
-5.86793397,2.55654179,0.03265221,0.28631174,1.25646120,0.00000000,0.69748837,0.36155971,1.20722188,0.69707429
-5.86193097,2.53074382,0.03125561,0.28472159,1.24998351,0.00000000,0.68880801,0.35861495,1.18386678,0.69072780
