energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Ir_p_up,Ir_d_up,S_s_up,S_p_up
-6.00000000,5.49942605,0.01123064,0.53453943,1.32817871,1.56347725,1.40755835,1.57762284,0.01740529,1.80999865
-5.99399700,5.43856978,0.01151478,0.52177630,1.32305195,1.55134064,1.39521916,1.55029393,0.01702982,1.80286864
-5.98799400,5.36325575,0.01176094,0.50729209,1.31344208,1.53483986,1.37784139,1.52016006,0.01658495,1.79040603
-5.98199100,5.27378519,0.01196095,0.49123369,1.29923166,1.51408373,1.35540823,1.48736459,0.01607432,1.77256786
-5.97598799,5.17061978,0.01210759,0.47376981,1.28038043,1.48922881,1.32797985,1.45206410,0.01550305,1.74937489
-5.96998499,5.05439185,0.01219482,0.45508998,1.25693411,1.46047861,1.29570020,1.41443276,0.01487761,1.72091676
-5.96398199,4.92591099,0.01221793,0.43540298,1.22903034,1.42808185,1.25880112,1.37466657,0.01420562,1.68735562
-5.95797899,4.78616630,0.01217370,0.41493476,1.19690152,1.39233011,1.21760330,1.33298732,0.01349566,1.64892804
-5.95197599,4.63632372,0.01206047,0.39392585,1.16087410,1.35355467,1.17251395,1.28964595,0.01275704,1.60594493
-5.94597299,4.47771825,0.01187822,0.37262821,1.12136436,1.31212259,1.12402123,1.24492502,0.01199955,1.55878941
-5.93996998,4.31184082,0.01162849,0.35130170,1.07887071,1.26843223,1.07268544,1.19914003,0.01123323,1.50791240
-5.93396698,4.14032004,0.01131438,0.33021019,1.03396284,1.22290795,1.01912754,1.15263955,0.01046812,1.45382624
-5.92796398,3.96489918,0.01094038,0.30961744,0.98726802,1.17599442,0.96401524,1.10580389,0.00971407,1.39709619
-5.92196098,3.78740889,0.01051226,0.28978291,0.93945515,1.12815031,0.90804748,1.05904235,0.00898051,1.33833033
-5.91595798,3.60973653,0.01003684,0.27095752,0.89121724,1.07984159,0.85193781,1.01278900,0.00827630,1.27816790
-5.90995498,3.43379290,0.00952176,0.25337964,0.84325290,1.03153451,0.79639746,0.96749720,0.00760959,1.21726663
