energy_ev,total_up,Hg_p_up,Hg_d_up,N_s_up,N_p_up,Ni_p_up,Ni_d_up,S_s_up,S_p_up
-6.00000000,1.74165569,0.31816898,0.67902675,0.00385206,0.11883814,0.29752871,0.39830230,0.02970979,0.40785050
-5.99399700,1.66963237,0.31631460,0.64717332,0.00340852,0.11800377,0.29554400,0.37178116,0.02787163,0.39248758
-5.98799400,1.59737789,0.31253063,0.61562249,0.00301031,0.11648070,0.29197254,0.34705627,0.02607923,0.37706591
-5.98199100,1.52510706,0.30687274,0.58437087,0.00265466,0.11429635,0.28689075,0.32425095,0.02433733,0.36166892
-5.97598799,1.45312257,0.29944168,0.55345009,0.00233851,0.11149445,0.28041786,0.30346771,0.02264973,0.34640187
-5.96998499,1.38182176,0.29038046,0.52293099,0.00205863,0.10813398,0.27271372,0.28479261,0.02101965,0.33139312
-5.96398199,1.31169693,0.27986998,0.49292516,0.00181175,0.10428749,0.26397515,0.26829897,0.01944993,0.31679399
-5.95797899,1.24332960,0.26812343,0.46358378,0.00159471,0.10003909,0.25443106,0.25405030,0.01794327,0.30277706
-5.95197599,1.17737888,0.25537964,0.43509403,0.00140452,0.09548194,0.24433649,0.24210220,0.01650231,0.28953314
-5.94597299,1.11456506,0.24189577,0.40767344,0.00123840,0.09071562,0.23396580,0.23250322,0.01512974,0.27726689
-5.93996998,1.05564914,0.22793959,0.38156256,0.00109390,0.08584321,0.22360535,0.22529478,0.01382831,0.26619157
-5.93396698,1.00140970,0.21378176,0.35701648,0.00096885,0.08096845,0.21354590,0.22051009,0.01260081,0.25652293
-5.92796398,0.95261812,0.19968832,0.33429561,0.00086144,0.07619293,0.20407493,0.21817241,0.01144998,0.24847268
-5.92196098,0.91001354,0.18591375,0.31365632,0.00077020,0.07161348,0.19546931,0.21829269,0.01037846,0.24224179
-5.91595798,0.87427856,0.17269477,0.29534181,0.00069397,0.06731979,0.18798835,0.22086696,0.00938865,0.23801388
-5.90995498,0.84601692,0.16024509,0.27957351,0.00063194,0.06339239,0.18186757,0.22587364,0.00848261,0.23594911
-5.90395198,0.82573383,0.14875122,0.26654359,0.00058362,0.05990100,0.17731332,0.23327101,0.00766199,0.23617860
-5.89794897,0.81381983,0.13836943,0.25640855,0.00054881,0.05690327,0.17449832,0.24299522,0.00692794,0.23879983
-5.89194597,0.81053872,0.12922386,0.24928421,0.00052762,0.05444399,0.17355826,0.25495881,0.00628104,0.24387303
-5.88594297,0.81601981,0.12140567,0.24524226,0.00052044,0.05255466,0.17458960,0.26905022,0.00572127,0.25141880
-5.87993997,0.83025487,0.11497336,0.24430825,0.00052792,0.05125351,0.17764841,0.28513417,0.00524805,0.26141704
-5.87393697,0.85309963,0.10995390,0.24646121,0.00055097,0.05054587,0.18275042,0.30305318,0.00486023,0.27380721
-5.86793397,0.88427992,0.10634478,0.25163471,0.00059076,0.05042487,0.18987221,0.32263024,0.00455611,0.28849005
-5.86193097,0.92340203,0.10411666,0.25971937,0.00064871,0.05087254,0.19895347,0.34367249,0.00433359,0.30533052
-5.85592796,0.96996702,0.10321664,0.27056660,0.00072643,0.05186099,0.20990031,0.36597614,0.00419018,0.32416224
-5.84992496,1.02338852,0.10357182,0.28399351,0.00082574,0.05335395,0.22258945,0.38933218,0.00412311,0.34479286
-5.84392196,1.08301328,0.10509328,0.29978878,0.00094863,0.05530842,0.23687326,0.41353294,0.00412943,0.36701071
-5.83791896,1.14814395,0.10767995,0.31771925,0.00109719,0.05767639,0.25258539,0.43837922,0.00420608,0.39059201
-5.83191596,1.21806309,0.11122272,0.33753706,0.00127359,0.06040664,0.26954692,0.46368770,0.00434996,0.41530887
-5.82591296,1.29205763,0.11560824,0.35898696,0.00148001,0.06344650,0.28757273,0.48929837,0.00455800,0.44093733
-5.81990995,1.36944277,0.12072257,0.38181368,0.00171855,0.06674360,0.30647784,0.51508163,0.00482717,0.46726554
-5.81390695,1.44958426,0.12645448,0.40576896,0.00199113,0.07024744,0.32608363,0.54094472,0.00515453,0.49410138
-5.80790395,1.53191822,0.13269829,0.43061788,0.00229944,0.07391079,0.34622344,0.56683720,0.00553717,0.52127935
-5.80190095,1.61596724,0.13935626,0.45614447,0.00264479,0.07769086,0.36674746,0.59275498,0.00597223,0.54866637
-5.79589795,1.70135219,0.14634033,0.48215594,0.00302802,0.08155019,0.38752664,0.61874282,0.00645683,0.57616603
-5.78989495,1.78779881,0.15357332,0.50848577,0.00344939,0.08545725,0.40845538,0.64489481,0.00698799,0.60372120
-5.78389195,1.87513862,0.16098942,0.53499507,0.00390849,0.08938663,0.42945287,0.67135281,0.00756255,0.63131456
