energy_ev,total_up,Ag_p_up,Ag_d_up,In_p_up,In_d_up,S_s_up,S_p_up
-6.00000000,1.71932981,0.20294420,1.24025685,0.05488593,0.00320010,0.03499317,0.09575015
-5.99399700,1.73527378,0.20361869,1.25559889,0.05482651,0.00320360,0.03438772,0.09688664
-5.98799400,1.74849883,0.20410362,1.26903371,0.05463592,0.00320165,0.03369661,0.09800183
-5.98199100,1.75916094,0.20434178,1.28071873,0.05430590,0.00319487,0.03293757,0.09909058
-5.97598799,1.76745926,0.20428920,1.29083274,0.05383152,0.00318408,0.03212890,0.10014985
-5.96998499,1.77362288,0.20391478,1.29956588,0.05321133,0.00317021,0.03128891,0.10117814
-5.96398199,1.77789749,0.20319946,1.30710991,0.05244739,0.00315432,0.03043529,0.10217489
-5.95797899,1.78053257,0.20213493,1.31364944,0.05154523,0.00313748,0.02958456,0.10313987
-5.95197599,1.78176991,0.20072216,1.31935425,0.05051379,0.00312078,0.02875164,0.10407262
-5.94597299,1.78183353,0.19896971,1.32437323,0.04936518,0.00310522,0.02794938,0.10497194
-5.93996998,1.78092177,0.19689189,1.32882988,0.04811458,0.00309172,0.02718834,0.10583540
-5.93396698,1.77920154,0.19450713,1.33281974,0.04677986,0.00308105,0.02647657,0.10665897
-5.92796398,1.77680502,0.19183633,1.33640961,0.04538133,0.00307381,0.02581949,0.10743673
-5.92196098,1.77382887,0.18890155,1.33963860,0.04394141,0.00307040,0.02521994,0.10816074
-5.91595798,1.77033583,0.18572498,1.34252095,0.04248423,0.00307100,0.02467827,0.10882090
-5.90995498,1.76635865,0.18232820,1.34505034,0.04103525,0.00307558,0.02419254,0.10940511
-5.90395198,1.76190621,0.17873189,1.34720571,0.03962098,0.00308392,0.02375875,0.10989939
-5.89794897,1.75697136,0.17495587,1.34895815,0.03826854,0.00309559,0.02337125,0.11028820
-5.89194597,1.75154047,0.17101956,1.35027874,0.03700544,0.00311001,0.02302301,0.11055492
-5.88594297,1.74560400,0.16694265,1.35114712,0.03585928,0.00312650,0.02270612,0.11068237
-5.87993997,1.73916803,0.16274619,1.35156033,0.03485759,0.00314426,0.02241213,0.11065346
-5.87393697,1.73226605,0.15845371,1.35154183,0.03402774,0.00316247,0.02213254,0.11045190
-5.86793397,1.72497077,0.15409258,1.35115036,0.03339685,0.00318034,0.02185913,0.11006305
-5.86193097,1.71740543,0.14969532,1.35048819,0.03299185,0.00319712,0.02158438,0.10947471
-5.85592796,1.70975412,0.14530087,1.34970866,0.03283959,0.00321218,0.02130180,0.10867793
-5.84992496,1.70227065,0.14095565,1.34902261,0.03296698,0.00322501,0.02100619,0.10766783
-5.84392196,1.69528566,0.13671445,1.34870326,0.03340120,0.00323532,0.02069385,0.10644431
-5.83791896,1.68921129,0.13264099,1.34908950,0.03416986,0.00324301,0.02036276,0.10501268
-5.83191596,1.68454326,0.12880802,1.35058700,0.03530124,0.00324821,0.02001265,0.10338409
-5.82591296,1.68185982,0.12529714,1.35366716,0.03682436,0.00325128,0.01964499,0.10157584
-5.81990995,1.68181743,0.12219809,1.35886337,0.03876904,0.00325280,0.01926298,0.09961145
-5.81390695,1.68514283,0.11960758,1.36676472,0.04116586,0.00325360,0.01887133,0.09752051
-5.80790395,1.69262160,0.11762777,1.37800680,0.04404587,0.00325467,0.01847617,0.09533833
-5.80190095,1.70508299,0.11636417,1.39325978,0.04744024,0.00325720,0.01808473,0.09310524
-5.79589795,1.72338144,0.11592335,1.41321369,0.05137963,0.00326246,0.01770506,0.09086581
-5.78989495,1.74837483,0.11641019,1.43856127,0.05589342,0.00327183,0.01734575,0.08866772
-5.78389195,1.78090020,0.11792491,1.46997865,0.06100869,0.00328671,0.01701552,0.08656056
-5.77788894,1.82174729,0.12056002,1.50810424,0.06674907,0.00330847,0.01672289,0.08459440
-5.77188594,1.87163082,0.12439702,1.55351657,0.07313340,0.00333843,0.01647586,0.08281837
-5.76588294,1.93116232,0.12950330,1.60671163,0.08017428,0.00337776,0.01628152,0.08127906
-5.75987994,2.00082246,0.13592905,1.66808057,0.08787661,0.00342746,0.01614580,0.08001915
-5.75387694,2.08093493,0.14370440,1.73788846,0.09623614,0.00348833,0.01607319,0.07907588
-5.74787394,2.17164302,0.15283697,1.81625516,0.10523799,0.00356091,0.01606654,0.07847988
-5.74187094,2.27288977,0.16330977,1.90313906,0.11485553,0.00364546,0.01612693,0.07825404
-5.73586793,2.38440279,0.17507972,1.99832439,0.12504932,0.00374196,0.01625354,0.07841270
-5.72986493,2.50568459,0.18807668,2.10141306,0.13576646,0.00385008,0.01644369,0.07896108
-5.72386193,2.63600912,0.20220329,2.21182141,0.14694029,0.00396918,0.01669289,0.07989499
-5.71785893,2.77442488,0.21733543,2.32878235,0.15849049,0.00409832,0.01699492,0.08120092
-5.71185593,2.91976513,0.23332361,2.45135324,0.17032371,0.00423632,0.01734203,0.08285636
-5.70585293,3.07066491,0.24999497,2.57842934,0.18233464,0.00438171,0.01772520,0.08483046
-5.69984992,3.22558478,0.26715617,2.70876282,0.19440752,0.00453283,0.01813437,0.08708494
-5.69384692,3.38284071,0.28459698,2.84098674,0.20641821,0.00468784,0.01855875,0.08957528
-5.68784392,3.54063932,0.30209445,2.97364360,0.21823659,0.00484479,0.01898717,0.09225202
-5.68184092,3.69711750,0.31941769,3.10521743,0.22972935,0.00500163,0.01940840,0.09506228
-5.67583792,3.85038529,0.33633305,3.23416867,0.24076303,0.00515629,0.01981146,0.09795130
-5.66983492,3.99857064,0.35260956,3.35897073,0.25120730,0.00530674,0.02018595,0.10086403
-5.66383192,4.13986476,0.36802445,3.47814706,0.26093821,0.00545100,0.02052235,0.10374670
-5.65782891,4.27256672,0.38236872,3.59030776,0.26984155,0.00558724,0.02081224,0.10654828
-5.65182591,4.39512588,0.39545233,3.69418447,0.27781598,0.00571377,0.02104853,0.10922186
-5.64582291,4.50618094,0.40710908,3.78866267,0.28477598,0.00582914,0.02122560,0.11172576
-5.63981991,4.60459455,0.41720090,3.87281036,0.29065444,0.00593211,0.02133945,0.11402456
-5.63381691,4.68948243,0.42562146,3.94590243,0.29540485,0.00602172,0.02138771,0.11608984
-5.62781391,4.76023629,0.43229889,4.00743994,0.29900306,0.00609733,0.02136970,0.11790071
-5.62181091,4.81654001,0.43719770,4.05716398,0.30144840,0.00615858,0.02128635,0.11944407
-5.61580790,4.85837851,0.44031961,4.09506365,0.30276435,0.00620544,0.02114016,0.12071466
-5.60980490,4.88603941,0.44170347,4.12137807,0.30299851,0.00623822,0.02093505,0.12171493
-5.60380190,4.90010721,0.44142410,4.13659222,0.30222201,0.00625754,0.02067623,0.12245463
-5.59779890,4.90145027,0.43959022,4.14142698,0.30052832,0.00626433,0.02037004,0.12295024
-5.59179590,4.89120089,0.43634149,4.13682327,0.29803148,0.00625981,0.02002372,0.12322427
-5.58579290,4.87072887,0.43184468,4.12392080,0.29486372,0.00624549,0.01964524,0.12330439
-5.57978989,4.84160920,0.42628920,4.10403187,0.29117271,0.00622311,0.01924307,0.12322246
-5.57378689,4.80558449,0.41988205,4.07861054,0.28711816,0.00619460,0.01882598,0.12301346
-5.56778389,4.76452285,0.41284234,4.04921798,0.28286821,0.00616208,0.01840279,0.12271438
-5.56178089,4.72037233,0.40539557,4.01748459,0.27859540,0.00612775,0.01798223,0.12236306
-5.55577789,4.67511254,0.39776784,3.98506972,0.27447243,0.00609387,0.01757266,0.12199705
-5.54977489,4.63070485,0.39018002,3.95361969,0.27066774,0.00606273,0.01718196,0.12165242
-5.54377189,4.58904205,0.38284225,3.92472534,0.26734116,0.00603650,0.01681730,0.12136270
-5.53776888,4.55189883,0.37594878,3.89987982,0.26463945,0.00601726,0.01648503,0.12115780
-5.53176588,4.52088420,0.36967322,3.88043789,0.26269219,0.00600687,0.01619050,0.12106308
-5.52576288,4.49739733,0.36416456,3.86757778,0.26160791,0.00600694,0.01593799,0.12109849
-5.51975988,4.48258784,0.35954383,3.86226665,0.26147060,0.00601876,0.01573058,0.12127790
-5.51375688,4.47732208,0.35590159,3.86523093,0.26233691,0.00604326,0.01557011,0.12160854
-5.50775388,4.48215635,0.35329630,3.87693249,0.26423389,0.00608096,0.01545714,0.12209068
-5.50175088,4.49731826,0.35175369,3.89755154,0.26715763,0.00613191,0.01539094,0.12271749
-5.49574787,4.52269704,0.35126692,3.92697733,0.27107266,0.00619574,0.01536952,0.12347507
-5.48974487,4.55784363,0.35179786,3.96480699,0.27591241,0.00627158,0.01538971,0.12434281
-5.48374187,4.60198074,0.35327915,4.01035329,0.28158053,0.00635814,0.01544724,0.12529388
-5.47773887,4.65402333,0.35561714,4.06266119,0.28795332,0.00645369,0.01553687,0.12629599
-5.47173587,4.71260898,0.35869565,4.12053333,0.29488298,0.00655611,0.01565257,0.12731237
-5.46573287,4.77613790,0.36238033,4.18256389,0.30220188,0.00666298,0.01578771,0.12830291
-5.45972986,4.84282150,0.36652360,4.24718022,0.30972749,0.00677163,0.01593529,0.12922543
-5.45372686,4.91073832,0.37096999,4.31269109,0.31726802,0.00687923,0.01608815,0.13003714
-5.44772386,4.97789581,0.37556163,4.37734026,0.32462845,0.00698285,0.01623927,0.13069611
-5.44172086,5.04229595,0.38014392,4.43936389,0.33161685,0.00707965,0.01638199,0.13116278
-5.43571786,5.10200275,0.38457097,4.49704966,0.33805070,0.00716685,0.01651029,0.13140144
-5.42971486,5.15520923,0.38871075,4.54879598,0.34376299,0.00724195,0.01661902,0.13138160
-5.42371186,5.20030163,0.39244978,4.59316888,0.34860789,0.00730274,0.01670415,0.13107927
-5.41770885,5.23591833,0.39569714,4.62895465,0.35246571,0.00734740,0.01676293,0.13047796
-5.41170585,5.26100136,0.39838767,4.65520608,0.35524701,0.00737459,0.01679408,0.12956950
-5.40570285,5.27483837,0.40048424,4.67128060,0.35689570,0.00738348,0.01679786,0.12835461
-5.39969985,5.27709320,0.40197904,4.67686843,0.35739090,0.00737379,0.01677619,0.12684307
-5.39369685,5.26782386,0.40289372,4.67200968,0.35674763,0.00734580,0.01673258,0.12505365
-5.38769385,5.24748665,0.40327853,4.65709929,0.35501615,0.00730035,0.01667212,0.12301375
-5.38169085,5.21692631,0.40321032,4.63287945,0.35228010,0.00723882,0.01660135,0.12075859
-5.37568784,5.17735211,0.40278955,4.60041958,0.34865341,0.00716305,0.01652806,0.11833030
-5.36968484,5.13030053,0.40213648,4.56108416,0.34427620,0.00707534,0.01646109,0.11577659
-5.36368184,5.07758590,0.40138648,4.51648967,0.33930975,0.00697829,0.01641004,0.11314937
-5.35767884,5.02124047,0.40068490,4.46845200,0.33393079,0.00687481,0.01638494,0.11050310
-5.35167584,4.96344635,0.40018144,4.41892613,0.32832532,0.00676793,0.01639588,0.10789312
-5.34567284,4.90646152,0.40002442,4.36994045,0.32268221,0.00666074,0.01645269,0.10537395
-5.33966983,4.85254294,0.40035508,4.32352806,0.31718679,0.00655631,0.01656451,0.10299764
-5.33366683,4.80386950,0.40130210,4.28165760,0.31201475,0.00645753,0.01673946,0.10081222
-5.32766383,4.76246774,0.40297671,4.24616638,0.30732646,0.00636708,0.01698427,0.09886029
-5.32166083,4.73014326,0.40546829,4.21869823,0.30326203,0.00628729,0.01730401,0.09717791
-5.31565783,4.70842027,0.40884093,4.20064838,0.29993719,0.00622013,0.01770176,0.09579363
-5.30965483,4.69849153,0.41313091,4.19311754,0.29744016,0.00616710,0.01817852,0.09472791
-5.30365183,4.70118063,0.41834515,4.19687680,0.29582961,0.00612920,0.01873299,0.09399282
-5.29764882,4.71691771,0.42446088,4.21234447,0.29513370,0.00610694,0.01936159,0.09359197
-5.29164582,4.74572948,0.43142628,4.23957578,0.29535033,0.00610032,0.02005845,0.09352085
-5.28564282,4.78724370,0.43916231,4.27826546,0.29644833,0.00610881,0.02081559,0.09376738
-5.27963982,4.84070767,0.44756544,4.32776302,0.29836981,0.00613146,0.02162308,0.09431270
-5.27363682,4.90501965,0.45651134,4.38709977,0.30103324,0.00616684,0.02246932,0.09513219
-5.26763382,4.97877199,0.46585920,4.45502643,0.30433739,0.00621321,0.02334140,0.09619663
-5.26163082,5.06030370,0.47545668,4.53005959,0.30816568,0.00626850,0.02422551,0.09747342
-5.25562781,5.14776048,0.48514516,4.61053497,0.31239104,0.00633043,0.02510732,0.09892793
-5.24962481,5.23915960,0.49476514,4.69466543,0.31688079,0.00639659,0.02597246,0.10052471
-5.24362181,5.33245694,0.50416145,4.78060120,0.32150157,0.00646452,0.02680700,0.10222875
-5.23761881,5.42561373,0.51318828,4.86649018,0.32612397,0.00653177,0.02759782,0.10400651
-5.23161581,5.51666029,0.52171355,4.95053583,0.33062677,0.00659603,0.02833307,0.10582692
-5.22561281,5.60375459,0.52962259,5.03105080,0.33490057,0.00665515,0.02900250,0.10766205
-5.21960980,5.68523354,0.53682102,5.10650429,0.33885073,0.00670722,0.02959772,0.10948767
-5.21360680,5.75965550,0.54323651,5.17556172,0.34239952,0.00675063,0.03011245,0.11128354
-5.20760380,5.82583264,0.54881965,5.23711570,0.34548740,0.00678409,0.03054264,0.11303351
-5.20160080,5.88285277,0.55354361,5.29030738,0.34807345,0.00680670,0.03088650,0.11472537
-5.19559780,5.93009004,0.55740289,5.33453821,0.35013494,0.00681791,0.03114449,0.11635057
-5.18959480,5.96720501,0.56041106,5.36947195,0.35166618,0.00681752,0.03131919,0.11790370
-5.18359180,5.99413478,0.56259776,5.39502770,0.35267665,0.00680574,0.03141510,0.11938197
-5.17758879,6.01107403,0.56400506,5.41136467,0.35318860,0.00678306,0.03143844,0.12078452
-5.17158579,6.01844853,0.56468343,5.41885983,0.35323433,0.00675031,0.03139678,0.12211173
-5.16558279,6.01688258,0.56468755,5.41807985,0.35285314,0.00670855,0.03129880,0.12336456
-5.15957979,6.00716217,0.56407213,5.40974866,0.35208831,0.00665905,0.03115388,0.12454394
-5.15357679,5.99019553,0.56288817,5.39471235,0.35098411,0.00660324,0.03097177,0.12565020
-5.14757379,5.96697291,0.56117954,5.37390273,0.34958316,0.00654263,0.03076227,0.12668274
-5.14157079,5.93852707,0.55898037,5.34830104,0.34792407,0.00647879,0.03053490,0.12763969
-5.13556778,5.90589609,0.55631328,5.31890328,0.34603963,0.00641325,0.03029864,0.12851784
-5.12956478,5.87008962,0.55318838,5.28668802,0.34395551,0.00634749,0.03006166,0.12931267
-5.12356178,5.83205967,0.54960334,5.25258801,0.34168957,0.00628285,0.02983121,0.13001854
-5.11755878,5.79267657,0.54554428,5.21746598,0.33925174,0.00622052,0.02961341,0.13062899
-5.11155578,5.75271080,0.54098756,5.18209555,0.33664447,0.00616150,0.02941328,0.13113715
-5.10555278,5.71282073,0.53590217,5.14714730,0.33386364,0.00610657,0.02923466,0.13153625
-5.09954977,5.67354637,0.53025282,5.11318031,0.33089994,0.00605629,0.02908030,0.13182013
-5.09354677,5.63530902,0.52400322,5.08063912,0.32774049,0.00601094,0.02895195,0.13198379
-5.08754377,5.59841632,0.51711965,5.04985586,0.32437071,0.00597058,0.02885051,0.13202389
-5.08154077,5.56307227,0.50957442,5.02105723,0.32077622,0.00593505,0.02877622,0.13193922
-5.07553777,5.52939144,0.50134908,4.99437584,0.31694472,0.00590396,0.02872890,0.13173104
-5.06953477,5.49741672,0.49243726,4.96986519,0.31286774,0.00587675,0.02870814,0.13140338
-5.06353177,5.46713960,0.48284691,4.94751764,0.30854212,0.00585268,0.02871362,0.13096317
-5.05752876,5.43852204,0.47260186,4.92728445,0.30397113,0.00583096,0.02874531,0.13042027
-5.05152576,5.41151896,0.46174270,4.90909694,0.29916533,0.00581068,0.02880376,0.12978737
-5.04552276,5.38610019,0.45032680,4.89288772,0.29414290,0.00579097,0.02889028,0.12907980
-5.03951976,5.36227095,0.43842765,4.87861112,0.28892959,0.00577094,0.02900717,0.12831518
-5.03351676,5.34008960,0.42613344,4.86626140,0.28355834,0.00574985,0.02915790,0.12751304
-5.02751376,5.31968199,0.41354505,4.85588822,0.27806838,0.00572704,0.02934715,0.12669437
-5.02151076,5.30125122,0.40077345,4.84760792,0.27250415,0.00570206,0.02958092,0.12588112
-5.01550775,5.28508240,0.38793680,4.84161033,0.26691387,0.00567462,0.02986651,0.12509564
-5.00950475,5.27154170,0.37515723,4.83816012,0.26134797,0.00564471,0.03021246,0.12436025
-5.00350175,5.26106959,0.36255752,4.83759259,0.25585744,0.00561253,0.03062838,0.12369672
-4.99749875,5.25416822,0.35025781,4.84030376,0.25049207,0.00557853,0.03112481,0.12312584
-4.99149575,5.25138325,0.33837252,4.84673488,0.24529891,0.00554339,0.03171289,0.12266711
-4.98549275,5.25328087,0.32700741,4.85735211,0.24032067,0.00550801,0.03240412,0.12233841
-4.97948974,5.26042085,0.31625719,4.87262201,0.23559455,0.00547345,0.03321000,0.12215587
-4.97348674,5.27332681,0.30620344,4.89298400,0.23115111,0.00544091,0.03414159,0.12213366
-4.96748374,5.29245515,0.29691311,4.91882125,0.22701357,0.00541169,0.03520921,0.12228406
-4.96148074,5.31816421,0.28843751,4.95043128,0.22319740,0.00538709,0.03642196,0.12261743
-4.95547774,5.35068517,0.28081182,4.98799805,0.21971016,0.00536837,0.03778739,0.12314232
-4.94947474,5.39009640,0.27405514,5.03156695,0.21655178,0.00535670,0.03931115,0.12386561
-4.94347174,5.43630267,0.26817102,5.08102430,0.21371494,0.00535310,0.04099666,0.12479270
-4.93746873,5.48902055,0.26314831,5.13608255,0.21118589,0.00535835,0.04284488,0.12592763
-4.93146573,5.54777097,0.25896248,5.19627235,0.20894535,0.00537300,0.04485419,0.12727328
-4.92546273,5.61187967,0.25557710,5.26094207,0.20696953,0.00539730,0.04702020,0.12883153
-4.91945973,5.68048578,0.25294553,5.32926520,0.20523137,0.00543115,0.04933586,0.13060330
-4.91345673,5.75255850,0.25101275,5.40025558,0.20370167,0.00547417,0.05179149,0.13258869
-4.90745373,5.82692133,0.24971720,5.47279004,0.20235026,0.00552561,0.05437493,0.13478695
-4.90145073,5.90228289,0.24899249,5.54563746,0.20114707,0.00558442,0.05707185,0.13719644
-4.89544772,5.97727330,0.24876919,5.61749342,0.20006313,0.00564928,0.05986604,0.13981460
-4.88944472,6.05048442,0.24897628,5.68701863,0.19907135,0.00571860,0.06273979,0.14263781
-4.88344172,6.12051240,0.24954261,5.75287979,0.19814715,0.00579060,0.06567428,0.14566128
-4.87743872,6.18600058,0.25039803,5.81379094,0.19726900,0.00586335,0.06865009,0.14887893
-4.87143572,6.24568116,0.25147447,5.86855369,0.19641863,0.00593484,0.07164754,0.15228322
-4.86543272,6.29841359,0.25270669,5.91609438,0.19558117,0.00600303,0.07464720,0.15586514
-4.85942971,6.34321831,0.25403303,5.95549686,0.19474514,0.00606591,0.07763017,0.15961403
-4.85342671,6.37930431,0.25539588,5.98602923,0.19390222,0.00612157,0.08057852,0.16351766
-4.84742371,6.40608959,0.25674216,6.00716380,0.19304706,0.00616824,0.08347542,0.16756220
