energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Se_s_up,Se_p_up
1.02951476,2.14762169,0.42281462,0.03664000,0.00009068,1.10551154,1.08890207,0.20484618,0.01690502,0.85625583
1.03551776,2.05827482,0.41027250,0.03400791,0.00006965,1.06443859,1.04614824,0.19814201,0.01626820,0.80868777
1.04152076,1.96094322,0.39532421,0.03142798,0.00005314,1.01840220,0.99886797,0.19040109,0.01554998,0.75980856
1.04752376,1.85692760,0.37825157,0.02891613,0.00004028,0.96808634,0.94774999,0.18174782,0.01476206,0.71014464
1.05352676,1.74766515,0.35937234,0.02648891,0.00003033,0.91425423,0.89354886,0.17232466,0.01391746,0.66024408
1.05952976,1.63467892,0.33902938,0.02416275,0.00002268,0.85772117,0.83706006,0.16228689,0.01302997,0.61065983
1.06553277,1.51952801,0.31757955,0.02195342,0.00001685,0.79932732,0.77909518,0.15179721,0.01211372,0.56193453
1.07153577,1.40376042,0.29538278,0.01987556,0.00001243,0.73991145,0.72045824,0.14102041,0.01118267,0.51458710
1.07753877,1.28886994,0.27279170,0.01794236,0.00000911,0.68028660,0.66192385,0.13011848,0.01025027,0.46910163
1.08354177,1.17625853,0.25014228,0.01616531,0.00000663,0.62121858,0.60421809,0.11924606,0.00932902,0.42591836
1.08954477,1.06720503,0.22774573,0.01455408,0.00000479,0.56340778,0.54800243,0.10854665,0.00843024,0.38542711
1.09554777,0.96284075,0.20588195,0.01311648,0.00000344,0.50747489,0.49386116,0.09814941,0.00756380,0.34796272
1.10155078,0.86413229,0.18479459,0.01185848,0.00000245,0.45395057,0.44229254,0.08816689,0.00673800,0.31380266
1.10755378,0.77187131,0.16468784,0.01078425,0.00000173,0.40326931,0.39370352,0.07869344,0.00595948,0.28316629
1.11355678,0.68667083,0.14572490,0.00989627,0.00000122,0.35576711,0.34840800,0.06980445,0.00523323,0.25621555
1.11955978,0.60896751,0.12802793,0.00919540,0.00000085,0.31168277,0.30662823,0.06155628,0.00456260,0.23305680
1.12556278,0.53902886,0.11167949,0.00868098,0.00000059,0.27116234,0.26849896,0.05398687,0.00394941,0.21374340
1.13156578,0.47696455,0.09672506,0.00835088,0.00000041,0.23426611,0.23407384,0.04711687,0.00339414,0.19827868
1.13756878,0.42274064,0.08317651,0.00820153,0.00000028,0.20097765,0.20333360,0.04095112,0.00289603,0.18661913
1.14357179,0.37619583,0.07101629,0.00822794,0.00000019,0.17121415,0.17619526,0.03548055,0.00245330,0.17867746
1.14957479,0.33705866,0.06020192,0.00842364,0.00000013,0.14483766,0.15252216,0.03068418,0.00206334,0.17432543
1.15557779,0.30496499,0.05067081,0.00878068,0.00000008,0.12166641,0.13213402,0.02653120,0.00172292,0.17339642
1.16158079,0.27947494,0.04234485,0.00928948,0.00000006,0.10148611,0.11481690,0.02298310,0.00142834,0.17568758
1.16758379,0.26008887,0.03513499,0.00993883,0.00000004,0.08406038,0.10033245,0.01999561,0.00117563,0.18096181
1.17358679,0.24626205,0.02894526,0.01071577,0.00000002,0.06914045,0.08842650,0.01752058,0.00096068,0.18894961
1.17958979,0.23741789,0.02367654,0.01160555,0.00000002,0.05647356,0.07883659,0.01550763,0.00077940,0.19935097
1.18559280,0.23295964,0.01922962,0.01259167,0.00000001,0.04581020,0.07129853,0.01390555,0.00062778,0.21183756
1.19159580,0.23228079,0.01550780,0.01365586,0.00000001,0.03690994,0.06555181,0.01266355,0.00050203,0.22605544
1.19759880,0.23477424,0.01241898,0.01477829,0.00000000,0.02954611,0.06134414,0.01173225,0.00039859,0.24162843
