energy_ev,total_up,Se_s_up,Se_p_up,Sn_p_up,Sn_d_up,Zn_p_up,Zn_d_up
-6.00000000,1.33888788,0.04279606,0.38605096,0.21677765,0.00035978,0.87903225,0.14807367
-5.99399700,1.39697582,0.04766450,0.40329752,0.22143388,0.00037694,0.91003140,0.15565850
-5.98799400,1.45347995,0.05301558,0.41895532,0.22597011,0.00039359,0.93683134,0.16337686
-5.98199100,1.50761824,0.05881767,0.43284232,0.23027109,0.00040952,0.95898317,0.17113313
-5.97598799,1.55863803,0.06502713,0.44481082,0.23422719,0.00042454,0.97613045,0.17882726
-5.96998499,1.60583453,0.07158851,0.45475122,0.23773777,0.00043847,0.98802059,0.18635683
-5.96398199,1.64856748,0.07843527,0.46259449,0.24071421,0.00045113,0.99451267,0.19361929
-5.95797899,1.68627563,0.08549090,0.46831339,0.24308216,0.00046237,0.99558148,0.20051408
-5.95197599,1.71848878,0.09267045,0.47192227,0.24478335,0.00047205,0.99131759,0.20694488
-5.94597299,1.74483720,0.09988253,0.47347575,0.24577668,0.00048008,0.98192365,0.21282174
-5.93996998,1.76505843,0.10703158,0.47306613,0.24603883,0.00048637,0.96770698,0.21806307
-5.93396698,1.77900152,0.11402045,0.47081986,0.24556423,0.00049086,0.94906905,0.22259763
-5.92796398,1.78662852,0.12075316,0.46689316,0.24436472,0.00049353,0.92649228,0.22636623
-5.92196098,1.78801350,0.12713766,0.46146697,0.24246863,0.00049436,0.90052468,0.22932316
-5.91595798,1.78333902,0.13308854,0.45474145,0.23991968,0.00049340,0.87176312,0.23143745
-5.90995498,1.77289017,0.13852956,0.44693022,0.23677542,0.00049068,0.84083579,0.23269359
-5.90395198,1.75704609,0.14339576,0.43825444,0.23310557,0.00048630,0.80838451,0.23309194
-5.89794897,1.73626935,0.14763519,0.42893701,0.22899002,0.00048035,0.77504748,0.23264863
-5.89194597,1.71109300,0.15121011,0.41919685,0.22451675,0.00047296,0.74144299,0.23139499
-5.88594297,1.68210570,0.15409748,0.40924353,0.21977945,0.00046428,0.70815454,0.22937640
