energy_ev,total_up,Hf_p_up,Hf_d_up,Sb_p_up,Sb_d_up,Se_s_up,Se_p_up
-6.00000000,0.70012992,0.53052173,0.27192709,0.20790383,0.00355091,0.00024471,0.35709858
-5.99399700,0.74308795,0.56119131,0.28716767,0.22776040,0.00377513,0.00026256,0.37018013
-5.98799400,0.78580169,0.59192278,0.30191556,0.24871637,0.00399410,0.00028045,0.38163823
-5.98199100,0.82769590,0.62224978,0.31596942,0.27055666,0.00420538,0.00029821,0.39123648
-5.97598799,0.86819728,0.65171039,0.32913677,0.29303271,0.00440657,0.00031563,0.39878203
-5.96998499,0.90674081,0.67985202,0.34123651,0.31586446,0.00459530,0.00033253,0.40412872
-5.96398199,0.94277642,0.70623658,0.35210126,0.33874366,0.00476930,0.00034870,0.40717895
-5.95797899,0.97577630,0.73044583,0.36157965,0.36133861,0.00492639,0.00036394,0.40788419
-5.95197599,1.00524260,0.75208704,0.36953836,0.38330032,0.00506455,0.00037806,0.40624414
-5.94597299,1.03071562,0.77079895,0.37586407,0.40427001,0.00518194,0.00039086,0.40230456
-5.93996998,1.05178229,0.78625781,0.38046527,0.42388778,0.00527694,0.00040218,0.39615389
-5.93396698,1.06808490,0.79818362,0.38327378,0.44180225,0.00534818,0.00041186,0.38791890
-5.92796398,1.07932976,0.80634625,0.38424628,0.45768073,0.00539456,0.00041976,0.37775943
-5.92196098,1.08529553,0.81057135,0.38336539,0.47121970,0.00541534,0.00042580,0.36586263
-5.91595798,1.08584094,0.81074569,0.38064076,0.48215504,0.00541011,0.00042991,0.35243682
-5.90995498,1.08091159,0.80682184,0.37610962,0.49027168,0.00537885,0.00043207,0.33770526
-5.90395198,1.07054524,0.79882173,0.36983719,0.49541204,0.00532196,0.00043232,0.32190015
-5.89794897,1.05487553,0.78683899,0.36191651,0.49748315,0.00524025,0.00043074,0.30525683
-5.89194597,1.03413358,0.77103970,0.35246797,0.49646177,0.00513498,0.00042747,0.28800864
-5.88594297,1.00864724,0.75166148,0.34163815,0.49239744,0.00500784,0.00042271,0.27038227
-5.87993997,0.97883790,0.72901066,0.32959825,0.48541324,0.00486096,0.00041674,0.25259399
-5.87393697,0.94521465,0.70345761,0.31654185,0.47570408,0.00469686,0.00040986,0.23484646
-5.86793397,0.90836594,0.67543015,0.30268214,0.46353268,0.00451842,0.00040248,0.21732639
-5.86193097,0.86894873,0.64540526,0.28824859,0.44922329,0.00432886,0.00039501,0.20020291
