energy_ev,total_up,C_s_up,C_p_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up,Zr_p_up,Zr_d_up
-6.00000000,1.63449819,0.00384497,0.10686748,0.36544231,0.24716556,1.03146754,0.00000000,0.42711796,0.29995620
-5.99399700,1.64240255,0.00424832,0.11048934,0.37123882,0.24479212,1.03480669,0.00000000,0.42287100,0.31024861
-5.98799400,1.65232973,0.00469661,0.11457761,0.37767899,0.24262862,1.03899111,0.00000000,0.41870561,0.32147252
-5.98199100,1.66455944,0.00518793,0.11913510,0.38475224,0.24079286,1.04416731,0.00000000,0.41471148,0.33360925
-5.97598799,1.67925184,0.00571981,0.12414887,0.39242186,0.23938746,1.05041738,0.00000000,0.41096165,0.34660569
-5.96998499,1.69644110,0.00628934,0.12958987,0.40062577,0.23849796,1.05775613,0.00000000,0.40751045,0.36037374
-5.96398199,1.71603569,0.00689323,0.13541326,0.40927887,0.23819197,1.06613194,0.00000000,0.40439267,0.37479142
-5.95797899,1.73782526,0.00752788,0.14155938,0.41827671,0.23851927,1.07543169,0.00000000,0.40162412,0.38970547
-5.95197599,1.76149399,0.00818953,0.14795537,0.42750067,0.23951290,1.08548929,0.00000000,0.39920340,0.40493565
-5.94597299,1.78663967,0.00887434,0.15451727,0.43682425,0.24119106,1.09609748,0.00000000,0.39711512,0.42028031
-5.93996998,1.81279750,0.00957854,0.16115270,0.44612021,0.24355975,1.10702243,0.00000000,0.39533414,0.43552327
-5.93396698,1.83946733,0.01029851,0.16776386,0.45526824,0.24661583,1.11802001,0.00000000,0.39383083,0.45044142
-5.92796398,1.86614275,0.01103091,0.17425065,0.46416273,0.25035036,1.12885312,0.00000000,0.39257691,0.46481297
-5.92196098,1.89234047,0.01177277,0.18051402,0.47272022,0.25475199,1.13930878,0.00000000,0.39155165,0.47842570
-5.91595798,1.91762827,0.01252151,0.18645914,0.48088598,0.25981010,1.14921423,0.00000000,0.39074797,0.49108490
-5.90995498,1.94164993,0.01327501,0.19199833,0.48863955,0.26551762,1.15845076,0.00000000,0.39017808,0.50262066
-5.90395198,1.96414584,0.01403160,0.19705368,0.49599854,0.27187316,1.16696484,0.00000000,0.38987840,0.51289399
-5.89794897,1.98496813,0.01478999,0.20155921,0.50302071,0.27888250,1.17477545,0.00000000,0.38991331,0.52180156
-5.89194597,2.00408957,0.01554925,0.20546243,0.50980405,0.28655932,1.18197752,0.00000000,0.39037749,0.52927891
-5.88594297,2.02160585,0.01630868,0.20872530,0.51648461,0.29492498,1.18874113,0.00000000,0.39139682,0.53530177
-5.87993997,2.03773114,0.01706772,0.21132464,0.52323245,0.30400763,1.19530641,0.00000000,0.39312746,0.53988567
-5.87393697,2.05278755,0.01782579,0.21325186,0.53024554,0.31384055,1.20197468,0.00000000,0.39575336,0.54308381
-5.86793397,2.06718887,0.01858219,0.21451210,0.53774203,0.32445980,1.20909607,0.00000000,0.39948203,0.54498332
-5.86193097,2.08141989,0.01933594,0.21512301,0.54595129,0.33590154,1.21705444,0.00000000,0.40453890,0.54570020
-5.85592796,2.09601230,0.02008573,0.21511299,0.55510385,0.34819889,1.22625039,0.00000000,0.41116041,0.54537325
-5.84992496,2.11151853,0.02082977,0.21451919,0.56542109,0.36137871,1.23708318,0.00000000,0.41958601,0.54415722
-5.84392196,2.12848502,0.02156585,0.21338542,0.57710475,0.37545839,1.24993254,0.00000000,0.43004957,0.54221570
-5.83791896,2.14742599,0.02229128,0.21175984,0.59032706,0.39044280,1.26514110,0.00000000,0.44277033,0.53971403
-5.83191596,2.16879913,0.02300297,0.20969288,0.60522166,0.40632157,1.28299844,0.00000000,0.45794388,0.53681260
-5.82591296,2.19298405,0.02369760,0.20723520,0.62187583,0.42306666,1.30372711,0.00000000,0.47573344,0.53366073
-5.81990995,2.22026442,0.02437171,0.20443594,0.64032434,0.44063057,1.32747149,0.00000000,0.49626170,0.53039163
-5.81390695,2.25081420,0.02502197,0.20134127,0.66054508,0.45894495,1.35428948,0.00000000,0.51960366,0.52711830
-5.80790395,2.28468840,0.02564540,0.19799328,0.68245660,0.47791983,1.38414751,0.00000000,0.54578047,0.52393076
-5.80190095,2.32181829,0.02623963,0.19442926,0.70591777,0.49744335,1.41691862,0.00000000,0.57475477,0.52089439
-5.79589795,2.36201109,0.02680317,0.19068126,0.73072938,0.51738209,1.45238376,0.00000000,0.60642741,0.51804959
-5.78989495,2.40495366,0.02733564,0.18677613,0.75663759,0.53758189,1.49023586,0.00000000,0.64063585,0.51541244
-5.78389195,2.45021990,0.02783801,0.18273570,0.78333920,0.55786918,1.53008647,0.00000000,0.67715424,0.51297642
-5.77788894,2.49728118,0.02831275,0.17857734,0.81048843,0.57805279,1.57147455,0.00000000,0.71569519,0.51071484
-5.77188594,2.54551944,0.02876389,0.17431464,0.83770489,0.59792623,1.61387700,0.00000000,0.75591326,0.50858391
-5.76588294,2.59424217,0.02919705,0.16995822,0.86458267,0.61727036,1.65672058,0.00000000,0.79741001,0.50652615
-5.75987994,2.64269885,0.02961936,0.16551667,0.89070008,0.63585659,1.69939467,0.00000000,0.83974068,0.50447405
-5.75387694,2.69009836,0.03003921,0.16099739,0.91562980,0.65345034,1.74126466,0.00000000,0.88242212,0.50235367
-5.74787394,2.73562675,0.03046602,0.15640751,0.93894916,0.66981504,1.78168548,0.00000000,0.92494202,0.50008812
-5.74187094,2.77846513,0.03090979,0.15175460,0.96025024,0.68471630,1.82001508,0.00000000,0.96676900,0.49760076
-5.73586793,2.81780719,0.03138066,0.14704737,0.97914961,0.69792653,1.85562748,0.00000000,1.00736353,0.49481802
-5.72986493,2.85287613,0.03188834,0.14229619,0.99529726,0.70922963,1.88792524,0.00000000,1.04618913,0.49167180
-5.72386193,2.88294064,0.03244156,0.13751344,1.00838478,0.71842584,1.91635112,0.00000000,1.08272381,0.48810143
-5.71785893,2.90732982,0.03304743,0.13271377,1.01815235,0.72533657,1.94039867,0.00000000,1.11647125,0.48405515
-5.71185593,2.92544664,0.03371089,0.12791421,1.02439446,0.72980909,1.95962174,0.00000000,1.14697153,0.47949121
-5.70585293,2.93677997,0.03443417,0.12313417,1.02696436,0.73172081,1.97364267,0.00000000,1.17381099,0.47437861
-5.69984992,2.94091489,0.03521634,0.11839535,1.02577693,0.73098319,1.98215904,0.00000000,1.19663112,0.46869752
-5.69384692,2.93754109,0.03605300,0.11372161,1.02081014,0.72754492,1.98494904,0.00000000,1.21513608,0.46243952
-5.68784392,2.92645959,0.03693607,0.10913881,1.01210495,0.72139432,1.98187522,0.00000000,1.22909881,0.45560764
-5.68184092,2.90758725,0.03785377,0.10467465,0.99976380,0.71256090,1.97288676,0.00000000,1.23836553,0.44821636
-5.67583792,2.88095959,0.03879079,0.10035851,0.98394780,0.70111579,1.95802023,0.00000000,1.24285861,0.44029156
-5.66983492,2.84673146,0.03972864,0.09622134,0.96487260,0.68717122,1.93739880,0.00000000,1.24257783,0.43187049
-5.66383192,2.80517605,0.04064612,0.09229566,0.94280341,0.67087893,1.91123024,0.00000000,1.23760001,0.42300187
-5.65782891,2.75668210,0.04152004,0.08861549,0.91804899,0.65242748,1.87980349,0.00000000,1.22807727,0.41374589
-5.65182591,2.70174945,0.04232604,0.08521647,0.89095522,0.63203877,1.84348422,0.00000000,1.21423387,0.40417445
-5.64582291,2.64098325,0.04303947,0.08213595,0.86189819,0.60996359,1.80270936,0.00000000,1.19636200,0.39437129
-5.63981991,2.57508671,0.04363642,0.07941306,0.83127714,0.58647669,1.75798086,0.00000000,1.17481655,0.38443216
-5.63381691,2.50485276,0.04409469,0.07708886,0.79950743,0.56187126,1.70985865,0.00000000,1.15000906,0.37446488
-5.62781391,2.43115443,0.04439476,0.07520643,0.76701376,0.53645317,1.65895314,0.00000000,1.12240110,0.36458932
-5.62181091,2.35493432,0.04452071,0.07381084,0.73422370,0.51053509,1.60591711,0.00000000,1.09249707,0.35493703
-5.61580790,2.27719289,0.04446092,0.07294907,0.70156157,0.48443075,1.55143726,0.00000000,1.06083663,0.34565063
-5.60980490,2.19897577,0.04420872,0.07266975,0.66944297,0.45844936,1.49622525,0.00000000,1.02798670,0.33688284
-5.60380190,2.12135989,0.04376276,0.07302279,0.63826961,0.43289040,1.44100845,0.00000000,0.99453316,0.32879496
-5.59779890,2.04543861,0.04312716,0.07405872,0.60842467,0.40803891,1.38652010,0.00000000,0.96107230,0.32155486
-5.59179590,1.97230553,0.04231147,0.07582789,0.58026850,0.38416123,1.33348923,0.00000000,0.92820178,0.31533449
-5.58579290,1.90303736,0.04133037,0.07837938,0.55413469,0.36150135,1.28262989,0.00000000,0.89651144,0.31030671
-5.57978989,1.83867552,0.04020315,0.08175980,0.53032620,0.34027772,1.23463013,0.00000000,0.86657364,0.30664169
-5.57378689,1.78020697,0.03895298,0.08601171,0.50911177,0.32068074,1.19014041,0.00000000,0.83893337,0.30450274
-5.56778389,1.72854430,0.03760610,0.09117206,0.49072230,0.30287060,1.14976175,0.00000000,0.81409820,0.30404181
-5.56178089,1.68450548,0.03619078,0.09727039,0.47534729,0.28697571,1.11403375,0.00000000,0.79252803,0.30539464
-5.55577789,1.64879370,0.03473629,0.10432695,0.46313129,0.27309153,1.08342254,0.00000000,0.77462506,0.30867585
-5.54977489,1.62197790,0.03327185,0.11235094,0.45417053,0.26127980,1.05830915,0.00000000,0.76072397,0.31397401
-5.54377189,1.60447455,0.03182558,0.12133869,0.44850966,0.25156823,1.03897848,0.00000000,0.75108280,0.32134693
-5.53776888,1.59653141,0.03042357,0.13127209,0.44613888,0.24395051,1.02560936,0.00000000,0.74587473,0.33081747
-5.53176588,1.59821402,0.02908905,0.14211725,0.44699162,0.23838685,1.01826612,0.00000000,0.74518110,0.34236985
-5.52576288,1.60939555,0.02784171,0.15382346,0.45094289,0.23480486,1.01689204,0.00000000,0.74898621,0.35594685
-5.51975988,1.62975088,0.02669724,0.16632256,0.45780873,0.23310099,1.02130529,0.00000000,0.75717397,0.37144803
-5.51375688,1.65875528,0.02566704,0.17952877,0.46734671,0.23314247,1.03119764,0.00000000,0.76952704,0.38872896
-5.50775388,1.69568840,0.02475815,0.19333896,0.47925797,0.23476974,1.04613636,0.00000000,0.78572847,0.40760178
