energy_ev,total_up,C_s_up,C_p_up,Co_p_up,Co_d_up,S_s_up,S_p_up,Zr_p_up,Zr_d_up
-6.00000000,0.94353782,0.01197667,0.06668965,0.09510833,0.15207576,0.02282601,0.44705476,0.02853408,0.09373900
-5.99399700,0.93011555,0.01162951,0.06557237,0.09562393,0.14960339,0.02230873,0.44166196,0.02959228,0.09207388
-5.98799400,0.91447137,0.01121379,0.06425970,0.09633909,0.14670353,0.02169424,0.43543554,0.03092126,0.09011174
-5.98199100,0.89780344,0.01073851,0.06283032,0.09743933,0.14355888,0.02100490,0.42897678,0.03261124,0.08795958
-5.97598799,0.88144430,0.01021370,0.06137166,0.09913063,0.14037270,0.02026567,0.42295433,0.03476289,0.08573643
-5.96998499,0.86683517,0.00965017,0.05997810,0.10163666,0.13736470,0.01950344,0.41809195,0.03748667,0.08357070
-5.96398199,0.85549694,0.00905918,0.05874883,0.10519527,0.13476654,0.01874642,0.41515459,0.04090176,0.08159746
-5.95797899,0.84899866,0.00845215,0.05778567,0.11005448,0.13281681,0.01802344,0.41493303,0.04513467,0.07995539
-5.95197599,0.84892399,0.00784039,0.05719072,0.11646780,0.13175590,0.01736330,0.41822754,0.05031753,0.07878362
-5.94597299,0.85683648,0.00723484,0.05706391,0.12468908,0.13182064,0.01679407,0.42583062,0.05658599,0.07821860
-5.93996998,0.87424427,0.00664591,0.05750057,0.13496684,0.13323904,0.01634244,0.43850944,0.06407687,0.07839088
-5.93396698,0.90256484,0.00608323,0.05858901,0.14753831,0.13622495,0.01603311,0.45698805,0.07292544,0.07942202
-5.92796398,0.94309057,0.00555563,0.06040812,0.16262317,0.14097301,0.01588825,0.48192988,0.08326247,0.08142163
-5.92196098,0.99695565,0.00507097,0.06302515,0.18041721,0.14765385,0.01592696,0.51392079,0.09521114,0.08448456
-5.91595798,1.06510513,0.00463619,0.06649358,0.20108601,0.15640966,0.01616482,0.55345301,0.10888378,0.08868835
-5.90995498,1.14826677,0.00425730,0.07085124,0.22475893,0.16735017,0.01661354,0.60091051,0.12437864,0.09409098
-5.90395198,1.24692639,0.00393938,0.07611863,0.25152348,0.18054929,0.01728064,0.65655601,0.14177673,0.10072892
-5.89794897,1.36130759,0.00368671,0.08229761,0.28142040,0.19604233,0.01816922,0.72052014,0.16113884,0.10861558
-5.89194597,1.49135643,0.00350279,0.08937039,0.31443962,0.21382401,0.01927780,0.79279321,0.18250298,0.11774023
-5.88594297,1.63673185,0.00339045,0.09729896,0.35051724,0.23384734,0.02060028,0.87321977,0.20588205,0.12806734
-5.87993997,1.79680237,0.00335194,0.10602499,0.38953382,0.25602334,0.02212596,0.96149652,0.23126221,0.13953655
-5.87393697,1.97064959,0.00338898,0.11547023,0.43131402,0.28022178,0.02383967,1.05717357,0.25860170,0.15206306
-5.86793397,2.15707867,0.00350278,0.12553747,0.47562771,0.30627299,0.02572201,1.15965937,0.28783028,0.16553875
-5.86193097,2.35463592,0.00369411,0.13611194,0.52219261,0.33397050,0.02774963,1.26822918,0.31884943,0.17983380
-5.85592796,2.56163319,0.00396328,0.14706345,0.57067834,0.36307482,0.02989571,1.38203705,0.35153297,0.19479890
-5.84992496,2.77617866,0.00431009,0.15824884,0.62071186,0.39331796,0.03213044,1.50013093,0.38572842,0.21026803
-5.84392196,2.99621310,0.00473380,0.16951503,0.67188413,0.42440884,0.03442164,1.62147058,0.42125877,0.22606167
-5.83791896,3.21955079,0.00523305,0.18070242,0.72375768,0.45603915,0.03673543,1.74494777,0.45792472,0.24199048
-5.83191596,3.44392370,0.00580576,0.19164854,0.77587506,0.48788986,0.03903699,1.86940800,0.49550720,0.25785924
-5.82591296,3.66702770,0.00644907,0.20219198,0.82776761,0.51963776,0.04129132,1.99367331,0.53377011,0.27347104
-5.81990995,3.88656945,0.00715922,0.21217626,0.87896458,0.55096220,0.04346406,2.11656523,0.57246328,0.28863146
-5.81390695,4.10031241,0.00793151,0.22145369,0.92900207,0.58155161,0.04552229,2.23692747,0.61132544,0.30315284
-5.80790395,4.30612108,0.00876024,0.22988904,0.97743185,0.61110973,0.04743531,2.35364768,0.65008727,0.31685829
-5.80190095,4.50200209,0.00963874,0.23736279,1.02382960,0.63936137,0.04917536,2.46567779,0.68847453,0.32958547
-5.79589795,4.68614155,0.01055936,0.24377401,1.06780269,0.66605759,0.05071830,2.57205272,0.72621120,0.34119006
-5.78989495,4.85693816,0.01151366,0.24904271,1.10899723,0.69098034,0.05204420,2.67190721,0.76302287,0.35154873
-5.78389195,5.01303163,0.01249247,0.25311156,1.14710451,0.71394635,0.05313780,2.76449070,0.79864025,0.36056165
-5.77788894,5.15332663,0.01348619,0.25594701,1.18186673,0.73481046,0.05398893,2.84918048,0.83280306,0.36815458
-5.77188594,5.27701230,0.01448506,0.25753980,1.21308210,0.75346839,0.05459277,2.92549296,0.86526422,0.37428027
-5.76588294,5.38357771,0.01547946,0.25790478,1.24060931,0.76985900,0.05495002,2.99309357,0.89579452,0.37891953
-5.75987994,5.47282350,0.01646032,0.25708026,1.26437134,0.78396602,0.05506699,3.05180513,0.92418769,0.38208164
-5.75387694,5.54487002,0.01741954,0.25512680,1.28435865,0.79581952,0.05495554,3.10161488,0.95026580,0.38380436
-5.74787394,5.60016209,0.01835039,0.25212554,1.30063159,0.80549693,0.05463302,3.14268007,0.97388498,0.38415348
-5.74187094,5.63947022,0.01924793,0.24817626,1.31332187,0.81312365,0.05412206,3.17533201,0.99494114,0.38322189
-5.73586793,5.66388798,0.02010940,0.24339507,1.32263305,0.81887333,0.05345032,3.20007799,1.01337548,0.38112821
-5.72986493,5.67482501,0.02093458,0.23791198,1.32883957,0.82296748,0.05265023,3.21760081,1.02917956,0.37801506
-5.72386193,5.67399473,0.02172600,0.23186827,1.33228425,0.82567441,0.05175859,3.22875517,1.04239940,0.37404676
-5.71785893,5.66339597,0.02248918,0.22541385,1.33337395,0.82730734,0.05081620,3.23456019,1.05313839,0.36940670
-5.71185593,5.64528739,0.02323263,0.21870450,1.33257311,0.82822134,0.04986737,3.23618743,1.06155856,0.36429419
