energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,1.02540697,-1.02540713,0.02462410,-0.02462411,0.02821958,-0.02821961,0.14726249,-0.14726248,0.07356377,-0.07356382,0.55033167,-0.55033177,0.15263768,-0.15263764,0.02132007,-0.02132007,0.58952783,-0.58952790
-5.99399700,1.01344073,-1.01344088,0.02422097,-0.02422098,0.02725533,-0.02725535,0.14696092,-0.14696090,0.07098302,-0.07098307,0.54050269,-0.54050280,0.15397442,-0.15397439,0.02136662,-0.02136662,0.58390250,-0.58390257
-5.98799400,1.00103419,-1.00103433,0.02381072,-0.02381074,0.02640442,-0.02640443,0.14698533,-0.14698529,0.06853485,-0.06853490,0.52987687,-0.52987699,0.15512557,-0.15512553,0.02134269,-0.02134269,0.57781630,-0.57781637
-5.98199100,0.98844935,-0.98844948,0.02337754,-0.02337756,0.02568827,-0.02568828,0.14746125,-0.14746121,0.06625370,-0.06625374,0.51880377,-0.51880388,0.15603469,-0.15603466,0.02124154,-0.02124154,0.57143547,-0.57143554
-5.97598799,0.97602886,-0.97602898,0.02290719,-0.02290720,0.02512811,-0.02512812,0.14852126,-0.14852120,0.06417733,-0.06417736,0.50766638,-0.50766650,0.15666378,-0.15666376,0.02105923,-0.02105923,0.56497596,-0.56497602
-5.96998499,0.96419497,-0.96419507,0.02238760,-0.02238761,0.02474458,-0.02474458,0.15030241,-0.15030235,0.06234676,-0.06234678,0.49687559,-0.49687569,0.15699539,-0.15699537,0.02079474,-0.02079474,0.55870242,-0.55870247
-5.96398199,0.95344498,-0.95344505,0.02180938,-0.02180940,0.02455735,-0.02455735,0.15294349,-0.15294341,0.06080609,-0.06080610,0.48686373,-0.48686381,0.15703384,-0.15703383,0.02044999,-0.02044999,0.55292525,-0.55292530
-5.95797899,0.94434326,-0.94434330,0.02116613,-0.02116614,0.02458468,-0.02458467,0.15658177,-0.15658167,0.05960200,-0.05960201,0.47807767,-0.47807773,0.15680544,-0.15680543,0.02002974,-0.02002975,0.54799569,-0.54799572
-5.95197599,0.93750984,-0.93750984,0.02045455,-0.02045456,0.02484294,-0.02484293,0.16134960,-0.16134948,0.05878316,-0.05878316,0.47097122,-0.47097124,0.15635767,-0.15635766,0.01954141,-0.01954142,0.54429883,-0.54429884
-5.94597299,0.93360580,-0.93360575,0.01967450,-0.01967452,0.02534613,-0.02534612,0.16737077,-0.16737063,0.05839936,-0.05839936,0.46599700,-0.46599699,0.15575746,-0.15575747,0.01899479,-0.01899480,0.54224500,-0.54224498
-5.93996998,0.93331585,-0.93331575,0.01882884,-0.01882886,0.02610540,-0.02610539,0.17475676,-0.17475660,0.05850050,-0.05850049,0.46359795,-0.46359789,0.15508860,-0.15508860,0.01840168,-0.01840169,0.54225932,-0.54225927
-5.93396698,0.93732856,-0.93732838,0.01792318,-0.01792320,0.02712854,-0.02712852,0.18360295,-0.18360276,0.05913539,-0.05913536,0.46419832,-0.46419821,0.15444830,-0.15444830,0.01777546,-0.01777547,0.54477001,-0.54476991
-5.92796398,0.94631475,-0.94631449,0.01696548,-0.01696550,0.02841954,-0.02841952,0.19398498,-0.19398478,0.06035037,-0.06035033,0.46819454,-0.46819437,0.15394336,-0.15394336,0.01713060,-0.01713061,0.55019552,-0.55019538
-5.92196098,0.96090489,-0.96090453,0.01596562,-0.01596565,0.02997817,-0.02997814,0.20595531,-0.20595507,0.06218789,-0.06218784,0.47594587,-0.47594563,0.15368583,-0.15368583,0.01648214,-0.01648216,0.55893117,-0.55893096
-5.91595798,0.98166613,-0.98166567,0.01493494,-0.01493497,0.03179960,-0.03179957,0.21954006,-0.21953980,0.06468494,-0.06468488,0.48776516,-0.48776485,0.15378849,-0.15378847,0.01584519,-0.01584520,0.57133536,-0.57133509
-5.90995498,1.00907989,-1.00907931,0.01388566,-0.01388568,0.03387416,-0.03387412,0.23473643,-0.23473614,0.06787149,-0.06787141,0.50390981,-0.50390943,0.15436038,-0.15436036,0.01523432,-0.01523433,0.58771621,-0.58771588
-5.90395198,1.04352078,-1.04352008,0.01283038,-0.01283041,0.03618708,-0.03618704,0.25151061,-0.25151030,0.07176896,-0.07176887,0.52457329,-0.52457283,0.15550257,-0.15550253,0.01466314,-0.01466315,0.60831888,-0.60831847
-5.89794897,1.08523773,-1.08523691,0.01178164,-0.01178166,0.03871846,-0.03871842,0.26979645,-0.26979611,0.07638876,-0.07638866,0.54987732,-0.54987678,0.15730424,-0.15730419,0.01414377,-0.01414378,0.63331403,-0.63331354
-5.89194597,1.13433813,-1.13433717,0.01075140,-0.01075143,0.04144329,-0.04144324,0.28949488,-0.28949452,0.08173100,-0.08173089,0.57986513,-0.57986451,0.15983941,-0.15983935,0.01368650,-0.01368650,0.66278817,-0.66278760
-5.88594297,1.19077557,-1.19077449,0.00975073,-0.00975075,0.04433157,-0.04433153,0.31047422,-0.31047384,0.08778340,-0.08778328,0.61449607,-0.61449537,0.16316429,-0.16316421,0.01329937,-0.01329938,0.69673595,-0.69673530
-5.87993997,1.25434197,-1.25434076,0.00878945,-0.00878947,0.04734868,-0.04734864,0.33257137,-0.33257098,0.09452045,-0.09452031,0.65364171,-0.65364093,0.16731541,-0.16731531,0.01298800,-0.01298801,0.73505504,-0.73505432
-5.87393697,1.32466434,-1.32466301,0.00787593,-0.00787595,0.05045576,-0.05045571,0.35559395,-0.35559354,0.10190295,-0.10190280,0.69708387,-0.69708302,0.17230854,-0.17230842,0.01275539,-0.01275539,0.77754376,-0.77754296
-5.86793397,1.40120657,-1.40120512,0.00701694,-0.00701696,0.05361031,-0.05361026,0.37932329,-0.37932287,0.10987788,-0.10987772,0.74451472,-0.74451379,0.17813848,-0.17813835,0.01260186,-0.01260186,0.82390160,-0.82390073
-5.86193097,1.48327628,-1.48327474,0.00621759,-0.00621761,0.05676690,-0.05676686,0.40351830,-0.40351787,0.11837869,-0.11837852,0.79553903,-0.79553803,0.18477955,-0.18477940,0.01252509,-0.01252510,0.87373285,-0.87373192
-5.85592796,1.57003668,-1.57003505,0.00548132,-0.00548134,0.05987802,-0.05987797,0.42792004,-0.42791961,0.12732600,-0.12732582,0.84967889,-0.84967783,0.19218683,-0.19218666,0.01252025,-0.01252025,0.92655314,-0.92655215
-5.84992496,1.66052300,-1.66052129,0.00480996,-0.00480998,0.06289496,-0.06289492,0.45225694,-0.45225652,0.13662873,-0.13662855,0.90638068,-0.90637958,0.20029799,-0.20029780,0.01258018,-0.01258018,0.98179878,-0.98179775
-5.84392196,1.75366309,-1.75366133,0.00420389,-0.00420390,0.06576889,-0.06576885,0.47625050,-0.47625007,0.14618564,-0.14618545,0.96502436,-0.96502322,0.20903557,-0.20903536,0.01269571,-0.01269570,1.03883870,-1.03883764
-5.83791896,1.84830149,-1.84829968,0.00366213,-0.00366214,0.06845186,-0.06845182,0.49962116,-0.49962074,0.15588722,-0.15588703,1.02493484,-1.02493367,0.21830960,-0.21830938,0.01285599,-0.01285599,1.09698842,-1.09698732
-5.83191596,1.94322596,-1.94322413,0.00318260,-0.00318261,0.07089794,-0.07089791,0.52209441,-0.52209401,0.16561793,-0.16561773,1.08539521,-1.08539402,0.22802038,-0.22802015,0.01304891,-0.01304891,1.15552566,-1.15552455
-5.82591296,2.03719580,-2.03719397,0.00276228,-0.00276229,0.07306427,-0.07306425,0.54340668,-0.54340629,0.17525858,-0.17525839,1.14566140,-1.14566020,0.23806127,-0.23806102,0.01326153,-0.01326153,1.21370713,-1.21370602
-5.81990995,2.12897058,-2.12896877,0.00239742,-0.00239743,0.07491211,-0.07491209,0.56331088,-0.56331052,0.18468902,-0.18468883,1.20497791,-1.20497672,0.24832130,-0.24832104,0.01348052,-0.01348051,1.27078560,-1.27078450
-5.81390695,2.21733849,-2.21733672,0.00208377,-0.00208377,0.07640776,-0.07640775,0.58158154,-0.58158120,0.19379071,-0.19379052,1.26259398,-1.26259281,0.25868766,-0.25868740,0.01369262,-0.01369261,1.32602690,-1.32602581
-5.80790395,2.30114313,-2.30114141,0.00181671,-0.00181671,0.07752343,-0.07752343,0.59801911,-0.59801879,0.20244939,-0.20244920,1.31777978,-1.31777864,0.26904770,-0.26904742,0.01388509,-0.01388509,1.37872607,-1.37872501
-5.80190095,2.37930781,-2.37930617,0.00159151,-0.00159151,0.07823792,-0.07823792,0.61245353,-0.61245324,0.21055751,-0.21055733,1.36984196,-1.36984086,0.27929056,-0.27929028,0.01404612,-0.01404612,1.42822212,-1.42822111
-5.79589795,2.45085662,-2.45085507,0.00140341,-0.00140341,0.07853714,-0.07853714,0.62474679,-0.62474654,0.21801651,-0.21801634,1.41813805,-1.41813700,0.28930844,-0.28930815,0.01416519,-0.01416518,1.47391095,-1.47390998
-5.78989495,2.51493152,-2.51493007,0.00124777,-0.00124777,0.07841441,-0.07841442,0.63479451,-0.63479429,0.22473872,-0.22473856,1.46208917,-1.46208819,0.29899731,-0.29899702,0.01423334,-0.01423334,1.51525590,-1.51525500
-5.78389195,2.57080507,-2.57080375,0.00112018,-0.00112018,0.07787064,-0.07787065,0.64252645,-0.64252626,0.23064892,-0.23064877,1.50119073,-1.50118982,0.30825733,-0.30825705,0.01424348,-0.01424349,1.55179589,-1.55179506
