energy_ev,total_up,C_s_up,C_p_up,Pd_p_up,Pd_d_up,Te_p_up,Te_d_up,Zn_p_up,Zn_d_up
-6.00000000,4.18401076,0.02592768,0.42033266,2.66332101,2.68736592,0.67160132,0.00000000,0.26986003,0.05232711
-5.99399700,4.47174507,0.02449454,0.43648124,2.73366400,2.91083837,0.71083072,0.00000000,0.28635589,0.05507101
-5.98799400,4.79168109,0.02316890,0.45543578,2.81878031,3.15581953,0.75549963,0.00000000,0.30529058,0.05824641
-5.98199100,5.14180179,0.02196380,0.47708772,2.91804148,3.42076137,0.80530278,0.00000000,0.32661413,0.06183325
-5.97598799,5.51924497,0.02088855,0.50125351,3.03038636,3.70355869,0.85979310,0.00000000,0.35021953,0.06580082
-5.96998499,5.92032427,0.01994858,0.52767640,3.15433246,4.00156504,0.91838426,0.00000000,0.37594151,0.07010790
-5.96398199,6.34057978,0.01914546,0.55603097,3.28800531,4.31162774,0.98035831,0.00000000,0.40355746,0.07470325
-5.95797899,6.77485824,0.01847704,0.58593027,3.42918492,4.63014182,1.04487860,0.00000000,0.43279069,0.07952653
-5.95197599,7.21742118,0.01793777,0.61693535,3.57536793,4.95312211,1.11100776,0.00000000,0.46331584,0.08450947
-5.94597299,7.66207853,0.01751903,0.64856695,3.72384316,5.27629157,1.17773034,0.00000000,0.49476655,0.08957749
-5.93996998,8.10234339,0.01720968,0.68031884,3.87177769,5.59518336,1.24397959,0.00000000,0.52674511,0.09465146
-5.93396698,8.53160311,0.01699659,0.71167235,4.01630981,5.90525344,1.30866742,0.00000000,0.55883373,0.09964985
-5.92796398,8.94330061,0.01686524,0.74211154,4.15464534,6.20199967,1.37071663,0.00000000,0.59060715,0.10449088
-5.92196098,9.33111923,0.01680034,0.77113849,4.28415291,6.48108330,1.42909415,0.00000000,0.62164604,0.10909485
-5.91595798,9.68916427,0.01678642,0.79828788,4.40245456,6.73844830,1.48284403,0.00000000,0.65155069,0.11338645
-5.90995498,10.01213411,0.01680845,0.82314059,4.50750756,6.97043405,1.53111896,0.00000000,0.67995445,0.11729684
-5.90395198,10.29547445,0.01685231,0.84533561,4.59767409,7.17387718,1.57320890,0.00000000,0.70653620,0.12076575
-5.89794897,10.53550951,0.01690526,0.86457975,4.67177593,7.34619873,1.60856563,0.00000000,0.73103153,0.12374310
-5.89194597,10.72954533,0.01695632,0.88065499,4.72913161,7.48547348,1.63682228,0.00000000,0.75324180,0.12619045
-5.88594297,10.87594133,0.01699651,0.89342307,4.76957493,7.59047897,1.65780687,0.00000000,0.77304098,0.12808196
-5.87993997,10.97414766,0.01701900,0.90282722,4.79345368,7.66072287,1.67154929,0.00000000,0.79037962,0.12940496
-5.87393697,11.02470740,0.01701921,0.90889105,4.80160918,7.69644775,1.67828135,0.00000000,0.80528596,0.13016014
-5.86793397,11.02922408,0.01699478,0.91171478,4.79533721,7.69861399,1.67842997,0.00000000,0.81786399,0.13036117
-5.86193097,10.99029649,0.01694540,0.91146895,4.77633243,7.66886160,1.67260361,0.00000000,0.82828849,0.13003408
-5.85592796,10.91142385,0.01687264,0.90838600,4.74661836,7.60945326,1.66157260,0.00000000,0.83679739,0.12921613
-5.84992496,10.79688562,0.01677967,0.90275013,4.70846626,7.52320085,1.64624400,0.00000000,0.84368162,0.12795446
