energy_ev,total_up,C_s_up,C_p_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up,V_p_up,V_d_up
-6.00000000,4.61887474,0.04005197,0.51512196,0.08336587,2.25052579,0.77308482,0.33262852,1.93968425,0.42325944
-5.99399700,4.87985447,0.04403581,0.54342382,0.08670800,2.37888395,0.82808266,0.34933814,2.04492724,0.45214173
-5.98799400,5.13963446,0.04815442,0.57173112,0.08999835,2.50630017,0.88364764,0.36560790,2.14698626,0.48208868
-5.98199100,5.39616398,0.05237563,0.59979520,0.09321352,2.63182743,0.93932261,0.38132276,2.24492072,0.51286315
-5.97598799,5.64744586,0.05666361,0.62736661,0.09633155,2.75455818,0.99465470,0.39637551,2.33785783,0.54420621
-5.96998499,5.89156016,0.06097940,0.65419745,0.09933203,2.87363598,1.04920501,0.41066748,2.42500809,0.57583866
-5.96398199,6.12668297,0.06528167,0.68004331,0.10219599,2.98826435,1.10255732,0.42410886,2.50567724,0.60746283
-5.95797899,6.35110034,0.06952747,0.70466498,0.10490587,3.09771273,1.15432569,0.43661878,2.57927457,0.63876494
-5.95197599,6.56321741,0.07367317,0.72782994,0.10744538,3.20131951,1.20416019,0.44812507,2.64531721,0.66941786
-5.94597299,6.76156318,0.07767537,0.74931377,0.10979944,3.29849220,1.25175084,0.45856392,2.70343060,0.69908447
-5.93996998,6.94479145,0.08149186,0.76890161,0.11195404,3.38870499,1.29682939,0.46787931,2.75334535,0.72742169
-5.93396698,7.11167881,0.08508253,0.78638968,0.11389622,3.47149423,1.33916897,0.47602250,2.79489095,0.75408513
-5.92796398,7.26112063,0.08841024,0.80158704,0.11561399,3.54645215,1.37858180,0.48295148,2.82798683,0.77873432
-5.92196098,7.39212597,0.09144163,0.81431758,0.11709639,3.61321969,1.41491510,0.48863048,2.85263173,0.80103851
-5.91595798,7.50381248,0.09414773,0.82442232,0.11833348,3.67147878,1.44804553,0.49302964,2.86889187,0.82068288
-5.90995498,7.59540229,0.09650451,0.83176192,0.11931640,3.72094509,1.47787274,0.49612477,2.87688898,0.83737507
-5.90395198,7.66621958,0.09849322,0.83621948,0.12003749,3.76136166,1.50431243,0.49789733,2.87678886,0.85085166
-5.89794897,7.71569070,0.10010056,0.83770339,0.12049032,3.79249411,1.52728952,0.49833456,2.86879118,0.86088469
-5.89194597,7.74334704,0.10131868,0.83615031,0.12066982,3.81412791,1.54673201,0.49742974,2.85312117,0.86728762
-5.88594297,7.74883110,0.10214502,0.83152790,0.12057230,3.82606807,1.56256588,0.49518263,2.83002358,0.86992080
-5.87993997,7.73190544,0.10258200,0.82383741,0.12019552,3.82814145,1.57471170,0.49159997,2.79975916,0.86869603
-5.87393697,7.69246447,0.10263655,0.81311578,0.11953873,3.82020169,1.58308298,0.48669611,2.76260376,0.86358004
-5.86793397,7.63054824,0.10231959,0.79943713,0.11860269,3.80213668,1.58758672,0.48049363,2.71884987,0.85459679
-5.86193097,7.54635768,0.10164541,0.78291361,0.11738964,3.77387821,1.58812593,0.47302391,2.66881043,0.84182831
-5.85592796,7.44027022,0.10063102,0.76369540,0.11590333,3.73541331,1.58460427,0.46432774,2.61282427,0.82541415
-5.84992496,7.31285486,0.09929553,0.74196980,0.11414900,3.68679668,1.57693235,0.45445578,2.55126286,0.80554934
-5.84392196,7.16488558,0.09765954,0.71795944,0.11213342,3.62816356,1.56503546,0.44346889,2.48453760,0.78248089
-5.83791896,6.99735194,0.09574463,0.69191959,0.10986487,3.55974217,1.54886228,0.43143834,2.41310704,0.75650297
-5.83191596,6.81146601,0.09357288,0.66413453,0.10735324,3.48186502,1.52839388,0.41844581,2.33748345,0.72795094
-5.82591296,6.60866470,0.09116653,0.63491328,0.10461004,3.39497829,1.50365270,0.40458321,2.25823801,0.69719440
-5.81990995,6.39060671,0.08854780,0.60458457,0.10164855,3.29964856,1.47471069,0.38995228,2.17600428,0.66462940
-5.81390695,6.15916367,0.08573866,0.57349141,0.09848385,3.19656627,1.44169629,0.37466397,2.09147934,0.63067031
-5.80790395,5.91640525,0.08276088,0.54198530,0.09513296,3.08654554,1.40479968,0.35883756,2.00542242,0.59574137
-5.80190095,5.66457789,0.07963600,0.51042020,0.09161488,2.97051978,1.36427592,0.34259957,1.91865068,0.56026828
-5.79589795,5.40607772,0.07638546,0.47914663,0.08795061,2.84953323,1.32044575,0.32608245,1.83203217,0.52467011
-5.78989495,5.14341763,0.07303070,0.44850580,0.08416319,2.72472817,1.27369383,0.30942301,1.74647593,0.48935170
-5.78389195,4.87918945,0.06959329,0.41882410,0.08027757,2.59732815,1.22446442,0.29276063,1.66291931,0.45469670
-5.77788894,4.61602176,0.06609503,0.39040791,0.07632042,2.46861753,1.17325465,0.27623535,1.58231275,0.42106152
-5.77188594,4.35653440,0.06255802,0.36353894,0.07231996,2.33991781,1.12060536,0.25998567,1.50560247,0.38877012
-5.76588294,4.10329069,0.05900465,0.33847002,0.06830553,2.21256151,1.06709008,0.24414637,1.43371112,0.35810983
-5.75987994,3.85874866,0.05545753,0.31542159,0.06430722,2.08786423,1.01330230,0.22884612,1.36751724,0.32932823
-5.75387694,3.62521249,0.05193940,0.29457864,0.06035534,1.96709586,0.95984165,0.21420513,1.30783380,0.30263091
-5.74787394,3.40478550,0.04847283,0.27608836,0.05647985,1.85145174,0.90729943,0.20033279,1.25538653,0.27818038
-5.74187094,3.19932625,0.04508006,0.26005835,0.05270975,1.74202491,0.85624399,0.18732543,1.21079266,0.25609571
-5.73586793,3.01040883,0.04178262,0.24655551,0.04907248,1.63978020,0.80720656,0.17526430,1.17454094,0.23645318
-5.72986493,2.83928907,0.03860103,0.23560553,0.04559331,1.54553121,0.76066812,0.16421368,1.14697343,0.21928762
-5.72386193,2.68687762,0.03555445,0.22719307,0.04229474,1.45992109,0.71704761,0.15421939,1.12827017,0.20459453
-5.71785893,2.55372126,0.03266039,0.22126261,0.03919604,1.38340774,0.67669221,0.14530773,1.11843723,0.19233286
-5.71185593,2.43999326,0.02993442,0.21772010,0.03631282,1.31625419,0.63986977,0.13748479,1.11729904,0.18242829
-5.70585293,2.34549374,0.02738995,0.21643525,0.03365678,1.25852463,0.60676400,0.13073631,1.12449554,0.17477719
-5.69984992,2.26966027,0.02503814,0.21724468,0.03123551,1.21008639,0.57747228,0.12502809,1.13948482,0.16925099
-5.69384692,2.21158900,0.02288780,0.21995588,0.02905249,1.17061794,0.55200652,0.12030695,1.16155140,0.16570094
-5.68784392,2.17006605,0.02094549,0.22435187,0.02710723,1.13962282,0.53029673,0.11650228,1.18982042,0.16396337
-5.68184092,2.14360848,0.01921560,0.23019663,0.02539549,1.11644913,0.51219740,0.11352810,1.22327769,0.16386505
-5.67583792,2.13051391,0.01770063,0.23724117,0.02390972,1.10031409,0.49749629,0.11128562,1.26079503,0.16522891
-5.66983492,2.12891728,0.01640138,0.24523011,0.02263948,1.09033273,0.48592537,0.10966623,1.30116045,0.16787977
-5.66383192,2.13685297,0.01531740,0.25390855,0.02157212,1.08554989,0.47717339,0.10855485,1.34311217,0.17164998
-5.65782891,2.15232027,0.01444723,0.26302916,0.02069332,1.08497437,0.47089966,0.10783344,1.38537530,0.17638499
-5.65182591,2.17334977,0.01378886,0.27235910,0.01998783,1.08761392,0.46674830,0.10738474,1.42669998,0.18194838
-5.64582291,2.19806837,0.01334001,0.28168661,0.01944014,1.09250993,0.46436272,0.10709589,1.46589932,0.18822652
-5.63981991,2.22476040,0.01309848,0.29082692,0.01903511,1.09877041,0.46339930,0.10686197,1.50188581,0.19513244
-5.63381691,2.25192255,0.01306235,0.29962732,0.01875862,1.10560017,0.46354019,0.10658928,1.53370459,0.20260880
