energy_ev,total_up,Nb_p_up,Nb_d_up,Pb_p_up,Pb_d_up,Te_p_up,Te_d_up
-6.00000000,0.44556096,0.24708090,0.03393609,0.03052464,0.00046705,0.30146826,0.00000000
-5.99399700,0.49463472,0.27378884,0.03834168,0.03396066,0.00051730,0.33462094,0.00000000
-5.98799400,0.54547836,0.30127650,0.04314963,0.03754713,0.00056894,0.36895140,0.00000000
-5.98199100,0.59762656,0.32923557,0.04839152,0.04125926,0.00062136,0.40414016,0.00000000
-5.97598799,0.65056902,0.35732460,0.05410665,0.04507032,0.00067390,0.43983662,0.00000000
-5.96998499,0.70376663,0.38517734,0.06034407,0.04895274,0.00072583,0.47566996,0.00000000
-5.96398199,0.75667043,0.41241291,0.06716461,0.05287951,0.00077642,0.51126201,0.00000000
-5.95797899,0.80874297,0.43864743,0.07464292,0.05682559,0.00082489,0.54624170,0.00000000
-5.95197599,0.85948103,0.46350661,0.08286920,0.06076948,0.00087053,0.58026043,0.00000000
-5.94597299,0.90843878,0.48663899,0.09195061,0.06469473,0.00091263,0.61300781,0.00000000
-5.93996998,0.95525020,0.50772904,0.10201224,0.06859137,0.00095058,0.64422691,0.00000000
-5.93396698,0.99964968,0.52650960,0.11319730,0.07245717,0.00098383,0.67372824,0.00000000
-5.92796398,1.04148947,0.54277313,0.12566659,0.07629866,0.00101199,0.70140172,0.00000000
-5.92196098,1.08075308,0.55638102,0.13959702,0.08013179,0.00103476,0.72722575,0.00000000
-5.91595798,1.11756355,0.56727059,0.15517907,0.08398224,0.00105204,0.75127297,0.00000000
-5.90995498,1.15218599,0.57545933,0.17261329,0.08788529,0.00106386,0.77371204,0.00000000
-5.90395198,1.18502390,0.58104605,0.19210564,0.09188524,0.00107044,0.79480523,0.00000000
-5.89794897,1.21660920,0.58420896,0.21386193,0.09603440,0.00107214,0.81490165,0.00000000
-5.89194597,1.24758608,0.58520053,0.23808127,0.10039166,0.00106951,0.83442635,0.00000000
-5.88594297,1.27868934,0.58433943,0.26494895,0.10502068,0.00106322,0.85386559,0.00000000
-5.87993997,1.31071790,0.58199987,0.29462867,0.10998783,0.00105410,0.87374880,0.00000000
-5.87393697,1.34450470,0.57859884,0.32725473,0.11535988,0.00104307,0.89462803,0.00000000
-5.86793397,1.38088421,0.57458165,0.36292413,0.12120160,0.00103111,0.91705577,0.00000000
-5.86193097,1.42065889,0.57040665,0.40168922,0.12757331,0.00101930,0.94156203,0.00000000
-5.85592796,1.46456620,0.56652958,0.44355092,0.13452859,0.00100869,0.96863173,0.00000000
-5.84992496,1.51324736,0.56338829,0.48845307,0.14211212,0.00100036,0.99868342,0.00000000
-5.84392196,1.56721933,0.56138841,0.53627797,0.15035776,0.00099532,1.03205007,0.00000000
-5.83791896,1.62685086,0.56089049,0.58684347,0.15928694,0.00099452,1.06896289,0.00000000
-5.83191596,1.69234372,0.56219906,0.63990166,0.16890745,0.00099881,1.10953870,0.00000000
-5.82591296,1.76371939,0.56555387,0.69513938,0.17921251,0.00100893,1.15377121,0.00000000
-5.81990995,1.84081176,0.57112354,0.75218042,0.19018020,0.00102546,1.20152657,0.00000000
-5.81390695,1.92326559,0.57900167,0.81058949,0.20177330,0.00104883,1.25254313,0.00000000
-5.80790395,2.01054065,0.58920536,0.86987776,0.21393928,0.00107929,1.30643527,0.00000000
-5.80190095,2.10192109,0.60167605,0.92950985,0.22661069,0.00111692,1.36270098,0.00000000
-5.79589795,2.19652924,0.61628241,0.98891204,0.23970565,0.00116160,1.42073276,0.00000000
-5.78989495,2.29334341,0.63282509,1.04748147,0.25312863,0.00121302,1.47983137,0.00000000
-5.78389195,2.39121882,0.65104306,1.10459609,0.26677130,0.00127069,1.53922171,0.00000000
-5.77788894,2.48891089,0.67062122,1.15962512,0.28051365,0.00133394,1.59807049,0.00000000
-5.77188594,2.58510043,0.69119910,1.21193973,0.29422521,0.00140193,1.65550485,0.00000000
-5.76588294,2.67842012,0.71238034,1.26092393,0.30776656,0.00147365,1.71063175,0.00000000
-5.75987994,2.76748173,0.73374290,1.30598524,0.32099105,0.00154799,1.76255743,0.00000000
-5.75387694,2.85090395,0.75484964,1.34656521,0.33374694,0.00162368,1.81040676,0.00000000
-5.74787394,2.92734042,0.77525936,1.38214959,0.34587976,0.00169939,1.85334206,0.00000000
-5.74187094,2.99550777,0.79453802,1.41227809,0.35723522,0.00177371,1.89058130,0.00000000
-5.73586793,3.05421362,0.81227010,1.43655359,0.36766249,0.00184522,1.92141531,0.00000000
-5.72986493,3.10238402,0.82806999,1.45465077,0.37701790,0.00191249,1.94522403,0.00000000
-5.72386193,3.13909025,0.84159312,1.46632405,0.38516903,0.00197413,1.96149137,0.00000000
-5.71785893,3.16357448,0.85254681,1.47141465,0.39199907,0.00202884,1.96981873,0.00000000
-5.71185593,3.17527361,0.86070049,1.46985668,0.39741133,0.00207543,1.96993674,0.00000000
-5.70585293,3.17384077,0.86589488,1.46168207,0.40133371,0.00211287,1.96171507,0.00000000
-5.69984992,3.15916355,0.86805012,1.44702397,0.40372300,0.00214030,1.94516986,0.00000000
-5.69384692,3.13137816,0.86717207,1.42611869,0.40456861,0.00215708,1.92046866,0.00000000
-5.68784392,3.09087849,0.86335670,1.39930558,0.40389565,0.00216284,1.88793219,0.00000000
-5.68184092,3.03831937,0.85679211,1.36702490,0.40176709,0.00215741,1.84803300,0.00000000
-5.67583792,2.97461305,0.84775781,1.32981340,0.39828462,0.00214094,1.80139036,0.00000000
-5.66983492,2.90091852,0.83662101,1.28829738,0.39358830,0.00211383,1.74876151,0.00000000
-5.66383192,2.81862312,0.82382984,1.24318340,0.38785459,0.00207672,1.69102900,0.00000000
-5.65782891,2.72931653,0.80990333,1.19524640,0.38129291,0.00203055,1.62918425,0.00000000
-5.65182591,2.63475733,0.79541828,1.14531561,0.37414062,0.00197643,1.56430756,0.00000000
-5.64582291,2.53683290,0.78099328,1.09425833,0.36665659,0.00191569,1.49754491,0.00000000
-5.63981991,2.43751344,0.76727019,1.04296206,0.35911347,0.00184981,1.43008208,0.00000000
-5.63381691,2.33880169,0.75489364,0.99231529,0.35178897,0.00178039,1.36311687,0.00000000
-5.62781391,2.24267979,0.74448930,0.94318767,0.34495650,0.00170906,1.29783006,0.00000000
-5.62181091,2.15105515,0.73664144,0.89640998,0.33887542,0.00163749,1.23535627,0.00000000
-5.61580790,2.06570739,0.73187094,0.85275470,0.33378152,0.00156731,1.17675546,0.00000000
-5.60980490,1.98823834,0.73061441,0.81291778,0.32987803,0.00150005,1.12298620,0.00000000
