energy_ev,total_up,C_s_up,C_p_up,Ni_p_up,Ni_d_up,Se_s_up,Se_p_up,V_p_up,V_d_up
-6.00000000,3.05796344,0.02451502,0.25681068,0.50995502,0.29625581,0.06734834,1.43159918,0.35322214,0.35245321
-5.99399700,3.06635608,0.02372001,0.25462114,0.51333683,0.29778151,0.06592726,1.44048126,0.36045634,0.35174574
-5.98799400,3.06360317,0.02284559,0.25101286,0.51540041,0.29818415,0.06422254,1.44492930,0.36609982,0.34959064
-5.98199100,3.04931402,0.02189886,0.24601265,0.51599001,0.29745277,0.06224179,1.44464518,0.36999599,0.34600844
-5.97598799,3.02345142,0.02088938,0.23967899,0.51501089,0.29560733,0.06000062,1.43949471,0.37203559,0.34105793
-5.96998499,2.98631489,0.01982874,0.23209981,0.51242780,0.29269656,0.05752190,1.42950151,0.37215884,0.33483258
-5.96398199,2.93851108,0.01872999,0.22338935,0.50826120,0.28879467,0.05483469,1.41483468,0.37035577,0.32745587
-5.95797899,2.88091348,0.01760708,0.21368432,0.50258114,0.28399714,0.05197311,1.39579098,0.36666477,0.31907550
-5.95197599,2.81461355,0.01647429,0.20313946,0.49549957,0.27841581,0.04897502,1.37277271,0.36116946,0.30985707
-5.94597299,2.74086604,0.01534567,0.19192280,0.48716127,0.27217353,0.04588066,1.34626244,0.35399406,0.29997737
-5.93996998,2.66103132,0.01423458,0.18021080,0.47773413,0.26539867,0.04273134,1.31679610,0.34529760,0.28961761
-5.93396698,2.57651768,0.01315320,0.16818351,0.46739907,0.25821970,0.03956821,1.28493576,0.33526721,0.27895710
-5.92796398,2.48872636,0.01211225,0.15602009,0.45634042,0.25076019,0.03643109,1.25124355,0.32411078,0.26816736
-5.92196098,2.39900182,0.01112071,0.14389469,0.44473696,0.24313442,0.03335754,1.21625793,0.31204960,0.25740726
-5.91595798,2.30858952,0.01018566,0.13197290,0.43275426,0.23544376,0.03038206,1.18047355,0.29931111,0.24681912
-5.90995498,2.21860270,0.00931224,0.12040893,0.42053854,0.22777404,0.02753547,1.14432542,0.28612211,0.23652594
-5.90395198,2.12999938,0.00850365,0.10934340,0.40821233,0.22019400,0.02484459,1.10817804,0.27270288,0.22663002
-5.89794897,2.04356997,0.00776128,0.09890189,0.39587204,0.21275469,0.02233201,1.07231970,0.25926232,0.21721264
-5.89194597,1.95993527,0.00708485,0.08919427,0.38358742,0.20549010,0.02001609,1.03696212,0.24599417,0.20833500
-5.88594297,1.87955428,0.00647264,0.08031454,0.37140288,0.19841854,0.01791115,1.00224473,0.23307463,0.20004008
-5.87993997,1.80274036,0.00592178,0.07234133,0.35934034,0.19154497,0.01602769,0.96824333,0.22066114,0.19235536
-5.87393697,1.72968420,0.00542846,0.06533880,0.34740343,0.18486394,0.01437283,0.93498210,0.20889236,0.18529611
-5.86793397,1.66048150,0.00498829,0.05935791,0.33558256,0.17836288,0.01295074,0.90244803,0.19788929,0.17886894
-5.86193097,1.59516347,0.00459656,0.05443787,0.32386066,0.17202571,0.01176309,0.87060673,0.18775714,0.17307548
-5.85592796,1.53372764,0.00424848,0.05060770,0.31221892,0.16583640,0.01080953,0.83941846,0.17858797,0.16791583
-5.84992496,1.47616736,0.00393949,0.04788772,0.30064239,0.15978226,0.01008813,0.80885342,0.17046379,0.16339160
-5.84392196,1.42249804,0.00366543,0.04629099,0.28912503,0.15385698,0.00959579,0.77890538,0.16345982,0.15950835
-5.83791896,1.37277868,0.00342275,0.04582453,0.27767382,0.14806304,0.00932853,0.74960287,0.15764794,0.15627731
-5.83191596,1.32712794,0.00320868,0.04649031,0.26631187,0.14241356,0.00928175,0.72101750,0.15309996,0.15371624
-5.82591296,1.28573405,0.00302134,0.04828597,0.25508045,0.13693345,0.00945040,0.69326908,0.14989068,0.15184955
-5.81990995,1.24885873,0.00285982,0.05120537,0.24403971,0.13165997,0.00982904,0.66652748,0.14810077,0.15070757
-5.81390695,1.21683534,0.00272425,0.05523889,0.23326835,0.12664253,0.01041189,0.64101146,0.14781922,0.15032518
-5.80790395,1.19006234,0.00261587,0.06037365,0.22286235,0.12194210,0.01119277,0.61698490,0.14914564,0.15073992
-5.80190095,1.16899300,0.00253698,0.06659359,0.21293284,0.11763005,0.01216501,0.59475079,0.15219226,0.15198976
-5.79589795,1.15412273,0.00249099,0.07387972,0.20360343,0.11378670,0.01332137,0.57464391,0.15708575,0.15411079
-5.78989495,1.14597548,0.00248235,0.08221035,0.19500727,0.11049967,0.01465393,0.55702257,0.16396894,0.15713492
-5.78389195,1.14509049,0.00251653,0.09156166,0.18728398,0.10786218,0.01615400,0.54226031,0.17300247,0.16108802
-5.77788894,1.15201070,0.00259994,0.10190844,0.18057685,0.10597130,0.01781207,0.53073807,0.18436638,0.16598847
-5.77188594,1.16727357,0.00273985,0.11322517,0.17503024,0.10492632,0.01961784,0.52283730,0.19826151,0.17184637
-5.76588294,1.19140509,0.00294426,0.12548747,0.17078755,0.10482733,0.02156020,0.51893436,0.21491080,0.17866349
-5.75987994,1.22491704,0.00322179,0.13867370,0.16798974,0.10577386,0.02362741,0.51939637,0.23456015,0.18643399
-5.75387694,1.26830735,0.00358150,0.15276692,0.16677426,0.10786378,0.02580723,0.52457843,0.25747866,0.19514589
-5.74787394,1.32206283,0.00403269,0.16775682,0.16727458,0.11119223,0.02808716,0.53482204,0.28395813,0.20478309
-5.74187094,1.38666334,0.00458466,0.18364160,0.16961996,0.11585060,0.03045462,0.55045429,0.31431123,0.21532797
-5.73586793,1.46258617,0.00524642,0.20042970,0.17393537,0.12192546,0.03289729,0.57178736,0.34886829,0.22676412
-5.72986493,1.55030893,0.00602641,0.21814093,0.18034141,0.12949739,0.03540331,0.59911768,0.38797224,0.23907917
-5.72386193,1.65030970,0.00693212,0.23680707,0.18895387,0.13863954,0.03796150,0.63272431,0.43197141,0.25226726
-5.71785893,1.76306272,0.00796973,0.25647156,0.19988283,0.14941587,0.04056160,0.67286569,0.48121013,0.26633098
-5.71185593,1.88902858,0.00914374,0.27718820,0.21323104,0.16187917,0.04319433,0.71977461,0.53601687,0.28128249
-5.70585293,2.02863782,0.01045653,0.29901869,0.22909145,0.17606855,0.04585146,0.77365072,0.59669011,0.29714353
-5.69984992,2.18226761,0.01190798,0.32202902,0.24754376,0.19200682,0.04852576,0.83465068,0.66348205,0.31394438
-5.69384692,2.35021155,0.01349516,0.34628464,0.26865011,0.20969750,0.05121090,0.90287597,0.73658056,0.33172130
-5.68784392,2.53264327,0.01521198,0.37184457,0.29244976,0.22912174,0.05390121,0.97835848,0.81609001,0.35051291
-5.68184092,2.72957519,0.01704894,0.39875467,0.31895313,0.25023534,0.05659148,1.06104471,0.90201160,0.37035524
-5.67583792,2.94081417,0.01899304,0.42704019,0.34813535,0.27296592,0.05927666,1.15077907,0.99422416,0.39127583
-5.66983492,3.16591669,0.02102772,0.45669819,0.37992965,0.29721064,0.06195150,1.24728749,1.09246651,0.41328716
-5.66383192,3.40414604,0.02313297,0.48768998,0.41422093,0.32283444,0.06461032,1.35016217,1.19632219,0.43637970
-5.65782891,3.65443482,0.02528557,0.51993427,0.45084011,0.34966932,0.06724673,1.45884893,1.30520808,0.46051513
-5.65182591,3.91535555,0.02745949,0.55330135,0.48955948,0.37751452,0.06985347,1.57263811,1.41836753,0.48562003
-5.64582291,4.18510256,0.02962645,0.58760878,0.53008966,0.40613799,0.07242227,1.69066020,1.53486925,0.51158068
-5.63981991,4.46148758,0.03175658,0.62261906,0.57207858,0.43527914,0.07494392,1.81188725,1.65361259,0.53823928
-5.63381691,4.74195111,0.03381928,0.65803962,0.61511268,0.46465289,0.07740836,1.93514064,1.77333964,0.56539209
-5.62781391,5.02359098,0.03578408,0.69352525,0.65872072,0.49395503,0.07980491,2.05910575,1.89265449,0.59278970
-5.62181091,5.30320842,0.03762170,0.72868333,0.70238033,0.52286877,0.08212261,2.18235356,2.01004937,0.62013974
-5.61580790,5.57737138,0.03930506,0.76308153,0.74552714,0.55107221,0.08435065,2.30336892,2.12393723,0.64711205
-5.60980490,5.84249350,0.04081030,0.79625813,0.78756658,0.57824670,0.08647884,2.42058493,2.23268989,0.67334616
-5.60380190,6.09492640,0.04211776,0.82773448,0.82788783,0.60408550,0.08849811,2.53242218,2.33468051,0.69846115
-5.59779890,6.33106208,0.04321292,0.85702908,0.86587962,0.62830263,0.09040101,2.63733169,2.42832886,0.72206714
-5.59179590,6.54744133,0.04408706,0.88367302,0.90094724,0.65064147,0.09218222,2.73383977,2.51214775,0.74377839
-5.58579290,6.74086366,0.04473795,0.90722572,0.93253013,0.67088268,0.09383891,2.82059300,2.58478855,0.76322700
-5.57978989,6.90849382,0.04517011,0.92729061,0.96011930,0.68885118,0.09537106,2.89640138,2.64508412,0.78007695
-5.57378689,7.04796006,0.04539502,0.94352985,0.98327371,0.70442183,0.09678171,2.96027763,2.69208694,0.79403752
-5.56778389,7.15743930,0.04543092,0.95567732,1.00163506,0.71752343,0.09807698,3.01147080,2.72510092,0.80487551
-5.56178089,7.23572492,0.04530251,0.96354941,1.01493999,0.72814103,0.09926604,3.04949254,2.74370534,0.81242565
-5.55577789,7.28227373,0.04504023,0.96705286,1.02302927,0.73631623,0.10036091,3.07413455,2.74776968,0.81659853
-5.54977489,7.29722931,0.04467940,0.96618936,1.02585347,0.74214546,0.10137611,3.08547635,2.73745859,0.81738561
-5.54377189,7.28142024,0.04425914,0.96105651,1.02347467,0.74577632,0.10232823,3.08388269,2.71322676,0.81486110
-5.53776888,7.23633279,0.04382108,0.95184515,1.01606414,0.74740196,0.10323536,3.06999064,2.67580373,0.80918030
-5.53176588,7.16405901,0.04340795,0.93883306,1.00389612,0.74725390,0.10411644,3.04468662,2.62616930,0.80057470
-5.52576288,7.06722206,0.04306208,0.92237533,0.98733777,0.74559331,0.10499054,3.00907442,2.56552062,0.78934370
-5.51975988,6.94888219,0.04282391,0.90289172,0.96683593,0.74270128,0.10587612,2.96443546,2.49523236,0.77584364
-5.51375688,6.81242719,0.04273047,0.88085171,0.94290117,0.73886830,0.10679026,2.91218298,2.41681173,0.76047428
-5.50775388,6.66145243,0.04281399,0.85675786,0.91608985,0.73438357,0.10774789,2.85381230,2.33185030,0.74366365
-5.50175088,6.49963560,0.04310068,0.83112817,0.88698515,0.72952428,0.10876106,2.79084913,2.24197473,0.72585179
-5.49574787,6.33061185,0.04360964,0.80447831,0.85617779,0.72454564,0.10983828,2.72479839,2.14879845,0.70747420
-5.48974487,6.15785477,0.04435206,0.77730457,0.82424738,0.71967175,0.11098396,2.65709565,2.05387639,0.68894581
-5.48374187,5.98456835,0.04533068,0.75006812,0.79174522,0.71508791,0.11219793,2.58906331,1.95866447,0.67064613
-5.47773887,5.81359450,0.04653954,0.72318142,0.75917921,0.71093464,0.11347513,2.52187329,1.86448538,0.65290641
-5.47173587,5.64733973,0.04796409,0.69699728,0.72700153,0.70730354,0.11480544,2.45651772,1.77250189,0.63599913
-5.46573287,5.48772380,0.04958153,0.67180089,0.69559943,0.70423532,0.11617368,2.39378866,1.68369842,0.62013059
-5.45972986,5.33615171,0.05136150,0.64780533,0.66528945,0.70172002,0.11755984,2.33426738,1.59887128,0.60543650
-5.45372686,5.19350954,0.05326705,0.62515035,0.63631507,0.69969930,0.11893939,2.27832329,1.51862745,0.59198110
