energy_ev,total_up,C_s_up,C_p_up,Mn_p_up,Mn_d_up,Re_p_up,Re_d_up,Se_s_up,Se_p_up
-6.00000000,2.67693606,0.00580344,0.30356368,0.83790389,0.45299944,1.28085607,0.64416496,0.01155365,1.23287887
-5.99399700,2.75738767,0.00611702,0.31639187,0.85990730,0.47279627,1.30560793,0.66588637,0.01222318,1.26740265
-5.98799400,2.83572160,0.00643106,0.32950745,0.88105009,0.49264896,1.32865231,0.68702482,0.01293806,1.30055516
-5.98199100,2.91197302,0.00674322,0.34288711,0.90142599,0.51250134,1.35005948,0.70757018,0.01369865,1.33237005
-5.97598799,2.98616358,0.00705087,0.35649562,0.92113663,0.53227875,1.36993490,0.72750972,0.01450358,1.36288696
-5.96998499,3.05827361,0.00735108,0.37028333,0.94028008,0.55188445,1.38840631,0.74682222,0.01534951,1.39213791
-5.96398199,3.12821608,0.00764071,0.38418407,0.95893926,0.57119707,1.40560935,0.76547245,0.01623101,1.42013396
-5.95797899,3.19581400,0.00791635,0.39811373,0.97717090,0.59006920,1.42167264,0.78340658,0.01714047,1.44685298
-5.95197599,3.26078261,0.00817446,0.41196954,0.99499569,0.60832750,1.43670297,0.80054876,0.01806811,1.47222922
-5.94597299,3.32271804,0.00841137,0.42563019,1.01239023,0.62577417,1.45077166,0.81679911,0.01900214,1.49614557
-5.93996998,3.38109304,0.00862336,0.43895701,1.02928130,0.64219011,1.46390282,0.83203347,0.01992895,1.51842880
-5.93396698,3.43526079,0.00880679,0.45179602,1.04554298,0.65733945,1.47606416,0.84610480,0.02083346,1.53884849
-5.92796398,3.48446664,0.00895817,0.46398099,1.06099660,0.67097553,1.48716109,0.85884647,0.02169953,1.55711967
-5.92196098,3.52786774,0.00907428,0.47533740,1.07541404,0.68284788,1.49703444,0.87007713,0.02251043,1.57290927
-5.91595798,3.56455978,0.00915226,0.48568712,1.08852401,0.69271016,1.50546204,0.87960714,0.02324938,1.58584614
-5.90995498,3.59360956,0.00918969,0.49485375,1.10002110,0.70032849,1.51216427,0.88724610,0.02390013,1.59553428
-5.90395198,3.61409214,0.00918476,0.50266832,1.10957747,0.70548995,1.51681328,0.89281123,0.02444753,1.60156850
-5.89794897,3.62513048,0.00913626,0.50897516,1.11685624,0.70801073,1.51904558,0.89613614,0.02487808,1.60355208
-5.89194597,3.62593591,0.00904371,0.51363765,1.12152629,0.70774369,1.51847739,0.89707953,0.02518044,1.60111517
-5.88594297,3.61584719,0.00890739,0.51654365,1.12327746,0.70458484,1.51472209,0.89553330,0.02534586,1.59393334
-5.87993997,3.59436628,0.00872833,0.51761030,1.12183559,0.69847847,1.50740884,0.89142974,0.02536855,1.58174515
-5.87393697,3.56118901,0.00850837,0.51678804,1.11697650,0.68942076,1.49620156,0.88474731,0.02524588,1.56436788
-5.86793397,3.51622913,0.00825008,0.51406355,1.10853827,0.67746162,1.48081730,0.87551478,0.02497857,1.54171074
-5.86193097,3.45963440,0.00795677,0.50946154,1.09643119,0.66270474,1.46104319,0.86381339,0.02457061,1.51378474
-5.85592796,3.39179422,0.00763236,0.50304534,1.08064488,0.64530582,1.43675098,0.84977698,0.02402923,1.48070891
