energy_ev,total_up,Ca_p_up,Ca_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up
-6.00000000,5.99277845,0.01385715,0.00000000,0.00108298,2.39269067,0.09067230,0.85627975,2.70695977,1.63899269
-5.99399700,6.05551554,0.01434601,0.00000000,0.00106028,2.39373363,0.09230718,0.89347502,2.71902576,1.61549623
-5.98799400,6.11885696,0.01484780,0.00000000,0.00103881,2.39515849,0.09385601,0.93091477,2.73137353,1.59075471
-5.98199100,6.18250827,0.01535936,0.00000000,0.00101848,2.39712444,0.09529734,0.96825371,2.74405620,1.56512650
-5.97598799,6.24600366,0.01587715,0.00000000,0.00099927,2.39970505,0.09661049,1.00512836,2.75703836,1.53893681
-5.96998499,6.30868635,0.01639723,0.00000000,0.00098121,2.40287536,0.09777566,1.04116058,2.77018827,1.51246591
-5.96398199,6.36969883,0.01691509,0.00000000,0.00096435,2.40650376,0.09877408,1.07596214,2.78327514,1.48593988
-5.95797899,6.42798419,0.01742564,0.00000000,0.00094881,2.41034902,0.09958816,1.10914050,2.79597198,1.45952442
-5.95197599,6.48229923,0.01792318,0.00000000,0.00093470,2.41406302,0.10020165,1.14030554,2.80786389,1.43332166
-5.94597299,6.53123909,0.01840134,0.00000000,0.00092218,2.41719881,0.10059991,1.16907725,2.81846123,1.40737017
-5.93996998,6.57327279,0.01885325,0.00000000,0.00091139,2.41922395,0.10077011,1.19509415,2.82721728,1.38164790
-5.93396698,6.60678795,0.01927151,0.00000000,0.00090250,2.41953840,0.10070157,1.21802193,2.83354908,1.35607788
-5.92796398,6.63014303,0.01964845,0.00000000,0.00089567,2.41749617,0.10038601,1.23756221,2.83686063,1.33053615
-5.92196098,6.64172423,0.01997623,0.00000000,0.00089102,2.41242967,0.09981786,1.25346081,2.83656703,1.30486150
-5.91595798,6.64000463,0.02024714,0.00000000,0.00088870,2.40367568,0.09899457,1.26551505,2.83211836,1.27886647
-5.90995498,6.62360243,0.02045377,0.00000000,0.00088879,2.39060171,0.09791679,1.27357997,2.82302210,1.25234906
-5.90395198,6.59133569,0.02058932,0.00000000,0.00089138,2.37263151,0.09658855,1.27757266,2.80886298,1.22510453
-5.89794897,6.54227067,0.02064784,0.00000000,0.00089653,2.34926866,0.09501740,1.27747488,2.78931935,1.19693685
-5.89194597,6.47576170,0.02062446,0.00000000,0.00090427,2.32011723,0.09321435,1.27333344,2.76417540,1.16766919
-5.88594297,6.39148073,0.02051565,0.00000000,0.00091461,2.28489846,0.09119379,1.26525843,2.73332888,1.13715326
-5.87993997,6.28943527,0.02031934,0.00000000,0.00092754,2.24346320,0.08897327,1.25341939,2.69679398,1.10527694
-5.87393697,6.16997415,0.02003510,0.00000000,0.00094303,2.19579923,0.08657319,1.23803950,2.65469969,1.07197023
-5.86793397,6.03378121,0.01966418,0.00000000,0.00096106,2.14203365,0.08401641,1.21938817,2.60728391,1.03720915
-5.86193097,5.88185739,0.01920954,0.00000000,0.00098160,2.08243021,0.08132774,1.19777244,2.55488376,1.00101775
-5.85592796,5.71549267,0.01867581,0.00000000,0.00100464,2.01738196,0.07853344,1.17352756,2.49792307,0.96346819
-5.84992496,5.53622931,0.01806917,0.00000000,0.00103020,1.94739961,0.07566062,1.14700741,2.43689762,0.92467903
-5.84392196,5.34581857,0.01739718,0.00000000,0.00105835,1.87309637,0.07273667,1.11857506,2.37235923,0.88481189
-5.83791896,5.14617298,0.01666860,0.00000000,0.00108920,1.79517002,0.06978873,1.08859418,2.30489945,0.84406683
-5.83191596,4.93931669,0.01589313,0.00000000,0.00112298,1.71438303,0.06684315,1.05742154,2.23513377,0.80267655
-5.82591296,4.72733590,0.01508115,0.00000000,0.00115996,1.63154171,0.06392506,1.02540095,2.16368712,0.76089992
