energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,S_s_up,S_s_down,S_p_up,S_p_down,Ti_p_up,Ti_p_down,Ti_d_up,Ti_d_down
-6.00000000,1.43313956,-1.43313956,0.03259096,-0.03259096,0.02404919,-0.02404919,0.37666487,-0.37666487,0.18013379,-0.18013379,0.01639576,-0.01639576,0.86610686,-0.86610686,0.51275365,-0.51275365,0.08559259,-0.08559259
-5.99399700,1.45267385,-1.45267384,0.03181248,-0.03181248,0.02451220,-0.02451220,0.38668401,-0.38668401,0.18488548,-0.18488548,0.01583192,-0.01583192,0.87842658,-0.87842658,0.52053235,-0.52053235,0.08566415,-0.08566415
-5.98799400,1.46995822,-1.46995822,0.03088107,-0.03088107,0.02500652,-0.02500652,0.39663819,-0.39663819,0.18946086,-0.18946086,0.01525281,-0.01525281,0.88926696,-0.88926696,0.52706263,-0.52706262,0.08553867,-0.08553867
-5.98199100,1.48534392,-1.48534392,0.02981352,-0.02981352,0.02554657,-0.02554657,0.40667951,-0.40667951,0.19387877,-0.19387877,0.01466487,-0.01466487,0.89884110,-0.89884109,0.53249831,-0.53249831,0.08525109,-0.08525109
-5.97598799,1.49930560,-1.49930559,0.02862844,-0.02862844,0.02614881,-0.02614881,0.41699558,-0.41699558,0.19817493,-0.19817493,0.01407510,-0.01407510,0.90743743,-0.90743743,0.53703842,-0.53703842,0.08484313,-0.08484313
-5.96998499,1.51242838,-1.51242838,0.02734577,-0.02734577,0.02683129,-0.02683129,0.42780494,-0.42780493,0.20240072,-0.20240072,0.01349082,-0.01349082,0.91541209,-0.91541209,0.54092190,-0.54092190,0.08436246,-0.08436246
-5.96398199,1.52538918,-1.52538917,0.02598633,-0.02598633,0.02761304,-0.02761304,0.43935053,-0.43935053,0.20662097,-0.20662097,0.01291948,-0.01291948,0.92317767,-0.92317767,0.54442036,-0.54442036,0.08386140,-0.08386140
-5.95797899,1.53893258,-1.53893258,0.02457128,-0.02457128,0.02851344,-0.02851344,0.45189147,-0.45189147,0.21091099,-0.21091099,0.01236842,-0.01236842,0.93118875,-0.93118875,0.54782909,-0.54782908,0.08339557,-0.08339557
-5.95197599,1.55384236,-1.55384235,0.02312172,-0.02312172,0.02955150,-0.02955150,0.46569322,-0.46569322,0.21535283,-0.21535283,0.01184463,-0.01184463,0.93992474,-0.93992473,0.55145656,-0.55145656,0.08302228,-0.08302228
-5.94597299,1.57090944,-1.57090944,0.02165821,-0.02165821,0.03074504,-0.03074504,0.48101665,-0.48101665,0.22003091,-0.22003091,0.01135452,-0.01135452,0.94987051,-0.94987051,0.55561290,-0.55561290,0.08279883,-0.08279883
-5.93996998,1.59089787,-1.59089786,0.02020049,-0.02020049,0.03210991,-0.03210991,0.49810627,-0.49810626,0.22502730,-0.22502730,0.01090374,-0.01090374,0.96149590,-0.96149589,0.56059760,-0.56059760,0.08278067,-0.08278067
-5.93396698,1.61451004,-1.61451003,0.01876707,-0.01876707,0.03365916,-0.03365915,0.51717822,-0.51717821,0.23041689,-0.23041689,0.01049700,-0.01049700,0.97523461,-0.97523461,0.56668721,-0.56668720,0.08301969,-0.08301969
-5.92796398,1.64235296,-1.64235295,0.01737502,-0.01737502,0.03540222,-0.03540222,0.53840846,-0.53840845,0.23626251,-0.23626251,0.01013792,-0.01013792,0.99146382,-0.99146381,0.57412336,-0.57412336,0.08356238,-0.08356238
