energy_ev,total_up,total_down,N_s_up,N_s_down,N_p_up,N_p_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,Sc_p_up,Sc_p_down,Sc_d_up,Sc_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,3.16110211,-3.16143892,0.01394712,-0.01394803,0.42281812,-0.42288779,1.47169765,-1.47185186,1.00483426,-1.00497877,0.71626900,-0.71631642,0.11896858,-0.11897765,0.01426437,-0.01426489,1.40931675,-1.40942715
-5.99399700,3.27617335,-3.27648074,0.01409931,-0.01410013,0.44359015,-0.44365614,1.53158460,-1.53172345,1.04822190,-1.04835794,0.73463217,-0.73467249,0.12250059,-0.12250848,0.01421250,-0.01421295,1.45250349,-1.45260019
-5.98799400,3.37762758,-3.37790079,0.01422441,-0.01422514,0.46253158,-0.46259320,1.58401910,-1.58414004,1.08771428,-1.08784044,0.74973722,-0.74976954,0.12554752,-0.12555405,0.01414715,-0.01414750,1.48953496,-1.48961594
-5.98199100,3.46354131,-3.46377629,0.01431301,-0.01431362,0.47937595,-0.47943260,1.62793829,-1.62803907,1.12278551,-1.12290065,0.76120816,-0.76123169,0.12803013,-0.12803514,0.01405866,-0.01405890,1.51955616,-1.51961966
-5.97598799,3.53229562,-3.53248916,0.01435646,-0.01435694,0.49390546,-0.49395671,1.66243172,-1.66251047,1.15301132,-1.15311462,0.76873098,-0.76874509,0.12987968,-0.12988304,0.01393837,-0.01393849,1.54183727,-1.54188187
-5.96998499,3.58263178,-3.58278165,0.01434726,-0.01434759,0.50595929,-0.50600486,1.68677209,-1.68682739,1.17808480,-1.17817581,0.77206418,-0.77206842,0.13104029,-0.13104191,0.01377892,-0.01377889,1.55579768,-1.55582232
-5.96398199,3.61369538,-3.61380038,0.01427923,-0.01427940,0.51543970,-0.51547950,1.70044025,-1.70047119,1.19782811,-1.19790675,0.77104712,-0.77104122,0.13147083,-0.13147064,0.01357441,-0.01357424,1.56102563,-1.56102966
-5.95797899,3.62506653,-3.62512653,0.01414776,-0.01414776,0.52231575,-0.52234987,1.70314347,-1.70314964,1.21219923,-1.21226581,0.76560597,-0.76558987,0.13114632,-0.13114430,0.01332065,-0.01332033,1.55729244,-1.55727566
-5.95197599,3.61677456,-3.61679054,0.01394994,-0.01394978,0.52662426,-0.52665294,1.69482589,-1.69480745,1.22129336,-1.22134856,0.75575681,-0.75573065,0.13005884,-0.13005500,0.01301516,-0.01301468,1.54456088,-1.54452352
-5.94597299,3.58929633,-3.58927033,0.01368463,-0.01368430,0.52846790,-0.52849157,1.67567072,-1.67562835,1.22533863,-1.22538347,0.74160590,-0.74157003,0.12821773,-0.12821214,0.01265722,-0.01265659,1.52298692,-1.52292966
-5.93996998,3.54353798,-3.54347297,0.01335247,-0.01335197,0.52801049,-0.52802970,1.64609399,-1.64602890,1.22468619,-1.22472196,0.72334697,-0.72330193,0.12564933,-0.12564209,0.01224786,-0.01224710,1.49291508,-1.49283900
-5.93396698,3.48080076,-3.48070057,0.01295584,-0.01295519,0.52546963,-0.52548506,1.60673015,-1.60664400,1.21979493,-1.21982317,0.70125573,-0.70120222,0.12239601,-0.12238724,0.01178975,-0.01178886,1.45486735,-1.45477393
-5.92796398,3.40273262,-3.40260176,0.01249876,-0.01249796,0.52110705,-0.52111943,1.55841012,-1.55830499,1.21121168,-1.21123405,0.67568174,-0.67562064,0.11851474,-0.11850460,0.01128705,-0.01128604,1.40952634,-1.40941738
-5.92196098,3.31126769,-3.31111115,0.01198671,-0.01198577,0.51521707,-0.51522719,1.50213302,-1.50201131,1.19954753,-1.19956578,0.64703809,-0.64697041,0.11407520,-0.11406387,0.01074521,-0.01074410,1.35771320,-1.35759079
-5.91595798,3.20855655,-3.20837964,0.01142643,-0.01142538,0.50811387,-0.50812250,1.43903267,-1.43889704,1.18545172,-1.18546753,0.61578929,-0.61571613,0.10915747,-0.10914516,0.01017080,-0.01016960,1.30036164,-1.30022806
-5.90995498,3.09689084,-3.09669894,0.01082572,-0.01082458,0.50011810,-0.50012597,1.37034066,-1.37019394,1.16958413,-1.16959911,0.58243788,-0.58236041,0.10384955,-0.10383648,0.00957122,-0.00956996,1.23848895,-1.23834660
-5.90395198,2.97862545,-2.97842385,0.01019313,-0.01019191,0.49154359,-0.49155136,1.29734759,-1.29719266,1.15258812,-1.15260365,0.54751038,-0.54742983,0.09824467,-0.09823106,0.00895449,-0.00895318,1.17316547,-1.17301684
-5.89794897,2.85610240,-2.85589608,0.00953772,-0.00953644,0.48268487,-0.48269307,1.22136415,-1.22120389,1.13506482,-1.13508202,0.51154318,-0.51146074,0.09243861,-0.09242467,0.00832899,-0.00832766,1.10548390,-1.10533145
-5.89194597,2.73157961,-2.73137307,0.00886880,-0.00886749,0.47380605,-0.47381508,1.14368390,-1.14352106,1.11755052,-1.11757019,0.47506878,-0.47498565,0.08652710,-0.08651306,0.00770326,-0.00770192,1.03652960,-1.03637570
-5.88594297,2.60716790,-2.60696505,0.00819567,-0.00819434,0.46513173,-0.46514183,1.06554897,-1.06538615,1.10049814,-1.10052070,0.43860317,-0.43852049,0.08060350,-0.08058955,0.00708576,-0.00708443,0.96735325,-0.96720013
-5.87993997,2.48477877,-2.48458283,0.00752739,-0.00752606,0.45684028,-0.45685152,0.98812029,-0.98795984,1.08426385,-1.08428935,0.40263454,-0.40255336,0.07475666,-0.07474300,0.00648472,-0.00648342,0.89894680,-0.89879652
-5.87393697,2.36608500,-2.36589841,0.00687257,-0.00687127,0.44905990,-0.44907217,0.91245298,-0.91229697,1.06909948,-1.06912759,0.36761384,-0.36753512,0.06906925,-0.06905604,0.00590802,-0.00590677,0.83222360,-0.83207798
-5.86793397,2.25249513,-2.25231957,0.00623927,-0.00623800,0.44186747,-0.44188050,0.83947779,-0.83932797,1.05515106,-1.05518109,0.33394732,-0.33387189,0.06361644,-0.06360383,0.00536307,-0.00536188,0.76800316,-0.76786375
