energy_ev,total_up,C_s_up,C_p_up,Co_p_up,Co_d_up,Te_p_up,Te_d_up,Y_p_up,Y_d_up
-6.00000000,0.86420510,0.00599900,0.02755901,0.37528582,0.25409875,0.53093917,0.00000000,0.22859141,0.05125250
-5.99399700,0.87616658,0.00696914,0.02798327,0.38744103,0.25290221,0.53926763,0.00000000,0.22863509,0.05328117
-5.98799400,0.88852489,0.00809052,0.02835406,0.39933775,0.25246253,0.54769024,0.00000000,0.22876930,0.05526789
-5.98199100,0.90156597,0.00937801,0.02867370,0.41099393,0.25295862,0.55635476,0.00000000,0.22911500,0.05721385
-5.97598799,0.91557516,0.01084587,0.02894557,0.42243971,0.25455195,0.56541110,0.00000000,0.22979497,0.05912300
-5.96998499,0.93083066,0.01250723,0.02917414,0.43371606,0.25738271,0.57500784,0.00000000,0.23093167,0.06100194
-5.96398199,0.94759636,0.01437347,0.02936484,0.44487265,0.26156642,0.58528844,0.00000000,0.23264465,0.06285972
-5.95797899,0.96611428,0.01645367,0.02952390,0.45596503,0.26719109,0.59638709,0.00000000,0.23504784,0.06470746
-5.95197599,0.98659656,0.01875389,0.02965819,0.46705120,0.27431483,0.60842426,0.00000000,0.23824639,0.06655788
-5.94597299,1.00921727,0.02127653,0.02977499,0.47818765,0.28296406,0.62150208,0.00000000,0.24233341,0.06842474
-5.93996998,1.03410436,0.02401967,0.02988165,0.48942520,0.29313222,0.63569981,0.00000000,0.24738639,0.07032219
-5.93396698,1.06133207,0.02697647,0.02998537,0.50080468,0.30477902,0.65106946,0.00000000,0.25346377,0.07226417
-5.92796398,1.09091424,0.03013469,0.03009283,0.51235291,0.31783042,0.66763191,0.00000000,0.26060144,0.07426374
-5.92196098,1.12279889,0.03347622,0.03020995,0.52407908,0.33217917,0.68537380,0.00000000,0.26880970,0.07633256
-5.91595798,1.15686465,0.03697692,0.03034155,0.53597186,0.34768610,0.70424532,0.00000000,0.27807065,0.07848034
-5.90995498,1.19291927,0.04060648,0.03049120,0.54799735,0.36418211,0.72415929,0.00000000,0.28833621,0.08071455
-5.90395198,1.23070055,0.04432861,0.03066099,0.56009823,0.38147097,0.74499147,0.00000000,0.29952713,0.08304019
-5.89794897,1.26988002,0.04810137,0.03085149,0.57219397,0.39933283,0.76658247,0.00000000,0.31153295,0.08545969
-5.89194597,1.31006913,0.05187781,0.03106165,0.58418231,0.41752849,0.78874101,0.00000000,0.32421311,0.08797307
-5.88594297,1.35082822,0.05560681,0.03128892,0.59594193,0.43580434,0.81124863,0.00000000,0.33739925,0.09057808
-5.87993997,1.39167763,0.05923409,0.03152934,0.60733611,0.45389786,0.83386563,0.00000000,0.35089872,0.09327059
-5.87393697,1.43211083,0.06270358,0.03177774,0.61821735,0.47154357,0.85633797,0.00000000,0.36449916,0.09604496
-5.86793397,1.47160880,0.06595873,0.03202798,0.62843254,0.48847926,0.87840480,0.00000000,0.37797408,0.09889447
-5.86193097,1.50965510,0.06894414,0.03227324,0.63782859,0.50445223,0.89980628,0.00000000,0.39108919,0.10181170
-5.85592796,1.54575088,0.07160710,0.03250634,0.64625799,0.51922543,0.92029124,0.00000000,0.40360920,0.10478889
-5.84992496,1.57942898,0.07389923,0.03272002,0.65358415,0.53258318,0.93962420,0.00000000,0.41530490,0.10781812
-5.84392196,1.61026652,0.07577794,0.03290727,0.65968623,0.54433622,0.95759156,0.00000000,0.42596007,0.11089139
-5.83791896,1.63789522,0.07720784,0.03306154,0.66446306,0.55432600,0.97400630,0.00000000,0.43537794,0.11400050
-5.83191596,1.66200893,0.07816193,0.03317703,0.66783603,0.56242785,0.98871128,0.00000000,0.44338698,0.11713675
-5.82591296,1.68236811,0.07862242,0.03324875,0.66975089,0.56855302,1.00158073,0.00000000,0.44984563,0.12029044
-5.81990995,1.69880100,0.07858146,0.03327270,0.67017821,0.57264948,1.01251996,0.00000000,0.45464585,0.12345029
-5.81390695,1.71120157,0.07804132,0.03324583,0.66911273,0.57470142,1.02146352,0.00000000,0.45771533,0.12660272
-5.80790395,1.71952463,0.07701434,0.03316605,0.66657150,0.57472756,1.02837185,0.00000000,0.45901832,0.12973105
-5.80190095,1.72377846,0.07552253,0.03303210,0.66259118,0.57277836,1.03322679,0.00000000,0.45855503,0.13281478
-5.79589795,1.72401576,0.07359682,0.03284342,0.65722460,0.56893231,1.03602653,0.00000000,0.45635992,0.13582900
-5.78989495,1.72032371,0.07127603,0.03260002,0.65053702,0.56329164,1.03678026,0.00000000,0.45249873,0.13874395
-5.78389195,1.71281389,0.06860562,0.03230223,0.64260221,0.55597748,1.03550327,0.00000000,0.44706488,0.14152481
-5.77788894,1.70161316,0.06563622,0.03195060,0.63349885,0.54712513,1.03221278,0.00000000,0.44017524,0.14413195
-5.77188594,1.68685625,0.06242211,0.03154573,0.62330752,0.53687941,1.02692518,0.00000000,0.43196565,0.14652146
-5.76588294,1.66868062,0.05901963,0.03108811,0.61210844,0.52539056,1.01965489,0.00000000,0.42258663,0.14864606
-5.75987994,1.64722446,0.05548560,0.03057810,0.59998028,0.51281084,1.01041519,0.00000000,0.41219939,0.15045652
-5.75387694,1.62262773,0.05187591,0.03001591,0.58700003,0.49929211,0.99922105,0.00000000,0.40097240,0.15190340
-5.74787394,1.59503662,0.04824413,0.02940161,0.57324411,0.48498433,0.98609396,0.00000000,0.38907886,0.15293904
-5.74187094,1.56461102,0.04464049,0.02873526,0.55879056,0.47003521,0.97106857,0.00000000,0.37669492,0.15351993
-5.73586793,1.53153451,0.04111091,0.02801702,0.54372211,0.45459082,0.95420063,0.00000000,0.36399890,0.15360905
-5.72986493,1.49602633,0.03769641,0.02724733,0.52813002,0.43879711,0.93557589,0.00000000,0.35117130,0.15317832
-5.72386193,1.45835417,0.03443265,0.02642714,0.51211833,0.42280204,0.91531925,0.00000000,0.33839553,0.15221090
-5.71785893,1.41884695,0.03134982,0.02555805,0.49580810,0.40675827,0.89360360,0.00000000,0.32585914,0.15070319
-5.71185593,1.37790651,0.02847265,0.02464258,0.47934144,0.39082592,0.87065742,0.00000000,0.31375532,0.14866647
-5.70585293,1.33601694,0.02582066,0.02368426,0.46288480,0.37517518,0.84677080,0.00000000,0.30228437,0.14612809
-5.69984992,1.29375080,0.02340848,0.02268781,0.44663122,0.35998853,0.82229904,0.00000000,0.29165486,0.14313197
-5.69384692,1.25177128,0.02124636,0.02165918,0.43080132,0.34546220,0.79766338,0.00000000,0.28208422,0.13973853
-5.68784392,1.21082966,0.01934069,0.02060557,0.41564276,0.33180667,0.77334857,0.00000000,0.27379839,0.13602396
-5.68184092,1.17175773,0.01769449,0.01953539,0.40142789,0.31924610,0.74989706,0.00000000,0.26703057,0.13207875
-5.67583792,1.13545503,0.01630802,0.01845812,0.38844978,0.30801642,0.72789970,0.00000000,0.26201863,0.12800559
-5.66983492,1.10287103,0.01517913,0.01738414,0.37701647,0.29836226,0.70798327,0.00000000,0.25900131,0.12391680
-5.66383192,1.07498281,0.01430377,0.01632453,0.36744360,0.29053251,0.69079498,0.00000000,0.25821321,0.11993113
-5.65782891,1.05276874,0.01367622,0.01529075,0.36004575,0.28477485,0.67698458,0.00000000,0.25987852,0.11617031
-5.65182591,1.03717919,0.01328932,0.01429440,0.35512666,0.28132924,0.66718456,0.00000000,0.26420384,0.11275535
-5.64582291,1.02910534,0.01313462,0.01334687,0.35296869,0.28042073,0.66198930,0.00000000,0.27137020,0.10980271
-5.63981991,1.02934722,0.01320237,0.01245906,0.35382203,0.28225180,0.66193376,0.00000000,0.28152474,0.10742056
-5.63381691,1.03858228,0.01348156,0.01164109,0.35789404,0.28699454,0.66747279,0.00000000,0.29477226,0.10570522
-5.62781391,1.05733592,0.01395981,0.01090200,0.36533911,0.29478307,0.67896171,0.00000000,0.31116716,0.10473794
-5.62181091,1.08595505,0.01462334,0.01024957,0.37624962,0.30570649,0.69663905,0.00000000,0.33070622,0.10458209
-5.61580790,1.12458604,0.01545685,0.00969012,0.39064834,0.31980265,0.72061221,0.00000000,0.35332256,0.10528094
-5.60980490,1.17315809,0.01644352,0.00922839,0.40848267,0.33705320,0.75084675,0.00000000,0.37888121,0.10685599
-5.60380190,1.23137298,0.01756508,0.00886744,0.42962106,0.35738001,0.78715980,0.00000000,0.40717676,0.10930608
-5.59779890,1.29870171,0.01880182,0.00860868,0.45385194,0.38064342,0.82921809,0.00000000,0.43793324,0.11260712
-5.59179590,1.37438881,0.02013289,0.00845187,0.48088521,0.40664221,0.87654089,0.00000000,0.47080646,0.11671263
-5.58579290,1.45746421,0.02153654,0.00839520,0.51035648,0.43511574,0.92850788,0.00000000,0.50538911,0.12155490
-5.57978989,1.54676276,0.02299054,0.00843545,0.54183403,0.46574803,0.98437196,0.00000000,0.54121826,0.12704692
-5.57378689,1.64095095,0.02447264,0.00856814,0.57482828,0.49817380,1.04327670,0.00000000,0.57778547,0.13308490
-5.56778389,1.73856008,0.02596110,0.00878774,0.60880368,0.53198650,1.10427796,0.00000000,0.61454902,0.13955128
-5.56178089,1.83802499,0.02743534,0.00908790,0.64319254,0.56674790,1.16636904,0.00000000,0.65094798,0.14631831
-5.55577789,1.93772708,0.02887647,0.00946167,0.67741041,0.60199909,1.22850858,0.00000000,0.68641753,0.15325181
-5.54977489,2.03604009,0.03026793,0.00990180,0.71087252,0.63727253,1.28965026,0.00000000,0.72040508,0.16021525
-5.54377189,2.13137707,0.03159595,0.01040097,0.74301065,0.67210467,1.34877318,0.00000000,0.75238643,0.16707386
-5.53776888,2.22223674,0.03285006,0.01095206,0.77328976,0.70604872,1.40491193,0.00000000,0.78188126,0.17369867
-5.53176588,2.30724755,0.03402330,0.01154837,0.80122383,0.73868714,1.45718501,0.00000000,0.80846742,0.17997038
-5.52576288,2.38520755,0.03511247,0.01218387,0.82639015,0.76964322,1.50482072,0.00000000,0.83179323,0.18578278
-5.51975988,2.45511863,0.03611802,0.01285339,0.84844157,0.79859143,1.54717931,0.00000000,0.85158726,0.19104587
-5.51375688,2.51621361,0.03704390,0.01355278,0.86711613,0.82526608,1.58377052,0.00000000,0.86766520,0.19568825
-5.50775388,2.56797517,0.03789717,0.01427902,0.88224367,0.84946782,1.61426594,0.00000000,0.87993341,0.19965893
-5.50175088,2.61014571,0.03868739,0.01503034,0.89374915,0.87106787,1.63850545,0.00000000,0.88838905,0.20292842
-5.49574787,2.64272796,0.03942600,0.01580623,0.90165252,0.89000966,1.65649771,0.00000000,0.89311676,0.20548899
-5.48974487,2.66597609,0.04012541,0.01660740,0.90606508,0.90630792,1.66841459,0.00000000,0.89428209,0.20735426
-5.48374187,2.68037803,0.04079818,0.01743573,0.90718266,0.92004511,1.67457983,0.00000000,0.89212201,0.20855798
