energy_ev,total_up,Mn_p_up,Mn_d_up,N_s_up,N_p_up,Re_p_up,Re_d_up,Se_s_up,Se_p_up
-6.00000000,1.76291048,0.50121600,0.29774857,0.00172728,0.20722741,0.50999984,0.34167239,0.01359654,0.99218694
-5.99399700,1.81684075,0.51950839,0.30259913,0.00162448,0.21726035,0.53107828,0.34857003,0.01321454,1.02679326
-5.98799400,1.87100527,0.53727840,0.30769874,0.00153675,0.22671514,0.55125638,0.35586214,0.01294155,1.06140989
-5.98199100,1.92433047,0.55417878,0.31290355,0.00146497,0.23541253,0.57010684,0.36338299,0.01277904,1.09541845
-5.97598799,1.97572542,0.56987379,0.31806333,0.00140976,0.24318288,0.58721717,0.37095705,0.01272580,1.12819358
-5.96998499,2.02411906,0.58404959,0.32302745,0.00137162,0.24987073,0.60220166,0.37840627,0.01277806,1.15912348
-5.96398199,2.06849695,0.59642415,0.32765070,0.00135090,0.25533914,0.61471297,0.38555751,0.01292965,1.18763029
-5.95797899,2.10793595,0.60675614,0.33179887,0.00134785,0.25947349,0.62445271,0.39224950,0.01317222,1.21318920
-5.95197599,2.14163534,0.61485252,0.33535357,0.00136269,0.26218472,0.63118063,0.39833933,0.01349543,1.23534557
-5.94597299,2.16894296,0.62057445,0.33821633,0.00139560,0.26341175,0.63472205,0.40370788,0.01388722,1.25372930
-5.93996998,2.18937552,0.62384124,0.34031172,0.00144672,0.26312303,0.63497310,0.40826429,0.01433409,1.26806588
-5.93396698,2.20263205,0.62463210,0.34158938,0.00151622,0.26131726,0.63190359,0.41194899,0.01482142,1.27818364
-5.92796398,2.20860028,0.62298589,0.34202498,0.00160424,0.25802301,0.62555749,0.41473539,0.01533376,1.28401707
-5.92196098,2.20735563,0.61899849,0.34162002,0.00171090,0.25329756,0.61605079,0.41663017,0.01585517,1.28560598
-5.91595798,2.19915319,0.61281830,0.34040062,0.00183627,0.24722478,0.60356709,0.41767203,0.01636962,1.28309076
-5.90995498,2.18441309,0.60463985,0.33841537,0.00198032,0.23991229,0.58835089,0.41792930,0.01686130,1.27670385
-5.90395198,2.16370014,0.59469590,0.33573234,0.00214292,0.23148798,0.57069911,0.41749624,0.01731503,1.26675816
-5.89794897,2.13769872,0.58324836,0.33243548,0.00232373,0.22209598,0.55095106,0.41648849,0.01771658,1.25363265
-5.89194597,2.10718428,0.57057849,0.32862062,0.00252220,0.21189240,0.52947730,0.41503773,0.01805304,1.23775604
-5.88594297,2.07299255,0.55697669,0.32439112,0.00273748,0.20104083,0.50666806,0.41328596,0.01831315,1.21958934
-5.87993997,2.03598821,0.54273247,0.31985364,0.00296839,0.18970791,0.48292144,0.41137958,0.01848750,1.19960795
-5.87393697,1.99703415,0.52812487,0.31511396,0.00321336,0.17805904,0.45863207,0.40946367,0.01856885,1.17828420
-5.86793397,1.95696288,0.51341388,0.31027325,0.00347042,0.16625444,0.43418062,0.40767667,0.01855222,1.15607110
