energy_ev,total_up,C_s_up,C_p_up,Mo_p_up,Mo_d_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up
-6.00000000,0.19645711,0.01401228,0.00966613,0.10365893,0.03621893,0.02926473,0.01232145,0.12401460,0.00000000
-5.99399700,0.21543984,0.01396610,0.01090227,0.11547414,0.04154750,0.03241320,0.01425221,0.13588006,0.00000000
-5.98799400,0.23787453,0.01385227,0.01246397,0.12929407,0.04808579,0.03629363,0.01657397,0.14973474,0.00000000
-5.98199100,0.26403566,0.01367702,0.01435867,0.14526867,0.05589715,0.04094610,0.01931375,0.16575156,0.00000000
-5.97598799,0.29420321,0.01344818,0.01659458,0.16354876,0.06504732,0.04641257,0.02249852,0.18410278,0.00000000
-5.96998499,0.32864901,0.01317482,0.01917976,0.18427802,0.07560082,0.05273462,0.02615398,0.20495159,0.00000000
-5.96398199,0.36762216,0.01286688,0.02212121,0.20758471,0.08761710,0.05995089,0.03030328,0.22844319,0.00000000
-5.95797899,0.41133383,0.01253480,0.02542402,0.23357349,0.10114652,0.06809446,0.03496570,0.25469543,0.00000000
-5.95197599,0.45994211,0.01218911,0.02909057,0.26231763,0.11622637,0.07719013,0.04015522,0.28378962,0.00000000
-5.94597299,0.51353748,0.01184003,0.03311983,0.29385193,0.13287694,0.08725181,0.04587915,0.31576158,0.00000000
-5.93996998,0.57212956,0.01149715,0.03750689,0.32816680,0.15109797,0.09827999,0.05213680,0.35059370,0.00000000
-5.93396698,0.63563574,0.01116910,0.04224260,0.36520368,0.17086545,0.11025961,0.05891832,0.38820813,0.00000000
-5.92796398,0.70387231,0.01086334,0.04731353,0.40485226,0.19212910,0.12315819,0.06620365,0.42846162,0.00000000
-5.92196098,0.77654863,0.01058597,0.05270212,0.44694967,0.21481050,0.13692447,0.07396175,0.47114227,0.00000000
-5.91595798,0.85326479,0.01034163,0.05838707,0.49128176,0.23880217,0.15148768,0.08215014,0.51596861,0.00000000
-5.90995498,0.93351301,0.01013351,0.06434404,0.53758659,0.26396751,0.16675734,0.09071470,0.56259101,0.00000000
