energy_ev,total_up,Ru_p_up,Ru_d_up,Sn_p_up,Sn_d_up,Te_p_up,Te_d_up
-6.00000000,4.17963484,1.40934976,1.56876305,0.88070517,0.00036619,1.81474724,0.00000000
-5.99399700,4.29506428,1.46704861,1.61775523,0.90014372,0.00037922,1.85314424,0.00000000
-5.98799400,4.41653455,1.52823063,1.66911064,0.91763453,0.00039249,1.89720246,0.00000000
-5.98199100,4.54472883,1.59346802,1.72290518,0.93315441,0.00040604,1.94758394,0.00000000
-5.97598799,4.68006970,1.66327448,1.77910561,0.94668849,0.00041989,2.00477200,0.00000000
-5.96998499,4.82268567,1.73807304,1.83756406,0.95822739,0.00043405,2.06904893,0.00000000
-5.96398199,4.97238586,1.81816356,1.89801645,0.96776468,0.00044851,2.14047880,0.00000000
-5.95797899,5.12864339,1.90369123,1.96008466,0.97529501,0.00046326,2.21889557,0.00000000
-5.95197599,5.29058815,1.99461757,2.02328236,0.98081264,0.00047827,2.30389695,0.00000000
-5.94597299,5.45700907,2.09069539,2.08702412,0.98431084,0.00049346,2.39484410,0.00000000
-5.93996998,5.62636621,2.19144937,2.15063754,0.98578185,0.00050877,2.49086728,0.00000000
-5.93396698,5.79681247,2.29616345,2.21337790,0.98521752,0.00052410,2.59087757,0.00000000
-5.92796398,5.96622490,2.40387659,2.27444498,0.98261062,0.00053931,2.69358460,0.00000000
-5.92196098,6.13224513,2.51338764,2.33300141,0.97795657,0.00055428,2.79752016,0.00000000
-5.91595798,6.29232843,2.62327021,2.38819239,0.97125561,0.00056883,2.90106751,0.00000000
-5.90995498,6.44380062,2.73189760,2.43916596,0.96251523,0.00058279,3.00249608,0.00000000
-5.90395198,6.58392179,2.83747775,2.48509369,0.95175279,0.00059598,3.10000079,0.00000000
-5.89794897,6.70995536,2.93809740,2.52519115,0.93899805,0.00060818,3.19174546,0.00000000
-5.89194597,6.81924113,3.03177428,2.55873770,0.92429577,0.00061921,3.27590920,0.00000000
-5.88594297,6.90927000,3.11651557,2.58509529,0.90770800,0.00062887,3.35073455,0.00000000
-5.87993997,6.97775849,3.19038059,2.60372566,0.88931617,0.00063696,3.41457596,0.00000000
-5.87393697,7.02272045,3.25154523,2.61420561,0.86922286,0.00064331,3.46594707,0.00000000
-5.86793397,7.04253342,3.29836534,2.61623980,0.84755316,0.00064778,3.50356497,0.00000000
-5.86193097,7.03599727,3.32943650,2.60967080,0.82445568,0.00065024,3.52638994,0.00000000
-5.85592796,7.00238260,3.34364729,2.59448598,0.80010313,0.00065062,3.53365881,0.00000000
-5.84992496,6.94146676,3.34022374,2.57082101,0.77469243,0.00064886,3.52491064,0.00000000
-5.84392196,6.85355591,3.31876269,2.53895986,0.74844447,0.00064499,3.50000347,0.00000000
-5.83791896,6.73949182,3.27925268,2.49933114,0.72160331,0.00063904,3.45912136,0.00000000
-5.83191596,6.60064288,3.22208108,2.45250101,0.69443513,0.00063114,3.40277121,0.00000000
-5.82591296,6.43887949,3.14802735,2.39916275,0.66722651,0.00062144,3.33176952,0.00000000
-5.81990995,6.25653448,3.05824254,2.34012347,0.64028247,0.00061015,3.24721953,0.00000000
-5.81390695,6.05635007,2.95421616,2.27628825,0.61392396,0.00059754,3.15047963,0.00000000
-5.80790395,5.84141340,2.83773182,2.20864225,0.58848486,0.00058390,3.04312456,0.00000000
-5.80190095,5.61508288,2.71081390,2.13823150,0.56430857,0.00056959,2.92690076,0.00000000
-5.79589795,5.38090824,2.57566740,2.06614269,0.54174407,0.00055498,2.80367798,0.00000000
-5.78989495,5.14254704,2.43461389,1.99348275,0.52114144,0.00054046,2.67539887,0.00000000
-5.78389195,4.90368048,2.29002603,1.92135851,0.50284691,0.00052647,2.54402865,0.00000000
