energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,Sc_p_up,Sc_p_down,Sc_d_up,Sc_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,3.27255348,-0.96893144,0.05071081,-0.02612362,0.14925300,-0.01715770,2.59534548,-0.62875991,0.74204150,-0.13680159,1.06536922,-0.33303206,0.27261067,-0.07138121,0.02868612,-0.01566553,1.94391980,-0.63713805
-5.99399700,3.23606015,-1.02283705,0.04917810,-0.02834093,0.14750089,-0.01805211,2.57717440,-0.67470880,0.73539816,-0.14082404,1.05383439,-0.35491602,0.27082055,-0.07632655,0.02786135,-0.01675939,1.92306455,-0.67384195
-5.98799400,3.18240272,-1.08200809,0.04738013,-0.03055872,0.14478804,-0.01902238,2.54507697,-0.72405486,0.72471175,-0.14593779,1.03680419,-0.37841126,0.26752363,-0.08155182,0.02690505,-0.01790929,1.89222540,-0.71398986
-5.98199100,3.11261294,-1.14588387,0.04535304,-0.03274372,0.14117794,-0.02005842,2.49983455,-0.77648969,0.71016754,-0.15211788,1.01464499,-0.40333523,0.26279456,-0.08700835,0.02583140,-0.01909316,1.85200166,-0.75721677
-5.97598799,3.02804151,-1.21380828,0.04313608,-0.03486079,0.13675377,-0.02114907,2.44248225,-0.83166317,0.69203422,-0.15931976,0.98782076,-0.42947431,0.25673478,-0.09264361,0.02465665,-0.02028765,1.80317493,-0.80309595
-5.96998499,2.93031767,-1.28505111,0.04077036,-0.03687390,0.13161625,-0.02228247,2.37427725,-0.88919684,0.67065643,-0.16748129,0.95687843,-0.45659107,0.24946941,-0.09840312,0.02339860,-0.02146868,1.74668524,-0.85115299
-5.96398199,2.82130049,-1.35883210,0.03829762,-0.03874718,0.12588111,-0.02344657,2.29666052,-0.94869818,0.64644488,-0.17652512,0.92243072,-0.48443241,0.24114357,-0.10423254,0.02207609,-0.02261196,1.68360231,-0.90088153
-5.95797899,2.70302405,-1.43434630,0.03575905,-0.04044597,0.11967619,-0.02462955,2.21121336,-1.00977483,0.61986474,-0.18636146,0.88513727,-0.51273814,0.23191809,-0.11007984,0.02070847,-0.02369366,1.61509327,-0.95175989
-5.95197599,2.57763892,-1.51078978,0.03319421,-0.04193794,0.11313846,-0.02582023,2.11961075,-1.07204813,0.59142276,-0.19689107,0.84568466,-0.54124950,0.22196488,-0.11589723,0.01931499,-0.02469098,1.54238806,-1.00326777
-5.94597299,2.44735222,-1.58738418,0.03064005,-0.04319417,0.10641100,-0.02700852,2.02357313,-1.13516486,0.56165373,-0.20800828,0.80476639,-0.56971726,0.21146206,-0.12164301,0.01791439,-0.02558278,1.46674409,-1.05490227
