energy_ev,total_up,In_p_up,In_d_up,Rh_p_up,Rh_d_up,Te_p_up,Te_d_up
-6.00000000,0.83668242,0.08961271,0.00094064,1.00339506,0.59185002,0.13164137,0.00000000
-5.99399700,0.85658057,0.09119985,0.00096682,1.05012720,0.59825342,0.14087736,0.00000000
-5.98799400,0.87475997,0.09266616,0.00099381,1.09411147,0.60339996,0.14985476,0.00000000
-5.98199100,0.89125289,0.09404544,0.00102215,1.13470365,0.60750311,0.15841371,0.00000000
-5.97598799,0.90614192,0.09537513,0.00105251,1.17130522,0.61081721,0.16639982,0.00000000
-5.96998499,0.91955767,0.09669525,0.00108566,1.20337978,0.61363108,0.17366778,0.00000000
-5.96398199,0.93167652,0.09804736,0.00112246,1.23046949,0.61626165,0.18008505,0.00000000
-5.95797899,0.94271852,0.09947359,0.00116384,1.25221069,0.61904778,0.18553540,0.00000000
-5.95197599,0.95294510,0.10101582,0.00121078,1.26834779,0.62234451,0.18992217,0.00000000
-5.94597299,0.96265676,0.10271490,0.00126430,1.27874460,0.62651763,0.19317088,0.00000000
-5.93996998,0.97219015,0.10461005,0.00132545,1.28339238,0.63193868,0.19523137,0.00000000
-5.93396698,0.98191469,0.10673829,0.00139528,1.28241397,0.63898022,0.19607900,0.00000000
-5.92796398,0.99222818,0.10913400,0.00147482,1.27606347,0.64801140,0.19571513,0.00000000
-5.92196098,1.00355142,0.11182851,0.00156508,1.26472144,0.65939339,0.19416668,0.00000000
-5.91595798,1.01632160,0.11484969,0.00166699,1.24888542,0.67347487,0.19148482,0.00000000
-5.90995498,1.03098440,0.11822158,0.00178143,1.22915615,0.69058723,0.18774291,0.00000000
-5.90395198,1.04798489,0.12196385,0.00190916,1.20621989,0.71103936,0.18303379,0.00000000
-5.89794897,1.06775729,0.12609132,0.00205084,1.18082760,0.73511223,0.17746649,0.00000000
-5.89194597,1.09071402,0.13061336,0.00220701,1.15377182,0.76305309,0.17116258,0.00000000
-5.88594297,1.11723424,0.13553320,0.00237804,1.12586212,0.79506964,0.16425237,0.00000000
-5.87993997,1.14765259,0.14084725,0.00256419,1.09790035,0.83132420,0.15687097,0.00000000
-5.87393697,1.18224848,0.14654443,0.00276553,1.07065664,0.87192845,0.14915467,0.00000000
-5.86793397,1.22123674,0.15260559,0.00298203,1.04484722,0.91693892,0.14123744,0.00000000
-5.86193097,1.26476012,0.15900304,0.00321349,1.02111486,0.96635373,0.13324794,0.00000000
-5.85592796,1.31288432,0.16570035,0.00345960,1.00001290,1.02011105,0.12530698,0.00000000
-5.84992496,1.36559590,0.17265244,0.00371996,0.98199326,1.07808943,0.11752559,0.00000000
-5.84392196,1.42280356,0.17980604,0.00399410,0.96739889,1.14011062,0.11000358,0.00000000
-5.83791896,1.48434290,0.18710062,0.00428154,0.95646077,1.20594469,0.10282871,0.00000000
-5.83191596,1.54998462,0.19446972,0.00458180,0.94929943,1.27531771,0.09607637,0.00000000
-5.82591296,1.61944597,0.20184281,0.00489443,0.94593057,1.34792175,0.08980966,0.00000000
-5.81990995,1.69240489,0.20914757,0.00521912,0.94627444,1.42342678,0.08407991,0.00000000
-5.81390695,1.76851631,0.21631263,0.00555565,0.95016819,1.50149414,0.07892739,0.00000000
-5.80790395,1.84742958,0.22327052,0.00590401,0.95738044,1.58179068,0.07438230,0.00000000
-5.80190095,1.92880629,0.22996090,0.00626434,0.96762737,1.66400310,0.07046575,0.00000000
-5.79589795,2.01233719,0.23633389,0.00663702,0.98058918,1.74785127,0.06719082,0.00000000
-5.78989495,2.09775741,0.24235319,0.00702263,0.99592630,1.83310011,0.06456356,0.00000000
-5.78389195,2.18485894,0.24799916,0.00742195,1.01329452,1.91956889,0.06258387,0.00000000
-5.77788894,2.27349946,0.25327131,0.00783593,1.03235822,2.00713754,0.06124630,0.00000000
-5.77188594,2.36360723,0.25819045,0.00826567,1.05280141,2.09574933,0.06054064,0.00000000
-5.76588294,2.45518137,0.26280004,0.00871234,1.07433597,2.18540979,0.06045243,0.00000000
-5.75987994,2.54828775,0.26716693,0.00917715,1.09670715,2.27618176,0.06096333,0.00000000
-5.75387694,2.64305059,0.27138124,0.00966127,1.11969604,2.36817686,0.06205138,0.00000000
-5.74787394,2.73964036,0.27555539,0.01016572,1.14311951,2.46154389,0.06369123,0.00000000
-5.74187094,2.83825871,0.27982238,0.01069137,1.16682762,2.55645473,0.06585432,0.00000000
-5.73586793,2.93912134,0.28433325,0.01123879,1.19069917,2.65308873,0.06850906,0.00000000
