energy_ev,total_up,Al_p_up,Al_d_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
-6.00000000,0.80460078,0.06112914,0.00000000,0.00022560,0.37498401,0.50899939,0.12147874
-5.99399700,0.86054335,0.06475269,0.00000000,0.00023293,0.40301336,0.54370749,0.13320442
-5.98799400,0.91646835,0.06819033,0.00000000,0.00024141,0.43172757,0.57801766,0.14587390
-5.98199100,0.97174147,0.07137551,0.00000000,0.00025051,0.46088941,0.61150557,0.15948631
-5.97598799,1.02578923,0.07424709,0.00000000,0.00025977,0.49028919,0.64378247,0.17404567
-5.96998499,1.07810914,0.07675090,0.00000000,0.00026885,0.51974642,0.67450343,0.18955829
-5.96398199,1.12827739,0.07884115,0.00000000,0.00027745,0.54911010,0.70337411,0.20602955
-5.95797899,1.17595372,0.08048168,0.00000000,0.00028535,0.57825761,0.73015569,0.22346025
-5.95197599,1.22088274,0.08164685,0.00000000,0.00029238,0.60709205,0.75466760,0.24184248
-5.94597299,1.26289167,0.08232217,0.00000000,0.00029845,0.63553805,0.77678789,0.26115522
-5.93996998,1.30188441,0.08250455,0.00000000,0.00030348,0.66353616,0.79645116,0.28135989
-5.93396698,1.33783224,0.08220214,0.00000000,0.00030748,0.69103620,0.81364418,0.30239605
-5.92796398,1.37076174,0.08143381,0.00000000,0.00031046,0.71798977,0.82839953,0.32417753
-5.92196098,1.40074064,0.08022828,0.00000000,0.00031249,0.74434270,0.84078758,0.34658929
-5.91595798,1.42786251,0.07862290,0.00000000,0.00031365,0.77002765,0.85090736,0.36948535
-5.90995498,1.45223137,0.07666225,0.00000000,0.00031406,0.79495775,0.85887705,0.39268794
-5.90395198,1.47394729,0.07439645,0.00000000,0.00031385,0.81902160,0.86482455,0.41598824
-5.89794897,1.49309394,0.07187942,0.00000000,0.00031315,0.84208034,0.86887881,0.43914872
-5.89194597,1.50972899,0.06916712,0.00000000,0.00031211,0.86396696,0.87116257,0.46190727
-5.88594297,1.52387803,0.06631577,0.00000000,0.00031087,0.88448827,0.87178678,0.48398305
-5.87993997,1.53553248,0.06338024,0.00000000,0.00030957,0.90342954,0.87084718,0.50508384
-5.87393697,1.54465155,0.06041257,0.00000000,0.00030833,0.92056170,0.86842311,0.52491489
-5.86793397,1.55116820,0.05746075,0.00000000,0.00030729,0.93565089,0.86457856,0.54318863
-5.86193097,1.55499862,0.05456771,0.00000000,0.00030652,0.94846989,0.85936529,0.55963518
-5.85592796,1.55605461,0.05177059,0.00000000,0.00030611,0.95881085,0.85282775,0.57401293
