energy_ev,total_up,Pb_p_up,Pb_d_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
-6.00000000,0.47595480,0.02634350,0.00006887,0.00700232,0.30494942,0.13900946,0.13218307
-5.99399700,0.52520627,0.02904051,0.00007592,0.00774802,0.33651187,0.15392854,0.14580945
-5.98799400,0.57566357,0.03179206,0.00008311,0.00852008,0.36884984,0.16942017,0.15974958
-5.98199100,0.62679342,0.03456539,0.00009037,0.00931284,0.40162259,0.18538676,0.17384986
-5.97598799,0.67802924,0.03732524,0.00009760,0.01012051,0.43446823,0.20173194,0.18794647
-5.96998499,0.72879137,0.04003496,0.00010471,0.01093757,0.46701680,0.21836772,0.20187082
-5.96398199,0.77851033,0.04265763,0.00011161,0.01175905,0.49890516,0.23522234,0.21545601
-5.95797899,0.82665242,0.04515746,0.00011821,0.01258096,0.52979349,0.25224884,0.22854380
-5.95197599,0.87274670,0.04750123,0.00012445,0.01340071,0.55938263,0.26943373,0.24099212
-5.94597299,0.91641226,0.04965971,0.00013025,0.01421746,0.58743162,0.28680563,0.25268254
-5.93996998,0.95738456,0.05160909,0.00013557,0.01503251,0.61377461,0.30444315,0.26352766
-5.93396698,0.99553949,0.05333233,0.00014040,0.01584959,0.63833639,0.32248184,0.27347782
-5.92796398,1.03091401,0.05482027,0.00014474,0.01667510,0.66114569,0.34111958,0.28252696
-5.92196098,1.06372216,0.05607260,0.00014863,0.01751826,0.68234544,0.36062008,0.29071716
-5.91595798,1.09436531,0.05709846,0.00015213,0.01839112,0.70219945,0.38131409,0.29814173
-5.90995498,1.12343595,0.05791682,0.00015535,0.01930847,0.72109483,0.40359816,0.30494649
-5.90395198,1.15171443,0.05855641,0.00015842,0.02028768,0.73953995,0.42793054,0.31132919
-5.89794897,1.18015832,0.05905540,0.00016153,0.02134827,0.75815758,0.45482447,0.31753683
-5.89194597,1.20988453,0.05946059,0.00016487,0.02251155,0.77767344,0.48483865,0.32386111
-5.88594297,1.24214450,0.05982641,0.00016870,0.02379996,0.79890017,0.51856531,0.33063191
-5.87993997,1.27829326,0.06021344,0.00017328,0.02523648,0.82271740,0.55661608,0.33820902
