energy_ev,total_up,Au_p_up,Au_d_up,Ga_p_up,Ga_d_up,Se_s_up,Se_p_up
-6.00000000,2.93944664,0.47958084,2.71328927,0.13034911,0.00000000,0.00363655,0.08729857
-5.99399700,2.86980156,0.48805050,2.64035297,0.12877285,0.00000000,0.00375518,0.08907621
-5.98799400,2.80689958,0.49809116,2.57331658,0.12760410,0.00000000,0.00390989,0.09123928
-5.98199100,2.75158551,0.50960207,2.51307265,0.12686440,0.00000000,0.00410310,0.09375154
-5.97598799,2.70456009,0.52242735,2.46039814,0.12656265,0.00000000,0.00433634,0.09656844
-5.96998499,2.66637639,0.53636095,2.41594853,0.12669549,0.00000000,0.00461018,0.09963808
-5.96398199,2.63744261,0.55115375,2.38025731,0.12724823,0.00000000,0.00492418,0.10290248
-5.95797899,2.61803019,0.56652248,2.35373992,0.12819612,0.00000000,0.00527687,0.10629906
-5.95197599,2.60828579,0.58216006,2.33670067,0.12950593,0.00000000,0.00566570,0.10976237
-5.94597299,2.60824551,0.59774664,2.32934164,0.13113774,0.00000000,0.00608710,0.11322580
-5.93996998,2.61784978,0.61296096,2.33177189,0.13304684,0.00000000,0.00653652,0.11662346
-5.93396698,2.63695711,0.62749127,2.34401577,0.13518555,0.00000000,0.00700855,0.11989181
-5.92796398,2.66535544,0.64104535,2.36601906,0.13750491,0.00000000,0.00749699,0.12297132
-5.92196098,2.70276985,0.65335918,2.39765213,0.13995616,0.00000000,0.00799503,0.12580778
-5.91595798,2.74886581,0.66420384,2.43870936,0.14249189,0.00000000,0.00849541,0.12835334
-5.90995498,2.80324764,0.67339036,2.48890469,0.14506689,0.00000000,0.00899058,0.13056734
-5.90395198,2.86545227,0.68077244,2.54786349,0.14763857,0.00000000,0.00947291,0.13241670
-5.89794897,2.93493891,0.68624707,2.61511124,0.15016713,0.00000000,0.00993487,0.13387603
-5.89194597,3.01107546,0.68975306,2.69006000,0.15261535,0.00000000,0.01036924,0.13492742
-5.88594297,3.09312326,0.69126789,2.77199401,0.15494818,0.00000000,0.01076925,0.13556001
-5.87993997,3.18022165,0.69080317,2.86005594,0.15713216,0.00000000,0.01112879,0.13576930
-5.87393697,3.27137436,0.68839897,2.95323530,0.15913475,0.00000000,0.01144250,0.13555637
-5.86793397,3.36543954,0.68411778,3.05036112,0.16092372,0.00000000,0.01170589,0.13492695
-5.86193097,3.46112529,0.67803826,3.15010013,0.16246659,0.00000000,0.01191544,0.13389063
-5.85592796,3.55699243,0.67024930,3.25096231,0.16373033,0.00000000,0.01206862,0.13245992
-5.84992496,3.65146583,0.66084482,3.35131471,0.16468122,0.00000000,0.01216392,0.13064961
-5.84392196,3.74285502,0.64991952,3.44940440,0.16528507,0.00000000,0.01220080,0.12847616
-5.83791896,3.82938471,0.63756576,3.54339091,0.16550769,0.00000000,0.01217968,0.12595731
-5.83191596,3.90923472,0.62387174,3.63138761,0.16531569,0.00000000,0.01210187,0.12311180
-5.82591296,3.98058867,0.60892094,3.71151151,0.16467750,0.00000000,0.01196946,0.11995933
-5.81990995,4.04168980,0.59279267,3.78193971,0.16356455,0.00000000,0.01178524,0.11652061
-5.81390695,4.09090201,0.57556363,3.84097074,0.16195274,0.00000000,0.01155262,0.11281754
-5.80790395,4.12677359,0.55731019,3.88708828,0.15982370,0.00000000,0.01127548,0.10887344
-5.80190095,4.14810072,0.53811110,3.91902453,0.15716626,0.00000000,0.01095814,0.10471328
-5.79589795,4.15398783,0.51805042,3.93582025,0.15397759,0.00000000,0.01060519,0.10036395
-5.78989495,4.14390157,0.49722024,3.93687849,0.15026425,0.00000000,0.01022150,0.09585441
-5.78389195,4.11771560,0.47572304,3.92200913,0.14604284,0.00000000,0.00981206,0.09121576
-5.77788894,4.07574336,0.45367342,3.89146163,0.14134044,0.00000000,0.00938201,0.08648119
-5.77188594,4.01875679,0.43119901,3.84594382,0.13619455,0.00000000,0.00893653,0.08168581
-5.76588294,3.94798930,0.40844057,3.78662519,0.13065277,0.00000000,0.00848084,0.07686627
-5.75987994,3.86512205,0.38555101,3.71512364,0.12477197,0.00000000,0.00802015,0.07206038
-5.75387694,3.77225343,0.36269370,3.63347571,0.11861719,0.00000000,0.00755962,0.06730647
-5.74787394,3.67185230,0.34003978,3.54409052,0.11226029,0.00000000,0.00710438,0.06264279
-5.74187094,3.56669623,0.31776494,3.44968902,0.10577820,0.00000000,0.00665942,0.05810673
-5.73586793,3.45979692,0.29604557,3.35323020,0.09925118,0.00000000,0.00622964,0.05373410
-5.72986493,3.35431516,0.27505470,3.25782704,0.09276083,0.00000000,0.00581973,0.04955843
-5.72386193,3.25346848,0.25495775,3.16665489,0.08638816,0.00000000,0.00543419,0.04561018
-5.71785893,3.16043478,0.23590840,3.08285578,0.08021171,0.00000000,0.00507723,0.04191620
-5.71185593,3.07825543,0.21804477,3.00944199,0.07430575,0.00000000,0.00475272,0.03849913
-5.70585293,3.00974123,0.20148598,2.94920226,0.06873865,0.00000000,0.00446413,0.03537699
