energy_ev,total_up,Pb_p_up,Pb_d_up,Pt_p_up,Pt_d_up,Se_s_up,Se_p_up
-6.00000000,1.41504608,0.48918105,0.00019646,0.15798332,0.67477307,0.06043349,0.21706595
-5.99399700,1.43398518,0.48371908,0.00019497,0.15378454,0.69249684,0.06360552,0.22396735
-5.98799400,1.44998333,0.47769465,0.00019386,0.14989242,0.70799603,0.06666658,0.23019678
-5.98199100,1.46225572,0.47094435,0.00019301,0.14626694,0.72084830,0.06956594,0.23558790
-5.97598799,1.47008744,0.46332331,0.00019226,0.14286670,0.73067841,0.07225560,0.23998665
-5.96998499,1.47286650,0.45471442,0.00019148,0.13965239,0.73717390,0.07469204,0.24325713
-5.96398199,1.47011271,0.44503584,0.00019053,0.13658976,0.74009866,0.07683780,0.24528696
-5.95797899,1.46150114,0.43424664,0.00018929,0.13365199,0.73930396,0.07866283,0.24599187
-5.95197599,1.44687923,0.42235034,0.00018767,0.13082139,0.73473639,0.08014549,0.24531925
-5.94597299,1.42627692,0.40939621,0.00018561,0.12809027,0.72644240,0.08127321,0.24325064
-5.93996998,1.39990944,0.39547849,0.00018306,0.12546113,0.71456924,0.08204274,0.23980288
-5.93396698,1.36817291,0.38073362,0.00018003,0.12294622,0.69936239,0.08245995,0.23502813
-5.92796398,1.33163312,0.36533569,0.00017655,0.12056638,0.68115948,0.08253927,0.22901245
-5.92196098,1.29100806,0.34949049,0.00017270,0.11834951,0.66038107,0.08230272,0.22187339
-5.91595798,1.24714533,0.33342851,0.00016858,0.11632868,0.63751877,0.08177866,0.21375634
-5.90995498,1.20099533,0.31739712,0.00016434,0.11454001,0.61312104,0.08100028,0.20483012
-5.90395198,1.15358167,0.30165256,0.00016014,0.11302063,0.58777742,0.08000395,0.19528185
-5.89794897,1.10596990,0.28645178,0.00015620,0.11180659,0.56210168,0.07882751,0.18531130
-5.89194597,1.05923589,0.27204478,0.00015273,0.11093123,0.53671454,0.07750863,0.17512510
-5.88594297,1.01443511,0.25866737,0.00014998,0.11042374,0.51222661,0.07608328,0.16493083
-5.87993997,0.97257372,0.24653494,0.00014820,0.11030827,0.48922198,0.07458439,0.15493144
-5.87393697,0.93458254,0.23583699,0.00014767,0.11060351,0.46824307,0.07304088,0.14532000
-5.86793397,0.90129443,0.22673290,0.00014866,0.11132274,0.44977700,0.07147696,0.13627497
-5.86193097,0.87342572,0.21934868,0.00015146,0.11247445,0.43424396,0.06991179,0.12795625
-5.85592796,0.85156193,0.21377491,0.00015635,0.11406336,0.42198769,0.06835946,0.12050195
-5.84992496,0.83614799,0.21006568,0.00016360,0.11609179,0.41326825,0.06682943,0.11402599
-5.84392196,0.82748282,0.20823855,0.00017350,0.11856138,0.40825729,0.06532709,0.10861653
-5.83791896,0.82571831,0.20827548,0.00018631,0.12147487,0.40703563,0.06385465,0.10433531
