energy_ev,total_up,C_s_up,C_p_up,Co_p_up,Co_d_up,Rh_p_up,Rh_d_up,Se_s_up,Se_p_up
-6.00000000,2.71139039,0.01516992,0.44461637,0.44147306,0.33001923,1.71945068,0.90041530,0.02697813,0.84978352
-5.99399700,2.80652067,0.01543542,0.46202247,0.45757231,0.34161209,1.77959962,0.93494163,0.02786118,0.87747373
-5.98799400,2.90392820,0.01569187,0.47948894,0.47502724,0.35322272,1.84009314,0.96973284,0.02872845,0.90682642
-5.98199100,3.00180589,0.01592605,0.49667484,0.49351682,0.36465096,1.89975943,1.00415574,0.02955678,0.93733551
-5.97598799,3.09829575,0.01612518,0.51324465,0.51268905,0.37568976,1.95744326,1.03757985,0.03032365,0.96844778
-5.96998499,3.19154721,0.01627739,0.52887821,0.53217099,0.38613243,2.01204173,1.06939667,0.03100790,0.99958015
-5.96398199,3.27977494,0.01637210,0.54328003,0.55157950,0.39578008,2.06253777,1.09903812,0.03159039,1.03013782
-5.95797899,3.36131378,0.01640033,0.55618756,0.57053212,0.40444882,2.10802976,1.12599333,0.03205464,1.05953270
-5.95197599,3.43466873,0.01635503,0.56737815,0.58865799,0.41197648,2.14775629,1.14982326,0.03238726,1.08720144
-5.94597299,3.49855827,0.01623121,0.57667438,0.60560824,0.41822856,2.18111528,1.17017260,0.03257837,1.11262240
-5.93996998,3.55194938,0.01602616,0.58394769,0.62106566,0.42310317,2.20767673,1.18677845,0.03262178,1.13533089
-5.93396698,3.59408335,0.01573940,0.58912015,0.63475327,0.42653476,2.22718898,1.19947577,0.03251513,1.15493240
-5.92796398,3.62449153,0.01537268,0.59216445,0.64644156,0.42849653,2.23957854,1.20819913,0.03225984,1.17111317
-5.92196098,3.64300096,0.01492989,0.59310208,0.65595418,0.42900136,2.24494386,1.21298124,0.03186092,1.18364803
-5.91595798,3.64973008,0.01441686,0.59200000,0.66317197,0.42810139,2.24354379,1.21394809,0.03132666,1.19240520
-5.90995498,3.64507516,0.01384111,0.58896598,0.66803524,0.42588610,2.23578158,1.21131128,0.03066824,1.19734809
