energy_ev,total_up,P_s_up,P_p_up,Ru_p_up,Ru_d_up,S_s_up,S_p_up
-6.00000000,3.35803959,0.01235742,0.99102470,2.15306566,1.15552912,0.03341961,0.82363920
-5.99399700,3.49256050,0.01320169,1.05176386,2.23003738,1.21582019,0.03659897,0.83599680
-5.98799400,3.64007440,0.01410156,1.11855491,2.31255866,1.28248720,0.04002782,0.84977191
-5.98199100,3.79975113,0.01505187,1.19098016,2.40019957,1.35515639,0.04367684,0.86496807
-5.97598799,3.97031236,0.01604588,1.26843159,2.49232912,1.43324837,0.04750924,0.88152550
-5.96998499,4.15003558,0.01707526,1.35011155,2.58811793,1.51597792,0.05148092,0.89932150
-5.96398199,4.33677225,0.01813013,1.43504006,2.68654660,1.60236058,0.05554103,0.91817228
-5.95797899,4.52798038,0.01919910,1.52206888,2.78641946,1.69122656,0.05963275,0.93783602
-5.95197599,4.72077115,0.02026939,1.60990248,2.88638391,1.78124172,0.06369438,0.95801725
-5.94597299,4.91196888,0.02132699,1.69712525,2.98495509,1.87093539,0.06766067,0.97837234
-5.93996998,5.09818312,0.02235693,1.78223468,3.08054554,1.95873453,0.07146441,0.99851618
-5.93396698,5.27589118,0.02334352,1.86367930,3.17149960,2.04300323,0.07503811,1.01803005
-5.92796398,5.44152907,0.02427068,1.93990049,3.25613194,2.12208652,0.07831585,1.03647057
-5.92196098,5.59158815,0.02512233,2.00937657,3.33276949,2.19435701,0.08123512,1.05337981
-5.91595798,5.72271460,0.02588280,2.07066769,3.39979580,2.25826285,0.08373867,1.06829637
-5.90995498,5.83180849,0.02653720,2.12245990,3.45569670,2.31237519,0.08577617,1.08076738
-5.90395198,5.91611890,0.02707188,2.16360661,3.49910604,2.35543340,0.08730578,1.09036108
-5.89794897,5.97333176,0.02747484,2.19316579,3.52884985,2.38638617,0.08829537,1.09667973
-5.89194597,6.00164677,0.02773609,2.21043140,3.54398740,2.40442691,0.08872353,1.09937246
-5.88594297,5.99984044,0.02784800,2.21495769,3.54384763,2.40902180,0.08858017,1.09814761
-5.87993997,5.96731255,0.02780558,2.20657531,3.52805914,2.39992938,0.08786680,1.09278401
-5.87393697,5.90411373,0.02760662,2.18539853,3.49657251,2.37721068,0.08659635,1.08314073
-5.86793397,5.81095294,0.02725190,2.15182322,3.44967353,2.34122955,0.08479276,1.06916477
-5.86193097,5.68918422,0.02674512,2.10651566,3.38798648,2.29264297,0.08249008,1.05089625
-5.85592796,5.54077289,0.02609288,2.05039270,3.31246688,2.23238189,0.07973135,1.02847073
-5.84992496,5.36824247,0.02530448,1.98459397,3.22438353,2.16162328,0.07656719,1.00211840
-5.84392196,5.17460435,0.02439169,1.91044758,3.12529021,2.08175481,0.07305423,0.97216002
-5.83791896,4.96327283,0.02336839,1.82943049,3.01698771,1.99433339,0.06925339,0.93899963
-5.83191596,4.73796894,0.02225020,1.74312546,2.90147758,1.90103967,0.06522812,0.90311431
-5.82591296,4.50261698,0.02105404,1.65317610,2.78090899,1.80363018,0.06104265,0.86504117
-5.81990995,4.26123763,0.01979762,1.56124206,2.65752085,1.70388920,0.05676030,0.82536230
-5.81390695,4.01784196,0.01849900,1.46895583,2.53358123,1.60358223,0.05244198,0.78468801
-5.80790395,3.77633012,0.01717610,1.37788294,2.41132648,1.50441280,0.04814485,0.74363926
-5.80190095,3.54039862,0.01584628,1.28948675,2.29290239,1.40798424,0.04392117,0.70282991
-5.79589795,3.31345902,0.01452589,1.20509897,2.18030966,1.31576743,0.03981743,0.66284952
-5.78989495,3.09857090,0.01322998,1.12589670,2.07535576,1.22907566,0.03587377,0.62424740
-5.78389195,2.89839064,0.01197199,1.05288648,1.97961512,1.14904694,0.03212355,0.58751864
-5.77788894,2.71513727,0.01076356,0.98689533,1.89439886,1.07663392,0.02859330,0.55309247
-5.77188594,2.55057547,0.00961437,0.92856874,1.82073544,1.01260126,0.02530280,0.52132353
-5.76588294,2.40601544,0.00853212,0.87837509,1.75936239,0.95752986,0.02226538,0.49248624
-5.75987994,2.28232827,0.00752250,0.83661576,1.71072948,0.91182714,0.01948841,0.46677230
-5.75387694,2.17997521,0.00658928,0.80344009,1.67501276,0.87574240,0.01697389,0.44429150
-5.74787394,2.09904851,0.00573443,0.77886411,1.65213844,0.84938605,0.01471914,0.42507538
