energy_ev,total_up,Cd_p_up,Cd_d_up,Mn_p_up,Mn_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up
-6.00000000,0.72989230,0.31632743,0.05067176,0.15619052,0.22181074,0.00232819,0.05658198,0.32746497,0.00000000
-5.99399700,0.72296802,0.31587346,0.05007010,0.15304797,0.21676171,0.00261940,0.05759553,0.32484000,0.00000000
-5.98799400,0.71786328,0.31775335,0.04965121,0.15076398,0.21138372,0.00296972,0.05907574,0.32321327,0.00000000
-5.98199100,0.71512648,0.32218350,0.04945130,0.14944169,0.20586246,0.00337891,0.06105899,0.32282310,0.00000000
-5.97598799,0.71524406,0.32931222,0.04950220,0.14916201,0.20038262,0.00384655,0.06356875,0.32387461,0.00000000
-5.96998499,0.71862047,0.33921236,0.04983009,0.14998035,0.19512168,0.00437183,0.06661401,0.32653081,0.00000000
-5.96398199,0.72556065,0.35187588,0.05045434,0.15192403,0.19024410,0.00495350,0.07018796,0.33090480,0.00000000
-5.95797899,0.73625583,0.36721051,0.05138658,0.15499053,0.18589624,0.00558974,0.07426716,0.33705362,0.00000000
-5.95197599,0.75077323,0.38503870,0.05263008,0.15914658,0.18220205,0.00627807,0.07881116,0.34497397,0.00000000
-5.94597299,0.76905034,0.40509920,0.05417942,0.16432836,0.17925985,0.00701535,0.08376263,0.35460004,0.00000000
-5.93996998,0.79089390,0.42705125,0.05602042,0.17044252,0.17714022,0.00779771,0.08904807,0.36580371,0.00000000
-5.93396698,0.81598406,0.45048144,0.05813053,0.17736834,0.17588502,0.00862061,0.09457910,0.37839699,0.00000000
-5.92796398,0.84388322,0.47491322,0.06047935,0.18496077,0.17550760,0.00947883,0.10025431,0.39213690,0.00000000
-5.92196098,0.87404960,0.49981883,0.06302959,0.19305435,0.17599399,0.01036661,0.10596172,0.40673250,0.00000000
-5.91595798,0.90585472,0.52463342,0.06573822,0.20146785,0.17730515,0.01127768,0.11158165,0.42185380,0.00000000
-5.90995498,0.93860421,0.54877078,0.06855778,0.21000952,0.17937987,0.01220542,0.11699004,0.43714234,0.00000000
-5.90395198,0.97156095,0.57164046,0.07143786,0.21848269,0.18213829,0.01314295,0.12206206,0.45222287,0.00000000
-5.89794897,1.00396959,0.59266542,0.07432667,0.22669157,0.18548580,0.01408326,0.12667590,0.46671569,0.00000000
-5.89194597,1.03508118,0.61129960,0.07717255,0.23444692,0.18931703,0.01501935,0.13071655,0.48024916,0.00000000
-5.88594297,1.06417710,0.62704491,0.07992541,0.24157153,0.19351974,0.01594428,0.13407949,0.49247173,0.00000000
-5.87993997,1.09059087,0.63946661,0.08253807,0.24790504,0.19797855,0.01685129,0.13667405,0.50306309,0.00000000
-5.87393697,1.11372726,0.64820677,0.08496738,0.25330817,0.20257815,0.01773384,0.13842636,0.51174392,0.00000000
