energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Na_s_up,Se_s_up,Se_p_up
-6.00000000,5.31338150,0.05081917,0.61379561,0.75355877,0.97433534,0.42238030,0.09554568,1.84593130
-5.99399700,5.01373587,0.04830797,0.57544457,0.72073835,0.91711230,0.39492922,0.08991324,1.75011687
-5.98799400,4.71234954,0.04582086,0.53641956,0.68840028,0.85912775,0.36853430,0.08409209,1.65467508
-5.98199100,4.41341586,0.04339801,0.49725985,0.65704133,0.80120486,0.34340973,0.07816775,1.56094618
-5.97598799,4.12077443,0.04107517,0.45847502,0.62708974,0.74411305,0.31972635,0.07222324,1.47012400
-5.96998499,3.83783493,0.03888283,0.42053512,0.59889522,0.68855293,0.29761086,0.06633735,1.38323154
-5.96398199,3.56751957,0.03684587,0.38386279,0.57272228,0.63514459,0.27714613,0.06058314,1.30110351
-5.95797899,3.31222550,0.03498325,0.34882742,0.54874667,0.58441921,0.25837265,0.05502673,1.22437624
-5.95197599,3.07380741,0.03330800,0.31574146,0.52705547,0.53681444,0.24129087,0.04972638,1.15348511
-5.94597299,2.85357984,0.03182750,0.28485883,0.50765031,0.49267303,0.22586461,0.04473197,1.08866925
-5.93996998,2.65233778,0.03054384,0.25637529,0.49045385,0.45224484,0.21202519,0.04008467,1.02998289
-5.93396698,2.47039334,0.02945441,0.23043048,0.47531893,0.41569157,0.19967629,0.03581696,0.97731278
-5.92796398,2.30762582,0.02855265,0.20711149,0.46203999,0.38309388,0.18869931,0.03195291,0.93040034
-5.92196098,2.16354189,0.02782880,0.18645741,0.45036626,0.35446031,0.17895911,0.02850860,0.88886767
-5.91595798,2.03734254,0.02727073,0.16846481,0.44001596,0.32973736,0.17030989,0.02549275,0.85224577
-5.90995498,1.92799323,0.02686481,0.15309354,0.43069098,0.30882016,0.16260107,0.02290743,0.82000391
-5.90395198,1.83429403,0.02659667,0.14027270,0.42209133,0.29156322,0.15568299,0.02074890,0.79157868
-5.89794897,1.75494665,0.02645193,0.12990639,0.41392877,0.27779069,0.14941223,0.01900830,0.76640155
-5.89194597,1.68861576,0.02641675,0.12187916,0.40593904,0.26730583,0.14365636,0.01767256,0.74392395
-5.88594297,1.63398273,0.02647836,0.11606083,0.39789237,0.25989927,0.13829817,0.01672503,0.72363894
-5.87993997,1.58979034,0.02662537,0.11231068,0.38960180,0.25535599,0.13323902,0.01614623,0.70509890
-5.87393697,1.55487777,0.02684797,0.11048096,0.38092916,0.25346091,0.12840152,0.01591445,0.68792899
-5.86793397,1.52820591,0.02713799,0.11041975,0.37178866,0.25400318,0.12373135,0.01600624,0.67183606
-5.86193097,1.50887340,0.02748887,0.11197319,0.36214820,0.25677926,0.11919828,0.01639695,0.65661348
-5.85592796,1.49612463,0.02789554,0.11498735,0.35202840,0.26159510,0.11479648,0.01706114,0.64214195
-5.84992496,1.48935095,0.02835417,0.11930964,0.34149981,0.26826761,0.11054417,0.01797299,0.62838703
