energy_ev,total_up,Cu_p_up,Cu_d_up,S_s_up,S_p_up,Si_p_up,Si_d_up
-6.00000000,0.41671607,0.10068526,0.09558998,0.00109956,0.27056864,0.00641736,0.00000000
-5.99399700,0.43518310,0.10452819,0.09986756,0.00114599,0.28311243,0.00687045,0.00000000
-5.98799400,0.45435930,0.10871998,0.10423925,0.00119450,0.29613994,0.00732974,0.00000000
-5.98199100,0.47420964,0.11327829,0.10868734,0.00124525,0.30961755,0.00779476,0.00000000
-5.97598799,0.49467246,0.11821064,0.11318875,0.00129838,0.32349248,0.00826550,0.00000000
-5.96998499,0.51565872,0.12351360,0.11771505,0.00135398,0.33769239,0.00874256,0.00000000
-5.96398199,0.53705214,0.12917219,0.12223270,0.00141210,0.35212560,0.00922708,0.00000000
-5.95797899,0.55871017,0.13515967,0.12670347,0.00147276,0.36668195,0.00972081,0.00000000
-5.95197599,0.58046587,0.14143765,0.13108502,0.00153590,0.38123431,0.01022601,0.00000000
-5.94597299,0.60213039,0.14795645,0.13533166,0.00160142,0.39564062,0.01074542,0.00000000
-5.93996998,0.62349625,0.15465581,0.13939522,0.00166916,0.40974640,0.01128213,0.00000000
-5.93396698,0.64434104,0.16146589,0.14322599,0.00173887,0.42338770,0.01183941,0.00000000
-5.92796398,0.66443159,0.16830841,0.14677386,0.00181025,0.43639442,0.01242058,0.00000000
-5.92196098,0.68352836,0.17509811,0.14998929,0.00188291,0.44859370,0.01302873,0.00000000
-5.91595798,0.70138996,0.18174430,0.15282450,0.00195638,0.45981362,0.01366657,0.00000000
-5.90995498,0.71777778,0.18815257,0.15523447,0.00203011,0.46988669,0.01433607,0.00000000
-5.90395198,0.73246036,0.19422662,0.15717792,0.00210348,0.47865343,0.01503829,0.00000000
-5.89794897,0.74521769,0.19987011,0.15861829,0.00217578,0.48596571,0.01577309,0.00000000
-5.89194597,0.75584523,0.20498863,0.15952447,0.00224623,0.49168981,0.01653892,0.00000000
-5.88594297,0.76415756,0.20949153,0.15987151,0.00231399,0.49570925,0.01733258,0.00000000
-5.87993997,0.76999171,0.21329390,0.15964114,0.00237817,0.49792718,0.01814912,0.00000000
-5.87393697,0.77321014,0.21631831,0.15882218,0.00243783,0.49826848,0.01898173,0.00000000
-5.86793397,0.77370330,0.21849661,0.15741077,0.00249204,0.49668136,0.01982175,0.00000000
-5.86193097,0.77139179,0.21977148,0.15541050,0.00253983,0.49313859,0.02065870,0.00000000
-5.85592796,0.76622820,0.22009790,0.15283236,0.00258029,0.48763826,0.02148048,0.00000000
-5.84992496,0.75819844,0.21944434,0.14969457,0.00261257,0.48020409,0.02227358,0.00000000
-5.84392196,0.74732271,0.21779374,0.14602232,0.00263589,0.47088533,0.02302341,0.00000000
-5.83791896,0.73365597,0.21514423,0.14184736,0.00264962,0.45975616,0.02371475,0.00000000
-5.83191596,0.71728798,0.21150945,0.13720747,0.00265327,0.44691471,0.02433213,0.00000000
-5.82591296,0.69834271,0.20691864,0.13214592,0.00264656,0.43248154,0.02486041,0.00000000
-5.81990995,0.67697722,0.20141622,0.12671070,0.00262948,0.41659779,0.02528527,0.00000000
-5.81390695,0.65337989,0.19506107,0.12095384,0.00260227,0.39942283,0.02559377,0.00000000
