energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Te_p_up,Te_d_up,V_p_up,V_d_up
-6.00000000,15.50588284,1.46237744,11.10578193,0.02747059,0.39895943,2.05534441,0.00000000,1.53515639,1.02900408
-5.99399700,15.70424122,1.49100571,11.23583479,0.02786171,0.41115402,2.07770001,0.00000000,1.57170808,1.05296424
-5.98799400,15.85449484,1.51834313,11.32771267,0.02824037,0.42186682,2.09762564,0.00000000,1.60522795,1.07352157
-5.98199100,15.95353152,1.54392711,11.37953866,0.02859922,0.43092304,2.11459342,0.00000000,1.63507198,1.09031467
-5.97598799,15.99918697,1.56730824,11.39018080,0.02893057,0.43818644,2.12812303,0.00000000,1.66065780,1.10306053
-5.96998499,15.99033863,1.58805838,11.35931701,0.02922657,0.44356354,2.13779534,0.00000000,1.68147891,1.11156391
-5.96398199,15.92697077,1.60577960,11.28747637,0.02947934,0.44700649,2.14326538,0.00000000,1.69711729,1.11572409
-5.95797899,15.81020759,1.62011386,11.17605440,0.02968119,0.44851455,2.14427429,0.00000000,1.70725412,1.11553860
-5.95197599,15.64231187,1.63075302,11.02730058,0.02982486,0.44813395,2.14065975,0.00000000,1.71167806,1.11110375
-5.94597299,15.42664837,1.63744889,10.84427816,0.02990372,0.44595622,2.13236435,0.00000000,1.71029077,1.10261184
-5.93996998,15.16761223,1.64002265,10.63079682,0.02991204,0.44211491,2.11944149,0.00000000,1.70310928,1.09034500
-5.93396698,14.87052453,1.63837324,10.39132036,0.02984515,0.43678090,2.10205843,0.00000000,1.69026524,1.07466603
-5.92796398,14.54149816,1.63248416,10.13085273,0.02969965,0.43015633,2.08049614,0.00000000,1.67200089,1.05600641
-5.92196098,14.18727861,1.62242805,9.85480621,0.02947356,0.42246756,2.05514576,0.00000000,1.64866184,1.03485209
-5.91595798,13.81506547,1.60836876,9.56885696,0.02916639,0.41395736,2.02650155,0.00000000,1.62068694,1.01172744
-5.90995498,13.43232084,1.59056043,9.27879316,0.02877920,0.40487666,1.99515046,0.00000000,1.58859558,0.98717830
-5.90395198,13.04657191,1.56934349,8.99036158,0.02831458,0.39547614,1.96175848,0.00000000,1.55297287,0.96175455
-5.89794897,12.66521462,1.54513750,8.70911813,0.02777659,0.38599824,1.92705405,0.00000000,1.51445334,0.93599319
