energy_ev,total_up,C_s_up,C_p_up,Mg_p_up,Mg_d_up,Rh_p_up,Rh_d_up,Te_p_up,Te_d_up
-6.00000000,3.55816548,0.04423594,0.34218853,0.30905157,0.00000000,1.27786499,1.91755950,1.29745891,0.00000000
-5.99399700,3.54611952,0.04529052,0.33931078,0.32066950,0.00000000,1.24230132,1.90159421,1.30178436,0.00000000
-5.98799400,3.53825660,0.04616104,0.33719381,0.33592325,0.00000000,1.21437291,1.88468579,1.30941285,0.00000000
-5.98199100,3.53647238,0.04684640,0.33608558,0.35496795,0.00000000,1.19473383,1.86786607,1.32101276,0.00000000
-5.97598799,3.54262802,0.04735070,0.33622539,0.37791128,0.00000000,1.18394573,1.85219122,1.33720845,0.00000000
-5.96998499,3.55849721,0.04768335,0.33783734,0.40480666,0.00000000,1.18247728,1.83871125,1.35856070,0.00000000
-5.96398199,3.58571489,0.04785902,0.34112436,0.43564699,0.00000000,1.19070560,1.82844006,1.38554768,0.00000000
-5.95797899,3.62572911,0.04789736,0.34626288,0.47035902,0.00000000,1.20891901,1.82232704,1.41854712,0.00000000
-5.95197599,3.67975732,0.04782256,0.35339846,0.50879868,0.00000000,1.23732074,1.82123081,1.45782018,0.00000000
-5.94597299,3.74874838,0.04766272,0.36264236,0.55074763,0.00000000,1.27603306,1.82589602,1.50349761,0.00000000
-5.93996998,3.83335142,0.04744909,0.37406917,0.59591135,0.00000000,1.32510141,1.83693368,1.55556867,0.00000000
-5.93396698,3.93389250,0.04721514,0.38771555,0.64391896,0.00000000,1.38449810,1.85480574,1.61387334,0.00000000
-5.92796398,4.05035976,0.04699557,0.40358005,0.69432507,0.00000000,1.45412543,1.87981405,1.67809825,0.00000000
-5.92196098,4.18239761,0.04682518,0.42162397,0.74661374,0.00000000,1.53381765,1.91209425,1.74777651,0.00000000
-5.91595798,4.32930992,0.04673779,0.44177321,0.80020475,0.00000000,1.62334180,1.95161445,1.82229179,0.00000000
-5.90995498,4.49007221,0.04676505,0.46392091,0.85446195,0.00000000,1.72239704,1.99817875,1.90088650,0.00000000
-5.90395198,4.66335219,0.04693536,0.48793064,0.90870387,0.00000000,1.83061249,2.05143532,1.98267407,0.00000000
-5.89794897,4.84753786,0.04727282,0.51364017,0.96221610,0.00000000,1.94754341,2.11088861,2.06665496,0.00000000
-5.89194597,5.04077215,0.04779630,0.54086535,1.01426526,0.00000000,2.07266592,2.17591524,2.15173609,0.00000000
-5.88594297,5.24099281,0.04851859,0.56940402,1.06411416,0.00000000,2.20537037,2.24578285,2.23675296,0.00000000
-5.87993997,5.44597617,0.04944579,0.59903973,1.11103764,0.00000000,2.34495374,2.31967125,2.32049412,0.00000000
-5.87393697,5.65338340,0.05057679,0.62954503,1.15433860,0.00000000,2.49061159,2.39669507,2.40172694,0.00000000
-5.86793397,5.86080794,0.05190302,0.66068429,1.19336368,0.00000000,2.64143022,2.47592719,2.47922424,0.00000000
-5.86193097,6.06582288,0.05340837,0.69221596,1.22751810,0.00000000,2.79637988,2.55642233,2.55179098,0.00000000
-5.85592796,6.26602731,0.05506941,0.72389413,1.25627917,0.00000000,2.95430995,2.63723997,2.61829015,0.00000000
-5.84992496,6.45909077,0.05685581,0.75546966,1.27920797,0.00000000,3.11394716,2.71746635,2.67766752,0.00000000
-5.84392196,6.64279532,0.05873096,0.78669086,1.29595902,0.00000000,3.27389780,2.79623492,2.72897440,0.00000000
-5.83791896,6.81507479,0.06065292,0.81730394,1.30628745,0.00000000,3.43265492,2.87274497,2.77138813,0.00000000
-5.83191596,6.97405108,0.06257550,0.84705344,1.31005372,0.00000000,3.58861129,2.94627846,2.80422975,0.00000000
-5.82591296,7.11806730,0.06444956,0.87568300,1.30722567,0.00000000,3.74007868,3.01621451,2.82697856,0.00000000
-5.81990995,7.24571779,0.06622443,0.90293651,1.29787799,0.00000000,3.88531360,3.08204198,2.83928338,0.00000000
-5.81390695,7.35587482,0.06784954,0.92856011,1.28218924,0.00000000,4.02254952,3.14336964,2.84097013,0.00000000
-5.80790395,7.44771175,0.06927595,0.95230504,1.26043649,0.00000000,4.15003468,3.19993417,2.83204574,0.00000000
-5.80190095,7.52072229,0.07045795,0.97393153,1.23298798,0.00000000,4.26607473,3.25160583,2.81269828,0.00000000
-5.79589795,7.57473525,0.07135466,0.99321372,1.20029390,0.00000000,4.36907860,3.29839159,2.78329311,0.00000000
-5.78989495,7.60992417,0.07193135,1.00994555,1.16287575,0.00000000,4.45760574,3.34043562,2.74436532,0.00000000
-5.78389195,7.62681083,0.07216070,1.02394739,1.12131458,0.00000000,4.53041280,3.37801691,2.69660833,0.00000000
-5.77788894,7.62626196,0.07202374,1.03507311,1.07623827,0.00000000,4.58649727,3.41154383,2.64085895,0.00000000
-5.77188594,7.60947811,0.07151053,1.04321731,1.02830851,0.00000000,4.62513606,3.44154528,2.57807921,0.00000000
-5.76588294,7.57797418,0.07062049,1.04832211,0.97820746,0.00000000,4.64591657,3.46865847,2.50933522,0.00000000
-5.75987994,7.53355113,0.06936244,1.05038316,0.92662462,0.00000000,4.64875870,3.49361321,2.43577372,0.00000000
-5.75387694,7.47825881,0.06775428,1.04945435,0.87424412,0.00000000,4.63392594,3.51721270,2.35859684,0.00000000
-5.74787394,7.41435036,0.06582229,1.04565068,0.82173262,0.00000000,4.60202497,3.54031136,2.27903582,0.00000000
-5.74187094,7.34422895,0.06360022,1.03914912,0.76972823,0.00000000,4.55399295,3.56378992,2.19832453,0.00000000
-5.73586793,7.27038836,0.06112811,1.03018701,0.71883049,0.00000000,4.49107318,3.58852870,2.11767359,0.00000000
-5.72986493,7.19534917,0.05845082,1.01905788,0.66959165,0.00000000,4.41477961,3.61537964,2.03824590,0.00000000
-5.72386193,7.12159266,0.05561663,1.00610480,0.62250945,0.00000000,4.32685196,3.64513852,1.96113448,0.00000000
-5.71785893,7.05149502,0.05267554,0.99171128,0.57802141,0.00000000,4.22920317,3.67851802,1.88734327,0.00000000
-5.71185593,6.98726432,0.04967779,0.97629003,0.53650072,0.00000000,4.12386164,3.71612320,1.81777147,0.00000000
-5.70585293,6.93088290,0.04667235,0.96027011,0.49825386,0.00000000,4.01291084,3.75843019,1.75320181,0.00000000
-5.69984992,6.88405731,0.04370555,0.94408283,0.46351969,0.00000000,3.89842882,3.80576929,1.69429303,0.00000000
-5.69384692,6.84817804,0.04081989,0.92814714,0.43247029,0.00000000,3.78243030,3.85831316,1.64157641,0.00000000
-5.68784392,6.82429030,0.03805318,0.91285514,0.40521307,0.00000000,3.66681377,3.91607076,1.59545626,0.00000000
-5.68184092,6.81307692,0.03543773,0.89855831,0.38179430,0.00000000,3.55331538,3.97888720,1.55621390,0.00000000
-5.67583792,6.81485360,0.03299998,0.88555513,0.36220369,0.00000000,3.44347146,4.04644955,1.52401441,0.00000000
-5.66983492,6.82957624,0.03076028,0.87408072,0.34637997,0.00000000,3.33859053,4.11829812,1.49891570,0.00000000
-5.66383192,6.85685933,0.02873295,0.86429876,0.33421707,0.00000000,3.23973539,4.19384265,1.48087878,0.00000000
-5.65782891,6.89600395,0.02692651,0.85629630,0.32557081,0.00000000,3.14771520,4.27238236,1.46977872,0.00000000
-5.65182591,6.94603355,0.02534411,0.85008148,0.32026577,0.00000000,3.06308701,4.35312886,1.46541543,0.00000000
-5.64582291,7.00573532,0.02398412,0.84558426,0.31810206,0.00000000,2.98616586,4.43523049,1.46752356,0.00000000
-5.63981991,7.07370488,0.02284072,0.84266015,0.31886195,0.00000000,2.91704193,4.51779706,1.47578112,0.00000000
-5.63381691,7.14839203,0.02190470,0.84109673,0.32231587,0.00000000,2.85560340,4.59992347,1.48981648,0.00000000
-5.62781391,7.22814551,0.02116407,0.84062258,0.32822783,0.00000000,2.80156326,4.68071137,1.50921359,0.00000000
-5.62181091,7.31125490,0.02060480,0.84091822,0.33636003,0.00000000,2.75448827,4.75928771,1.53351547,0.00000000
-5.61580790,7.39598834,0.02021145,0.84162870,0.34647654,0.00000000,2.71382880,4.83481977,1.56222633,0.00000000
-5.60980490,7.48062514,0.01996770,0.84237710,0.35834598,0.00000000,2.67894768,4.90652610,1.59481261,0.00000000
-5.60380190,7.56348267,0.01985686,0.84277862,0.37174329,0.00000000,2.64914742,4.97368348,1.63070359,0.00000000
-5.59779890,7.64293774,0.01986215,0.84245452,0.38645050,0.00000000,2.62369444,5.03563014,1.66929199,0.00000000
-5.59179590,7.71744279,0.01996704,0.84104558,0.40225664,0.00000000,2.60184011,5.09176563,1.70993543,0.00000000
-5.58579290,7.78553776,0.02015538,0.83822444,0.41895703,0.00000000,2.58283816,5.14154835,1.75195911,0.00000000
-5.57978989,7.84585881,0.02041154,0.83370661,0.43635188,0.00000000,2.56595860,5.18449157,1.79466034,0.00000000
-5.57378689,7.89714509,0.02072039,0.82725963,0.45424478,0.00000000,2.55049832,5.22015897,1.83731529,0.00000000
-5.56778389,7.93824505,0.02106733,0.81871032,0.47244092,0.00000000,2.53578906,5.24816087,1.87918818,0.00000000
-5.56178089,7.96812353,0.02143827,0.80794981,0.49074571,0.00000000,2.52120309,5.26815217,1.91954304,0.00000000
-5.55577789,7.98587078,0.02181958,0.79493647,0.50896367,0.00000000,2.50615759,5.27983283,1.95765782,0.00000000
-5.54977489,7.99071442,0.02219807,0.77969650,0.52689822,0.00000000,2.49011818,5.28295178,1.99284077,0.00000000
-5.54377189,7.98203486,0.02256102,0.76232254,0.54435224,0.00000000,2.47260241,5.27731440,2.02444839,0.00000000
-5.53776888,7.95938432,0.02289624,0.74297025,0.56112987,0.00000000,2.45318362,5.26279399,2.05190460,0.00000000
-5.53176588,7.92250928,0.02319215,0.72185319,0.57703940,0.00000000,2.43149567,5.23934685,2.07472026,0.00000000
