energy_ev,total_up,C_s_up,C_p_up,Ir_p_up,Ir_d_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up
-6.00000000,3.73867728,0.03837372,0.20812674,1.09230974,1.36055529,0.01422141,1.84734830,0.71205402,0.26398677
-5.99399700,3.76632828,0.03961433,0.21306600,1.10324979,1.36493535,0.01408325,1.86424340,0.72940370,0.26462694
-5.98799400,3.78372891,0.04085886,0.21762999,1.11078240,1.36533741,0.01387499,1.87576543,0.74461734,0.26474960
-5.98199100,3.79099392,0.04207031,0.22188375,1.11494224,1.36200120,0.01359912,1.88180208,0.75754213,0.26435170
-5.97598799,3.78841573,0.04321171,0.22590939,1.11583646,1.35523389,0.01325942,1.88232148,0.76806216,0.26343940
-5.96998499,3.77645752,0.04424732,0.22980366,1.11364112,1.34540235,0.01286087,1.87737287,0.77610075,0.26202822
-5.96398199,3.75574242,0.04514374,0.23367481,1.10859571,1.33292415,0.01240949,1.86708569,0.78162217,0.26014309
-5.95797899,3.72703942,0.04587098,0.23763879,1.10099563,1.31825769,0.01191218,1.85166768,0.78463260,0.25781807
-5.95197599,3.69124659,0.04640336,0.24181498,1.09118344,1.30189179,0.01137649,1.83140171,0.78518033,0.25509609
-5.94597299,3.64937202,0.04672028,0.24632156,1.07953892,1.28433497,0.01081045,1.80664181,0.78335518,0.25202843
-5.93996998,3.60251323,0.04680684,0.25127072,1.06646859,1.26610483,0.01022231,1.77780817,0.77928722,0.24867411
-5.93396698,3.55183539,0.04665421,0.25676392,1.05239507,1.24771760,0.00962040,1.74538137,0.77314471,0.24509916
-5.92796398,3.49854883,0.04625976,0.26288752,1.03774663,1.22967817,0.00901286,1.70989569,0.76513120,0.24137576
-5.92196098,3.44388621,0.04562710,0.26970869,1.02294740,1.21247068,0.00840755,1.67193149,0.75548208,0.23758125
-5.91595798,3.38907967,0.04476574,0.27727221,1.00840839,1.19654975,0.00781182,1.63210675,0.74446024,0.23379698
-5.90995498,3.33533829,0.04369067,0.28559791,0.99451969,1.18233254,0.00723244,1.59106748,0.73235123,0.23010705
-5.90395198,3.28382612,0.04242173,0.29467920,0.98164394,1.17019157,0.00667548,1.54947742,0.71945775,0.22659688
-5.89794897,3.23564111,0.04098284,0.30448261,0.97011102,1.16044844,0.00614622,1.50800663,0.70609373,0.22335168
-5.89194597,3.19179526,0.03940111,0.31494837,0.96021423,1.15336857,0.00564913,1.46731952,0.69257801,0.22045478
-5.88594297,3.15319629,0.03770587,0.32599215,0.95220750,1.14915688,0.00518782,1.42806227,0.67922775,0.21798593
-5.87993997,3.12063120,0.03592774,0.33750767,0.94630385,1.14795461,0.00476508,1.39084997,0.66635176,0.21601956
-5.87393697,3.09475207,0.03409758,0.34937030,0.94267463,1.14983733,0.00438282,1.35625384,0.65424397,0.21462300
-5.86793397,3.07606450,0.03224561,0.36144129,0.94144951,1.15481413,0.00404218,1.32478893,0.64317699,0.21385491
-5.86193097,3.06491888,0.03040053,0.37357256,0.94271687,1.16282825,0.00374354,1.29690255,0.63339619,0.21376376
-5.85592796,3.06150491,0.02858881,0.38561173,0.94652445,1.17375887,0.00348656,1.27296407,0.62511424,0.21438654
-5.84992496,3.06584952,0.02683401,0.39740730,0.95288011,1.18742447,0.00327028,1.25325624,0.61850639,0.21574779
-5.84392196,3.07781828,0.02515637,0.40881356,0.96175247,1.20358739,0.00309316,1.23796860,0.61370658,0.21785889
-5.83791896,3.09712046,0.02357247,0.41969528,0.97307144,1.22195975,0.00295318,1.22719304,0.61080447,0.22071771
-5.83191596,3.12331755,0.02209503,0.42993177,0.98672866,1.24221057,0.00284788,1.22092193,0.60984355,0.22430869
-5.82591296,3.15583521,0.02073291,0.43942031,1.00257775,1.26397390,0.00277450,1.21904879,0.61082027,0.22860321
-5.81990995,3.19397839,0.01949123,0.44807887,1.02043479,1.28685791,0.00273000,1.22137160,0.61368442,0.23356040
-5.81390695,3.23694917,0.01837157,0.45584798,1.04007887,1.31045452,0.00271119,1.22759866,0.61834052,0.23912826
-5.80790395,3.28386708,0.01737232,0.46269185,1.06125325,1.33434960,0.00271479,1.23735680,0.62465051,0.24524508
-5.80190095,3.33379130,0.01648906,0.46859875,1.08366712,1.35813319,0.00273750,1.25020182,0.63243734,0.25184105
-5.79589795,3.38574415,0.01571503,0.47358066,1.10699830,1.38140972,0.00277611,1.26563061,0.64148972,0.25884014
-5.78989495,3.43873550,0.01504161,0.47767238,1.13089702,1.40380773,0.00282754,1.28309488,0.65156770,0.26616198
-5.78389195,3.49178706,0.01445881,0.48093015,1.15499094,1.42498903,0.00288892,1.30201570,0.66240898,0.27372383
-5.77788894,3.54395633,0.01395573,0.48342988,1.17889139,1.44465678,0.00295767,1.32179877,0.67373587,0.28144246
-5.77188594,3.59435916,0.01352105,0.48526504,1.20220086,1.46256252,0.00303150,1.34184965,0.68526261,0.28923596
-5.76588294,3.64219049,0.01314341,0.48654445,1.22452147,1.47851170,0.00310851,1.36158864,0.69670289,0.29702531
-5.75987994,3.68674247,0.01281176,0.48738973,1.24546430,1.49236762,0.00318718,1.38046476,0.70777730,0.30473580
-5.75387694,3.72741946,0.01251568,0.48793278,1.26465912,1.50405371,0.00326641,1.39796855,0.71822058,0.31229815
-5.74787394,3.76374939,0.01224560,0.48831302,1.28176424,1.51355392,0.00334552,1.41364312,0.72778826,0.31964931
-5.74187094,3.79539106,0.01199299,0.48867456,1.29647594,1.52091127,0.00342423,1.42709336,0.73626269,0.32673303
-5.73586793,3.82213711,0.01175044,0.48916326,1.30853705,1.52622458,0.00350265,1.43799286,0.74345809,0.33350010
-5.72986493,3.84391266,0.01151177,0.48992363,1.31774428,1.52964349,0.00358124,1.44608861,0.74922462,0.33990832
-5.72386193,3.86076961,0.01127201,0.49109564,1.32395396,1.53136192,0.00366079,1.45120326,0.75345122,0.34592229
-5.71785893,3.87287702,0.01102740,0.49281151,1.32708583,1.53161019,0.00374230,1.45323509,0.75606737,0.35151286
-5.71185593,3.88050792,0.01077531,0.49519236,1.32712480,1.53064620,0.00382700,1.45215577,0.75704352,0.35665667
-5.70585293,3.88402340,0.01051422,0.49834511,1.32412056,1.52874590,0.00391621,1.44800620,0.75639049,0.36133534
-5.69984992,3.88385471,0.01024357,0.50235943,1.31818516,1.52619361,0.00401131,1.44089072,0.75415788,0.36553487
-5.69384692,3.88048430,0.00996373,0.50730508,1.30948878,1.52327240,0.00411365,1.43096997,0.75043151,0.36924490
-5.68784392,3.87442688,0.00967588,0.51322974,1.29825392,1.52025521,0.00422445,1.41845303,0.74533033,0.37245818
-5.68184092,3.86621148,0.00938190,0.52015738,1.28474842,1.51739692,0.00434481,1.40358900,0.73900280,0.37517005
-5.67583792,3.85636533,0.00908435,0.52808743,1.26927774,1.51492779,0.00447555,1.38665870,0.73162306,0.37737817
-5.66983492,3.84540049,0.00878636,0.53699478,1.25217695,1.51304857,0.00461726,1.36796666,0.72338702,0.37908244
-5.66383192,3.83380368,0.00849158,0.54683064,1.23380272,1.51192738,0.00477016,1.34783383,0.71450859,0.38028499
-5.65782891,3.82202965,0.00820412,0.55752439,1.21452580,1.51169860,0.00493418,1.32659124,0.70521608,0.38099049
-5.65182591,3.81049827,0.00792850,0.56898616,1.19472417,1.51246343,0.00510885,1.30457477,0.69574894,0.38120650
-5.64582291,3.79959478,0.00766960,0.58111030,1.17477702,1.51429229,0.00529338,1.28212096,0.68635474,0.38094399
-5.63981991,3.78967305,0.00743262,0.59377930,1.15505965,1.51722844,0.00548662,1.25956399,0.67728644,0.38021787
-5.63381691,3.78106069,0.00722298,0.60686819,1.13593925,1.52129264,0.00568714,1.23723338,0.66879975,0.37904753
-5.62781391,3.77406528,0.00704627,0.62024899,1.11777132,1.52648832,0.00589322,1.21545252,0.66115058,0.37745733
-5.62181091,3.76898063,0.00690818,0.63379502,1.10089660,1.53280672,0.00610294,1.19453736,0.65459225,0.37547689
-5.61580790,3.76609172,0.00681433,0.64738481,1.08563818,1.54023153,0.00631421,1.17479517,0.64937245,0.37314122
-5.60980490,3.76567759,0.00677023,0.66090534,1.07229859,1.54874256,0.00652487,1.15652293,0.64572971,0.37049057
-5.60380190,3.76801099,0.00678106,0.67425445,1.06115636,1.55831795,0.00673269,1.14000497,0.64388932,0.36757000
-5.59779890,3.77335439,0.00685156,0.68734215,1.05246217,1.56893486,0.00693549,1.12550975,0.64405856,0.36442859
-5.59179590,3.78195181,0.00698581,0.70009093,1.04643418,1.58056817,0.00713117,1.11328552,0.64642132,0.36111836
-5.58579290,3.79401655,0.00718710,0.71243489,1.04325248,1.59318744,0.00731775,1.10355472,0.65113214,0.35769284
-5.57978989,3.80971529,0.00745772,0.72431794,1.04305299,1.60675225,0.00749342,1.09650741,0.65830981,0.35420537
-5.57378689,3.82914913,0.00779874,0.73569104,1.04592068,1.62120607,0.00765658,1.09229370,0.66803079,0.35070721
-5.56778389,3.85233285,0.00820992,0.74650887,1.05188257,1.63646939,0.00780583,1.09101557,0.68032273,0.34724551
-5.56178089,3.87917361,0.00868951,0.75672609,1.06090091,1.65243236,0.00793998,1.09271858,0.69515843,0.34386117
-5.55577789,3.90945071,0.00923412,0.76629350,1.07286694,1.66894785,0.00805807,1.09738388,0.71245070,0.34058690
-5.54977489,3.94279803,0.00983872,0.77515448,1.08759582,1.68582533,0.00815932,1.10492113,0.73204839,0.33744534
-5.54377189,3.97869069,0.01049655,0.78324192,1.10482319,1.70282641,0.00824312,1.11516294,0.75373415,0.33444755
-5.53776888,4.01643750,0.01119917,0.79047600,1.12420391,1.71966238,0.00830901,1.12786141,0.77722411,0.33159187
-5.53176588,4.05518041,0.01193658,0.79676291,1.14531342,1.73599447,0.00835665,1.14268723,0.80216996,0.32886330
-5.52576288,4.09390171,0.01269732,0.80199476,1.16765195,1.75143677,0.00838578,1.15923183,0.82816338,0.32623340
-5.51975988,4.13143969,0.01346874,0.80605081,1.19065197,1.76556237,0.00839619,1.17701281,0.85474321,0.32366093
-5.51375688,4.16651249,0.01423726,0.80879979,1.21368868,1.77791223,0.00838774,1.19548279,0.88140506,0.32109296
-5.50775388,4.19774997,0.01498867,0.81010347,1.23609367,1.78800695,0.00836030,1.21404167,0.90761332,0.31846671
-5.50175088,4.22373238,0.01570856,0.80982124,1.25717118,1.79536065,0.00831381,1.23205183,0.93281527,0.31571194
-5.49574787,4.24303457,0.01638266,0.80781540,1.27621672,1.79949674,0.00824821,1.24885616,0.95645680,0.31275381
-5.48974487,4.25427398,0.01699728,0.80395703,1.29253723,1.79996466,0.00816357,1.26379797,0.97799918,0.30951610
-5.48374187,4.25616032,0.01753974,0.79813206,1.30547222,1.79635690,0.00806002,1.27624222,0.99693628,0.30592465
-5.47773887,4.24754477,0.01799872,0.79024728,1.31441481,1.78832548,0.00793784,1.28559702,1.01281152,0.30191091
-5.47173587,4.22746628,0.01836466,0.78023594,1.31883202,1.77559716,0.00779750,1.29133463,1.02523380,0.29741537
-5.46573287,4.19519290,0.01863003,0.76806267,1.31828329,1.75798647,0.00763967,1.29301081,1.03389161,0.29239067
-5.45972986,4.15025612,0.01878957,0.75372750,1.31243640,1.73540605,0.00746529,1.29028169,1.03856482,0.28680438
-5.45372686,4.09247623,0.01884047,0.73726873,1.30108007,1.70787364,0.00727560,1.28291735,1.03913341,0.28064107
-5.44772386,4.02197776,0.01878239,0.71876447,1.28413272,1.67551544,0.00707212,1.27081131,1.03558273,0.27390385
-5.44172086,3.93919376,0.01861752,0.69833286,1.26164677,1.63856548,0.00685673,1.25398557,1.02800500,0.26661500
-5.43571786,3.84485887,0.01835039,0.67613086,1.23380848,1.59736118,0.00663162,1.23259078,1.01659691,0.25881584
-5.42971486,3.73999117,0.01798773,0.65235163,1.20093314,1.55233504,0.00639926,1.20690165,1.00165340,0.25056581
-5.42371186,3.62586371,0.01753821,0.62722063,1.16345590,1.50400295,0.00616241,1.17730761,0.98355780,0.24194074
-5.41770885,3.50396683,0.01701207,0.60099068,1.12191862,1.45294948,0.00592404,1.14429931,0.96276883,0.23303044
-5.41170585,3.37596296,0.01642082,0.57393592,1.07695330,1.39981099,0.00568727,1.10845154,0.93980499,0.22393571
-5.40570285,3.24363592,0.01577679,0.54634522,1.02926287,1.34525697,0.00545531,1.07040331,0.91522706,0.21476493
-5.39969985,3.10883694,0.01509274,0.51851504,0.97960009,1.28997073,0.00523137,1.03083617,0.88961943,0.20563038
-5.39369685,2.97342955,0.01438147,0.49074219,0.92874556,1.23462997,0.00501856,0.99045152,0.86357118,0.19664445
-5.38769385,2.83923597,0.01365546,0.46331663,0.87748560,1.17988826,0.00481983,0.94994820,0.83765761,0.18791597
-5.38169085,2.70798680,0.01292651,0.43651467,0.82659092,1.12635799,0.00463787,0.91000110,0.81242305,0.17954672
-5.37568784,2.58127618,0.01220551,0.41059275,0.77679698,1.07459551,0.00447502,0.87124171,0.78836562,0.17162843
