energy_ev,total_up,Ag_p_up,Ag_d_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up
-6.00000000,6.25395614,0.68662942,2.01870321,1.68223430,3.78336268,0.00234045,0.10176357,0.31230319,0.00000000
-5.99399700,6.27704813,0.67744789,2.00324097,1.68492170,3.83672716,0.00232262,0.10034128,0.31137218,0.00000000
-5.98799400,6.29690876,0.66641546,1.98651893,1.68460419,3.88938811,0.00231121,0.09869046,0.31102613,0.00000000
-5.98199100,6.31433373,0.65377645,1.96881274,1.68177791,3.94162442,0.00230605,0.09685030,0.31126042,0.00000000
-5.97598799,6.33023359,0.63980193,1.95041669,1.67699337,3.99380099,0.00230694,0.09486353,0.31205214,0.00000000
-5.96998499,6.34560255,0.62478044,1.93163647,1.67083326,4.04635430,0.00231368,0.09277490,0.31336037,0.00000000
-5.96398199,6.36148369,0.60900854,1.91278123,1.66388981,4.09977444,0.00232607,0.09062965,0.31512709,0.00000000
-5.95797899,6.37893215,0.59278142,1.89415542,1.65674288,4.15458462,0.00234389,0.08847200,0.31727875,0.00000000
-5.95197599,6.39897813,0.57638433,1.87605067,1.64993983,4.21131889,0.00236691,0.08634377,0.31972842,0.00000000
-5.94597299,6.42259122,0.56008492,1.85873820,1.64397783,4.27049921,0.00239486,0.08428331,0.32237849,0.00000000
-5.93996998,6.45064749,0.54412699,1.84246195,1.63928948,4.33261257,0.00242743,0.08232452,0.32512392,0.00000000
-5.93396698,6.48390047,0.52872571,1.82743279,1.63623199,4.39808907,0.00246423,0.08049626,0.32785569,0.00000000
-5.92796398,6.52295683,0.51406457,1.81382398,1.63508026,4.46728157,0.00250479,0.07882204,0.33046462,0.00000000
-5.92196098,6.56825733,0.50029383,1.80176799,1.63602369,4.54044751,0.00254854,0.07731994,0.33284505,0.00000000
-5.91595798,6.62006319,0.48753059,1.79135469,1.63916660,4.61773331,0.00259479,0.07600284,0.33489849,0.00000000
-5.90995498,6.67844789,0.47586010,1.78263095,1.64453180,4.69916165,0.00264274,0.07487884,0.33653689,0.00000000
-5.90395198,6.74329404,0.46533824,1.77560149,1.65206674,4.78462191,0.00269145,0.07395188,0.33768540,0.00000000
-5.89794897,6.81429491,0.45599465,1.77023083,1.66165167,4.87386382,0.00273990,0.07322235,0.33828456,0.00000000
-5.89194597,6.89096018,0.44783645,1.76644625,1.67310915,4.96649443,0.00278696,0.07268793,0.33829173,0.00000000
-5.88594297,6.97262532,0.44085206,1.76414149,1.68621421,5.06197848,0.00283143,0.07234421,0.33768173,0.00000000
-5.87993997,7.05846412,0.43501494,1.76318112,1.70070462,5.15964213,0.00287209,0.07218537,0.33644668,0.00000000
-5.87393697,7.14750406,0.43028695,1.76340532,1.71629089,5.25868010,0.00290774,0.07220470,0.33459513,0.00000000
-5.86793397,7.23864404,0.42662130,1.76463505,1.73266539,5.35816623,0.00293718,0.07239497,0.33215039,0.00000000
-5.86193097,7.33067455,0.42396478,1.76667746,1.74951056,5.45706736,0.00295937,0.07274863,0.32914844,0.00000000
-5.85592796,7.42229986,0.42225936,1.76933150,1.76650597,5.55426050,0.00297338,0.07325786,0.32563530,0.00000000
-5.84992496,7.51216241,0.42144322,1.77239374,1.78333429,5.64855321,0.00297848,0.07391449,0.32166421,0.00000000
-5.84392196,7.59886922,0.42145111,1.77566428,1.79968619,5.73870680,0.00297418,0.07470973,0.31729275,0.00000000
-5.83791896,7.68102020,0.42221436,1.77895288,1.81526440,5.82346221,0.00296027,0.07563391,0.31258005,0.00000000
-5.83191596,7.75723819,0.42366053,1.78208509,1.82978704,5.90156791,0.00293685,0.07667610,0.30758426,0.00000000
-5.82591296,7.82620037,0.42571294,1.78490851,1.84299055,5.97180935,0.00290434,0.07782373,0.30236043,0.00000000
-5.81990995,7.88667038,0.42829025,1.78729894,1.85463226,6.03303915,0.00286350,0.07906232,0.29695889,0.00000000
-5.81390695,7.93753056,0.43130619,1.78916630,1.86449287,6.08420714,0.00281544,0.08037528,0.29142418,0.00000000
-5.80790395,7.97781321,0.43466956,1.79046012,1.87237890,6.12438932,0.00276157,0.08174377,0.28579456,0.00000000
-5.80190095,8.00672985,0.43828473,1.79117434,1.87812502,6.15281459,0.00270364,0.08314679,0.28010207,0.00000000
-5.79589795,8.02369709,0.44205244,1.79135105,1.88159642,6.16888829,0.00264365,0.08456142,0.27437304,0.00000000
-5.78989495,8.02835797,0.44587119,1.79108290,1.88269091,6.17221136,0.00258382,0.08596318,0.26862909,0.00000000
-5.78389195,8.02059723,0.44963891,1.79051378,1.88134064,6.16259425,0.00252654,0.08732659,0.26288825,0.00000000
-5.77788894,8.00054941,0.45325509,1.78983738,1.87751328,6.14006478,0.00247429,0.08862580,0.25716636,0.00000000
-5.77188594,7.96859870,0.45662311,1.78929345,1.87121246,6.10486914,0.00242958,0.08983541,0.25147842,0.00000000
-5.76588294,7.92536982,0.45965270,1.78916142,1.86247713,6.05746595,0.00239489,0.09093121,0.24583983,0.00000000
-5.75987994,7.87170945,0.46226228,1.78975132,1.85137985,5.99851299,0.00237255,0.09189104,0.24026733,0.00000000
-5.75387694,7.80865834,0.46438129,1.79139201,1.83802388,5.92884713,0.00236468,0.09269555,0.23477974,0.00000000
-5.74787394,7.73741461,0.46595198,1.79441695,1.82253892,5.84945777,0.00237313,0.09332886,0.22939815,0.00000000
-5.74187094,7.65928930,0.46693096,1.79914771,1.80507577,5.76145492,0.00239938,0.09377914,0.22414584,0.00000000
-5.73586793,7.57565559,0.46728996,1.80587604,1.78579989,5.66603294,0.00244449,0.09403894,0.21904768,0.00000000
-5.72986493,7.48789388,0.46701615,1.81484490,1.76488426,5.56443145,0.00250901,0.09410542,0.21412916,0.00000000
-5.72386193,7.39733496,0.46611164,1.82622953,1.74250171,5.45789506,0.00259300,0.09398029,0.20941518,0.00000000
-5.71785893,7.30520397,0.46459240,1.84011946,1.71881730,5.34763368,0.00269594,0.09366962,0.20492852,0.00000000
-5.71185593,7.21256795,0.46248649,1.85650252,1.69398096,5.23478514,0.00281675,0.09318337,0.20068829,0.00000000
-5.70585293,7.12028982,0.45983175,1.87525195,1.66812097,5.12038196,0.00295377,0.09253485,0.19670832,0.00000000
-5.69984992,7.02899129,0.45667312,1.89611752,1.64133865,5.00532364,0.00310482,0.09173994,0.19299574,0.00000000
-5.69384692,6.93902716,0.45305965,1.91872164,1.61370453,4.89035604,0.00326723,0.09081626,0.18954978,0.00000000
