energy_ev,total_up,N_s_up,N_p_up,Rh_p_up,Rh_d_up,Se_s_up,Se_p_up,V_p_up,V_d_up
-6.00000000,2.42974554,0.01843795,0.27608068,1.29136022,0.73181514,0.01814930,1.02565975,0.43867968,0.27926986
-5.99399700,2.49045432,0.01992915,0.27435344,1.31217413,0.74204637,0.01735304,1.06725207,0.46502948,0.29081643
-5.98799400,2.55157161,0.02142549,0.27269393,1.33266988,0.75237691,0.01655104,1.10939001,0.49215038,0.30228208
-5.98199100,2.61310313,0.02290717,0.27125249,1.35306629,0.76294075,0.01575697,1.15186670,0.51991804,0.31356411
-5.97598799,2.67494531,0.02435314,0.27016379,1.37355245,0.77383498,0.01498286,1.19443121,0.54818680,0.32454876
-5.96998499,2.73688350,0.02574165,0.26954194,1.39428035,0.78511481,0.01423894,1.23679415,0.57679202,0.33511413
-5.96398199,2.79859641,0.02705080,0.26947664,1.41536062,0.79679082,0.01353343,1.27863540,0.60555312,0.34513375
-5.95797899,2.85966616,0.02825921,0.27003046,1.43686095,0.80882831,0.01287255,1.31961334,0.63427722,0.35448045
-5.95197599,2.91959293,0.02934664,0.27123739,1.45880701,0.82114865,0.01226050,1.35937509,0.66276306,0.36303046
-5.94597299,2.97781293,0.03029463,0.27310253,1.48118514,0.83363243,0.01169963,1.39756687,0.69080499,0.37066741
-5.93996998,3.03371824,0.03108705,0.27560292,1.50394626,0.84612401,0.01119057,1.43384393,0.71819674,0.37728606
-5.93396698,3.08667718,0.03171067,0.27868931,1.52701021,0.85843731,0.01073245,1.46787936,0.74473478,0.38279558
-5.92796398,3.13605387,0.03215553,0.28228884,1.55026998,0.87036226,0.01032318,1.49937128,0.77022104,0.38712212
-5.92196098,3.18122589,0.03241524,0.28630830,1.57359516,0.88167174,0.00995967,1.52804804,0.79446495,0.39021063
-5.91595798,3.22159923,0.03248718,0.29063793,1.59683443,0.89212866,0.00963814,1.55367131,0.81728463,0.39202594
-5.90995498,3.25662001,0.03237250,0.29515549,1.61981658,0.90149290,0.00935431,1.57603687,0.83850742,0.39255283
-5.90395198,3.28578289,0.03207605,0.29973044,1.64235036,0.90952785,0.00910369,1.59497358,0.85796973,0.39179548
-5.89794897,3.30863622,0.03160613,0.30422816,1.66422319,0.91600663,0.00888174,1.61034062,0.87551650,0.38977608
