energy_ev,total_up,P_s_up,P_p_up,Se_s_up,Se_p_up,V_p_up,V_d_up
-6.00000000,1.90375624,0.01407079,0.99205645,0.05743063,0.17468762,1.09771413,0.67337346
-5.99399700,1.80177829,0.01394040,0.94030234,0.05369572,0.16494813,1.04541083,0.64349104
-5.98799400,1.69928416,0.01377349,0.88825691,0.05001894,0.15512789,0.99236974,0.61326002
-5.98199100,1.59763958,0.01357378,0.83663112,0.04644762,0.14534913,0.93936723,0.58310220
-5.97598799,1.49809797,0.01334570,0.78608010,0.04302365,0.13572343,0.88712883,0.55341343
-5.96998499,1.40178294,0.01309436,0.73719364,0.03978299,0.12635041,0.83631759,0.52455831
-5.96398199,1.30967614,0.01282538,0.69048918,0.03675525,0.11731693,0.78752494,0.49686589
-5.95797899,1.22260974,0.01254485,0.64640741,0.03396362,0.10869672,0.74126385,0.47062665
-5.95197599,1.14126346,0.01225914,0.60530992,0.03142486,0.10055039,0.69796428,0.44609030
-5.94597299,1.06616522,0.01197471,0.56747889,0.02914952,0.09292580,0.65797060,0.42346449
-5.93996998,0.99769507,0.01169799,0.53311848,0.02714228,0.08585866,0.62154089,0.40291430
-5.93396698,0.93609179,0.01143516,0.50235760,0.02540239,0.07937340,0.58884785,0.38456235
-5.92796398,0.88146159,0.01119198,0.47525394,0.02392414,0.07348406,0.55998123,0.36848962
-5.92196098,0.83378862,0.01097361,0.45179897,0.02269745,0.06819541,0.53495172,0.35473685
-5.91595798,0.79294689,0.01078448,0.43192388,0.02170849,0.06350406,0.51369597,0.34330658
-5.90995498,0.75871334,0.01062816,0.41550622,0.02094029,0.05939959,0.49608294,0.33416591
-5.90395198,0.73078183,0.01050729,0.40237719,0.02037339,0.05586574,0.48192130,0.32724982
-5.89794897,0.70877782,0.01042355,0.39232948,0.01998646,0.05288150,0.47096785,0.32246517
-5.89194597,0.69227369,0.01037761,0.38512549,0.01975699,0.05042226,0.46293685,0.31969532
-5.88594297,0.68080418,0.01036925,0.38050595,0.01966189,0.04846088,0.45751004,0.31880526
-5.87993997,0.67388204,0.01039738,0.37819854,0.01967811,0.04696867,0.45434724,0.31964707
-5.87393697,0.67101323,0.01046017,0.37792657,0.01978321,0.04591638,0.45309715,0.32206576
-5.86793397,0.67171160,0.01055518,0.37941730,0.01995593,0.04527506,0.45340813,0.32590494
-5.86193097,0.67551240,0.01067951,0.38240978,0.02017668,0.04501678,0.45493861,0.33101245
-5.85592796,0.68198443,0.01082996,0.38666193,0.02042796,0.04511531,0.45736675,0.33724543
-5.84992496,0.69074019,0.01100318,0.39195649,0.02069474,0.04554660,0.46039900,0.34447477
-5.84392196,0.70144388,0.01119576,0.39810587,0.02096472,0.04628913,0.46377732,0.35258861
-5.83791896,0.71381670,0.01140440,0.40495537,0.02122855,0.04732409,0.46728460,0.36149475
-5.83191596,0.72763940,0.01162597,0.41238494,0.02147985,0.04863538,0.47074831,0.37112186
-5.82591296,0.74275192,0.01185755,0.42030921,0.02171522,0.05020944,0.47404199,0.38141931
-5.81990995,0.75905009,0.01209647,0.42867579,0.02193411,0.05203491,0.47708481,0.39235575
-5.81390695,0.77647951,0.01234028,0.43746209,0.02213855,0.05410213,0.47983901,0.40391643
-5.80790395,0.79502705,0.01258675,0.44667061,0.02233282,0.05640250,0.48230564,0.41609940
-5.80190095,0.81471017,0.01283380,0.45632300,0.02252304,0.05892775,0.48451858,0.42891071
-5.79589795,0.83556461,0.01307941,0.46645324,0.02271664,0.06166910,0.48653739,0.44235904
