energy_ev,total_up,B_p_up,B_d_up,Se_s_up,Se_p_up,Zr_p_up,Zr_d_up
-6.00000000,0.01463114,0.00369956,0.00000000,0.00007117,0.00183298,0.00736294,0.00656088
-5.99399700,0.01747513,0.00452571,0.00000000,0.00008679,0.00227347,0.00835096,0.00780541
-5.98799400,0.02095555,0.00550413,0.00000000,0.00010522,0.00280713,0.00964822,0.00933146
-5.98199100,0.02514366,0.00665594,0.00000000,0.00012680,0.00345061,0.01126540,0.01116841
-5.97598799,0.03012101,0.00800399,0.00000000,0.00015192,0.00422308,0.01321772,0.01334987
-5.96998499,0.03597923,0.00957283,0.00000000,0.00018100,0.00514639,0.01552399,0.01591352
-5.96398199,0.04281977,0.01138868,0.00000000,0.00021444,0.00624539,0.01820586,0.01890092
-5.95797899,0.05075376,0.01347938,0.00000000,0.00025269,0.00754816,0.02128699,0.02235728
-5.95197599,0.05990167,0.01587432,0.00000000,0.00029621,0.00908626,0.02479237,0.02633124
-5.94597299,0.07039311,0.01860439,0.00000000,0.00034546,0.01089488,0.02874761,0.03087471
-5.93996998,0.08236630,0.02170184,0.00000000,0.00040092,0.01301297,0.03317840,0.03604253
-5.93396698,0.09596758,0.02520013,0.00000000,0.00046307,0.01548330,0.03810994,0.04189220
-5.92796398,0.11135050,0.02913374,0.00000000,0.00053242,0.01835233,0.04356652,0.04848341
-5.92196098,0.12867465,0.03353788,0.00000000,0.00060946,0.02166995,0.04957104,0.05587754
-5.91595798,0.14810400,0.03844812,0.00000000,0.00069469,0.02548908,0.05614469,0.06413693
-5.90995498,0.16980464,0.04389985,0.00000000,0.00078861,0.02986496,0.06330652,0.07332394
-5.90395198,0.19394186,0.04992770,0.00000000,0.00089171,0.03485431,0.07107303,0.08349973
-5.89794897,0.22067641,0.05656462,0.00000000,0.00100447,0.04051406,0.07945774,0.09472277
-5.89194597,0.25015990,0.06384093,0.00000000,0.00112733,0.04689998,0.08847054,0.10704698
-5.88594297,0.28252932,0.07178304,0.00000000,0.00126072,0.05406491,0.09811706,0.12051952
-5.87993997,0.31790061,0.08041202,0.00000000,0.00140498,0.06205682,0.10839774,0.13517821
-5.87393697,0.35636154,0.08974199,0.00000000,0.00156041,0.07091657,0.11930687,0.15104865
-5.86793397,0.39796388,0.09977831,0.00000000,0.00172718,0.08067569,0.13083132,0.16814108
-5.86193097,0.44271521,0.11051571,0.00000000,0.00190537,0.09135389,0.14294925,0.18644704
-5.85592796,0.49057071,0.12193637,0.00000000,0.00209489,0.10295683,0.15562861,0.20593606
-5.84992496,0.54142534,0.13400809,0.00000000,0.00229550,0.11547389,0.16882573,0.22655245
-5.84392196,0.59510676,0.14668261,0.00000000,0.00250674,0.12887635,0.18248382,0.24821243
-5.83791896,0.65136975,0.15989428,0.00000000,0.00272794,0.14311591,0.19653176,0.27080180
-5.83191596,0.70989235,0.17355908,0.00000000,0.00295819,0.15812384,0.21088311,0.29417443
-5.82591296,0.77027452,0.18757431,0.00000000,0.00319633,0.17381079,0.22543555,0.31815162
-5.81990995,0.83203948,0.20181886,0.00000000,0.00344095,0.19006729,0.24007087,0.34252275
-5.81390695,0.89463828,0.21615423,0.00000000,0.00369042,0.20676518,0.25465561,0.36704718
-5.80790395,0.95745760,0.23042645,0.00000000,0.00394286,0.22375977,0.26904241,0.39145755
-5.80190095,1.01983095,0.24446876,0.00000000,0.00419623,0.24089288,0.28307217,0.41546460
-5.79589795,1.08105302,0.25810508,0.00000000,0.00444836,0.25799650,0.29657704,0.43876324
-5.78989495,1.14039680,0.27115428,0.00000000,0.00469699,0.27489715,0.30938411,0.46103998
-5.78389195,1.19713290,0.28343495,0.00000000,0.00493986,0.29142058,0.32131979,0.48198130
-5.77788894,1.25055031,0.29477069,0.00000000,0.00517476,0.30739666,0.33221469,0.50128272
