energy_ev,total_up,Cu_p_up,Cu_d_up,Mo_p_up,Mo_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-6.00000000,4.38993621,0.19925051,0.06586157,2.54422933,1.56594827,0.03450091,0.73678025,0.12822018,1.63713355
-5.99399700,4.40641311,0.19768634,0.06614185,2.62458990,1.55692581,0.03467266,0.75276040,0.12537507,1.63153923
-5.98799400,4.42317669,0.19611960,0.06644502,2.70449640,1.55029049,0.03474192,0.76860136,0.12250553,1.62518987
-5.98199100,4.43861497,0.19451023,0.06674089,2.78195259,1.54559395,0.03469871,0.78382817,0.11961668,1.61771815
-5.97598799,4.45111059,0.19282324,0.06699986,2.85511098,1.54230872,0.03453592,0.79798190,0.11671035,1.60876795
-5.96998499,4.45909739,0.19103050,0.06719401,2.92232215,1.53984958,0.03424941,0.81063256,0.11378568,1.59800958
-5.96398199,4.46111960,0.18911233,0.06729815,2.98218108,1.53759857,0.03383822,0.82139216,0.11084000,1.58515548
-5.95797899,4.45589075,0.18705887,0.06729085,3.03356837,1.53493229,0.03330447,0.82992721,0.10786969,1.56997531
-5.95197599,4.44234916,0.18487115,0.06715529,3.07568406,1.53125004,0.03265333,0.83596991,0.10487117,1.55230977
-5.94597299,4.41970669,0.18256176,0.06688000,3.10807186,1.52600133,0.03189280,0.83932761,0.10184185,1.53208220
-5.93996998,4.38748790,0.18015507,0.06645939,3.13063204,1.51871114,0.03103347,0.83988966,0.09878100,1.50930721
-5.93396698,4.34555692,0.17768695,0.06589402,3.14362139,1.50900166,0.03008812,0.83763129,0.09569056,1.48409570
-5.92796398,4.29413008,0.17520396,0.06519067,3.14763956,1.49660917,0.02907137,0.83261414,0.09257570,1.45665577
-5.92196098,4.23377301,0.17276200,0.06436211,3.14360141,1.48139519,0.02799919,0.82498328,0.08944519,1.42728930
-5.91595798,4.16538185,0.17042450,0.06342659,3.13269608,1.46335125,0.02688839,0.81496061,0.08631162,1.39638404
-5.90995498,4.09014892,0.16826013,0.06240715,3.11633394,1.44259703,0.02575613,0.80283498,0.08319125,1.36440159
-5.90395198,4.00951435,0.16634012,0.06133067,3.09608354,1.41937206,0.02461939,0.78894937,0.08010375,1.33186144
-5.89794897,3.92510565,0.16473534,0.06022676,3.07360116,1.39402136,0.02349447,0.77368565,0.07707165,1.29932210
-5.89194597,3.83866829,0.16351321,0.05912653,3.05055610,1.36697606,0.02239652,0.75744781,0.07411958,1.26735974
-5.88594297,3.75199066,0.16273458,0.05806130,3.02855521,1.33872988,0.02133912,0.74064425,0.07127345,1.23654569
-5.87993997,3.66682704,0.16245077,0.05706130,3.00907035,1.30981305,0.02033394,0.72367022,0.06855944,1.20742371
-5.87393697,3.58482276,0.16270082,0.05615442,2.99337219,1.28076496,0.01939045,0.70689118,0.06600301,1.18048817
-5.86793397,3.50744511,0.16350919,0.05536508,2.98247371,1.25210719,0.01851573,0.69062790,0.06362785,1.15616419
-5.86193097,3.43592354,0.16488397,0.05471330,2.97708614,1.22431832,0.01771434,0.67514410,0.06145497,1.13479089
-5.85592796,3.37120216,0.16681567,0.05421392,2.97758947,1.19781181,0.01698836,0.66063721,0.05950183,1.11660829
-5.84992496,3.31390671,0.16927673,0.05387612,2.98401885,1.17291815,0.01633745,0.64723257,0.05778173,1.10174879
-5.84392196,3.26432736,0.17222179,0.05370314,2.99606734,1.14987199,0.01575901,0.63498138,0.05630328,1.09023342
-5.83791896,3.22241806,0.17558857,0.05369236,3.01310469,1.12880497,0.01524845,0.62386243,0.05507017,1.08197311
-5.83191596,3.18781176,0.17929959,0.05383554,3.03421074,1.10974412,0.01479951,0.61378721,0.05408116,1.07677476
-5.82591296,3.15985063,0.18326435,0.05411937,3.05822154,1.09261603,0.01440460,0.60460837,0.05333027,1.07435183
-5.81990995,3.13762890,0.18738215,0.05452619,3.08378542,1.07725602,0.01405526,0.59613054,0.05280727,1.07433879
-5.81390695,3.12004609,0.19154524,0.05503487,3.10942599,1.06342186,0.01374252,0.58812327,0.05249825,1.07630862
-5.80790395,3.10586728,0.19564221,0.05562184,3.13360857,1.05081079,0.01345739,0.58033503,0.05238645,1.07979262
-5.80190095,3.09378729,0.19956154,0.05626215,3.15480677,1.03907911,0.01319125,0.57250761,0.05245320,1.08430124
-5.79589795,3.08249544,0.20319501,0.05693056,3.17156575,1.02786288,0.01293619,0.56439027,0.05267892,1.08934522
-5.78989495,3.07073765,0.20644096,0.05760261,3.18255942,1.01679880,0.01268538,0.55575263,0.05304414,1.09445597
-5.78389195,3.05737307,0.20920727,0.05825555,3.18663906,1.00554407,0.01243330,0.54639609,0.05353056,1.09920420
-5.77788894,3.04142293,0.21141384,0.05886922,3.18287155,0.99379440,0.01217597,0.53616289,0.05412197,1.10321629
-5.77188594,3.02210965,0.21299462,0.05942675,3.17056610,0.98129919,0.01191102,0.52494289,0.05480517,1.10618761
-5.76588294,2.99888519,0.21389909,0.05991507,3.14928916,0.96787363,0.01163777,0.51267749,0.05557066,1.10789258
-5.75987994,2.97144798,0.21409320,0.06032530,3.11886759,0.95340699,0.01135717,0.49936103,0.05641319,1.10819107
-5.75387694,2.93974850,0.21355973,0.06065290,3.07938117,0.93786732,0.01107170,0.48503952,0.05733212,1.10703130
-5.74787394,2.90398421,0.21229817,0.06089767,3.03114565,0.92130228,0.01078522,0.46980710,0.05833160,1.10444922
-5.74187094,2.86458473,0.21032418,0.06106360,2.97468819,0.90383663,0.01050273,0.45380056,0.05942048,1.10056473
-5.73586793,2.82218876,0.20766854,0.06115855,2.91071704,0.88566654,0.01023009,0.43719230,0.06061205,1.09557505
-5.72986493,2.77761432,0.20437595,0.06119380,2.84008756,0.86705124,0.00997382,0.42018222,0.06192354,1.08974568
-5.72386193,2.73182405,0.20050351,0.06118354,2.76376649,0.84830268,0.00974071,0.40298899,0.06337547,1.08339950
-5.71785893,2.68588726,0.19611901,0.06114426,2.68279626,0.82977351,0.00953758,0.38584117,0.06499074,1.07690441
-5.71185593,2.64094042,0.19129916,0.06109409,2.59826081,0.81184420,0.00937102,0.36896861,0.06679367,1.07066009
-5.70585293,2.59814762,0.18612782,0.06105212,2.51125424,0.79490964,0.00924711,0.35259442,0.06880888,1.06508430
-5.69984992,2.55866229,0.18069409,0.06103775,2.42285305,0.77936577,0.00917123,0.33692780,0.07106005,1.06059913
-5.69384692,2.52359141,0.17509057,0.06107000,2.33409241,0.76559674,0.00914790,0.32215803,0.07356871,1.05761776
-5.68784392,2.49396294,0.16941159,0.06116694,2.24594694,0.75396286,0.00918064,0.30844963,0.07635296,1.05653183
-5.68184092,2.47069752,0.16375151,0.06134512,2.15931567,0.74478966,0.00927198,0.29593880,0.07942629,1.05770000
-5.67583792,2.45458478,0.15820316,0.06161912,2.07501106,0.73835850,0.00942338,0.28473114,0.08279651,1.06143786
-5.66983492,2.44626474,0.15285625,0.06200117,1.99375182,0.73489863,0.00963535,0.27490056,0.08646472,1.06800941
-5.66383192,2.44621465,0.14779604,0.06250091,1.91615880,0.73458124,0.00990750,0.26648940,0.09042458,1.07762055
-5.65782891,2.45474140,0.14310200,0.06312523,1.84275382,0.73751528,0.01023872,0.25950944,0.09466175,1.09041442
-5.65182591,2.47197959,0.13884666,0.06387825,1.77396067,0.74374544,0.01062735,0.25394386,0.09915362,1.10646911
-5.64582291,2.49789511,0.13509461,0.06476137,1.71010810,0.75325220,0.01107138,0.24974992,0.10386927,1.12579748
-5.63981991,2.53229414,0.13190169,0.06577356,1.65143430,0.76595392,0.01156870,0.24686214,0.10876986,1.14834932
-5.63381691,2.57483716,0.12931436,0.06691161,1.59809264,0.78171107,0.01211727,0.24519599,0.11380917,1.17401573
-5.62781391,2.62505747,0.12736934,0.06817054,1.55015836,0.80033235,0.01271541,0.24465182,0.11893459,1.20263543
-5.62181091,2.68238348,0.12609341,0.06954411,1.50763597,0.82158255,0.01336193,0.24511894,0.12408834,1.23400300
-5.61580790,2.74616394,0.12550354,0.07102531,1.47046720,0.84519200,0.01405631,0.24647977,0.12920889,1.26787838
-5.60980490,2.81569511,0.12560720,0.07260690,1.43853916,0.87086702,0.01479882,0.24861381,0.13423267,1.30399744
-5.60380190,2.89024851,0.12640295,0.07428196,1.41169260,0.89830121,0.01559058,0.25140147,0.13909586,1.34208299
-5.59779890,2.96909816,0.12788119,0.07604433,1.38972988,0.92718691,0.01643351,0.25472757,0.14373628,1.38185564
-5.59179590,3.05154577,0.13002509,0.07788906,1.37242256,0.95722643,0.01733032,0.25848435,0.14809528,1.42304394
-5.58579290,3.13694271,0.13281165,0.07981269,1.35951815,0.98814243,0.01828430,0.26257409,0.15211952,1.46539321
-5.57978989,3.22470753,0.13621280,0.08181341,1.35074598,1.01968686,0.01929917,0.26691106,0.15576261,1.50867252
-5.57378689,3.31433796,0.14019655,0.08389116,1.34582191,1.05164817,0.02037871,0.27142292,0.15898651,1.55267934
-5.56778389,3.40541667,0.14472808,0.08604749,1.34445170,1.08385607,0.02152651,0.27605145,0.16176262,1.59724155
-5.56178089,3.49761051,0.14977070,0.08828534,1.34633321,1.11618390,0.02274557,0.28075261,0.16407256,1.64221671
-5.55577789,3.59066311,0.15528675,0.09060869,1.35115727,1.14854801,0.02403787,0.28549604,0.16590847,1.68748845
-5.54977489,3.68438140,0.16123827,0.09302207,1.35860750,1.18090459,0.02540402,0.29026397,0.16727303,1.73296032
-5.54377189,3.77861686,0.16758754,0.09553009,1.36835948,1.21324371,0.02684282,0.29504973,0.16817894,1.77854754
-5.53776888,3.87324286,0.17429747,0.09813681,1.38007936,1.24558122,0.02835098,0.29985582,0.16864815,1.82416703
-5.53176588,3.96812968,0.18133178,0.10084525,1.39342269,1.27794875,0.02992284,0.30469191,0.16871059,1.86972671
-5.52576288,4.06311912,0.18865512,0.10365686,1.40803373,1.31038258,0.03155016,0.30957263,0.16840283,1.91511477
-5.51975988,4.15800068,0.19623310,0.10657115,1.42354580,1.34291205,0.03322208,0.31451563,0.16776628,1.96018986
-5.51375688,4.25249126,0.20403232,0.10958540,1.43958317,1.37554823,0.03492517,0.31953970,0.16684551,2.00477303
-5.50775388,4.34622039,0.21202038,0.11269455,1.45576480,1.40827370,0.03664364,0.32466336,0.16568631,2.04864239
-5.50175088,4.43872224,0.22016605,0.11589129,1.47171012,1.44103410,0.03835968,0.32990380,0.16433400,2.09153102
-5.49574787,4.52943584,0.22843949,0.11916625,1.48704708,1.47373213,0.04005389,0.33527644,0.16283171,2.13312866
-5.48974487,4.61771379,0.23681266,0.12250841,1.50142217,1.50622434,0.04170593,0.34079482,0.16121899,2.17308752
-5.48374187,4.70283955,0.24525984,0.12590567,1.51451226,1.53832118,0.04329520,0.34647108,0.15953062,2.21103197
-5.47773887,4.78405265,0.25375827,0.12934541,1.52603767,1.56979027,0.04480159,0.35231676,0.15779577,2.24657196
-5.47173587,4.86058038,0.26228890,0.13281519,1.53577574,1.60036276,0.04620632,0.35834379,0.15603749,2.27931941
-5.46573287,4.93167422,0.27083720,0.13630342,1.54357428,1.62974246,0.04749273,0.36456568,0.15427256,2.30890676
-5.45972986,4.99664862,0.27939381,0.13979992,1.54936365,1.65761720,0.04864702,0.37099846,0.15251161,2.33500651
-5.45372686,5.05491952,0.28795520,0.14329637,1.55316685,1.68367172,0.04965896,0.37766151,0.15075961,2.35735061
-5.44772386,5.10603996,0.29652396,0.14678661,1.55510640,1.70760124,0.05052240,0.38457775,0.14901652,2.37574825
-5.44172086,5.14972987,0.30510891,0.15026667,1.55540739,1.72912488,0.05123564,0.39177339,0.14727821,2.39010089
-5.43571786,5.18589798,0.31372474,0.15373455,1.55439581,1.74799808,0.05180162,0.39927689,0.14553740,2.40041328
-5.42971486,5.21465361,0.32239124,0.15718984,1.55249197,1.76402318,0.05222783,0.40711722,0.14378473,2.40679946
-5.42371186,5.23630705,0.33113204,0.16063292,1.55019859,1.77705747,0.05252606,0.41532137,0.14200969,2.40948325
-5.41770885,5.25135798,0.33997295,0.16406416,1.54808382,1.78701825,0.05271189,0.42391128,0.14020161,2.40879251
-5.41170585,5.26047202,0.34893985,0.16748280,1.54675967,1.79388451,0.05280398,0.43290018,0.13835039,2.40514757
-5.40570285,5.26444627,0.35805617,0.17088585,1.54685652,1.79769514,0.05282319,0.44228881,0.13644712,2.39904389
-5.39969985,5.26416571,0.36734028,0.17426689,1.54899486,1.79854382,0.05279156,0.45206154,0.13448449,2.39102991
-5.39369685,5.26055275,0.37680270,0.17761503,1.55375555,1.79657093,0.05273117,0.46218278,0.13245703,2.38168113
-5.38769385,5.25451289,0.38644339,0.18091401,1.56165004,1.79195300,0.05266303,0.47259401,0.13036108,2.37157177
-5.38169085,5.24687966,0.39624936,0.18414152,1.57309218,1.78489044,0.05260600,0.48321168,0.12819474,2.36124560
-5.37568784,5.23836240,0.40619267,0.18726888,1.58837320,1.77559432,0.05257570,0.49392626,0.12595756,2.35118769
-5.36968484,5.22950018,0.41622904,0.19026111,1.60764139,1.76427312,0.05258374,0.50460256,0.12365017,2.34179860
-5.36368184,5.22062486,0.42629727,0.19307736,1.63088772,1.75112034,0.05263698,0.51508158,0.12127394,2.33337284
-5.35767884,5.21183598,0.43631951,0.19567184,1.65793869,1.73630376,0.05273714,0.52518385,0.11883056,2.32608275
-5.35167584,5.20298942,0.44620252,0.19799514,1.68845690,1.71995715,0.05288064,0.53471420,0.11632170,2.31996911
-5.34567284,5.19370094,0.45583985,0.19999590,1.72194988,1.70217489,0.05305872,0.54346785,0.11374878,2.31493915
-5.33966983,5.18336500,0.46511513,0.20162292,1.75778703,1.68301007,0.05325783,0.55123760,0.11111280,2.31077232
-5.33366683,5.17118818,0.47390609,0.20282737,1.79522419,1.66247602,0.05346028,0.55782180,0.10841434,2.30713381
-5.32766383,5.15623587,0.48208940,0.20356525,1.83343489,1.64055150,0.05364514,0.56303263,0.10565369,2.30359519
-5.32166083,5.13748988,0.48954605,0.20379990,1.87154690,1.61718901,0.05378925,0.56670451,0.10283111,2.29966136
-5.31565783,5.11391408,0.49616707,0.20350433,1.90868251,1.59232590,0.05386848,0.56870198,0.09994721,2.29480241
-5.30965483,5.08452467,0.50185922,0.20266349,1.94400053,1.56589765,0.05385888,0.56892676,0.09700341,2.28848879
-5.30365183,5.04846125,0.50655055,0.20127613,1.97673791,1.53785239,0.05373797,0.56732362,0.09400246,2.28022803
-5.29764882,5.00505478,0.51019534,0.19935632,2.00624894,1.50816590,0.05348593,0.56388467,0.09094901,2.26960088
-5.29164582,4.95388878,0.51277831,0.19693442,2.03203978,1.47685609,0.05308658,0.55865187,0.08785010,2.25629508
-5.28564282,4.89485005,0.51431768,0.19405750,2.05379659,1.44399605,0.05252829,0.55171762,0.08471564,2.24013470
-5.27963982,4.82816611,0.51486710,0.19078915,2.07140548,1.40972478,0.05180459,0.54322331,0.08155877,2.22110340
-5.27363682,4.75442685,0.51451603,0.18720862,2.08496307,1.37425487,0.05091456,0.53335587,0.07839604,2.19936022
-5.26763382,4.67458895,0.51338863,0.18340935,2.09477689,1.33787658,0.04986299,0.52234257,0.07524756,2.17524677
-5.26163082,4.58996217,0.51164121,0.17949680,2.10135524,1.30095782,0.04866017,0.51044411,0.07213677,2.14928516
-5.25562781,4.50217789,0.50945802,0.17558586,2.10538680,1.26393984,0.04732154,0.49794637,0.06909022,2.12216657
