energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up
4.54127064,2.71785126,0.57426949,0.02507827,0.08484136,0.06749453,0.06194674,0.46759073,0.27692088,1.87453743
4.54727364,2.77374624,0.56868046,0.02581361,0.08255252,0.06784475,0.06158092,0.48910083,0.27563499,1.91739237
4.55327664,2.82170593,0.56055740,0.02649073,0.07979643,0.06804828,0.06093800,0.50996952,0.27308286,1.95513475
4.55927964,2.86143969,0.55009619,0.02710576,0.07662558,0.06811695,0.06002854,0.52998475,0.26932762,1.98751495
4.56528264,2.89268639,0.53751962,0.02765483,0.07309874,0.06806146,0.05886609,0.54892217,0.26444775,2.01429282
4.57128564,2.91521002,0.52306947,0.02813405,0.06927906,0.06789073,0.05746681,0.56654843,0.25853409,2.03523587
4.57728864,2.92879864,0.50699871,0.02853947,0.06523211,0.06761125,0.05584900,0.58262560,0.25168678,2.05012018
4.58329165,2.93326700,0.48956435,0.02886706,0.06102404,0.06722682,0.05403278,0.59691649,0.24401233,2.05873426
4.58929465,2.92846266,0.47102103,0.02911279,0.05671973,0.06673844,0.05203964,0.60919075,0.23562089,2.06088556
4.59529765,2.91427531,0.45161569,0.02927271,0.05238123,0.06614441,0.04989221,0.61923155,0.22662380,2.05640946
4.60130065,2.89064856,0.43158327,0.02934307,0.04806635,0.06544075,0.04761387,0.62684252,0.21713151,2.04518012
4.60730365,2.85759331,0.41114358,0.02932048,0.04382749,0.06462169,0.04522853,0.63185459,0.20725177,2.02712240
4.61330665,2.81520171,0.39049931,0.02920211,0.03971085,0.06368033,0.04276031,0.63413255,0.19708831,2.00222422
4.61930965,2.76366048,0.36983502,0.02898585,0.03575580,0.06260947,0.04023330,0.63358081,0.18673977,1.97054815
4.62531266,2.70326257,0.34931697,0.02867048,0.03199460,0.06140237,0.03767127,0.63014822,0.17629899,1.93224165
4.63131566,2.63441600,0.32909373,0.02825594,0.02845237,0.06005359,0.03509742,0.62383156,0.16585250,1.88754495
4.63731866,2.55764903,0.30929715,0.02774336,0.02514729,0.05855977,0.03253410,0.61467764,0.15548035,1.83679596
4.64332166,2.47361109,0.29004376,0.02713528,0.02209094,0.05692022,0.03000253,0.60278366,0.14525597,1.78043161
4.64932466,2.38306896,0.27143613,0.02643566,0.01928892,0.05513755,0.02752254,0.58829602,0.13524620,1.71898539
4.65532766,2.28689812,0.25356433,0.02564995,0.01674142,0.05321796,0.02511233,0.57140747,0.12551142,1.65308108
4.66133067,2.18606960,0.23650709,0.02478502,0.01444404,0.05117153,0.02278824,0.55235263,0.11610563,1.58342259
4.66733367,2.08163259,0.22033276,0.02384912,0.01238848,0.04901224,0.02056456,0.53140232,0.10707664,1.51078058
4.67333667,1.97469380,0.20509998,0.02285173,0.01056338,0.04675788,0.01845338,0.50885661,0.09846620,1.43597622
4.67933967,1.86639429,0.19085796,0.02180338,0.00895504,0.04442980,0.01646449,0.48503720,0.09031010,1.35986297
4.68534267,1.75788489,0.17764659,0.02071547,0.00754809,0.04205254,0.01460534,0.46027921,0.08263839,1.28330705
4.69134567,1.65030135,0.16549626,0.01960000,0.00632617,0.03965341,0.01288106,0.43492290,0.07547541,1.20716773
4.69734867,1.54474029,0.15442754,0.01846930,0.00527248,0.03726192,0.01129452,0.40930547,0.06884008,1.13227801
4.70335168,1.44223697,0.14445092,0.01733583,0.00437022,0.03490927,0.00984646,0.38375340,0.06274599,1.05942682
4.70935468,1.34374577,0.13556650,0.01621186,0.00360300,0.03262780,0.00853567,0.35857561,0.05720175,0.98934322
4.71535768,1.25012403,0.12776384,0.01510927,0.00295515,0.03045038,0.00735918,0.33405746,0.05221120,0.92268332
4.72136068,1.16211988,0.12102209,0.01403931,0.00241192,0.02840996,0.00631255,0.31045597,0.04777384,0.86002024
4.72736368,1.08036404,0.11531036,0.01301241,0.00195968,0.02653902,0.00539007,0.28799628,0.04388519,0.80183733
4.73336668,1.00536581,0.11058833,0.01203803,0.00158596,0.02486914,0.00458508,0.26686929,0.04053729,0.74852471
4.73936968,0.93751289,0.10680723,0.01112454,0.00127954,0.02343058,0.00389020,0.24723061,0.03771913,0.70037890
4.74537269,0.87707467,0.10391105,0.01027911,0.00103041,0.02225186,0.00329760,0.22920055,0.03541716,0.65760521
4.75137569,0.82420826,0.10183797,0.00950772,0.00082976,0.02135936,0.00279923,0.21286510,0.03361576,0.62032248
4.75737869,0.77896668,0.10052191,0.00881506,0.00066990,0.02077696,0.00238702,0.19827783,0.03229759,0.58856956
4.76338169,0.74130836,0.09989417,0.00820457,0.00054421,0.02052557,0.00205305,0.18546219,0.03144400,0.56231287
4.76938469,0.71110719,0.09988501,0.00767848,0.00044698,0.02062270,0.00178967,0.17441443,0.03103523,0.54145456
4.77538769,0.68816241,0.10042504,0.00723780,0.00037340,0.02108199,0.00158962,0.16510653,0.03105054,0.52584049
4.78139070,0.67220762,0.10144650,0.00688243,0.00031941,0.02191269,0.00144609,0.15748928,0.03146821,0.51526770
4.78739370,0.66291862,0.10288418,0.00661112,0.00028158,0.02311908,0.00135271,0.15149516,0.03226542,0.50949083
4.79339670,0.65991958,0.10467599,0.00642162,0.00025709,0.02469996,0.00130361,0.14704091,0.03341802,0.50822733
4.79939970,0.66278756,0.10676319,0.00631065,0.00024355,0.02664809,0.00129336,0.14402990,0.03490018,0.51116129
4.80540270,0.67105541,0.10909034,0.00627400,0.00023899,0.02894967,0.00131694,0.14235401,0.03668399,0.51794595
4.81140570,0.68421341,0.11160479,0.00630655,0.00024176,0.03158396,0.00136968,0.14189522,0.03873903,0.52820510
4.81740870,0.70170994,0.11425605,0.00640233,0.00025047,0.03452296,0.00144721,0.14252686,0.04103198,0.54153369
4.82341171,0.72295192,0.11699487,0.00655458,0.00026393,0.03773131,0.00154541,0.14411473,0.04352621,0.55749805
4.82941471,0.74730551,0.11977238,0.00675581,0.00028110,0.04116635,0.00166033,0.14651796,0.04618158,0.57563625
4.83541771,0.77409783,0.12253912,0.00699788,0.00030109,0.04477846,0.00178817,0.14959006,0.04895436,0.59545908
4.84142071,0.80262025,0.12524433,0.00727211,0.00032307,0.04851164,0.00192522,0.15317990,0.05179728,0.61645210
4.84742371,0.83213371,0.12783538,0.00756937,0.00034630,0.05230435,0.00206787,0.15713310,0.05465992,0.63807930
4.85342671,0.86187665,0.13025758,0.00788024,0.00037009,0.05609072,0.00221258,0.16129358,0.05748924,0.65978844
4.85942971,0.89107543,0.13245439,0.00819517,0.00039379,0.05980189,0.00235589,0.16550558,0.06023039,0.68101848
4.86543272,0.91895745,0.13436793,0.00850466,0.00041679,0.06336769,0.00249445,0.16961595,0.06282779,0.70120894
4.87143572,0.94476658,0.13594000,0.00879945,0.00043852,0.06671845,0.00262509,0.17347692,0.06522628,0.71981101
4.87743872,0.96778036,0.13711340,0.00907074,0.00045846,0.06978691,0.00274479,0.17694897,0.06737257,0.73630017
4.88344172,0.98732852,0.13783358,0.00931038,0.00047614,0.07251022,0.00285081,0.17990405,0.06921665,0.75018971
4.88944472,1.00281160,0.13805049,0.00951111,0.00049114,0.07483189,0.00294069,0.18222868,0.07071331,0.76104450
4.89544772,1.01371918,0.13772050,0.00966672,0.00050311,0.07670353,0.00301236,0.18382702,0.07182356,0.76849449
4.90145073,1.01964628,0.13680835,0.00977226,0.00051175,0.07808653,0.00306411,0.18462361,0.07251593,0.77224699
4.90745373,1.02030734,0.13528884,0.00982413,0.00051686,0.07895328,0.00309474,0.18456563,0.07276759,0.77209706
4.91345673,1.01554664,0.13314837,0.00982021,0.00051832,0.07928821,0.00310348,0.18362458,0.07256519,0.76793544
4.91945973,1.00534471,0.13038602,0.00975992,0.00051608,0.07908823,0.00309009,0.18179720,0.07190541,0.75975338
4.92546273,0.98981995,0.12701418,0.00964418,0.00051018,0.07836293,0.00305482,0.17910554,0.07079514,0.74764403
4.93146573,0.96922541,0.12305872,0.00947541,0.00050075,0.07713418,0.00299842,0.17559618,0.06925132,0.73180007
4.93746873,0.94394061,0.11855854,0.00925740,0.00048799,0.07543538,0.00292211,0.17133850,0.06730044,0.71250780
4.94347174,0.91445880,0.11356472,0.00899516,0.00047216,0.07331030,0.00282750,0.16642223,0.06497768,0.69013759
4.94947474,0.88136998,0.10813906,0.00869477,0.00045360,0.07081154,0.00271661,0.16095407,0.06232582,0.66513134
4.95547774,0.84534060,0.10235232,0.00836310,0.00043268,0.06799874,0.00259177,0.15505388,0.05939383,0.63798725
4.96148074,0.80709079,0.09628214,0.00800762,0.00040984,0.06493659,0.00245554,0.14885029,0.05623535,0.60924282
4.96748374,0.76737010,0.09001069,0.00763612,0.00038551,0.06169277,0.00231068,0.14247608,0.05290713,0.57945662
4.97348674,0.72693293,0.08362236,0.00725644,0.00036017,0.05833579,0.00216009,0.13606354,0.04946736,0.54918981
4.97948974,0.68651461,0.07720140,0.00687623,0.00033429,0.05493299,0.00200675,0.12973990,0.04597413,0.51898818
4.98549275,0.64680926,0.07082979,0.00650275,0.00030834,0.05154867,0.00185367,0.12362317,0.04248400,0.48936540
4.99149575,0.60845029,0.06458533,0.00614258,0.00028280,0.04824243,0.00170392,0.11781840,0.03905080,0.46078825
4.99749875,0.57199416,0.05854012,0.00580157,0.00025811,0.04506779,0.00156059,0.11241466,0.03572467,0.43366430
5.00350175,0.53790820,0.05275948,0.00548459,0.00023474,0.04207115,0.00142685,0.10748274,0.03255134,0.40833254
5.00950475,0.50656243,0.04730129,0.00519554,0.00021314,0.03929109,0.00130597,0.10307368,0.02957177,0.38505715
