energy_ev,total_up,N_s_up,N_p_up,Ru_p_up,Ru_d_up,Te_p_up,Te_d_up
-6.00000000,1.04396403,0.00355233,0.19041503,0.47231795,0.32446502,0.42614540,0.00000000
-5.99399700,1.11470605,0.00356051,0.21184422,0.51663977,0.34530435,0.44760245,0.00000000
-5.98799400,1.19011585,0.00355874,0.23511673,0.56406551,0.36755954,0.47011513,0.00000000
-5.98199100,1.27030041,0.00354842,0.26022101,0.61448432,0.39129789,0.49375342,0.00000000
-5.97598799,1.35524661,0.00353099,0.28710509,0.66770414,0.41655339,0.51855316,0.00000000
-5.96998499,1.44480141,0.00350786,0.31567222,0.72344573,0.44331993,0.54450830,0.00000000
-5.96398199,1.53865596,0.00348036,0.34577745,0.78133956,0.47154549,0.57156475,0.00000000
-5.95797899,1.63633489,0.00344966,0.37722552,0.84092583,0.50112768,0.59961597,0.00000000
-5.95197599,1.73719136,0.00341677,0.40977023,0.90165795,0.53191098,0.62850062,0.00000000
-5.94597299,1.84040864,0.00338249,0.44311542,0.96290952,0.56368572,0.65800264,0.00000000
-5.93996998,1.94500836,0.00334741,0.47691777,1.02398475,0.59618919,0.68785368,0.00000000
-5.93396698,2.04986555,0.00331191,0.51079135,1.08413214,0.62910871,0.71773782,0.00000000
-5.92796398,2.15373003,0.00327616,0.54431398,1.14256090,0.66208672,0.74729862,0.00000000
-5.92196098,2.25525360,0.00324016,0.57703522,1.19845974,0.69472776,0.77614799,0.00000000
-5.91595798,2.35302202,0.00320377,0.60848592,1.25101719,0.72660710,0.80387663,0.00000000
-5.90995498,2.44559073,0.00316676,0.63818891,1.29944283,0.75728074,0.83006566,0.00000000
-5.90395198,2.53152299,0.00312884,0.66567066,1.34298850,0.78629643,0.85429878,0.00000000
-5.89794897,2.60942889,0.00308970,0.69047351,1.38096881,0.81320529,0.87617455,0.00000000
-5.89194597,2.67800392,0.00304907,0.71216795,1.41278002,0.83757369,0.89531836,0.00000000
-5.88594297,2.73606551,0.00300678,0.73036465,1.43791665,0.85899484,0.91139338,0.00000000
-5.87993997,2.78258627,0.00296273,0.74472572,1.45598522,0.87709973,0.92411034,0.00000000
-5.87393697,2.81672274,0.00291701,0.75497474,1.46671457,0.89156709,0.93323561,0.00000000
-5.86793397,2.83783863,0.00286984,0.76090530,1.46996249,0.90213190,0.93859743,0.00000000
-5.86193097,2.84552182,0.00282167,0.76238756,1.46571849,0.90859232,0.94009014,0.00000000
-5.85592796,2.83959477,0.00277314,0.75937259,1.45410276,0.91081467,0.93767631,0.00000000
-5.84992496,2.82011797,0.00272511,0.75189447,1.43536138,0.90873651,0.93138691,0.00000000
-5.84392196,2.78738680,0.00267866,0.74006974,1.40985827,0.90236759,0.92131956,0.00000000
-5.83791896,2.74192192,0.00263513,0.72409457,1.37806420,0.89178893,0.90763521,0.00000000
-5.83191596,2.68445399,0.00259609,0.70423944,1.34054341,0.87714986,0.89055334,0.00000000
-5.82591296,2.61590350,0.00256333,0.68084175,1.29793852,0.85866344,0.87034617,0.00000000
-5.81990995,2.53735642,0.00253893,0.65429657,1.25095419,0.83660041,0.84733199,0.00000000
-5.81390695,2.45003710,0.00252518,0.62504586,1.20034035,0.81128189,0.82186811,0.00000000
-5.80790395,2.35527903,0.00252463,0.59356664,1.14687541,0.78307120,0.79434355,0.00000000
-5.80190095,2.25449482,0.00254004,0.56035851,1.09135000,0.75236511,0.76517174,0.00000000
-5.79589795,2.14914623,0.00257442,0.52593098,1.03455175,0.71958482,0.73478349,0.00000000
-5.78989495,2.04071506,0.00263092,0.49079113,0.97725131,0.68516691,0.70362027,0.00000000
-5.78389195,1.93067574,0.00271285,0.45543189,0.92019001,0.64955463,0.67212787,0.00000000
-5.77788894,1.82047006,0.00282362,0.42032140,0.86406914,0.61318970,0.64075057,0.00000000
-5.77188594,1.71148460,0.00296661,0.38589377,0.80954098,0.57650472,0.60992569,0.00000000
-5.76588294,1.60503090,0.00314515,0.35254136,0.75720151,0.53991654,0.58007848,0.00000000
-5.75987994,1.50232872,0.00336235,0.32060883,0.70758481,0.50382040,0.55161742,0.00000000
-5.75387694,1.40449221,0.00362102,0.29038899,0.66115885,0.46858514,0.52492965,0.00000000
-5.74787394,1.31251889,0.00392350,0.26212038,0.61832269,0.43454932,0.50037670,0.00000000
-5.74187094,1.22728145,0.00427150,0.23598664,0.57940478,0.40201825,0.47829027,0.00000000
-5.73586793,1.14952188,0.00466600,0.21211736,0.54466235,0.37126198,0.45896824,0.00000000
-5.72986493,1.07984801,0.00510704,0.19059031,0.51428170,0.34251394,0.44267082,0.00000000
-5.72386193,1.01873201,0.00559362,0.17143487,0.48837937,0.31597048,0.42961695,0.00000000
-5.71785893,0.96651083,0.00612357,0.15463630,0.46700394,0.29179090,0.41998104,0.00000000
-5.71185593,0.92338829,0.00669347,0.14014074,0.45013877,0.27009803,0.41389015,0.00000000
