energy_ev,total_up,Hg_p_up,Hg_d_up,N_s_up,N_p_up,Ni_p_up,Ni_d_up,Se_s_up,Se_p_up
-6.00000000,1.83715120,0.24965621,0.50665882,0.01094683,0.12133409,0.34807507,0.57975779,0.03273811,0.52804787
-5.99399700,1.91771695,0.25975225,0.51980625,0.01095747,0.12559855,0.36036426,0.62206841,0.03500364,0.55612304
-5.98799400,1.99396315,0.26927137,0.53088037,0.01089759,0.12947114,0.37182313,0.66443513,0.03722811,0.58361297
-5.98199100,2.06531721,0.27814314,0.53980627,0.01077042,0.13291902,0.38242713,0.70648093,0.03938654,0.61033948
-5.97598799,2.13127126,0.28630637,0.54655090,0.01058095,0.13591597,0.39216606,0.74780943,0.04145413,0.63612649
-5.96998499,2.19137964,0.29370817,0.55112080,0.01033585,0.13844206,0.40104078,0.78800892,0.04340678,0.66079866
-5.96398199,2.24525514,0.30030287,0.55355875,0.01004334,0.14048320,0.40905966,0.82665717,0.04522157,0.68418005
-5.95797899,2.29256473,0.30605107,0.55393974,0.00971300,0.14203064,0.41623501,0.86332677,0.04687731,0.70609318
-5.95197599,2.33302555,0.31091874,0.55236650,0.00935560,0.14308035,0.42257982,0.89759132,0.04835499,0.72635856
-5.94597299,2.36640179,0.31487658,0.54896480,0.00898287,0.14363249,0.42810506,0.92903225,0.04963825,0.74479522
-5.93996998,2.39250321,0.31789970,0.54387895,0.00860732,0.14369091,0.43281769,0.95724632,0.05071382,0.76122203
-5.93396698,2.41118558,0.31996766,0.53726750,0.00824197,0.14326265,0.43671974,0.98185370,0.05157183,0.77546033
-5.92796398,2.42235347,0.32106487,0.52929957,0.00790019,0.14235771,0.43980833,1.00250651,0.05220620,0.78733761
-5.92196098,2.42596525,0.32118141,0.52015177,0.00759547,0.14098877,0.44207676,1.01889759,0.05261480,0.79669222
-5.91595798,2.42204009,0.32031403,0.51000583,0.00734128,0.13917113,0.44351667,1.03076914,0.05279966,0.80337910
-5.90995498,2.41066656,0.31846753,0.49904690,0.00715087,0.13692279,0.44412095,1.03792117,0.05276703,0.80727606
-5.90395198,2.39201188,0.31565616,0.48746247,0.00703716,0.13426447,0.44388731,1.04021902,0.05252738,0.80829040
-5.89794897,2.36633112,0.31190498,0.47544172,0.00701254,0.13121982,0.44282214,1.03759994,0.05209528,0.80636536
-5.89194597,2.33397521,0.30725111,0.46317519,0.00708878,0.12781560,0.44094439,1.03007807,0.05148917,0.80148616
-5.88594297,2.29539675,0.30174467,0.45085446,0.00727686,0.12408172,0.43828914,1.01774754,0.05073107,0.79368483
-5.87993997,2.25115273,0.29544924,0.43867167,0.00758681,0.12005140,0.43491043,1.00078347,0.04984612,0.78304387
-5.87393697,2.20190310,0.28844183,0.42681874,0.00802757,0.11576102,0.43088320,0.97944049,0.04886206,0.76969791
-5.86793397,2.14840483,0.28081224,0.41548598,0.00860675,0.11124996,0.42630400,0.95404874,0.04780857,0.75383358
-5.86193097,2.09150094,0.27266168,0.40486009,0.00933042,0.10656020,0.42129035,0.92500737,0.04671655,0.73568697
-5.85592796,2.03210448,0.26410089,0.39512142,0.01020291,0.10173584,0.41597866,0.89277553,0.04561734,0.71553910
-5.84992496,1.97117790,0.25524755,0.38644056,0.01122652,0.09682236,0.41052079,0.85786126,0.04454183,0.69370912
-5.84392196,1.90970827,0.24622324,0.37897418,0.01240125,0.09186581,0.40507922,0.82080856,0.04351958,0.67054578
-5.83791896,1.84867954,0.23715003,0.37286050,0.01372456,0.08691191,0.39982125,0.78218306,0.04257793,0.64641734
-5.83191596,1.78904271,0.22814681,0.36821439,0.01519110,0.08200504,0.39491231,0.74255704,0.04174114,0.62170042
