energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,S_s_up,S_s_down,S_p_up,S_p_down,V_p_up,V_p_down,V_d_up,V_d_down
-6.00000000,2.80134886,-1.13572384,0.01859065,-0.01409942,0.03765338,-0.02729054,0.81383825,-0.30372058,0.41222700,-0.09468984,0.02030196,-0.01107188,1.68603646,-0.70808826,0.90267449,-0.36044828,0.34846883,-0.13716838
-5.99399700,2.89524233,-1.19885907,0.01944541,-0.01453221,0.03829999,-0.02838029,0.83952540,-0.32375505,0.42488078,-0.09964513,0.02112130,-0.01143893,1.74393157,-0.74907263,0.93121675,-0.37944041,0.36423849,-0.14789849
-5.98799400,2.98147378,-1.26962504,0.02024572,-0.01502200,0.03879954,-0.02964233,0.86286927,-0.34549830,0.43645879,-0.10532235,0.02187912,-0.01191210,1.79729335,-0.79486735,0.95706202,-0.40115672,0.37904802,-0.15953912
-5.98199100,3.05891729,-1.34754873,0.02097986,-0.01555319,0.03914388,-0.03105602,0.88354335,-0.36883516,0.44682997,-0.11168401,0.02256643,-0.01248077,1.84543085,-0.84520947,0.97986584,-0.42554589,0.39268834,-0.17200726
-5.97598799,3.12657215,-1.43204706,0.02163699,-0.01611029,0.03932771,-0.03259790,0.90125566,-0.39362031,0.45588102,-0.11868366,0.02317607,-0.01313272,1.88772664,-0.89976490,0.99933260,-0.45250741,0.40496147,-0.18521266
-5.96998499,3.18358396,-1.52243622,0.02220744,-0.01667809,0.03934867,-0.03424223,0.91575507,-0.41968125,0.46351886,-0.12626655,0.02370276,-0.01385430,1.92364970,-0.95813367,1.01522134,-0.48189284,0.41568537,-0.19905882
-5.96398199,3.22926112,-1.61794264,0.02268283,-0.01724182,0.03920730,-0.03596151,0.92683640,-0.44682179,0.46967237,-0.13437043,0.02414316,-0.01463068,1.95276561,-1.01985614,1.02734988,-0.51350784,0.42469831,-0.21344398
-5.95797899,3.26308619,-1.71771507,0.02305628,-0.01778732,0.03890692,-0.03772719,0.93434426,-0.47482585,0.47429332,-0.14292639,0.02449579,-0.01544612,1.97474375,-1.08441997,1.03559697,-0.54711501,0.43186285,-0.22826204
-5.95197599,3.28472185,-1.82083746,0.02332251,-0.01830114,0.03845343,-0.03951029,0.93817543,-0.50346159,0.47735658,-0.15185974,0.02476087,-0.01628429,1.98936128,-1.15126769,1.03990259,-0.58243739,0.43706916,-0.24340340
-5.94597299,3.29401131,-1.92634214,0.02347791,-0.01877072,0.03785498,-0.04128206,0.93827980,-0.53248538,0.47885942,-0.16109081,0.02494017,-0.01712857,1.99650374,-1.21980440,1.04026629,-0.61916246,0.44023755,-0.25875578
-5.93996998,3.29097351,-2.03322300,0.02352054,-0.01918453,0.03712164,-0.04301464,0.93465989,-0.56164576,0.47882011,-0.17053582,0.02503671,-0.01796246,1.99616268,-1.28940565,1.03674394,-0.65694665,0.44132023,-0.27420484
-5.93396698,3.27579355,-2.14044821,0.02345019,-0.01953222,0.03626501,-0.04468165,0.92736906,-0.59068702,0.47727592,-0.18010763,0.02505452,-0.01876996,1.98843032,-1.35942507,1.02944297,-0.69542010,0.44030216,-0.28963480
-5.92796398,3.24880898,-2.24697235,0.02326826,-0.01980477,0.03529779,-0.04625873,0.91650857,-0.61935246,0.47428052,-0.18971651,0.02499830,-0.01953589,1.97349175,-1.42920171,1.01851641,-0.73419174,0.43720101,-0.30492890
-5.92196098,3.21049299,-2.35174776,0.02297773,-0.01999461,0.03423337,-0.04772400,0.90222367,-0.64738718,0.46990104,-0.19927077,0.02487312,-0.02024628,1.95161530,-1.49806703,1.00415616,-0.77285452,0.43206622,-0.31996968
-5.91595798,3.16143533,-2.45373497,0.02258303,-0.02009579,0.03308545,-0.04905838,0.88469892,-0.67454041,0.46421498,-0.20867750,0.02468413,-0.02088873,1.92314138,-1.56535148,0.98658578,-0.81099089,0.42497734,-0.33463931
-5.90995498,3.10232198,-2.55191226,0.02208988,-0.02010406,0.03186767,-0.05024583,0.86415300,-0.70056746,0.45730708,-0.21784317,0.02443630,-0.02145260,1.88847068,-1.63039062,0.96605317,-0.84817828,0.41604153,-0.34881980
-5.90395198,3.03391465,-2.64528454,0.02150521,-0.02001697,0.03059331,-0.05127350,0.84083319,-0.72523120,0.44926631,-0.22667435,0.02413424,-0.02192930,1.84805208,-1.69253110,0.94282350,-0.88399483,0.40539056,-0.36239316
-5.89794897,2.95703087,-2.73289162,0.02083692,-0.01983390,0.02927507,-0.05213170,0.81500985,-0.74830340,0.44018323,-0.23507839,0.02378197,-0.02231243,1.80237097,-1.75113630,0.91717264,-0.91802511,0.39317722,-0.37524174
-5.89194597,2.87252568,-2.81381621,0.02009376,-0.01955606,0.02792485,-0.05281379,0.78697087,-0.76956586,0.43014773,-0.24296428,0.02338289,-0.02259784,1.75193833,-1.80559205,0.88938142,-0.94986589,0.37957147,-0.38724854
-5.88594297,2.78127518,-2.88719173,0.01928511,-0.01918648,0.02655365,-0.05331602,0.75701643,-0.78881148,0.41924738,-0.25024352,0.02293975,-0.02278362,1.69728097,-1.85531239,0.85973076,-0.97913206,0.36475631,-0.39829782
-5.87993997,2.68416272,-2.95221040,0.01842083,-0.01872989,0.02517154,-0.05363724,0.72545419,-0.80584549,0.40756619,-0.25683114,0.02245463,-0.02287005,1.63893326,-1.89974565,0.82849785,-1.00546237,0.34892369,-0.40827586
-5.87393697,2.58206765,-3.00813157,0.01751108,-0.01819259,0.02378759,-0.05377857,0.69259475,-0.82048685,0.39518419,-0.26264688,0.02192910,-0.02285945,1.57743026,-1.93838079,0.79595341,-1.02852518,0.33227035,-0.41707202
-5.86793397,2.47585678,-3.05429057,0.01656613,-0.01758225,0.02240997,-0.05374302,0.65874782,-0.83256996,0.38217732,-0.26761638,0.02136430,-0.02275593,1.51330252,-1.97075412,0.76235995,-1.04802400,0.31499394,-0.42458014
-5.86193097,2.36637837,-3.09010801,0.01559621,-0.01690772,0.02104598,-0.05353515,0.62421864,-0.84194663,0.36861804,-0.27167266,0.02076112,-0.02256517,1.44707229,-1.99645645,0.72797085,-1.06370278,0.29728941,-0.43070019
-5.85592796,2.25445822,-3.11509957,0.01461134,-0.01617872,0.01970214,-0.05316071,0.58930512,-0.84848848,0.35457614,-0.27475744,0.02012041,-0.02229413,1.37925088,-2.01514046,0.69303028,-1.07535070,0.27934571,-0.43534030
