energy_ev,total_up,C_s_up,C_p_up,Mg_p_up,Mg_d_up,Mo_p_up,Mo_d_up,Te_p_up,Te_d_up
-6.00000000,5.46546828,0.08219092,1.18342381,0.70426135,0.00000000,3.74320535,2.19940726,1.87547955,0.00000000
-5.99399700,5.39926611,0.08003974,1.18820214,0.68365764,0.00000000,3.70382741,2.21472783,1.82607478,0.00000000
-5.98799400,5.33292620,0.07770636,1.19332777,0.66203245,0.00000000,3.66266601,2.23177312,1.77553074,0.00000000
-5.98199100,5.26719024,0.07522921,1.19882528,0.63957686,0.00000000,3.62004755,2.25051470,1.72430270,0.00000000
-5.97598799,5.20277354,0.07264567,1.20471318,0.61650515,0.00000000,3.57632063,2.27090119,1.67286106,0.00000000
-5.96998499,5.14037098,0.06999118,1.21100559,0.59305495,0.00000000,3.53186790,2.29286292,1.62169308,0.00000000
-5.96398199,5.08066277,0.06729859,1.21771325,0.56948659,0.00000000,3.48711630,2.31631564,1.57130431,0.00000000
-5.95797899,5.02431901,0.06459760,1.22484341,0.54608158,0.00000000,3.44254462,2.34116301,1.52221954,0.00000000
-5.95197599,4.97200249,0.06191447,1.23239880,0.52314032,0.00000000,3.39868750,2.36729751,1.47498299,0.00000000
-5.94597299,4.92436902,0.05927190,1.24037540,0.50097889,0.00000000,3.35613529,2.39459988,1.43015756,0.00000000
-5.93996998,4.88206517,0.05668906,1.24875932,0.47992503,0.00000000,3.31552938,2.42293710,1.38832285,0.00000000
-5.93396698,4.84572323,0.05418178,1.25752296,0.46031340,0.00000000,3.27755298,2.45215933,1.35007201,0.00000000
-5.92796398,4.81595369,0.05176294,1.26662072,0.44248019,0.00000000,3.24291772,2.48209609,1.31600709,0.00000000
-5.92196098,4.79333547,0.04944288,1.27598476,0.42675708,0.00000000,3.21234653,2.51255241,1.28673319,0.00000000
-5.91595798,4.77840465,0.04722992,1.28552108,0.41346490,0.00000000,3.18655377,2.54330545,1.26285107,0.00000000
-5.90995498,4.77164230,0.04513088,1.29510656,0.40290693,0.00000000,3.16622355,2.57410224,1.24494864,0.00000000
-5.90395198,4.77346203,0.04315165,1.30458725,0.39536200,0.00000000,3.15198733,2.60465914,1.23359114,0.00000000
-5.89794897,4.78419821,0.04129765,1.31377814,0.39107766,0.00000000,3.14440212,2.63466345,1.22931042,0.00000000
-5.89194597,4.80409531,0.03957428,1.32246496,0.39026348,0.00000000,3.14393013,2.66377754,1.23259337,0.00000000
-5.88594297,4.83329896,0.03798728,1.33040779,0.39308467,0.00000000,3.15092117,2.69164555,1.24386982,0.00000000
-5.87993997,4.87184911,0.03654297,1.33734664,0.39965617,0.00000000,3.16559824,2.71790262,1.26350014,0.00000000
-5.87393697,4.91967557,0.03524835,1.34300875,0.41003749,0.00000000,3.18804729,2.74218623,1.29176298,0.00000000
-5.86793397,4.97659570,0.03411119,1.34711740,0.42422837,0.00000000,3.21821113,2.76414923,1.32884334,0.00000000
-5.86193097,5.04231447,0.03313991,1.34940160,0.44216548,0.00000000,3.25588776,2.78347374,1.37482152,0.00000000
-5.85592796,5.11642625,0.03234335,1.34960637,0.46372033,0.00000000,3.30073297,2.79988505,1.42966319,0.00000000
-5.84992496,5.19841819,0.03173056,1.34750292,0.48869860,0.00000000,3.35226669,2.81316474,1.49321105,0.00000000
-5.84392196,5.28767453,0.03131039,1.34289809,0.51684086,0.00000000,3.40988263,2.82316177,1.56517843,0.00000000
-5.83791896,5.38348153,0.03109109,1.33564262,0.54782494,0.00000000,3.47286055,2.82980098,1.64514506,0.00000000
-5.83191596,5.48503243,0.03107984,1.32563772,0.58126985,0.00000000,3.54038034,2.83308799,1.73255543,0.00000000
-5.82591296,5.59143207,0.03128225,1.31283944,0.61674126,0.00000000,3.61153713,2.83311002,1.82671970,0.00000000
-5.81990995,5.70170096,0.03170189,1.29726078,0.65375851,0.00000000,3.68535683,2.83003229,1.92681750,0.00000000
-5.81390695,5.81477857,0.03233980,1.27897121,0.69180292,0.00000000,3.76081128,2.82408986,2.03190447,0.00000000
-5.80790395,5.92952583,0.03319402,1.25809379,0.73032724,0.00000000,3.83683264,2.81557519,2.14092145,0.00000000
-5.80190095,6.04472715,0.03425918,1.23479999,0.76876599,0.00000000,3.91232657,2.80482183,2.25270633,0.00000000
-5.79589795,6.15909212,0.03552618,1.20930255,0.80654632,0.00000000,3.98618404,2.79218500,2.36600812,0.00000000
-5.78989495,6.27125751,0.03698190,1.18184672,0.84309918,0.00000000,4.05729185,2.77802014,2.47950322,0.00000000
-5.78389195,6.37979020,0.03860904,1.15270053,0.87787037,0.00000000,4.12454183,2.76266034,2.59181324,0.00000000
-5.77788894,6.48319179,0.04038606,1.12214442,0.91033116,0.00000000,4.18683927,2.74639411,2.70152453,0.00000000
-5.77188594,6.57990560,0.04228726,1.09046099,0.93998831,0.00000000,4.24311086,2.72944475,2.80720868,0.00000000
-5.76588294,6.66832710,0.04428295,1.05792527,0.96639298,0.00000000,4.29231275,2.71195237,2.90744403,0.00000000
-5.75987994,6.74681831,0.04633984,1.02479601,0.98914866,0.00000000,4.33343934,2.69396009,3.00083786,0.00000000
-5.75387694,6.81372700,0.04842154,0.99130843,1.00791766,0.00000000,4.36553318,2.67540494,3.08604898,0.00000000
-5.74787394,6.86741109,0.05048922,0.95766875,1.02242634,0.00000000,4.38769670,2.65611469,3.16181072,0.00000000
-5.74187094,6.90626850,0.05250240,0.92405059,1.03246890,0.00000000,4.39910592,2.63581059,3.22695394,0.00000000
-5.73586793,6.92877231,0.05441990,0.89059351,1.03790988,0.00000000,4.39902642,2.61411663,3.28042993,0.00000000
