energy_ev,total_up,Ag_p_up,Ag_d_up,Se_s_up,Se_p_up,Si_p_up,Si_d_up
-6.00000000,3.76244441,0.36505243,3.26487230,0.01542948,0.15330035,0.18697245,0.00000000
-5.99399700,3.78354628,0.35957141,3.29209067,0.01537378,0.14969899,0.18622389,0.00000000
-5.98799400,3.79988096,0.35406017,3.31479729,0.01532137,0.14615717,0.18535544,0.00000000
-5.98199100,3.81142700,0.34851530,3.33296075,0.01527218,0.14268806,0.18436350,0.00000000
-5.97598799,3.81831477,0.34293645,3.34669251,0.01522627,0.13930559,0.18324842,0.00000000
-5.96998499,3.82081660,0.33732565,3.35623833,0.01518384,0.13602416,0.18201403,0.00000000
-5.96398199,3.81933306,0.33168661,3.36196587,0.01514523,0.13285830,0.18066717,0.00000000
-5.95797899,3.81437598,0.32602422,3.36434915,0.01511095,0.12982230,0.17921733,0.00000000
-5.95197599,3.80654898,0.32034419,3.36395043,0.01508168,0.12692978,0.17767630,0.00000000
-5.94597299,3.79652608,0.31465277,3.36140019,0.01505835,0.12419335,0.17605790,0.00000000
-5.93996998,3.78502937,0.30895668,3.35737598,0.01504211,0.12162424,0.17437780,0.00000000
-5.93396698,3.77280621,0.30326305,3.35258074,0.01503440,0.11923203,0.17265328,0.00000000
-5.92796398,3.76060684,0.29757959,3.34772128,0.01503693,0.11702443,0.17090309,0.00000000
-5.92196098,3.74916289,0.29191463,3.34348759,0.01505175,0.11500713,0.16914723,0.00000000
-5.91595798,3.73916744,0.28627729,3.34053353,0.01508119,0.11318378,0.16740677,0.00000000
-5.90995498,3.73125713,0.28067761,3.33945936,0.01512791,0.11155600,0.16570359,0.00000000
-5.90395198,3.72599666,0.27512652,3.34079666,0.01519488,0.11012350,0.16406003,0.00000000
-5.89794897,3.72386630,0.26963588,3.34499601,0.01528534,0.10888430,0.16249859,0.00000000
-5.89194597,3.72525242,0.26421828,3.35241775,0.01540275,0.10783493,0.16104143,0.00000000
-5.88594297,3.73044151,0.25888685,3.36332605,0.01555078,0.10697080,0.15970992,0.00000000
-5.87993997,3.73961768,0.25365496,3.37788643,0.01573323,0.10628649,0.15852410,0.00000000
-5.87393697,3.75286384,0.24853582,3.39616690,0.01595397,0.10577615,0.15750210,0.00000000
-5.86793397,3.77016620,0.24354214,3.41814237,0.01621687,0.10543383,0.15665964,0.00000000
-5.86193097,3.79142221,0.23868570,3.44370243,0.01652574,0.10525382,0.15600943,0.00000000
-5.85592796,3.81645135,0.23397707,3.47266190,0.01688421,0.10523102,0.15556075,0.00000000
-5.84992496,3.84500833,0.22942531,3.50477379,0.01729568,0.10536117,0.15531901,0.00000000
-5.84392196,3.87679820,0.22503779,3.53974408,0.01776324,0.10564110,0.15528546,0.00000000
-5.83791896,3.91149251,0.22082018,3.57724753,0.01828955,0.10606889,0.15545701,0.00000000
-5.83191596,3.94874579,0.21677649,3.61694383,0.01887679,0.10664390,0.15582610,0.00000000
-5.82591296,3.98821161,0.21290923,3.65849323,0.01952651,0.10736682,0.15638084,0.00000000
-5.81990995,4.02955730,0.20921970,3.70157104,0.02023963,0.10823953,0.15710514,0.00000000
-5.81390695,4.07247669,0.20570828,3.74588003,0.02101624,0.10926495,0.15797903,0.00000000
-5.80790395,4.11670027,0.20237482,3.79116042,0.02185559,0.11044671,0.15897906,0.00000000
-5.80190095,4.16200220,0.19921896,3.83719683,0.02275599,0.11178890,0.16007884,0.00000000
-5.79589795,4.20820406,0.19624048,3.88382206,0.02371471,0.11329556,0.16124956,0.00000000
-5.78989495,4.25517520,0.19343948,3.93091751,0.02472791,0.11497028,0.16246067,0.00000000
-5.78389195,4.30282981,0.19081657,3.97841055,0.02579066,0.11681574,0.16368053,0.00000000
-5.77788894,4.35112108,0.18837292,4.02626896,0.02689682,0.11883319,0.16487705,0.00000000
-5.77188594,4.40003304,0.18611015,4.07449303,0.02803915,0.12102201,0.16601842,0.00000000
-5.76588294,4.44957048,0.18403022,4.12310593,0.02920928,0.12337934,0.16707374,0.00000000
-5.75987994,4.49974785,0.18213513,4.17214284,0.03039782,0.12589972,0.16801364,0.00000000
-5.75387694,4.55057776,0.18042665,4.22163968,0.03159451,0.12857486,0.16881086,0.00000000
-5.74787394,4.60205976,0.17890595,4.27162199,0.03278836,0.13139353,0.16944081,0.00000000
-5.74187094,4.65416996,0.17757330,4.32209451,0.03396788,0.13434150,0.16988198,0.00000000
-5.73586793,4.70685215,0.17642779,4.37303207,0.03512132,0.13740168,0.17011635,0.00000000
-5.72986493,4.76001047,0.17546705,4.42437189,0.03623701,0.14055428,0.17012972,0.00000000
-5.72386193,4.81350429,0.17468717,4.47600788,0.03730360,0.14377717,0.16991187,0.00000000
-5.71785893,4.86714496,0.17408264,4.52778675,0.03831047,0.14704619,0.16945674,0.00000000
-5.71185593,4.92069482,0.17364645,4.57950613,0.03924801,0.15033565,0.16876238,0.00000000
-5.70585293,4.97386815,0.17337031,4.63091473,0.04010800,0.15361876,0.16783093,0.00000000
