energy_ev,total_up,C_s_up,C_p_up,Co_p_up,Co_d_up,Pd_p_up,Pd_d_up,S_s_up,S_p_up
-2.53026513,3.73007481,0.00383366,0.02563677,0.22999465,1.78477343,0.34435859,1.77823022,0.00494258,0.14166550
-2.52426213,3.84832526,0.00412818,0.02676654,0.23391068,1.85455137,0.35412390,1.81971990,0.00535209,0.14526917
-2.51825913,3.97158765,0.00445742,0.02783719,0.23771966,1.92684078,0.36461931,1.86332095,0.00582898,0.14885368
-2.51225613,4.09825374,0.00481870,0.02884024,0.24133801,2.00054329,0.37572416,1.90856616,0.00637848,0.15235269
-2.50625313,4.22654489,0.00520880,0.02976856,0.24468728,2.07450789,0.38729941,1.95487919,0.00700524,0.15569990
-2.50025013,4.35455462,0.00562394,0.03061649,0.24769656,2.14755543,0.39919149,2.00159156,0.00771313,0.15883086
-2.49424712,4.48029830,0.00605984,0.03137991,0.25030448,2.21850532,0.41123698,2.04796430,0.00850503,0.16168473
-2.48824412,4.60176836,0.00651177,0.03205636,0.25246088,2.28620357,0.42326770,2.09321366,0.00938265,0.16420596
-2.48224112,4.71699292,0.00697458,0.03264497,0.25412796,2.34955118,0.43511608,2.13653988,0.01034632,0.16634593
-2.47623812,4.82409556,0.00744283,0.03314649,0.25528093,2.40753198,0.44662070,2.17715761,0.01139479,0.16806426
-2.47023512,4.92135397,0.00791079,0.03356318,0.25590813,2.45923872,0.45763159,2.21432698,0.01252510,0.16933007
-2.46423212,5.00725488,0.00837266,0.03389874,0.25601057,2.50389650,0.46801517,2.24738381,0.01373242,0.17012281
-2.45822911,5.08054324,0.00882257,0.03415817,0.25560108,2.54088258,0.47765859,2.27576761,0.01500998,0.17043287
-2.45222611,5.14026334,0.00925479,0.03434762,0.25470293,2.56974171,0.48647320,2.29904640,0.01634906,0.17026188
-2.44622311,5.18579033,0.00966385,0.03447421,0.25334822,2.59019638,0.49439703,2.31693687,0.01773899,0.16962263
-2.44022011,5.21685053,0.01004462,0.03454587,0.25157602,2.60215158,0.50139606,2.32931934,0.01916725,0.16853870
-2.43421711,5.23352994,0.01039252,0.03457110,0.24943036,2.60569382,0.50746436,2.33624658,0.02061969,0.16704375
-2.42821411,5.23627031,0.01070359,0.03455886,0.24695826,2.60108438,0.51262283,2.33794621,0.02208070,0.16518054
-2.42221111,5.22585307,0.01097462,0.03451825,0.24420780,2.58874723,0.51691673,2.33481653,0.02353362,0.16299969
-2.41620810,5.20337166,0.01120326,0.03445840,0.24122638,2.56925190,0.52041215,2.32741580,0.02496105,0.16055813
-2.41020510,5.17019343,0.01138803,0.03438822,0.23805923,2.54329224,0.52319137,2.31644551,0.02634531,0.15791751
-2.40420210,5.12791264,0.01152845,0.03431620,0.23474817,2.51166166,0.52534752,2.30272823,0.02766894,0.15514231
-2.39819910,5.07829652,0.01162497,0.03425021,0.23133066,2.47522612,0.52697875,2.28718085,0.02891517,0.15229802
-2.39219610,5.02322632,0.01167898,0.03419733,0.22783923,2.43489574,0.52818212,2.27078441,0.03006843,0.14944913
-2.38619310,4.96463593,0.01169279,0.03416366,0.22430110,2.39159620,0.52904767,2.25455146,0.03111489,0.14665732
-2.38019010,4.90445022,0.01166949,0.03415419,0.22073819,2.34624110,0.52965283,2.23949252,0.03204286,0.14397956
-2.37418709,4.84452550,0.01161292,0.03417264,0.21716724,2.29970607,0.53005763,2.22658256,0.03284327,0.14146652
-2.36818409,4.78659417,0.01152748,0.03422135,0.21360023,2.25280573,0.53030087,2.21672906,0.03350995,0.13916105
-2.36218109,4.73221556,0.01141803,0.03430125,0.21004486,2.20627416,0.53039749,2.21074259,0.03403992,0.13709700
-2.35617809,4.68273447,0.01128971,0.03441182,0.20650523,2.16074929,0.53033736,2.20931106,0.03443355,0.13529827
-2.35017509,4.63924863,0.01114782,0.03455109,0.20298246,2.11676188,0.53008550,2.21297837,0.03469459,0.13377822
-2.34417209,4.60258593,0.01099767,0.03471568,0.19947548,2.07472887,0.52958378,2.22212826,0.03483017,0.13253946
-2.33816908,4.57329153,0.01084442,0.03490097,0.19598171,2.03495137,0.52875402,2.23697357,0.03485057,0.13157395
-2.33216608,4.55162512,0.01069295,0.03510119,0.19249779,1.99761679,0.52750239,2.25755119,0.03476899,0.13086349
-2.32616308,4.53756739,0.01054781,0.03530960,0.18902025,1.96280489,0.52572471,2.28372251,0.03460118,0.13038058
-2.32016008,4.53083517,0.01041305,0.03551877,0.18554612,1.93049705,0.52331268,2.31517920,0.03436498,0.13008953
-2.31415708,4.53090377,0.01029222,0.03572075,0.18207347,1.90058820,0.52016038,2.35145365,0.03407981,0.12994792
-2.30815408,4.53703531,0.01018831,0.03590738,0.17860196,1.87290067,0.51617096,2.39193344,0.03376609,0.12990821
-2.30215108,4.54831129,0.01010369,0.03607051,0.17513319,1.84719912,0.51126303,2.43587912,0.03344463,0.12991951
-2.29614807,4.56366795,0.01004015,0.03620228,0.17167105,1.82320598,0.50537644,2.48244436,0.03313602,0.12992944
-2.29014507,4.58193268,0.00999886,0.03629536,0.16822196,1.80061649,0.49847722,2.53069769,0.03285997,0.12988597
-2.28414207,4.60186020,0.00998041,0.03634317,0.16479497,1.77911297,0.49056137,2.57964490,0.03263475,0.12973917
-2.27813907,4.62216716,0.00998484,0.03634000,0.16140184,1.75837755,0.48165729,2.62825156,0.03247664,0.12944286
-2.27213607,4.64156427,0.01001165,0.03628125,0.15805691,1.73810320,0.47182688,2.67546491,0.03239940,0.12895602
-2.26613307,4.65878512,0.01005984,0.03616344,0.15477694,1.71800270,0.46116509,2.72023469,0.03241389,0.12824396
-2.26013007,4.67261149,0.01012795,0.03598434,0.15158083,1.69781538,0.44979821,2.76153268,0.03252771,0.12727921
-2.25412706,4.68189481,0.01021411,0.03574293,0.14848921,1.67731183,0.43788071,2.79837067,0.03274501,0.12604210
-2.24812406,4.68557414,0.01031608,0.03543944,0.14552404,1.65629646,0.42559113,2.82981694,0.03306630,0.12452106
-2.24212106,4.68269075,0.01043130,0.03507526,0.14270807,1.63460841,0.41312699,2.85501121,0.03348854,0.12271258
-2.23611806,4.67240000,0.01055694,0.03465291,0.14006429,1.61212085,0.40069914,2.87317825,0.03400512,0.12062099
-2.23011506,4.65398081,0.01069001,0.03417591,0.13761543,1.58873920,0.38852566,2.88364015,0.03460619,0.11825795
-2.22411206,4.62684344,0.01082738,0.03364872,0.13538337,1.56439865,0.37682577,2.88582751,0.03527891,0.11564174
-2.21810905,4.59053590,0.01096591,0.03307658,0.13338868,1.53906119,0.36581384,2.87928949,0.03600786,0.11279650
-2.21210605,4.54474936,0.01110255,0.03246548,0.13165024,1.51271257,0.35569379,2.86370270,0.03677557,0.10975128
-2.20610305,4.48932284,0.01123445,0.03182196,0.13018481,1.48535961,0.34665402,2.83887883,0.03756308,0.10653917
-2.20010005,4.42424701,0.01135905,0.03115306,0.12900692,1.45702784,0.33886319,2.80477086,0.03835051,0.10319631
-2.19409705,4.34966733,0.01147427,0.03046620,0.12812864,1.42775982,0.33246666,2.76147746,0.03911776,0.09976107
-2.18809405,4.26588589,0.01157861,0.02976905,0.12755970,1.39761415,0.32758400,2.70924545,0.03984513,0.09627320
-2.18209105,4.17336208,0.01167130,0.02906950,0.12730756,1.36666525,0.32430730,2.64846977,0.04051397,0.09277316
-2.17608804,4.07271138,0.01175242,0.02837547,0.12737768,1.33500380,0.32270053,2.57969090,0.04110734,0.08930149
-2.17008504,3.96470219,0.01182306,0.02769491,0.12777394,1.30273784,0.32279973,2.50358937,0.04161050,0.08589835
-2.16408204,3.85025028,0.01188540,0.02703565,0.12849908,1.26999435,0.32461421,2.42097722,0.04201152,0.08260314
-2.15807904,3.73041077,0.01194285,0.02640537,0.12955530,1.23692124,0.32812843,2.33278660,0.04230165,0.07945424
-2.15207604,3.60636751,0.01200008,0.02581148,0.13094491,1.20368946,0.33330474,2.24005531,0.04247568,0.07648882
-2.14607304,3.47941991,0.01206313,0.02526113,0.13267100,1.17049520,0.34008672,2.14390994,0.04253221,0.07374278
-2.14007004,3.35096742,0.01213943,0.02476111,0.13473818,1.13756191,0.34840310,2.04554663,0.04247380,0.07125064
-2.13406703,3.22249187,0.01223773,0.02431788,0.13715324,1.10514198,0.35817208,1.94621026,0.04230702,0.06904557
-2.12806403,3.09553800,0.01236816,0.02393754,0.13992576,1.07351795,0.36930595,1.84717235,0.04204239,0.06715933
-2.12206103,2.97169248,0.01254204,0.02362584,0.14306867,1.04300298,0.38171580,1.74970843,0.04169422,0.06562225
-2.11605803,2.85256182,0.01277181,0.02338823,0.14659857,1.01394048,0.39531609,1.65507544,0.04128036,0.06446316
-2.11005503,2.73974934,0.01307085,0.02322989,0.15053589,0.98670274,0.41002892,1.56448952,0.04082186,0.06370919
-2.10405203,2.63483155,0.01345320,0.02315577,0.15490476,0.96168832,0.42578777,1.47910487,0.04034250,0.06338558
-2.09804902,2.53933404,0.01393331,0.02317064,0.15973261,0.93931815,0.44254042,1.39999395,0.03986829,0.06351529
-2.09204602,2.45470694,0.01452568,0.02327905,0.16504935,0.92003013,0.46025079,1.32812924,0.03942682,0.06411857
-2.08604302,2.38230009,0.01524450,0.02348539,0.17088625,0.90427226,0.47889968,1.26436687,0.03904665,0.06521237
-2.08004002,2.32333802,0.01610314,0.02379379,0.17727438,0.89249414,0.49848396,1.20943213,0.03875651,0.06680965
-2.07403702,2.27889470,0.01711371,0.02420805,0.18424272,0.88513700,0.51901442,1.16390693,0.03858457,0.06891858
-2.06803402,2.24986840,0.01828658,0.02473147,0.19181586,0.88262225,0.54051203,1.12821933,0.03855761,0.07154171
-2.06203102,2.23695692,0.01962977,0.02536661,0.20001149,0.88533886,0.56300281,1.10263504,0.03870021,0.07467497
-2.05602801,2.24063369,0.02114848,0.02611513,0.20883767,0.89362978,0.58651142,1.08725107,0.03903391,0.07830685
-2.05002501,2.26112533,0.02284460,0.02697737,0.21829005,0.90777784,0.61105380,1.08199156,0.03957645,0.08241745
-2.04402201,2.29839161,0.02471621,0.02795210,0.22834912,0.92799153,0.63662918,1.08660599,0.04034103,0.08697776
-2.03801901,2.35210876,0.02675724,0.02903615,0.23897767,0.95439133,0.66321198,1.10067006,0.04133564,0.09194902
-2.03201601,2.42165714,0.02895714,0.03022407,0.25011875,0.98699701,0.69074400,1.12358936,0.04256253,0.09728238
-2.02601301,2.50611461,0.03130079,0.03150782,0.26169397,1.02571677,0.71912761,1.15460637,0.04401782,0.10291876
-2.02001001,2.60425653,0.03376843,0.03287656,0.27360270,1.07033856,0.74822029,1.19281074,0.04569122,0.10878909
-2.01400700,2.71456356,0.03633583,0.03431645,0.28572196,1.12052449,0.77783116,1.23715345,0.04756600,0.11481493
-2.00800400,2.83523792,0.03897462,0.03581063,0.29790729,1.17580852,0.80771984,1.28646468,0.04961908,0.12090942
-2.00200100,2.96422867,0.04165277,0.03733927,0.30999461,1.23559815,0.83759799,1.33947558,0.05182146,0.12697869
-1.99599800,3.09926618,0.04433531,0.03887983,0.32180305,1.29918013,0.86713366,1.39484361,0.05413868,0.13292364
-1.98999500,3.23790530,0.04698514,0.04040734,0.33313876,1.36573048,0.89595844,1.45118121,0.05653168,0.13864198
-1.98399200,3.37757659,0.04956401,0.04189499,0.34379954,1.43432861,0.92367719,1.50708703,0.05895770,0.14403067
-1.97798899,3.51564433,0.05203360,0.04331466,0.35358027,1.50397540,0.94988019,1.56117913,0.06137142,0.14898850
-1.97198599,3.64946945,0.05435665,0.04463775,0.36227875,1.57361469,0.97415682,1.61212887,0.06372621,0.15341881
-1.96598299,3.77647554,0.05649816,0.04583592,0.36970190,1.64215764,0.99611055,1.65869457,0.06597545,0.15723218
-1.95997999,3.89421539,0.05842644,0.04688201,0.37567201,1.70850919,1.01537411,1.69975358,0.06807392,0.16034907
-1.95397699,4.00043558,0.06011420,0.04775093,0.38003266,1.77159565,1.03162423,1.73433143,0.06997912,0.16270220
-1.94797399,4.09313661,0.06153940,0.04842045,0.38265427,1.83039260,1.04459517,1.76162699,0.07165256,0.16423864
-1.94197099,4.17062608,0.06268597,0.04887208,0.38343876,1.88395204,1.05409008,1.78103223,0.07306088,0.16492145
-1.93596798,4.23156266,0.06354428,0.04909170,0.38232332,1.93142779,1.05998974,1.79214598,0.07417685,0.16473085
-1.92996498,4.27498921,0.06411135,0.04907011,0.37928297,1.97209834,1.06225800,1.79478072,0.07498010,0.16366485
-1.92396198,4.30035350,0.06439083,0.04880346,0.37433190,2.00538629,1.06094369,1.78896226,0.07545758,0.16173923
-1.91795898,4.30751598,0.06439265,0.04829342,0.36752341,2.03087370,1.05617879,1.77492212,0.07560387,0.15898701
-1.91195598,4.29674428,0.06413250,0.04754725,0.35894852,2.04831284,1.04817304,1.75308302,0.07542104,0.15545732
-1.90595298,4.26869498,0.06363098,0.04657756,0.34873337,2.05763220,1.03720518,1.72403819,0.07491840,0.15121375
-1.89994997,4.22438368,0.06291268,0.04540205,0.33703541,2.05893741,1.02361137,1.68852536,0.07411189,0.14633231
-1.89394697,4.16514493,0.06200500,0.04404294,0.32403864,2.05250725,1.00777144,1.64739668,0.07302331,0.14089900
-1.88794397,4.09258387,0.06093702,0.04252634,0.30994814,2.03878504,0.99009374,1.60158608,0.07167938,0.13500712
-1.88194097,4.00852190,0.05973826,0.04088151,0.29498404,2.01836571,0.97099939,1.55207543,0.07011063,0.12875455
-1.87593797,3.91493881,0.05843757,0.03913999,0.27937530,1.99197910,0.95090681,1.49986105,0.06835025,0.12224095
-1.86993497,3.81391350,0.05706201,0.03733478,0.26335346,1.96047005,0.93021726,1.44592203,0.06643295,0.11556506
-1.86393197,3.70756588,0.05563604,0.03549939,0.24714670,1.92477608,0.90930222,1.39119159,0.06439377,0.10882225
-1.85792896,3.59800161,0.05418079,0.03366705,0.23097436,1.88590311,0.88849297,1.33653249,0.06226708,0.10210235
-1.85192596,3.48726162,0.05271357,0.03186987,0.21504206,1.84490013,0.86807295,1.28271734,0.06008562,0.09548777
-1.84592296,3.37727751,0.05124768,0.03013813,0.19953771,1.80283333,0.84827301,1.23041417,0.05787975,0.08905211
-1.83991996,3.26983375,0.04979238,0.02849966,0.18462831,1.76076043,0.82926954,1.18017747,0.05567680,0.08285914
-1.83391696,3.16653709,0.04835313,0.02697930,0.17045773,1.71970564,0.81118537,1.13244447,0.05350070,0.07696221
-1.82791396,3.06879327,0.04693197,0.02559853,0.15714536,1.68063588,0.79409305,1.08753635,0.05137168,0.07140404
-1.82191096,2.97779063,0.04552809,0.02437518,0.14478564,1.64443880,0.77802017,1.04566364,0.04930622,0.06621693
-1.81590795,2.89449035,0.04413850,0.02332329,0.13344835,1.61190280,0.76295600,1.00693504,0.04731712,0.06142325
-1.80990495,2.81962234,0.04275871,0.02245302,0.12317962,1.58369964,0.74885914,0.97136887,0.04541365,0.05703618
