energy_ev,total_up,Hf_p_up,Hf_d_up,Mg_p_up,Mg_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up
-6.00000000,2.04349058,0.88439166,0.45772902,1.16298781,0.00000000,0.00077810,0.28592480,1.16082287,0.00000000
-5.99399700,1.97839059,0.82601498,0.44409011,1.15196237,0.00000000,0.00070552,0.27097852,1.13155388,0.00000000
-5.98799400,1.91241035,0.77031048,0.43021000,1.13846957,0.00000000,0.00063823,0.25672154,1.10071865,0.00000000
-5.98199100,1.84546974,0.71744782,0.41606545,1.12221359,0.00000000,0.00057631,0.24316343,1.06824753,0.00000000
-5.97598799,1.77751491,0.66755988,0.40163558,1.10295549,0.00000000,0.00051982,0.23030528,1.03410174,0.00000000
-5.96998499,1.70853420,0.62075111,0.38690627,1.08052522,0.00000000,0.00046882,0.21814388,0.99827981,0.00000000
-5.96398199,1.63857200,0.57710612,0.37187409,1.05483151,0.00000000,0.00042343,0.20667581,0.96082272,0.00000000
-5.95797899,1.56773998,0.53669795,0.35654969,1.02586893,0.00000000,0.00038376,0.19590117,0.92181739,0.00000000
-5.95197599,1.49622525,0.49959567,0.34096046,0.99372215,0.00000000,0.00034998,0.18582687,0.88139858,0.00000000
-5.94597299,1.42429490,0.46587109,0.32515219,0.95856695,0.00000000,0.00032232,0.17646920,0.83974891,0.00000000
-5.93996998,1.35229697,0.43560416,0.30918994,0.92066804,0.00000000,0.00030106,0.16785568,0.79709705,0.00000000
-5.93396698,1.28065740,0.40888687,0.29315772,0.88037378,0.00000000,0.00028654,0.16002609,0.75371416,0.00000000
-5.92796398,1.20987342,0.38582542,0.27715733,0.83810800,0.00000000,0.00027919,0.15303261,0.70990865,0.00000000
-5.92196098,1.14050333,0.36654061,0.26130615,0.79435917,0.00000000,0.00027949,0.14693899,0.66601936,0.00000000
-5.91595798,1.07315319,0.35116625,0.24573419,0.74966756,0.00000000,0.00028802,0.14181899,0.62240772,0.00000000
-5.90995498,1.00846098,0.33984581,0.23058046,0.70461066,0.00000000,0.00030540,0.13775396,0.57944875,0.00000000
-5.90395198,0.94707877,0.33272714,0.21598876,0.65978767,0.00000000,0.00033232,0.13482972,0.53752171,0.00000000
-5.89794897,0.88965362,0.32995570,0.20210323,0.61580349,0.00000000,0.00036953,0.13313292,0.49700037,0.00000000
-5.89194597,0.83680806,0.33166633,0.18906379,0.57325290,0.00000000,0.00041778,0.13274692,0.45824362,0.00000000
-5.88594297,0.78912069,0.33797398,0.17700160,0.53270548,0.00000000,0.00047785,0.13374749,0.42158644,0.00000000
-5.87993997,0.74710786,0.34896374,0.16603484,0.49469166,0.00000000,0.00055049,0.13619841,0.38733189,0.00000000
-5.87393697,0.71120692,0.36468060,0.15626493,0.45969051,0.00000000,0.00063636,0.14014715,0.35574406,0.00000000
-5.86793397,0.68176171,0.38511943,0.14777331,0.42811935,0.00000000,0.00073604,0.14562086,0.32704244,0.00000000
-5.86193097,0.65901085,0.41021569,0.14061891,0.40032556,0.00000000,0.00084998,0.15262294,0.30139775,0.00000000
-5.85592796,0.64307914,0.43983734,0.13483645,0.37658075,0.00000000,0.00097842,0.16113014,0.27892933,0.00000000
-5.84992496,0.63397242,0.47377859,0.13043550,0.35707722,0.00000000,0.00112136,0.17109054,0.25970411,0.00000000
-5.84392196,0.63157619,0.51175586,0.12740045,0.34192671,0.00000000,0.00127854,0.18242256,0.24373716,0.00000000
-5.83791896,0.63565797,0.55340646,0.12569132,0.33116146,0.00000000,0.00144936,0.19501496,0.23099370,0.00000000
-5.83191596,0.64587344,0.59829042,0.12524539,0.32473739,0.00000000,0.00163290,0.20872810,0.22139254,0.00000000
-5.82591296,0.66177639,0.64589567,0.12597959,0.32253924,0.00000000,0.00182785,0.22339636,0.21481069,0.00000000
-5.81990995,0.68283218,0.69564681,0.12779367,0.32438752,0.00000000,0.00203251,0.23883188,0.21108913,0.00000000
-5.81390695,0.70843457,0.74691748,0.13057389,0.33004715,0.00000000,0.00224483,0.25482942,0.21003952,0.00000000
-5.80790395,0.73792543,0.79904625,0.13419732,0.33923758,0.00000000,0.00246238,0.27117240,0.21145164,0.00000000
-5.80190095,0.77061711,0.85135568,0.13853654,0.35164409,0.00000000,0.00268244,0.28763995,0.21510148,0.00000000
-5.79589795,0.80581675,0.90317422,0.14346466,0.36693033,0.00000000,0.00290199,0.30401468,0.22075976,0.00000000
-5.78989495,0.84285204,0.95386025,0.14886045,0.38475153,0.00000000,0.00311786,0.32009113,0.22820067,0.00000000
-5.78389195,0.88109765,1.00282750,0.15461355,0.40476839,0.00000000,0.00332675,0.33568452,0.23721070,0.00000000
