energy_ev,total_up,C_s_up,C_p_up,Te_p_up,Te_d_up,Zn_p_up,Zn_d_up
-6.00000000,1.64544019,0.04849369,0.09042489,0.35179392,0.00000000,0.55978089,0.66276434
-5.99399700,1.57521460,0.04649138,0.08713964,0.34280693,0.00000000,0.54387449,0.62798101
-5.98799400,1.50186563,0.04448072,0.08348345,0.33242406,0.00000000,0.52576876,0.59286600
-5.98199100,1.42628778,0.04250037,0.07950963,0.32075331,0.00000000,0.50572552,0.55785067
-5.97598799,1.34938548,0.04058736,0.07527560,0.30792781,0.00000000,0.48403892,0.52334320
-5.96998499,1.27205624,0.03877646,0.07084148,0.29410270,0.00000000,0.46102812,0.48972208
-5.96398199,1.19517428,0.03709956,0.06626850,0.27945135,0.00000000,0.43702920,0.45733083
-5.95797899,1.11957488,0.03558512,0.06161756,0.26416089,0.00000000,0.41238663,0.42647365
-5.95197599,1.04603977,0.03425765,0.05694783,0.24842745,0.00000000,0.38744464,0.39741224
-5.94597299,0.97528396,0.03313730,0.05231553,0.23245107,0.00000000,0.36253869,0.37036347
-5.93996998,0.90794420,0.03223945,0.04777279,0.21643080,0.00000000,0.33798757,0.34549795
-5.93396698,0.84456950,0.03157439,0.04336686,0.20055986,0.00000000,0.31408618,0.32293946
-5.92796398,0.78561381,0.03114713,0.03913939,0.18502141,0.00000000,0.29109939,0.30276510
-5.92196098,0.73143124,0.03095718,0.03512608,0.16998473,0.00000000,0.26925709,0.28500623
-5.91595798,0.68227381,0.03099863,0.03135646,0.15560220,0.00000000,0.24875065,0.26965018
-5.90995498,0.63829201,0.03126014,0.02785393,0.14200705,0.00000000,0.22973075,0.25664263
-5.90395198,0.59953794,0.03172527,0.02463598,0.12931188,0.00000000,0.21230669,0.24589078
-5.89794897,0.56597112,0.03237281,0.02171458,0.11760808,0.00000000,0.19654710,0.23726721
-5.89194597,0.53746659,0.03317735,0.01909666,0.10696588,0.00000000,0.18248191,0.23061448
-5.88594297,0.51382527,0.03410997,0.01678474,0.09743522,0.00000000,0.17010544,0.22575020
-5.87993997,0.49478577,0.03513903,0.01477757,0.08904704,0.00000000,0.15938046,0.22247285
-5.87393697,0.48003764,0.03623118,0.01307076,0.08181508,0.00000000,0.15024292,0.22056780
-5.86793397,0.46923516,0.03735234,0.01165741,0.07573794,0.00000000,0.14260709,0.21981368
-5.86193097,0.46201122,0.03846884,0.01052874,0.07080124,0.00000000,0.13637099,0.21998882
-5.85592796,0.45799083,0.03954848,0.00967451,0.06697974,0.00000000,0.13142167,0.22087741
-5.84992496,0.45680340,0.04056165,0.00908347,0.06423937,0.00000000,0.12764027,0.22227546
-5.84392196,0.45809356,0.04148228,0.00874363,0.06253895,0.00000000,0.12490660,0.22399595
