energy_ev,total_up,Al_p_up,Al_d_up,Rh_p_up,Rh_d_up,S_s_up,S_p_up
-6.00000000,1.74231987,0.03659705,0.00000000,0.66433633,0.58432077,0.00253114,0.87343527
-5.99399700,1.72377803,0.03632880,0.00000000,0.65337161,0.58041667,0.00249972,0.86319847
-5.98799400,1.69939493,0.03593490,0.00000000,0.64022503,0.57474002,0.00246863,0.84991109
-5.98199100,1.66941575,0.03541834,0.00000000,0.62499727,0.56739935,0.00243910,0.83369658
-5.97598799,1.63418451,0.03478453,0.00000000,0.60782533,0.55853286,0.00241238,0.81472750
-5.96998499,1.59413794,0.03404133,0.00000000,0.58888118,0.54830469,0.00238963,0.79322253
-5.96398199,1.54979604,0.03319894,0.00000000,0.56836922,0.53690011,0.00237197,0.76944186
-5.95797899,1.50174963,0.03226970,0.00000000,0.54652257,0.52451996,0.00236036,0.74368102
-5.95197599,1.45064523,0.03126789,0.00000000,0.52359818,0.51137446,0.00235564,0.71626340
-5.94597299,1.39716806,0.03020939,0.00000000,0.49987117,0.49767672,0.00235843,0.68753187
-5.93996998,1.34202382,0.02911126,0.00000000,0.47562835,0.48363635,0.00236914,0.65783975
-5.93396698,1.28592005,0.02799137,0.00000000,0.45116146,0.46945325,0.00238797,0.62754166
-5.92796398,1.22954794,0.02686788,0.00000000,0.42676017,0.45531222,0.00241484,0.59698454
-5.92196098,1.17356537,0.02575878,0.00000000,0.40270533,0.44137835,0.00244945,0.56649934
-5.91595798,1.11858196,0.02468142,0.00000000,0.37926259,0.42779361,0.00249124,0.53639372
-5.90995498,1.06514661,0.02365202,0.00000000,0.35667672,0.41467471,0.00253944,0.50694594
-5.90395198,1.01373823,0.02268525,0.00000000,0.33516690,0.40211240,0.00259309,0.47840044
-5.89794897,0.96475978,0.02179391,0.00000000,0.31492304,0.39017210,0.00265104,0.45096493
-5.89194597,0.91853584,0.02098861,0.00000000,0.29610333,0.37889595,0.00271205,0.42480927
