energy_ev,total_up,N_s_up,N_p_up,Te_p_up,Te_d_up,W_p_up,W_d_up,Zn_p_up,Zn_d_up
-6.00000000,0.82091093,0.02176775,0.09460077,0.38829895,0.00000000,0.30009833,0.17816085,0.31454907,0.02271022
-5.99399700,0.87308338,0.02246804,0.09914949,0.41093394,0.00000000,0.31469614,0.19247237,0.33663464,0.02422499
-5.98799400,0.92813954,0.02305204,0.10380134,0.43437721,0.00000000,0.32894094,0.20833202,0.35983400,0.02584453
-5.98199100,0.98542747,0.02350536,0.10848616,0.45831667,0.00000000,0.34263448,0.22560673,0.38384766,0.02754670
-5.97598799,1.04425003,0.02381639,0.11313668,0.48242846,0.00000000,0.35559265,0.24413667,0.40835005,0.02930712
-5.96998499,1.10387173,0.02397673,0.11768935,0.50638108,0.00000000,0.36764870,0.26373535,0.43299312,0.03109951
-5.96398199,1.16352597,0.02398141,0.12208489,0.52983959,0.00000000,0.37865568,0.28419025,0.45741076,0.03289596
-5.95797899,1.22242321,0.02382911,0.12626860,0.55246984,0.00000000,0.38848797,0.30526417,0.48122408,0.03466736
-5.95197599,1.27975995,0.02352211,0.13019049,0.57394270,0.00000000,0.39704194,0.32669746,0.50404757,0.03638386
-5.94597299,1.33472900,0.02306623,0.13380521,0.59393847,0.00000000,0.40423588,0.34821113,0.52549612,0.03801546
-5.93996998,1.38653087,0.02247061,0.13707182,0.61215136,0.00000000,0.41000923,0.36951098,0.54519264,0.03953255
-5.93396698,1.43438652,0.02174729,0.13995358,0.62829424,0.00000000,0.41432131,0.39029274,0.56277633,0.04090658
-5.92796398,1.47755132,0.02091085,0.14241764,0.64210334,0.00000000,0.41714972,0.41024811,0.57791122,0.04211072
-5.92196098,1.51532987,0.01997790,0.14443493,0.65334320,0.00000000,0.41848859,0.42907168,0.59029473,0.04312056
-5.91595798,1.54709164,0.01896648,0.14597996,0.66181149,0.00000000,0.41834682,0.44646845,0.59966598,0.04391474
-5.90995498,1.57228671,0.01789556,0.14703089,0.66734367,0.00000000,0.41674647,0.46216175,0.60581349,0.04447561
-5.90395198,1.59046107,0.01678442,0.14756973,0.66981740,0.00000000,0.41372149,0.47590136,0.60858185,0.04478970
-5.89794897,1.60127108,0.01565215,0.14758261,0.66915638,0.00000000,0.40931669,0.48747132,0.60787716,0.04484827
-5.89194597,1.60449605,0.01451720,0.14706025,0.66533346,0.00000000,0.40358718,0.49669731,0.60367080,0.04464752
-5.88594297,1.60004849,0.01339687,0.14599856,0.65837282,0.00000000,0.39659807,0.50345309,0.59600145,0.04418886
-5.87993997,1.58798138,0.01230708,0.14439920,0.64835108,0.00000000,0.38842456,0.50766575,0.58497501,0.04347891
-5.87393697,1.56849173,0.01126201,0.14227021,0.63539713,0.00000000,0.37915212,0.50931943,0.57076254,0.04252935
-5.86793397,1.54192020,0.01027400,0.13962659,0.61969053,0.00000000,0.36887679,0.50845735,0.55359615,0.04135665
