energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Hf_p_up,Hf_d_up,Se_s_up,Se_p_up
-6.00000000,1.96567352,0.00160395,0.02676469,0.53944085,1.52778511,0.08878633,0.10466830,0.00098290,0.51133632
-5.99399700,1.99235284,0.00148129,0.02741122,0.55377618,1.56753517,0.08676748,0.10305096,0.00089540,0.49914824
-5.98799400,2.02170082,0.00135972,0.02815207,0.56856975,1.60914516,0.08479985,0.10172206,0.00081305,0.48762428
-5.98199100,2.05335274,0.00124118,0.02897374,0.58361446,1.65210111,0.08292045,0.10068837,0.00073709,0.47689791
-5.97598799,2.08682947,0.00112749,0.02986047,0.59868545,1.69582068,0.08116046,0.09994519,0.00066869,0.46705348
-5.96998499,2.12157007,0.00102031,0.03079523,0.61355481,1.73968322,0.07954540,0.09947776,0.00060899,0.45812773
-5.96398199,2.15696946,0.00092114,0.03176079,0.62800754,1.78306304,0.07809563,0.09926322,0.00055914,0.45011321
-5.95797899,2.19241932,0.00083133,0.03274098,0.64185835,1.82536413,0.07682707,0.09927285,0.00052027,0.44296315
-5.95197599,2.22735026,0.00075207,0.03372183,0.65496804,1.86605489,0.07575222,0.09947470,0.00049362,0.43659770
-5.94597299,2.26127324,0.00068440,0.03469285,0.66725899,1.90470104,0.07488129,0.09983625,0.00048047,0.43091102
-5.93996998,2.29381798,0.00062929,0.03564816,0.67872861,1.94099519,0.07422352,0.10032716,0.00048228,0.42577889
-5.93396698,2.32476658,0.00058759,0.03658749,0.68946006,1.97478149,0.07378841,0.10092193,0.00050064,0.42106654
-5.92796398,2.35408039,0.00056009,0.03751705,0.69962951,2.00607400,0.07358702,0.10160229,0.00053733,0.41663626
-5.92196098,2.38191877,0.00054752,0.03845017,0.70950936,2.03506778,0.07363303,0.10235935,0.00059434,0.41235459
-5.91595798,2.40864854,0.00055061,0.03940759,0.71946696,2.06214188,0.07394377,0.10319520,0.00067389,0.40809869
-5.90995498,2.43484338,0.00057003,0.04041757,0.72995871,2.08785378,0.07454081,0.10412410,0.00077840,0.40376176
-5.90395198,2.46127288,0.00060648,0.04151560,0.74151945,2.11292537,0.07545048,0.10517302,0.00091050,0.39925736
-5.89794897,2.48888141,0.00066058,0.04274371,0.75474735,2.13822059,0.07670388,0.10638155,0.00107297,0.39452247
-5.89194597,2.51875748,0.00073296,0.04414956,0.77028474,2.16471569,0.07833663,0.10780120,0.00126872,0.38951931
-5.88594297,2.55209442,0.00082417,0.04578510,0.78879548,2.19346285,0.08038825,0.10949403,0.00150072,0.38423587
-5.87993997,2.59014408,0.00093466,0.04770491,0.81093962,2.22554875,0.08290114,0.11153061,0.00177188,0.37868526
-5.87393697,2.63416501,0.00106477,0.04996434,0.83734634,2.26204955,0.08591929,0.11398752,0.00208500,0.37290402
-5.86793397,2.68536733,0.00121464,0.05261734,0.86858613,2.30398403,0.08948656,0.11694427,0.00244262,0.36694938
-5.86193097,2.74485638,0.00138422,0.05571420,0.90514337,2.35226683,0.09364482,0.12047990,0.00284690,0.36089586
-5.85592796,2.81357746,0.00157317,0.05929916,0.94739037,2.40766373,0.09843181,0.12466924,0.00329948,0.35483117
-5.84992496,2.89226401,0.00178084,0.06340808,0.99556409,2.47075081,0.10387890,0.12957910,0.00380136,0.34885184
-5.84392196,2.98139146,0.00200625,0.06806614,1.04974647,2.54187925,0.11000882,0.13526450,0.00435274,0.34305860
-5.83791896,3.08113874,0.00224801,0.07328577,1.10984935,2.62114757,0.11683339,0.14176497,0.00495290,0.33755176
