energy_ev,total_up,Cu_p_up,Cu_d_up,P_s_up,P_p_up,Te_p_up,Te_d_up
-6.00000000,3.51654104,2.00793769,1.10567902,0.03010405,0.96842931,0.81448956,0.00000000
-5.99399700,3.69870836,2.11287804,1.16900772,0.03188961,1.02337062,0.84692395,0.00000000
-5.98799400,3.87486993,2.21423892,1.23073530,0.03366122,1.07701316,0.87736322,0.00000000
-5.98199100,4.04147468,2.31003551,1.28969250,0.03537556,1.12834713,0.90505679,0.00000000
-5.97598799,4.19516704,2.39837910,1.34476089,0.03699026,1.17639932,0.92932771,0.00000000
-5.96998499,4.33287314,2.47753340,1.39490080,0.03846493,1.22025887,0.94959054,0.00000000
-5.96398199,4.45187950,2.54596612,1.43917738,0.03976220,1.25910153,0.96536618,0.00000000
-5.95797899,4.54990089,2.60239350,1.47678390,0.04084870,1.29221157,0.97629295,0.00000000
-5.95197599,4.62513487,2.64581602,1.50706124,0.04169590,1.31900015,0.98213373,0.00000000
-5.94597299,4.67630056,2.67554347,1.52951293,0.04228096,1.33901968,0.98277872,0.00000000
-5.93996998,4.70266029,2.69120852,1.54381492,0.04258726,1.35197336,0.97824380,0.00000000
-5.93396698,4.70402316,2.69276822,1.54981980,0.04260484,1.35771959,0.96866465,0.00000000
-5.92796398,4.68073075,2.68049347,1.54755531,0.04233060,1.35627115,0.95428691,0.00000000
-5.92196098,4.63362561,2.65494714,1.53721724,0.04176832,1.34778912,0.93545295,0.00000000
-5.91595798,4.56400445,2.61695222,1.51915721,0.04092839,1.33257210,0.91258584,0.00000000
-5.90995498,4.47355822,2.56755151,1.49386577,0.03982742,1.31104109,0.88617135,0.00000000
-5.90395198,4.36430221,2.50796128,1.46195202,0.03848759,1.28372105,0.85673875,0.00000000
-5.89794897,4.23849954,2.43952104,1.42412041,0.03693590,1.25121991,0.82484145,0.00000000
-5.89194597,4.09858151,2.36364214,1.38114619,0.03520326,1.21420617,0.79103809,0.00000000
-5.88594297,3.94706874,2.28175759,1.33385045,0.03332357,1.17338615,0.75587512,0.00000000
-5.87993997,3.78649621,2.19527547,1.28307600,0.03133267,1.12948192,0.71987131,0.00000000
-5.87393697,3.61934554,2.10553789,1.22966517,0.02926739,1.08321090,0.68350499,0.00000000
-5.86793397,3.44798696,2.01378725,1.17444036,0.02716461,1.03526797,0.64720412,0.00000000
-5.86193097,3.27463280,1.92114067,1.11818811,0.02506046,0.98631065,0.61133963,0.00000000
