energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Te_p_up,Te_d_up,V_p_up,V_d_up
-6.00000000,8.19023069,1.52501927,6.57997048,0.02127750,0.17036701,1.03293026,0.00000000,0.52160941,0.31802081
-5.99399700,7.96179993,1.44260901,6.42160176,0.02009246,0.15917934,0.99442851,0.00000000,0.49263508,0.30813025
-5.98799400,7.73997701,1.36462041,6.26538840,0.01902735,0.14861172,0.95830349,0.00000000,0.46534361,0.29916062
-5.98199100,7.52569431,1.29133080,6.11210200,0.01808209,0.13870897,0.92462931,0.00000000,0.43985586,0.29108626
-5.97598799,7.31988118,1.22295886,5.96254155,0.01725575,0.12950562,0.89346762,0.00000000,0.41627701,0.28388432
-5.96998499,7.12346803,1.15966804,5.81753293,0.01654679,0.12102617,0.86487014,0.00000000,0.39469607,0.27753701
-5.96398199,6.93738956,1.10157073,5.67792774,0.01595314,0.11328549,0.83888089,0.00000000,0.37518570,0.27203340
-5.95797899,6.76258654,1.04873315,5.54460122,0.01547243,0.10628947,0.81553807,0.00000000,0.35780213,0.26737059
-5.95197599,6.60000577,1.00118037,5.41844911,0.01510203,0.10003580,0.79487546,0.00000000,0.34258522,0.26355429
-5.94597299,6.45059779,0.95890148,5.30038318,0.01483920,0.09451487,0.77692322,0.00000000,0.32955864,0.26059877
-5.93996998,6.31531183,0.92185444,5.19132513,0.01468109,0.08971070,0.76170805,0.00000000,0.31873004,0.25852615
-5.93396698,6.19508785,0.88997045,5.09219869,0.01462479,0.08560197,0.74925274,0.00000000,0.31009130,0.25736513
-5.92796398,6.09084531,0.86315771,5.00391960,0.01466734,0.08216288,0.73957487,0.00000000,0.30361865,0.25714920
-5.92196098,6.00346879,0.84130437,4.92738349,0.01480566,0.07936410,0.73268514,0.00000000,0.29927285,0.25791441
-5.91595798,5.93379049,0.82428073,4.86345160,0.01503656,0.07717352,0.72858495,0.00000000,0.29699926,0.25969675
-5.90995498,5.88256998,0.81194050,4.81293444,0.01535663,0.07555695,0.72726376,0.00000000,0.29672799,0.26252951
-5.90395198,5.85047179,0.80412147,4.77657362,0.01576221,0.07447864,0.72869616,0.00000000,0.29837405,0.26644034
-5.89794897,5.83804149,0.80064549,4.75502240,0.01624929,0.07390173,0.73283894,0.00000000,0.30183760,0.27144861
-5.89194597,5.84568104,0.80131794,4.74882521,0.01681346,0.07378853,0.73962837,0.00000000,0.30700437,0.27756286
-5.88594297,5.87362443,0.80592701,4.75839699,0.01744984,0.07410072,0.74897778,0.00000000,0.31374629,0.28477860
-5.87993997,5.92191465,0.81424288,4.78400286,0.01815306,0.07479946,0.76077579,0.00000000,0.32192237,0.29307655
-5.87393697,5.99038276,0.82601697,4.82573909,0.01891719,0.07584546,0.77488514,0.00000000,0.33137990,0.30242149
-5.86793397,6.07863034,0.84098153,4.88351580,0.01973579,0.07719900,0.79114238,0.00000000,0.34195592,0.31276155
-5.86193097,6.18601589,0.85884970,4.95704254,0.02060186,0.07881996,0.80935844,0.00000000,0.35347908,0.32402826
-5.85592796,6.31164605,0.87931603,5.04581701,0.02150793,0.08066787,0.82932000,0.00000000,0.36577168,0.33613708
-5.84992496,6.45437221,0.90205776,5.14911791,0.02244609,0.08270204,0.85079179,0.00000000,0.37865201,0.34898867
-5.84392196,6.61279279,0.92673666,5.26600203,0.02340807,0.08488172,0.87351956,0.00000000,0.39193680,0.36247055
-5.83791896,6.78526142,0.95300163,5.39530626,0.02438534,0.08716634,0.89723372,0.00000000,0.40544380,0.37645929
-5.83191596,6.96990099,0.98049189,5.53565451,0.02536922,0.08951592,0.92165347,0.00000000,0.41899429,0.39082306
-5.82591296,7.16462334,1.00884066,5.68546960,0.02635100,0.09189142,0.94649120,0.00000000,0.43241556,0.40542437
-5.81990995,7.36715421,1.03767940,5.84299015,0.02732207,0.09425526,0.97145703,0.00000000,0.44554312,0.42012300
-5.81390695,7.57506291,1.06664231,6.00629209,0.02827405,0.09657186,0.99626339,0.00000000,0.45822274,0.43477887
-5.80790395,7.78579617,1.09537108,6.17331453,0.02919891,0.09880821,1.02062933,0.00000000,0.47031219,0.44925490
-5.80190095,7.99671531,1.12351972,6.34188944,0.03008908,0.10093447,1.04428458,0.00000000,0.48168257,0.46341956
-5.79589795,8.20513608,1.15075928,6.50977459,0.03093760,0.10292445,1.06697323,0.00000000,0.49221943,0.47714921
-5.78989495,8.40837040,1.17678255,6.67468925,0.03173818,0.10475616,1.08845683,0.00000000,0.50182347,0.49032998
-5.78389195,8.60376904,1.20130826,6.83435168,0.03248529,0.10641222,1.10851716,0.00000000,0.51041103,0.50285936
-5.77788894,8.78876467,1.22408507,6.98651801,0.03317423,0.10788012,1.12695834,0.00000000,0.51791427,0.51464725
-5.77188594,8.96091431,1.24489491,7.12902155,0.03380118,0.10915241,1.14360848,0.00000000,0.52428119,0.52561660
-5.76588294,9.11794046,1.26355574,7.25981172,0.03436321,0.11022676,1.15832092,0.00000000,0.52947551,0.53570366
-5.75987994,9.25777021,1.27992364,7.37699203,0.03485829,0.11110582,1.17097495,0.00000000,0.53347642,0.54485777
-5.75387694,9.37857143,1.29389411,7.47885602,0.03528529,0.11179695,1.18147622,0.00000000,0.53627826,0.55304086
-5.74787394,9.47878549,1.30540249,7.56392059,0.03564396,0.11231177,1.18975672,0.00000000,0.53789011,0.56022665
-5.74187094,9.55715560,1.31442352,7.63095583,0.03593484,0.11266570,1.19577455,0.00000000,0.53833541,0.56639967
-5.73586793,9.61275022,1.32097002,7.67901058,0.03615930,0.11287717,1.19951335,0.00000000,0.53765139,0.57155405
