energy_ev,total_up,C_s_up,C_p_up,Ni_p_up,Ni_d_up,Os_p_up,Os_d_up,S_s_up,S_p_up
-6.00000000,6.57688516,0.01908923,0.94548311,0.66941777,0.27165034,2.63885487,1.44497435,0.11155182,2.41385239
-5.99399700,6.74232405,0.01920125,0.96300214,0.68878319,0.27830460,2.73764369,1.47436270,0.11417347,2.47838764
-5.98799400,6.89686622,0.01927965,0.97805647,0.70807369,0.28431897,2.83124938,1.50101349,0.11674951,2.54014042
-5.98199100,7.04035186,0.01933218,0.99067786,0.72717269,0.28967333,2.91885260,1.52501566,0.11933747,2.59903625
-5.97598799,7.17271399,0.01936767,1.00092544,0.74592894,0.29435766,2.99966235,1.54648655,0.12199861,2.65500761
-5.96998499,7.29395891,0.01939584,1.00888163,0.76415781,0.29837174,3.07292987,1.56556424,0.12479533,2.70798780
-5.96398199,7.40414974,0.01942706,1.01464792,0.78164539,0.30172476,3.13796392,1.58240017,0.12778848,2.75790713
-5.95797899,7.50339339,0.01947210,1.01834060,0.79815518,0.30443484,3.19414716,1.59715229,0.13103464,2.80469163
-5.95197599,7.59183115,0.01954178,1.02008666,0.81343706,0.30652828,3.24095259,1.60997902,0.13458329,2.84826391
-5.94597299,7.66963249,0.01964673,1.02001977,0.82723805,0.30803889,3.27795926,1.62103406,0.13847425,2.88854587
-5.93996998,7.73699174,0.01979697,1.01827661,0.83931428,0.30900699,3.30486640,1.63046230,0.14273535,2.92546286
-5.93396698,7.79412685,0.02000165,1.01499342,0.84944327,0.30947848,3.32150496,1.63839678,0.14738050,2.95894866
-5.92796398,7.84127948,0.02026866,1.01030282,0.85743601,0.30950367,3.32784581,1.64495666,0.15240818,2.98895072
-5.92196098,7.87871566,0.02060438,1.00433111,0.86314790,0.30913610,3.32400388,1.65024624,0.15780054,3.01543501
-5.91595798,7.90672625,0.02101335,0.99719580,0.86648796,0.30843129,3.31023780,1.65435485,0.16352314,3.03839004
-5.90995498,7.92562648,0.02149809,0.98900357,0.86742572,0.30744543,3.28694479,1.65735748,0.16952522,3.05782966
-5.90395198,7.93575430,0.02205890,0.97984868,0.86599524,0.30623411,3.25465084,1.65931608,0.17574074,3.07379416
