energy_ev,total_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up
-6.00000000,5.64080669,0.31115912,0.09645702,0.04822796,0.98277437,0.11402865,2.67740021,2.18437055,1.48355189
-5.99399700,5.62756929,0.31579183,0.09875341,0.05034784,0.97013653,0.11682617,2.68549287,2.17524327,1.46832589
-5.98799400,5.59876197,0.31917533,0.10105636,0.05242747,0.95519151,0.11932168,2.68549804,2.15993014,1.44790600
-5.98199100,5.55396856,0.32119423,0.10333140,0.05442384,0.93784765,0.12146383,2.67722085,2.13840830,1.42241623
-5.97598799,5.49309316,0.32176500,0.10554875,0.05629470,0.91806457,0.12320692,2.66063002,2.11076830,1.39206715
-5.96998499,5.41637486,0.32083931,0.10768422,0.05799998,0.89585812,0.12451249,2.63586344,2.07721663,1.35715385
-5.96398199,5.32439277,0.31840619,0.10971973,0.05950307,0.87130368,0.12535081,2.60322899,2.03807524,1.31805164
-5.95797899,5.21806114,0.31449311,0.11164370,0.06077212,0.84453747,0.12570209,2.56320060,1.99377800,1.27520959
-5.95197599,5.09861454,0.30916568,0.11345110,0.06178118,0.81575582,0.12555742,2.51640971,1.94486403,1.22914194
-5.94597299,4.96758356,0.30252619,0.11514317,0.06251110,0.78521221,0.12491947,2.46363236,1.89196812,1.18041782
-5.93996998,4.82676174,0.29471092,0.11672706,0.06295028,0.75321235,0.12380264,2.40577243,1.83580832,1.12964943
-5.93396698,4.67816499,0.28588634,0.11821513,0.06309518,0.72010725,0.12223305,2.34384152,1.77717128,1.07747913
-5.92796398,4.52398466,0.27624434,0.11962415,0.06295048,0.68628460,0.12024792,2.27893619,1.71689559,1.02456589
-5.92196098,4.36653610,0.26599677,0.12097432,0.06252906,0.65215881,0.11789470,2.21221322,1.65585376,0.97157149
-5.91595798,4.20820429,0.25536929,0.12228832,0.06185162,0.61816015,0.11522973,2.14486379,1.59493336,0.91914705
-5.90995498,4.05138825,0.24459504,0.12359023,0.06094604,0.58472322,0.11231671,2.07808708,1.53501798,0.86792012
-5.90395198,3.89844625,0.23390804,0.12490451,0.05984653,0.55227541,0.10922471,2.01306436,1.47696853,0.81848289
-5.89794897,3.75164308,0.22353688,0.12625509,0.05859252,0.52122572,0.10602618,1.95093396,1.42160551,0.77138175
-5.89194597,3.61310121,0.21369860,0.12766444,0.05722740,0.49195424,0.10279470,1.89276795,1.36969275,0.72710855
-5.88594297,3.48475695,0.20459327,0.12915287,0.05579710,0.46480283,0.09960273,1.83955089,1.32192313,0.68609352
-5.87993997,3.36832266,0.19639909,0.13073792,0.05434863,0.44006711,0.09651948,1.79216137,1.27890652,0.64870027
-5.87393697,3.26525583,0.18926854,0.13243385,0.05292858,0.41799019,0.09360873,1.75135629,1.24116048,0.61522249
-5.86793397,3.17673568,0.18332521,0.13425138,0.05158162,0.39875800,0.09092708,1.71775865,1.20910359,0.58588265
-5.86193097,3.10364729,0.17866190,0.13619743,0.05034915,0.38249659,0.08852228,1.69184855,1.18305184,0.56083229
-5.85592796,3.04657366,0.17533945,0.13827511,0.04926801,0.36927122,0.08643198,1.67395779,1.16321783,0.54015392
-5.84992496,3.00579522,0.17338682,0.14048377,0.04836942,0.35908706,0.08468286,1.66426803,1.14971282,0.52386421
-5.84392196,2.98129667,0.17280189,0.14281912,0.04767808,0.35189170,0.08329007,1.66281233,1.14255141,0.51191827
-5.83791896,2.97278055,0.17355333,0.14527353,0.04721157,0.34757887,0.08225715,1.66948004,1.14165856,0.50421479
-5.83191596,2.97968677,0.17558310,0.14783627,0.04697990,0.34599352,0.08157630,1.68402472,1.14687864,0.50060180
-5.82591296,3.00121747,0.17880966,0.15049390,0.04698543,0.34693777,0.08122907,1.70607492,1.15798600,0.50088284
-5.81990995,3.03636621,0.18313166,0.15323067,0.04722295,0.35017763,0.08118732,1.73514734,1.17469674,0.50482329
-5.81390695,3.08395052,0.18843209,0.15602893,0.04768009,0.35545021,0.08141453,1.77066197,1.19668097,0.51215676
-5.80790395,3.14264669,0.19458246,0.15886955,0.04833786,0.36247108,0.08186733,1.81195873,1.22357506,0.52259123
-5.80190095,3.21102578,0.20144727,0.16173237,0.04917151,0.37094179,0.08249716,1.85831511,1.25499341,0.53581507
-5.79589795,3.28758973,0.20888819,0.16459662,0.05015145,0.38055705,0.08325212,1.90896417,1.29053907,0.55150251
-5.78989495,3.37080631,0.21676810,0.16744131,0.05124432,0.39101166,0.08407874,1.96311230,1.32981281,0.56931875
-5.78389195,3.45914210,0.22495478,0.17024559,0.05241424,0.40200684,0.08492384,2.01995631,1.37242014,0.58892453
-5.77788894,3.55109238,0.23332407,0.17298907,0.05362395,0.41325595,0.08573616,2.07869913,1.41797606,0.60998015
-5.77188594,3.64520719,0.24176246,0.17565210,0.05483606,0.42448944,0.08646794,2.13856375,1.46610740,0.63214892
-5.76588294,3.74011297,0.25016906,0.17821595,0.05601422,0.43545898,0.08707627,2.19880509,1.51645263,0.65510013
-5.75987994,3.83452937,0.25845688,0.18066296,0.05712421,0.44594073,0.08752412,2.25871940,1.56865937,0.67851144
-5.75387694,3.92728105,0.26655337,0.18297661,0.05813487,0.45573775,0.08778120,2.31765120,1.62238006,0.70207094
-5.74787394,4.01730469,0.27440029,0.18514157,0.05901891,0.46468153,0.08782448,2.37499770,1.67726611,0.72547878
-5.74187094,4.10365149,0.28195296,0.18714359,0.05975354,0.47263275,0.08763841,2.43021102,1.73296130,0.74844858
-5.73586793,4.18548589,0.28917892,0.18896955,0.06032088,0.47948125,0.08721487,2.48279831,1.78909512,0.77070864
-5.72986493,4.26208126,0.29605616,0.19060726,0.06070821,0.48514539,0.08655284,2.53232042,1.84527702,0.79200312
-5.72386193,4.33281354,0.30257094,0.19204553,0.06090796,0.48957088,0.08565788,2.57838955,1.90109211,0.81209332
-5.71785893,4.39715398,0.30871556,0.19327402,0.06091754,0.49272918,0.08454137,2.62066633,1.95609930,0.83075898
-5.71185593,4.45466185,0.31448594,0.19428337,0.06073903,0.49461562,0.08321958,2.65885710,2.00983237,0.84779986
