energy_ev,total_up,Pb_p_up,Pb_d_up,Pd_p_up,Pd_d_up,S_s_up,S_p_up
-6.00000000,5.58947879,1.12890353,0.01573627,3.69719211,4.62623323,0.00472578,0.12331958
-5.99399700,5.58148814,1.13758505,0.01576282,3.74592076,4.60323889,0.00476427,0.12510871
-5.98799400,5.57407904,1.14561997,0.01578499,3.79578590,4.58105659,0.00481188,0.12686211
-5.98199100,5.56717320,1.15293660,0.01580073,3.84616538,4.55977579,0.00486734,0.12853119
-5.97598799,5.56063707,1.15948502,0.01580779,3.89639536,4.53941933,0.00492907,0.13007041
-5.96998499,5.55429061,1.16523599,0.01580377,3.94578419,4.51995023,0.00499524,0.13143840
-5.96398199,5.54791958,1.17017982,0.01578628,3.99362953,4.50128186,0.00506383,0.13259893
-5.95797899,5.54129085,1.17432496,0.01575301,4.03923807,4.48329092,0.00513273,0.13352192
-5.95197599,5.53416946,1.17769668,0.01570185,4.08194678,4.46583221,0.00519982,0.13418433
-5.94597299,5.52633658,1.18033555,0.01563103,4.12114469,4.44875440,0.00526303,0.13457100
-5.93996998,5.51760683,1.18229591,0.01553919,4.15629385,4.43191556,0.00532040,0.13467522
-5.93396698,5.50784370,1.18364408,0.01542545,4.18694823,4.41519728,0.00537021,0.13449906
-5.92796398,5.49697167,1.18445647,0.01528954,4.21276920,4.39851632,0.00541094,0.13405353
-5.92196098,5.48498393,1.18481726,0.01513174,4.23353638,4.38183274,0.00544139,0.13335829
-5.91595798,5.47194460,1.18481576,0.01495298,4.24915310,4.36515368,0.00546063,0.13244113
-5.90995498,5.45798500,1.18454333,0.01475475,4.25964557,4.34853230,0.00546808,0.13133698
-5.90395198,5.44329351,1.18408976,0.01453907,4.26515559,4.33206163,0.00546344,0.13008676
-5.89794897,5.42809941,1.18353923,0.01430841,4.26592687,4.31586339,0.00544671,0.12873575
-5.89194597,5.41265109,1.18296587,0.01406558,4.26228535,4.30007240,0.00541814,0.12733179
-5.88594297,5.39718977,1.18242897,0.01381359,4.25461447,4.28481717,0.00537819,0.12592329
-5.87993997,5.38192019,1.18196809,0.01355555,4.24332657,4.27019794,0.00532751,0.12455713
-5.87393697,5.36697968,1.18159823,0.01329447,4.22883191,4.25626343,0.00526684,0.12327646
-5.86793397,5.35240788,1.18130539,0.01303319,4.21150698,4.24298782,0.00519701,0.12211872
-5.86193097,5.33811870,1.18104267,0.01277415,4.19166401,4.23024946,0.00511887,0.12111367
-5.85592796,5.32387682,1.18072730,0.01251938,4.16952332,4.21781296,0.00503323,0.12028184
-5.84992496,5.30928026,1.18023890,0.01227032,4.14519036,4.20531596,0.00494090,0.11963325
-5.84392196,5.29375081,1.17941908,0.01202782,4.11863874,4.19226200,0.00484257,0.11916660
-5.83791896,5.27653332,1.17807280,0.01179204,4.08970068,4.17802019,0.00473887,0.11886893
-5.83191596,5.25670475,1.17597136,0.01156250,4.05806542,4.16183243,0.00463034,0.11871579
-5.82591296,5.23319316,1.17285730,0.01133811,4.02328615,4.14282846,0.00451743,0.11867195
-5.81990995,5.20480636,1.16845107,0.01111720,3.98479532,4.12004823,0.00440052,0.11869262
-5.81390695,5.17026944,1.16245924,0.01089763,3.94192772,4.09247134,0.00427995,0.11872509
-5.80790395,5.12826973,1.15458422,0.01067693,3.89395055,4.05905213,0.00415604,0.11871077
-5.80190095,5.07750754,1.14453493,0.01045240,3.84009881,4.01875934,0.00402912,0.11858755
-5.79589795,5.01675034,1.13203815,0.01022125,3.77961456,3.97061841,0.00389957,0.11829232
-5.78989495,4.94488802,1.11685003,0.00998081,3.71178808,3.91375463,0.00376786,0.11776357
-5.78389195,4.86098660,1.09876722,0.00972858,3.63599866,3.84743501,0.00363455,0.11694397
-5.77788894,4.76433774,1.07763714,0.00946246,3.55175329,3.77110699,0.00350034,0.11578273
-5.77188594,4.65450159,1.05336686,0.00918080,3.45872093,3.68443181,0.00336610,0.11423775
-5.76588294,4.53134075,1.02593018,0.00888254,3.35676082,3.58731101,0.00323287,0.11227736
-5.75987994,4.39504358,0.99537236,0.00856726,3.24594324,3.47990447,0.00310185,0.10988160
-5.75387694,4.24613531,0.96181252,0.00823519,3.12656167,3.36263904,0.00297441,0.10704308
-5.74787394,4.08547660,0.92544324,0.00788730,2.99913575,3.23620708,0.00285209,0.10376720
-5.74187094,3.91424894,0.88652749,0.00752519,2.86440476,3.10155488,0.00273656,0.10007195
-5.73586793,3.73392788,0.84539300,0.00715110,2.72331212,2.95986125,0.00262957,0.09598719
-5.72986493,3.54624486,0.80242417,0.00676780,2.57698153,2.81250723,0.00253296,0.09155341
-5.72386193,3.35313950,0.75805200,0.00637853,2.42668605,2.66103820,0.00244854,0.08682025
-5.71785893,3.15670446,0.71274242,0.00598684,2.27381159,2.50712006,0.00237812,0.08184462
-5.71185593,2.95912518,0.66698349,0.00559649,2.11981656,2.35249131,0.00232336,0.07668866
-5.70585293,2.76261745,0.62127210,0.00521134,1.96618959,2.19891333,0.00228579,0.07141765
-5.69984992,2.56936519,0.57610069,0.00483520,1.81440730,2.04812083,0.00226668,0.06609792
-5.69384692,2.38146126,0.53194453,0.00447170,1.66589383,1.90177463,0.00226706,0.06079482
-5.68784392,2.20085368,0.48925008,0.00412420,1.52198388,1.76141864,0.00228760,0.05557093
-5.68184092,2.02929914,0.44842482,0.00379572,1.38389068,1.62844271,0.00232858,0.05048453
-5.67583792,1.86832567,0.40982892,0.00348881,1.25267981,1.50405268,0.00238989,0.04558835
-5.66983492,1.71920526,0.37376893,0.00320556,1.12924986,1.38924846,0.00247097,0.04092866
-5.66383192,1.58293728,0.34049366,0.00294752,1.01432000,1.28481069,0.00257085,0.03654477
-5.65782891,1.46024259,0.31019219,0.00271573,0.90842465,1.19129601,0.00268808,0.03246877
-5.65182591,1.35156786,0.28299396,0.00251072,0.81191473,1.10904068,0.00282086,0.02872569
-5.64582291,1.25709932,0.25897075,0.00233255,0.72496508,1.03817164,0.00296698,0.02533390
-5.63981991,1.17678442,0.23814030,0.00218083,0.64758697,0.97862421,0.00312396,0.02230571
-5.63381691,1.11036002,0.22047121,0.00205482,0.57964475,0.93016496,0.00328904,0.01964822
-5.62781391,1.05738515,0.20588883,0.00195347,0.52087563,0.89241852,0.00345935,0.01736425
-5.62181091,1.01727655,0.19428178,0.00187551,0.47091124,0.86489649,0.00363192,0.01545328
-5.61580790,0.98934505,0.18550870,0.00181951,0.42930010,0.84702722,0.00380381,0.01391250
-5.60980490,0.97283095,0.17940503,0.00178398,0.39552974,0.83818478,0.00397218,0.01273768
-5.60380190,0.96693693,0.17578935,0.00176737,0.36904772,0.83771584,0.00413442,0.01192397
-5.59779890,0.97085679,0.17446918,0.00176818,0.34928078,0.84496322,0.00428815,0.01146663
-5.59179590,0.98379932,0.17524611,0.00178501,0.33565150,0.85928531,0.00443138,0.01136141
-5.58579290,1.00500615,0.17791992,0.00181653,0.32759212,0.88007063,0.00456248,0.01160491
-5.57978989,1.03376341,0.18229189,0.00186155,0.32455523,0.90674713,0.00468023,0.01219460
-5.57378689,1.06940713,0.18816709,0.00191900,0.32602143,0.93878625,0.00478385,0.01312867
-5.56778389,1.11132253,0.19535590,0.00198791,0.33150393,0.97570193,0.00487299,0.01440569
-5.56178089,1.15893799,0.20367466,0.00206742,0.34055036,1.01704508,0.00494765,0.01602409
-5.55577789,1.21171452,0.21294580,0.00215671,0.35274225,1.06239432,0.00500820,0.01798144
-5.54977489,1.26913193,0.22299742,0.00225498,0.36769248,1.11134382,0.00505528,0.02027372
-5.54377189,1.33067290,0.23366267,0.00236144,0.38504135,1.16348950,0.00508970,0.02289443
-5.53776888,1.39580658,0.24477903,0.00247521,0.40445172,1.21841464,0.00511245,0.02583379
-5.53176588,1.46397287,0.25618779,0.00259531,0.42560382,1.27567620,0.00512451,0.02907789
-5.52576288,1.53456899,0.26773365,0.00272066,0.44819032,1.33479301,0.00512687,0.03260807
-5.51975988,1.60693950,0.27926500,0.00284999,0.47191208,1.39523680,0.00512040,0.03640033
-5.51375688,1.68037073,0.29063452,0.00298190,0.49647511,1.45642708,0.00510582,0.04042511
-5.50775388,1.75409058,0.30170058,0.00311479,0.52158901,1.51773042,0.00508366,0.04464720
-5.50175088,1.82727389,0.31232913,0.00324693,0.54696721,1.57846457,0.00505423,0.04902602
-5.49574787,1.89905368,0.32239630,0.00337645,0.57232903,1.63790755,0.00501763,0.05351619
-5.48974487,1.96853796,0.33179137,0.00350140,0.59740368,1.69531136,0.00497372,0.05806843
-5.48374187,2.03483135,0.34042023,0.00361977,0.62193586,1.74992001,0.00492222,0.06263071
-5.47773887,2.09706070,0.34820888,0.00372960,0.64569279,1.80099090,0.00486269,0.06714968
-5.47173587,2.15440342,0.35510696,0.00382897,0.66847222,1.84781855,0.00479461,0.07157237
-5.46573287,2.20611696,0.36109095,0.00391616,0.69011081,1.88975955,0.00471745,0.07584786
-5.45972986,2.25156789,0.36616677,0.00398961,0.71049235,1.92625728,0.00463072,0.07992919
-5.45372686,2.29025896,0.37037165,0.00404807,0.72955510,1.95686512,0.00453402,0.08377505
-5.44772386,2.32185238,0.37377488,0.00409062,0.74729766,1.98126662,0.00442715,0.08735142
-5.44172086,2.34618785,0.37647745,0.00411669,0.76378269,1.99929163,0.00431014,0.09063294
-5.43571786,2.36329425,0.37861022,0.00412614,0.77913798,2.01092715,0.00418326,0.09360392
-5.42971486,2.37339376,0.38033080,0.00411925,0.79355452,2.01632217,0.00404712,0.09625898
-5.42371186,2.37689819,0.38181901,0.00409672,0.80728132,2.01578604,0.00390266,0.09860316
-5.41770885,2.37439709,0.38327104,0.00405965,0.82061703,2.00978023,0.00375116,0.10065167
-5.41170585,2.36663828,0.38489257,0.00400953,0.83389843,1.99890368,0.00359427,0.10242896
-5.40570285,2.35450128,0.38689103,0.00394819,0.84748646,1.98387236,0.00343397,0.10396753
-5.39969985,2.33896517,0.38946747,0.00387772,0.86175019,1.96549405,0.00327258,0.10530616
-5.39369685,2.32107222,0.39280822,0.00380043,0.87704969,1.94463943,0.00311275,0.10648795
-5.38769385,2.30188925,0.39707706,0.00371878,0.89371880,1.92221107,0.00295739,0.10755812
-5.38169085,2.28246878,0.40240805,0.00363527,0.91204869,1.89911189,0.00280968,0.10856169
-5.37568784,2.26381202,0.40889967,0.00355244,0.93227341,1.87621470,0.00267305,0.10954130
-5.36968484,2.24683566,0.41661059,0.00347272,0.95455840,1.85433461,0.00255110,0.11053512
-5.36368184,2.23234453,0.42555726,0.00339841,0.97899280,1.83420553,0.00244762,0.11157520
-5.35767884,2.22101134,0.43571382,0.00333165,1.00558630,1.81646224,0.00236650,0.11268611
-5.35167584,2.21336492,0.44701413,0.00327434,1.03427092,1.80162891,0.00231175,0.11388422
-5.34567284,2.20978735,0.45935625,0.00322814,1.06490789,1.79011452,0.00228744,0.11517745
-5.33966983,2.21052027,0.47260887,0.00319447,1.09729940,1.78221547,0.00229764,0.11656566
-5.33366683,2.21567976,0.48661973,0.00317448,1.13120473,1.77812497,0.00234641,0.11804154
