energy_ev,total_up,N_s_up,N_p_up,Ni_p_up,Ni_d_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
-6.00000000,2.86298498,0.00219965,0.04941293,0.88284686,0.94814441,0.02652442,1.74138739,0.58681166,0.17589323
-5.99399700,2.88906480,0.00233542,0.04820274,0.88811760,0.95882604,0.02747104,1.76047244,0.58888260,0.17701020
-5.98799400,2.91161421,0.00246960,0.04703639,0.89181758,0.96821914,0.02843608,1.77730316,0.59001199,0.17789622
-5.98199100,2.93055341,0.00260095,0.04592792,0.89396210,0.97632111,0.02941420,1.79178899,0.59017749,0.17854404
-5.97598799,2.94574856,0.00272824,0.04488695,0.89456066,0.98312325,0.03039842,1.80380856,0.58934931,0.17894206
-5.96998499,2.95701851,0.00285023,0.04391878,0.89361767,0.98861148,0.03138019,1.81321441,0.58749253,0.17907493
-5.96398199,2.96414479,0.00296577,0.04302468,0.89113396,0.99276767,0.03234946,1.81983966,0.58456985,0.17892443
-5.95797899,2.96688456,0.00307379,0.04220241,0.88710895,0.99557137,0.03329490,1.82350647,0.58054488,0.17847051
-5.95197599,2.96498561,0.00317331,0.04144674,0.88154329,0.99700213,0.03420414,1.82403559,0.57538558,0.17769248
-5.94597299,2.95820304,0.00326354,0.04075019,0.87444194,0.99704197,0.03506403,1.82125702,0.56906781,0.17657039
-5.93996998,2.94631675,0.00334386,0.04010380,0.86581745,0.99567834,0.03586097,1.81502093,0.56157876,0.17508630
-5.93396698,2.92914916,0.00341384,0.03949783,0.85569338,0.99290711,0.03658129,1.80520873,0.55292018,0.17322564
-5.92796398,2.90658237,0.00347330,0.03892259,0.84410772,0.98873585,0.03721159,1.79174371,0.54311113,0.17097848
-5.92196098,2.87857421,0.00352230,0.03836918,0.83111610,0.98318701,0.03773917,1.77460087,0.53219038,0.16834060
-5.91595798,2.84517253,0.00356116,0.03783009,0.81679476,0.97630103,0.03815238,1.75381561,0.52021808,0.16531450
-5.90995498,2.80652706,0.00359045,0.03729979,0.80124317,0.96813924,0.03844101,1.72949075,0.50727684,0.16191007
-5.90395198,2.76289831,0.00361100,0.03677520,0.78458592,0.95878621,0.03859662,1.70180180,0.49347204,0.15814517
-5.89794897,2.71466304,0.00362385,0.03625598,0.76697415,0.94835165,0.03861283,1.67099989,0.47893146,0.15404577
-5.89194597,2.66231577,0.00363028,0.03574475,0.74858601,0.93697131,0.03848561,1.63741228,0.46380406,0.14964601
-5.88594297,2.60646608,0.00363172,0.03524711,0.72962623,0.92480700,0.03821339,1.60144019,0.44825808,0.14498777
-5.87993997,2.54783130,0.00362973,0.03477152,0.71032464,0.91204529,0.03779722,1.56355386,0.43247833,0.14012015
-5.87393697,2.48722466,0.00362595,0.03432908,0.69093355,0.89889502,0.03724080,1.52428463,0.41666287,0.13509852
-5.86793397,2.42553878,0.00362203,0.03393313,0.67172401,0.88558318,0.03655037,1.48421438,0.40101899,0.12998344
-5.86193097,2.36372493,0.00361956,0.03359873,0.65298074,0.87234957,0.03573464,1.44396223,0.38575873,0.12483924
-5.85592796,2.30276833,0.00362004,0.03334207,0.63499613,0.85943996,0.03480449,1.40416895,0.37109388,0.11973255
-5.84992496,2.24366035,0.00362475,0.03317971,0.61806308,0.84709812,0.03377275,1.36547953,0.35723077,0.11473057
-5.84392196,2.18736837,0.00363476,0.03312780,0.60246711,0.83555690,0.03265378,1.32852428,0.34436481,0.10989933
-5.83791896,2.13480444,0.00365084,0.03320129,0.58847787,0.82502884,0.03146310,1.29389938,0.33267509,0.10530184
-5.83191596,2.08679396,0.00367339,0.03341308,0.57634042,0.81569661,0.03021693,1.26214745,0.32231914,0.10099641
-5.82591296,2.04404578,0.00370245,0.03377319,0.56626662,0.80770386,0.02893172,1.23373902,0.31342807,0.09703490
-5.81990995,2.00712501,0.00373766,0.03428803,0.55842703,0.80114699,0.02762374,1.20905577,0.30610231,0.09346127
-5.81390695,1.97643005,0.00377825,0.03495971,0.55294368,0.79606841,0.02630857,1.18837628,0.30040797,0.09031029
-5.80790395,1.95217498,0.00382306,0.03578557,0.54988428,0.79245167,0.02500078,1.17186515,0.29637431,0.08760650
-5.80190095,1.93437852,0.00387059,0.03675775,0.54925799,0.79021900,0.02371356,1.15956604,0.29399213,0.08536362
-5.79589795,1.92286017,0.00391901,0.03786308,0.55101325,0.78923142,0.02245843,1.15139920,0.29321343,0.08358411
-5.78989495,1.91724432,0.00396624,0.03908306,0.55503779,0.78929174,0.02124506,1.14716364,0.29395231,0.08225931
-5.78389195,1.91697222,0.00401004,0.04039411,0.56116102,0.79015033,0.02008118,1.14654425,0.29608717,0.08136986
-5.77788894,1.92132160,0.00404809,0.04176811,0.56915875,0.79151365,0.01897248,1.14912347,0.29946417,0.08088645
-5.77188594,1.92943341,0.00407806,0.04317300,0.57876009,0.79305504,0.01792274,1.15439718,0.30390194,0.08077101
-5.76588294,1.94034436,0.00409774,0.04457375,0.58965646,0.79442752,0.01693385,1.16179431,0.30919721,0.08097813
-5.75987994,1.95302419,0.00410510,0.04593333,0.60151214,0.79527795,0.01600605,1.17069912,0.31513144,0.08145671
-5.75387694,1.96641567,0.00409840,0.04721391,0.61397605,0.79526169,0.01513815,1.18047532,0.32147791,0.08215180
-5.74787394,1.97947585,0.00407626,0.04837813,0.62669422,0.79405742,0.01432773,1.19049084,0.32800926,0.08300653
-5.74187094,1.99121622,0.00403772,0.04939029,0.63932229,0.79138093,0.01357146,1.20014211,0.33450493,0.08396400
-5.73586793,2.00074020,0.00398227,0.05021765,0.65153754,0.78699747,0.01286536,1.20887670,0.34075839,0.08496917
-5.72986493,2.00727601,0.00390991,0.05083152,0.66304975,0.78073196,0.01220504,1.21621326,0.34658366,0.08597050
-5.72386193,2.01020331,0.00382111,0.05120826,0.67361048,0.77247643,0.01158599,1.22175774,0.35182096,0.08692145
-5.71785893,2.00907251,0.00371684,0.05133010,0.68302021,0.76219444,0.01100374,1.22521520,0.35634113,0.08778164
-5.71185593,2.00361570,0.00359850,0.05118568,0.69113304,0.74992210,0.01045406,1.22639664,0.36004876,0.08851769
-5.70585293,1.99374891,0.00346789,0.05077042,0.69785869,0.73576588,0.00993308,1.22522062,0.36288364,0.08910373
-5.69984992,1.97956570,0.00332713,0.05008652,0.70316185,0.71989712,0.00943742,1.22170961,0.36482080,0.08952157
-5.69384692,1.96132248,0.00317857,0.04914280,0.70705869,0.70254370,0.00896415,1.21598138,0.36586877,0.08976042
-5.68784392,1.93941661,0.00302475,0.04795424,0.70961110,0.68397916,0.00851091,1.20823606,0.36606658,0.08981644
-5.68184092,1.91435842,0.00286824,0.04654131,0.71091868,0.66451011,0.00807582,1.19873943,0.36547924,0.08969188
-5.67583792,1.88673884,0.00271161,0.04492908,0.71110921,0.64446229,0.00765745,1.18780364,0.36419231,0.08939411
-5.66983492,1.85719437,0.00255730,0.04314629,0.71032797,0.62416620,0.00725480,1.17576627,0.36230557,0.08893445
-5.66383192,1.82637133,0.00240756,0.04122421,0.70872669,0.60394294,0.00686717,1.16296891,0.35992640,0.08832691
-5.65782891,1.79489121,0.00226439,0.03919555,0.70645255,0.58409093,0.00649414,1.14973660,0.35716291,0.08758700
-5.65182591,1.76331909,0.00212946,0.03709335,0.70363815,0.56487423,0.00613546,1.13635893,0.35411752,0.08673055
-5.64582291,1.73213651,0.00200410,0.03494995,0.70039273,0.54651287,0.00579101,1.12307413,0.35088108,0.08577270
-5.63981991,1.70172037,0.00188924,0.03279608,0.69679532,0.52917570,0.00546074,1.11005677,0.34752797,0.08472706
-5.63381691,1.67232868,0.00178544,0.03066006,0.69289012,0.51297597,0.00514459,1.09740972,0.34411237,0.08360514
-5.62781391,1.64409388,0.00169285,0.02856718,0.68868445,0.49796987,0.00484254,1.08516090,0.34066591,0.08241603
-5.62181091,1.61702387,0.00161129,0.02653927,0.68414928,0.48415788,0.00455452,1.07326477,0.33719692,0.08116631
-5.61580790,1.59101067,0.00154023,0.02459446,0.67922241,0.47148895,0.00428043,1.06160857,0.33369103,0.07986032
-5.60980490,1.56584599,0.00147886,0.02274709,0.67381401,0.45986702,0.00402019,1.05002298,0.33011338,0.07850060
-5.60380190,1.54124288,0.00142615,0.02100783,0.66781440,0.44915977,0.00377370,1.03829638,0.32641209,0.07708862
-5.59779890,1.51686225,0.00138087,0.01938389,0.66110343,0.43920891,0.00354090,1.02619230,0.32252286,0.07562558
-5.59179590,1.49234279,0.00134171,0.01787944,0.65356110,0.42984160,0.00332178,1.01346885,0.31837445,0.07411350
-5.58579290,1.46733275,0.00130728,0.01649598,0.64507883,0.42088244,0.00311643,0.99989923,0.31389467,0.07255621
-5.57978989,1.44152193,0.00127622,0.01523295,0.63557071,0.41216546,0.00292508,0.98529232,0.30901657,0.07096041
-5.57378689,1.41467242,0.00124721,0.01408819,0.62498421,0.40354565,0.00274812,0.96951225,0.30368454,0.06933674
-5.56778389,1.38664636,0.00121904,0.01305856,0.61330968,0.39490949,0.00258610,0.95249600,0.29785991,0.06770061
-5.56178089,1.35742968,0.00119065,0.01214041,0.60058833,0.38618405,0.00243982,0.93426821,0.29152577,0.06607296
-5.55577789,1.32715061,0.00116117,0.01133008,0.58691803,0.37734453,0.00231028,0.91495248,0.28469083,0.06448080
-5.54977489,1.29609216,0.00112990,0.01062434,0.57245681,0.36841976,0.00219874,0.89477858,0.27739201,0.06295744
-5.54377189,1.26469819,0.00109637,0.01002067,0.55742378,0.35949571,0.00210670,0.87408541,0.26969573,0.06154255
-5.53776888,1.23357276,0.00106031,0.00951759,0.54209740,0.35071697,0.00203590,0.85331941,0.26169775,0.06028193
-5.53176588,1.20347303,0.00102166,0.00911477,0.52681128,0.34228617,0.00198833,0.83302865,0.25352173,0.05922692
-5.52576288,1.17529602,0.00098055,0.00881315,0.51194747,0.33446157,0.00196619,0.81385286,0.24531634,0.05843368
-5.51975988,1.15005992,0.00093726,0.00861493,0.49792775,0.32755300,0.00197186,0.79650974,0.23725139,0.05796211
-5.51375688,1.12888081,0.00089225,0.00852351,0.48520305,0.32191642,0.00200789,0.78177830,0.22951281,0.05787470
-5.50775388,1.11294578,0.00084606,0.00854330,0.47424169,0.31794724,0.00207693,0.77047977,0.22229705,0.05823504
-5.50175088,1.10348341,0.00079931,0.00867957,0.46551660,0.31607298,0.00218171,0.76345687,0.21580487,0.05910640
-5.49574787,1.10173280,0.00075269,0.00893816,0.45949221,0.31674513,0.00232495,0.76155217,0.21023498,0.06055003
-5.48974487,1.10891218,0.00070690,0.00932519,0.45661141,0.32043083,0.00250929,0.76558624,0.20577771,0.06262360
-5.48374187,1.12618786,0.00066263,0.00984676,0.45728296,0.32760428,0.00273724,0.77633632,0.20260884,0.06537955
-5.47773887,1.15464464,0.00062053,0.01050858,0.46186979,0.33873817,0.00301109,0.79451596,0.20088404,0.06886350
-5.47173587,1.19525808,0.00058118,0.01131564,0.47067841,0.35429516,0.00333282,0.82075631,0.20073389,0.07311286
-5.46573287,1.24886926,0.00054511,0.01227186,0.48394989,0.37471940,0.00370400,0.85558924,0.20225969,0.07815540
-5.45972986,1.31616234,0.00051275,0.01337975,0.50185229,0.40042823,0.00412572,0.89943259,0.20553013,0.08400815
-5.45372686,1.39764515,0.00048441,0.01464008,0.52447490,0.43180375,0.00459848,0.95257782,0.21057897,0.09067639
-5.44772386,1.49363282,0.00046033,0.01605161,0.55182420,0.46918446,0.00512214,1.01517997,0.21740361,0.09815286
-5.44172086,1.60423437,0.00044063,0.01761083,0.58382155,0.51285670,0.00569581,1.08724991,0.22596458,0.10641716
-5.43571786,1.72934235,0.00042532,0.01931172,0.62030259,0.56304598,0.00631777,1.16864897,0.23618602,0.11543548
-5.42971486,1.86862514,0.00041433,0.02114562,0.66101822,0.61990802,0.00698546,1.25908564,0.24795685,0.12516039
-5.42371186,2.02152206,0.00040749,0.02310111,0.70563707,0.68351978,0.00769542,1.35811443,0.26113281,0.13553099
-5.41770885,2.18724104,0.00040455,0.02516393,0.75374934,0.75387030,0.00844328,1.46513662,0.27553907,0.14647320
-5.41170585,2.36475900,0.00040521,0.02731707,0.80487195,0.83085182,0.00922373,1.57940306,0.29097349,0.15790035
-5.40570285,2.55282487,0.00040909,0.02954081,0.85845478,0.91425123,0.01003059,1.70001884,0.30721033,0.16971389
-5.39969985,2.74996562,0.00041577,0.03181291,0.91388812,1.00374229,0.01085684,1.82594995,0.32400432,0.18180440
-5.39369685,2.95449540,0.00042479,0.03410886,0.97051096,1.09887908,0.01169471,1.95603203,0.34109512,0.19405276
-5.38769385,3.16452816,0.00043568,0.03640220,1.02762036,1.19909103,0.01253573,2.08898130,0.35821200,0.20633154
-5.38169085,3.37799408,0.00044793,0.03866494,1.08448159,1.30368008,0.01337090,2.22340779,0.37507866,0.21850660
-5.37568784,3.59266013,0.00046105,0.04086797,1.14033909,1.41182052,0.01419083,2.35783098,0.39141821,0.23043889
-5.36968484,3.80615494,0.00047454,0.04298163,1.19442820,1.52256183,0.01498585,2.49069799,0.40695815,0.24198637
-5.36368184,4.01599827,0.00048791,0.04497629,1.24598732,1.63483506,0.01574623,2.62040428,0.42143530,0.25300621
-5.35767884,4.21963492,0.00050070,0.04682289,1.29427070,1.74746296,0.01646233,2.74531671,0.43460063,0.26335698
-5.35167584,4.41447291,0.00051247,0.04849364,1.33856131,1.85917403,0.01712479,2.86379897,0.44622389,0.27290110
-5.34567284,4.59792568,0.00052283,0.04996259,1.37818387,1.96862056,0.01772471,2.97423879,0.45609789,0.28150726
-5.33966983,4.76745730,0.00053140,0.05120626,1.41251755,2.07440048,0.01825384,3.07507674,0.46404249,0.28905287
-5.33366683,4.92063023,0.00053790,0.05220420,1.44100818,2.17508259,0.01870473,3.16483583,0.46990797,0.29542652
-5.32766383,5.05515411,0.00054204,0.05293951,1.46317956,2.26923487,0.01907089,3.24215125,0.47357795,0.30053034
-5.32166083,5.16893463,0.00054364,0.05339926,1.47864363,2.35545490,0.01934696,3.30579958,0.47497151,0.30428211
-5.31565783,5.26012078,0.00054255,0.05357485,1.48710903,2.43240174,0.01952876,3.35472631,0.47404472,0.30661726
-5.30965483,5.32714912,0.00053869,0.05346225,1.48838790,2.49882824,0.01961342,3.38807111,0.47079124,0.30749049
-5.30365183,5.36878341,0.00053204,0.05306210,1.48240052,2.55361264,0.01959945,3.40518963,0.46524211,0.30687704
-5.29764882,5.38414829,0.00052264,0.05237978,1.46917765,2.59578850,0.01948677,3.40567128,0.45746478,0.30477355
-5.29164582,5.37275550,0.00051060,0.05142522,1.44886044,2.62457166,0.01927670,3.38935199,0.44756123,0.30119849
-5.28564282,5.33452154,0.00049608,0.05021274,1.42169779,2.63938345,0.01897195,3.35632163,0.43566529,0.29619199
-5.27963982,5.26977607,0.00047929,0.04876063,1.38804122,2.63986890,0.01857656,3.30692543,0.42193940,0.28981530
-5.27363682,5.17926020,0.00046048,0.04709080,1.34833739,2.62590949,0.01809584,3.24175936,0.40657057,0.28214964
-5.26763382,5.06411475,0.00043995,0.04522818,1.30311848,2.59762960,0.01753623,3.16165944,0.38976605,0.27329465
-5.26163082,4.92585853,0.00041803,0.04320016,1.25299066,2.55539648,0.01690520,3.06768512,0.37174853,0.26336633
-5.25562781,4.76635721,0.00039507,0.04103596,1.19862112,2.49981353,0.01621107,2.96109735,0.35275124,0.25249466
-5.24962481,4.58778370,0.00037144,0.03876596,1.14072389,2.43170715,0.01546285,2.84333189,0.33301296,0.24082087
-5.24362181,4.39257129,0.00034754,0.03642109,1.08004516,2.35210742,0.01467007,2.71596865,0.31277316,0.22849454
-5.23761881,4.18336100,0.00032374,0.03403211,1.01734823,2.26222352,0.01384255,2.58069821,0.29226745,0.21567052
-5.23161581,3.96294491,0.00030043,0.03162912,0.95339888,2.16341442,0.01299025,2.43928635,0.27172332,0.20250581
-5.22561281,3.73420720,0.00027799,0.02924092,0.88895130,2.05715620,0.01212303,2.29353789,0.25135643,0.18915658
-5.21960980,3.50006482,0.00025679,0.02689466,0.82473508,1.94500694,0.01125051,2.14526089,0.23136742,0.17577527
